date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2007-01-01,CHIDLOW,premium_95,127.0,127.0,127.0,127.0,1
2007-01-02,CHIDLOW,premium_95,127.0,127.0,127.0,127.0,1
2007-01-03,CHIDLOW,premium_95,127.0,127.0,127.0,127.0,1
2007-01-04,CHIDLOW,premium_95,127.0,127.0,127.0,127.0,1
2007-01-05,CHIDLOW,premium_95,127.0,127.0,127.0,127.0,1
2007-01-06,CHIDLOW,premium_95,127.0,127.0,127.0,127.0,1
2007-01-07,CHIDLOW,premium_95,127.0,127.0,127.0,127.0,1
2007-01-08,CHIDLOW,premium_95,127.0,127.0,127.0,127.0,1
2007-01-09,CHIDLOW,premium_95,127.0,127.0,127.0,127.0,1
2007-01-10,CHIDLOW,premium_95,127.0,127.0,127.0,127.0,1
2007-01-11,CHIDLOW,premium_95,127.0,127.0,127.0,127.0,1
2007-01-12,CHIDLOW,premium_95,127.0,127.0,127.0,127.0,1
2007-01-13,CHIDLOW,premium_95,127.0,127.0,127.0,127.0,1
2007-01-14,CHIDLOW,premium_95,127.0,127.0,127.0,127.0,1
2007-01-15,CHIDLOW,premium_95,127.0,127.0,127.0,127.0,1
2007-01-16,CHIDLOW,premium_95,127.0,127.0,127.0,127.0,1
2007-01-17,CHIDLOW,premium_95,127.0,127.0,127.0,127.0,1
2007-01-18,CHIDLOW,premium_95,127.0,127.0,127.0,127.0,1
2007-01-19,CHIDLOW,premium_95,127.0,127.0,127.0,127.0,1
2007-01-20,CHIDLOW,premium_95,127.0,127.0,127.0,127.0,1
2007-01-21,CHIDLOW,premium_95,127.0,127.0,127.0,127.0,1
2007-01-22,CHIDLOW,premium_95,127.0,127.0,127.0,127.0,1
2007-01-23,CHIDLOW,premium_95,127.0,127.0,127.0,127.0,1
2007-01-24,CHIDLOW,premium_95,127.0,127.0,127.0,127.0,1
2007-01-25,CHIDLOW,premium_95,127.0,127.0,127.0,127.0,1
2007-01-26,CHIDLOW,premium_95,127.0,127.0,127.0,127.0,1
2007-01-27,CHIDLOW,premium_95,127.0,127.0,127.0,127.0,1
2007-01-28,CHIDLOW,premium_95,127.0,127.0,127.0,127.0,1
2007-01-29,CHIDLOW,premium_95,127.0,127.0,127.0,127.0,1
2007-01-30,CHIDLOW,premium_95,127.0,127.0,127.0,127.0,1
2007-01-31,CHIDLOW,premium_95,127.0,127.0,127.0,127.0,1
2007-02-01,CHIDLOW,premium_95,127.0,127.0,127.0,127.0,1
2007-02-02,CHIDLOW,premium_95,127.0,127.0,127.0,127.0,1
2007-02-03,CHIDLOW,premium_95,127.0,127.0,127.0,127.0,1
2007-02-04,CHIDLOW,premium_95,127.0,127.0,127.0,127.0,1
2007-02-05,CHIDLOW,premium_95,127.0,127.0,127.0,127.0,1
2007-02-06,CHIDLOW,premium_95,127.0,127.0,127.0,127.0,1
2007-02-07,CHIDLOW,premium_95,127.0,127.0,127.0,127.0,1
2007-02-08,CHIDLOW,premium_95,127.0,127.0,127.0,127.0,1
2007-02-09,CHIDLOW,premium_95,127.0,127.0,127.0,127.0,1
2007-02-10,CHIDLOW,premium_95,127.0,127.0,127.0,127.0,1
2007-02-11,CHIDLOW,premium_95,127.0,127.0,127.0,127.0,1
2007-02-12,CHIDLOW,premium_95,127.0,127.0,127.0,127.0,1
2007-02-13,CHIDLOW,premium_95,127.0,127.0,127.0,127.0,1
