date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,CLOVERDALE,lpg,44.3,44.3,44.3,44.3,1
2002-01-02,CLOVERDALE,lpg,44.3,44.3,44.3,44.3,1
2002-01-03,CLOVERDALE,lpg,43.3,43.3,43.3,43.3,1
2002-01-04,CLOVERDALE,lpg,43.3,43.3,43.3,43.3,1
2002-01-05,CLOVERDALE,lpg,43.3,43.3,43.3,43.3,1
2002-01-06,CLOVERDALE,lpg,43.3,43.3,43.3,43.3,1
2002-01-07,CLOVERDALE,lpg,43.3,43.3,43.3,43.3,1
2002-01-08,CLOVERDALE,lpg,43.3,43.3,43.3,43.3,1
2002-01-09,CLOVERDALE,lpg,48.9,48.9,48.9,48.9,1
2002-01-10,CLOVERDALE,lpg,48.9,48.9,48.9,48.9,1
2002-01-11,CLOVERDALE,lpg,47.5,47.5,47.5,47.5,1
2002-01-12,CLOVERDALE,lpg,47.5,47.5,47.5,47.5,1
2002-01-13,CLOVERDALE,lpg,47.5,47.5,47.5,47.5,1
2002-01-14,CLOVERDALE,lpg,47.5,47.5,47.5,47.5,1
2002-01-15,CLOVERDALE,lpg,47.5,47.5,47.5,47.5,1
2002-01-16,CLOVERDALE,lpg,47.5,47.5,47.5,47.5,1
2002-01-17,CLOVERDALE,lpg,47.5,47.5,47.5,47.5,1
2002-01-18,CLOVERDALE,lpg,47.5,47.5,47.5,47.5,1
2002-01-19,CLOVERDALE,lpg,46.5,46.5,46.5,46.5,1
2002-01-20,CLOVERDALE,lpg,46.5,46.5,46.5,46.5,1
2002-01-21,CLOVERDALE,lpg,46.5,46.5,46.5,46.5,1
2002-01-22,CLOVERDALE,lpg,46.5,46.5,46.5,46.5,1
2002-01-23,CLOVERDALE,lpg,46.5,46.5,46.5,46.5,1
2002-01-24,CLOVERDALE,lpg,45.7,45.7,45.7,45.7,1
2002-01-25,CLOVERDALE,lpg,45.7,45.7,45.7,45.7,1
2002-01-26,CLOVERDALE,lpg,44.5,44.5,44.5,44.5,1
2002-01-27,CLOVERDALE,lpg,44.5,44.5,44.5,44.5,1
2002-01-28,CLOVERDALE,lpg,44.5,44.5,44.5,44.5,1
2002-01-29,CLOVERDALE,lpg,44.5,44.5,44.5,44.5,1
2002-01-30,CLOVERDALE,lpg,44.5,44.5,44.5,44.5,1
2002-01-31,CLOVERDALE,lpg,44.5,44.5,44.5,44.5,1
2002-02-01,CLOVERDALE,lpg,43.9,43.9,43.9,43.9,1
2002-02-02,CLOVERDALE,lpg,43.9,43.9,43.9,43.9,1
2002-02-03,CLOVERDALE,lpg,43.9,43.9,43.9,43.9,1
2002-02-04,CLOVERDALE,lpg,43.9,43.9,43.9,43.9,1
2002-02-05,CLOVERDALE,lpg,45.9,45.9,45.9,45.9,1
2002-02-06,CLOVERDALE,lpg,45.9,45.9,45.9,45.9,1
