date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,COLLIE,premium_95,91.9,93.2,93.8,91.9,4
2002-01-02,COLLIE,premium_95,91.9,93.2,93.8,91.9,4
2002-01-03,COLLIE,premium_95,91.9,93.3,94.4,91.9,4
2002-01-04,COLLIE,premium_95,91.9,93.8,94.5,91.9,4
2002-01-05,COLLIE,premium_95,91.9,93.8,94.5,91.9,4
2002-01-06,COLLIE,premium_95,91.9,93.8,94.5,91.9,4
2002-01-07,COLLIE,premium_95,91.9,93.8,94.5,91.9,4
2002-01-08,COLLIE,premium_95,91.9,93.8,94.5,91.9,4
2002-01-09,COLLIE,premium_95,93.4,94.0,94.5,93.4,4
2002-01-10,COLLIE,premium_95,93.4,94.0,94.5,93.4,4
2002-01-11,COLLIE,premium_95,91.9,93.6,94.5,91.9,4
2002-01-12,COLLIE,premium_95,91.9,93.3,94.5,91.9,4
2002-01-13,COLLIE,premium_95,91.9,93.3,94.5,91.9,4
2002-01-14,COLLIE,premium_95,91.9,93.3,94.5,91.9,4
2002-01-15,COLLIE,premium_95,91.9,93.3,94.5,91.9,4
2002-01-16,COLLIE,premium_95,91.5,93.2,94.5,91.5,4
2002-01-17,COLLIE,premium_95,91.5,93.2,94.5,91.5,4
2002-01-18,COLLIE,premium_95,91.5,92.0,92.5,91.5,5
2002-01-19,COLLIE,premium_95,91.4,91.9,92.5,91.4,5
2002-01-20,COLLIE,premium_95,91.4,91.9,92.5,91.4,5
2002-01-21,COLLIE,premium_95,91.4,91.9,92.5,91.4,5
2002-01-22,COLLIE,premium_95,91.4,91.9,92.5,91.4,5
2002-01-23,COLLIE,premium_95,91.4,91.9,92.5,91.4,5
2002-01-24,COLLIE,premium_95,91.4,91.9,92.5,91.4,5
2002-01-25,COLLIE,premium_95,91.2,91.8,92.5,91.2,5
2002-01-26,COLLIE,premium_95,91.2,91.8,92.5,91.2,5
2002-01-27,COLLIE,premium_95,91.2,91.8,92.5,91.2,5
2002-01-28,COLLIE,premium_95,91.2,91.8,92.5,91.2,5
2002-01-29,COLLIE,premium_95,91.2,91.9,92.5,91.2,5
2002-01-30,COLLIE,premium_95,91.2,91.9,92.5,91.2,5
2002-01-31,COLLIE,premium_95,91.2,91.9,92.5,91.2,5
2002-02-01,COLLIE,premium_95,91.2,91.9,92.5,91.2,5
2002-02-02,COLLIE,premium_95,91.2,92.7,94.5,91.2,5
2002-02-03,COLLIE,premium_95,91.2,92.7,94.5,91.2,5
2002-02-04,COLLIE,premium_95,91.2,92.7,94.5,91.2,5
2002-02-05,COLLIE,premium_95,91.7,93.1,94.5,91.7,5
2002-02-06,COLLIE,premium_95,91.7,93.1,94.5,91.7,5
2002-02-07,COLLIE,premium_95,92.5,93.4,94.5,92.5,5
2002-02-08,COLLIE,premium_95,92.5,93.6,94.5,92.5,5
2002-02-09,COLLIE,premium_95,92.5,94.3,96.2,92.5,5
2002-02-10,COLLIE,premium_95,92.5,94.3,96.2,92.5,5
2002-02-11,COLLIE,premium_95,92.5,94.3,96.2,92.5,5
2002-02-12,COLLIE,premium_95,92.5,94.5,96.2,92.5,5
2002-02-13,COLLIE,premium_95,94.8,95.4,96.2,94.8,5
2002-02-14,COLLIE,premium_95,94.8,95.4,96.2,94.8,5
2002-02-15,COLLIE,premium_95,94.8,95.7,97.6,94.8,5
2002-02-16,COLLIE,premium_95,94.8,96.1,97.6,94.8,5
