date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,COMO,lpg,46.9,47.4,47.9,46.9,2
2002-01-02,COMO,lpg,46.9,47.4,47.9,46.9,2
2002-01-03,COMO,lpg,46.9,47.4,47.9,46.9,2
2002-01-04,COMO,lpg,46.9,47.4,47.9,46.9,2
2002-01-05,COMO,lpg,46.9,47.4,47.9,46.9,2
2002-01-06,COMO,lpg,46.9,47.4,47.9,46.9,2
2002-01-07,COMO,lpg,40.9,44.4,47.9,40.9,2
2002-01-08,COMO,lpg,40.9,44.4,47.9,40.9,2
2002-01-09,COMO,lpg,40.9,44.4,47.9,40.9,2
2002-01-10,COMO,lpg,40.9,44.4,47.9,40.9,2
2002-01-11,COMO,lpg,40.9,44.4,47.9,40.9,2
2002-01-12,COMO,lpg,40.9,44.4,47.9,40.9,2
2002-01-13,COMO,lpg,40.9,44.4,47.9,40.9,2
2002-01-14,COMO,lpg,40.9,44.4,47.9,40.9,2
2002-01-15,COMO,lpg,40.9,44.4,47.9,40.9,2
2002-01-16,COMO,lpg,40.9,44.4,47.9,40.9,2
2002-01-17,COMO,lpg,43.9,45.3,46.7,43.9,2
2002-01-18,COMO,lpg,43.9,45.3,46.7,43.9,2
2002-01-19,COMO,lpg,43.9,45.3,46.7,43.9,2
2002-01-20,COMO,lpg,43.9,45.3,46.7,43.9,2
2002-01-21,COMO,lpg,43.9,45.3,46.7,43.9,2
2002-01-22,COMO,lpg,43.9,45.3,46.7,43.9,2
2002-01-23,COMO,lpg,43.9,45.3,46.7,43.9,2
2002-01-24,COMO,lpg,43.9,44.2,44.5,43.9,2
2002-01-25,COMO,lpg,43.9,44.2,44.5,43.9,2
2002-01-26,COMO,lpg,43.9,44.2,44.5,43.9,2
2002-01-27,COMO,lpg,43.9,44.2,44.5,43.9,2
2002-01-28,COMO,lpg,43.9,44.2,44.5,43.9,2
2002-01-29,COMO,lpg,43.9,44.2,44.5,43.9,2
2002-01-30,COMO,lpg,43.9,44.2,44.5,43.9,2
2002-01-31,COMO,lpg,43.9,44.2,44.5,43.9,2
2002-02-01,COMO,lpg,43.9,44.2,44.5,43.9,2
2002-02-02,COMO,lpg,43.9,44.2,44.5,43.9,2
2002-02-03,COMO,lpg,43.9,44.2,44.5,43.9,2
2002-02-04,COMO,lpg,43.9,44.2,44.5,43.9,2
2002-02-05,COMO,lpg,43.9,44.2,44.5,43.9,2
2002-02-06,COMO,lpg,43.9,44.2,44.5,43.9,2
2002-02-07,COMO,lpg,43.9,44.2,44.5,43.9,2
2002-02-08,COMO,lpg,44.5,44.7,44.9,44.5,2
2002-02-09,COMO,lpg,44.5,44.7,44.9,44.5,2
2002-02-10,COMO,lpg,44.5,44.7,44.9,44.5,2
2002-02-11,COMO,lpg,44.5,44.7,44.9,44.5,2
2002-02-12,COMO,lpg,44.5,44.7,44.9,44.5,2
2002-02-13,COMO,lpg,44.5,44.7,44.9,44.5,2
2002-02-14,COMO,lpg,44.5,44.7,44.9,44.5,2
2002-02-15,COMO,lpg,44.5,44.7,44.9,44.5,2
2002-02-16,COMO,lpg,44.5,44.7,44.9,44.5,2
2002-02-17,COMO,lpg,44.5,44.7,44.9,44.5,2
2002-02-18,COMO,lpg,44.5,44.7,44.9,44.5,2
2002-02-19,COMO,lpg,44.5,44.7,44.9,44.5,2
2002-02-20,COMO,lpg,44.5,44.7,44.9,44.5,2
2002-02-21,COMO,lpg,44.5,44.7,44.9,44.5,2
2002-02-22,COMO,lpg,44.5,44.7,44.9,44.5,2
2002-02-23,COMO,lpg,44.5,44.7,44.9,44.5,2
2002-02-24,COMO,lpg,44.5,44.7,44.9,44.5,2
2002-02-25,COMO,lpg,44.5,44.7,44.9,44.5,2
2002-02-26,COMO,lpg,41.5,43.0,44.5,41.5,2
2002-02-27,COMO,lpg,41.5,43.0,44.5,41.5,2
2002-02-28,COMO,lpg,41.5,43.0,44.5,41.5,2
2003-01-01,COMO,lpg,47.9,49.9,51.9,47.9,2
2003-01-02,COMO,lpg,47.9,49.9,51.9,47.9,2
2003-01-03,COMO,lpg,47.9,49.9,51.9,47.9,2
2003-01-04,COMO,lpg,47.9,49.9,51.9,47.9,2
2003-01-05,COMO,lpg,47.9,49.9,51.9,47.9,2
2003-01-06,COMO,lpg,51.9,53.4,54.9,51.9,2
2003-01-07,COMO,lpg,51.9,53.4,54.9,51.9,2
2003-01-08,COMO,lpg,51.9,53.4,54.9,51.9,2
2003-01-09,COMO,lpg,51.9,53.2,54.5,51.9,2
2003-01-10,COMO,lpg,51.9,52.7,53.5,51.9,2
2003-01-11,COMO,lpg,51.9,52.4,52.9,51.9,2
2003-01-12,COMO,lpg,51.9,51.9,51.9,51.9,2
2003-01-13,COMO,lpg,51.5,51.7,51.9,51.5,2
2003-01-14,COMO,lpg,51.5,51.7,51.9,51.5,2
2003-01-15,COMO,lpg,49.9,50.9,51.9,49.9,2
2003-01-16,COMO,lpg,49.9,50.9,51.9,49.9,2
2003-01-17,COMO,lpg,48.9,50.4,51.9,48.9,2
2003-01-18,COMO,lpg,48.9,49.9,50.9,48.9,2
2003-01-19,COMO,lpg,48.9,49.9,50.9,48.9,2
2003-01-20,COMO,lpg,50.9,54.4,57.9,50.9,2
2003-01-21,COMO,lpg,50.9,54.4,57.9,50.9,2
2003-01-22,COMO,lpg,50.9,53.9,56.9,50.9,2
2003-01-23,COMO,lpg,52.9,53.2,53.5,52.9,2
2003-01-24,COMO,lpg,48.9,50.9,52.9,48.9,2
2003-01-25,COMO,lpg,53.3,53.4,53.5,53.3,2
2003-01-26,COMO,lpg,52.9,53.1,53.3,52.9,2
2003-01-27,COMO,lpg,52.9,53.1,53.3,52.9,2
2003-01-28,COMO,lpg,52.9,53.1,53.3,52.9,2
2003-01-29,COMO,lpg,51.9,52.6,53.3,51.9,2
2003-01-30,COMO,lpg,51.9,52.6,53.3,51.9,2
2003-01-31,COMO,lpg,50.9,52.1,53.3,50.9,2
2003-02-01,COMO,lpg,50.9,52.1,53.3,50.9,2
2003-02-02,COMO,lpg,49.9,51.6,53.3,49.9,2
2003-02-03,COMO,lpg,49.9,51.6,53.3,49.9,2
2003-02-04,COMO,lpg,48.9,50.4,51.9,48.9,2
2003-02-05,COMO,lpg,48.9,50.4,51.9,48.9,2
2003-02-06,COMO,lpg,51.9,55.9,59.9,51.9,2
2003-02-07,COMO,lpg,51.9,55.9,59.9,51.9,2
2003-02-08,COMO,lpg,51.9,55.4,58.9,51.9,2
2003-02-09,COMO,lpg,55.9,57.2,58.5,55.9,2
