date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,CONNOLLY,lpg,47.9,47.9,47.9,47.9,1
2002-01-02,CONNOLLY,lpg,47.9,47.9,47.9,47.9,1
2002-01-03,CONNOLLY,lpg,47.9,47.9,47.9,47.9,1
2002-01-04,CONNOLLY,lpg,47.9,47.9,47.9,47.9,1
2002-01-05,CONNOLLY,lpg,47.9,47.9,47.9,47.9,1
2002-01-06,CONNOLLY,lpg,47.9,47.9,47.9,47.9,1
2002-01-07,CONNOLLY,lpg,47.9,47.9,47.9,47.9,1
2002-01-08,CONNOLLY,lpg,47.9,47.9,47.9,47.9,1
2002-01-09,CONNOLLY,lpg,47.9,47.9,47.9,47.9,1
2002-01-10,CONNOLLY,lpg,47.9,47.9,47.9,47.9,1
2002-01-11,CONNOLLY,lpg,47.9,47.9,47.9,47.9,1
2002-01-12,CONNOLLY,lpg,47.9,47.9,47.9,47.9,1
2002-01-13,CONNOLLY,lpg,47.9,47.9,47.9,47.9,1
2002-01-14,CONNOLLY,lpg,47.9,47.9,47.9,47.9,1
2002-01-15,CONNOLLY,lpg,47.9,47.9,47.9,47.9,1
2002-01-16,CONNOLLY,lpg,47.9,47.9,47.9,47.9,1
2002-01-17,CONNOLLY,lpg,47.9,47.9,47.9,47.9,1
2002-01-18,CONNOLLY,lpg,47.9,47.9,47.9,47.9,1
2002-01-19,CONNOLLY,lpg,47.9,47.9,47.9,47.9,1
2002-01-20,CONNOLLY,lpg,47.9,47.9,47.9,47.9,1
2002-01-21,CONNOLLY,lpg,47.9,47.9,47.9,47.9,1
2002-01-22,CONNOLLY,lpg,47.9,47.9,47.9,47.9,1
2002-01-23,CONNOLLY,lpg,47.9,47.9,47.9,47.9,1
2002-01-24,CONNOLLY,lpg,47.9,47.9,47.9,47.9,1
2002-01-25,CONNOLLY,lpg,47.9,47.9,47.9,47.9,1
2002-01-26,CONNOLLY,lpg,47.9,47.9,47.9,47.9,1
2002-01-27,CONNOLLY,lpg,47.9,47.9,47.9,47.9,1
2002-01-28,CONNOLLY,lpg,47.9,47.9,47.9,47.9,1
2002-01-29,CONNOLLY,lpg,47.9,47.9,47.9,47.9,1
2002-01-30,CONNOLLY,lpg,47.9,47.9,47.9,47.9,1
2002-01-31,CONNOLLY,lpg,47.9,47.9,47.9,47.9,1
2002-02-01,CONNOLLY,lpg,47.9,47.9,47.9,47.9,1
2002-02-02,CONNOLLY,lpg,47.9,47.9,47.9,47.9,1
2002-02-03,CONNOLLY,lpg,47.9,47.9,47.9,47.9,1
2002-02-04,CONNOLLY,lpg,47.9,47.9,47.9,47.9,1
2002-02-05,CONNOLLY,lpg,47.9,47.9,47.9,47.9,1
2002-02-06,CONNOLLY,lpg,47.9,47.9,47.9,47.9,1
2002-02-07,CONNOLLY,lpg,47.9,47.9,47.9,47.9,1
2002-02-08,CONNOLLY,lpg,47.9,47.9,47.9,47.9,1
2002-02-09,CONNOLLY,lpg,47.9,47.9,47.9,47.9,1
2002-02-10,CONNOLLY,lpg,47.9,47.9,47.9,47.9,1
2002-02-11,CONNOLLY,lpg,47.9,47.9,47.9,47.9,1
2002-02-12,CONNOLLY,lpg,47.9,47.9,47.9,47.9,1
2002-02-13,CONNOLLY,lpg,47.9,47.9,47.9,47.9,1
2002-02-14,CONNOLLY,lpg,47.9,47.9,47.9,47.9,1
2002-02-15,CONNOLLY,lpg,47.9,47.9,47.9,47.9,1
2002-02-16,CONNOLLY,lpg,47.9,47.9,47.9,47.9,1
2002-02-17,CONNOLLY,lpg,47.9,47.9,47.9,47.9,1
2002-02-18,CONNOLLY,lpg,47.9,47.9,47.9,47.9,1
2002-02-19,CONNOLLY,lpg,47.9,47.9,47.9,47.9,1
2002-02-20,CONNOLLY,lpg,47.9,47.9,47.9,47.9,1
2002-02-21,CONNOLLY,lpg,47.9,47.9,47.9,47.9,1
2002-02-22,CONNOLLY,lpg,47.9,47.9,47.9,47.9,1
2002-02-23,CONNOLLY,lpg,47.9,47.9,47.9,47.9,1
2002-02-24,CONNOLLY,lpg,47.9,47.9,47.9,47.9,1
2002-02-25,CONNOLLY,lpg,47.9,47.9,47.9,47.9,1
2002-02-26,CONNOLLY,lpg,47.9,47.9,47.9,47.9,1
2002-02-27,CONNOLLY,lpg,47.9,47.9,47.9,47.9,1
2002-02-28,CONNOLLY,lpg,47.9,47.9,47.9,47.9,1
2003-01-01,CONNOLLY,lpg,51.9,51.9,51.9,51.9,1
2003-01-02,CONNOLLY,lpg,51.9,51.9,51.9,51.9,1
2003-01-03,CONNOLLY,lpg,51.9,51.9,51.9,51.9,1
2003-01-04,CONNOLLY,lpg,51.9,51.9,51.9,51.9,1
2003-01-05,CONNOLLY,lpg,51.9,51.9,51.9,51.9,1
2003-01-06,CONNOLLY,lpg,51.9,51.9,51.9,51.9,1
2003-01-07,CONNOLLY,lpg,54.5,54.5,54.5,54.5,1
2003-01-08,CONNOLLY,lpg,54.5,54.5,54.5,54.5,1
2003-01-09,CONNOLLY,lpg,54.5,54.5,54.5,54.5,1
2003-01-10,CONNOLLY,lpg,54.5,54.5,54.5,54.5,1
2003-01-11,CONNOLLY,lpg,54.5,54.5,54.5,54.5,1
2003-01-12,CONNOLLY,lpg,54.5,54.5,54.5,54.5,1
2003-01-13,CONNOLLY,lpg,54.5,54.5,54.5,54.5,1
2003-01-14,CONNOLLY,lpg,54.5,54.5,54.5,54.5,1
2003-01-15,CONNOLLY,lpg,52.9,52.9,52.9,52.9,1
2003-01-16,CONNOLLY,lpg,52.9,52.9,52.9,52.9,1
2003-01-17,CONNOLLY,lpg,52.9,52.9,52.9,52.9,1
2003-01-18,CONNOLLY,lpg,52.9,52.9,52.9,52.9,1
2003-01-19,CONNOLLY,lpg,52.9,52.9,52.9,52.9,1
2003-01-20,CONNOLLY,lpg,50.9,50.9,50.9,50.9,1
2003-01-21,CONNOLLY,lpg,52.9,52.9,52.9,52.9,1
2003-01-22,CONNOLLY,lpg,57.5,57.5,57.5,57.5,1
2003-01-23,CONNOLLY,lpg,57.5,57.5,57.5,57.5,1
2003-01-24,CONNOLLY,lpg,53.9,53.9,53.9,53.9,1
2003-01-25,CONNOLLY,lpg,53.9,53.9,53.9,53.9,1
2003-01-26,CONNOLLY,lpg,52.9,52.9,52.9,52.9,1
2003-01-27,CONNOLLY,lpg,52.9,52.9,52.9,52.9,1
2003-01-28,CONNOLLY,lpg,52.9,52.9,52.9,52.9,1
2003-01-29,CONNOLLY,lpg,52.9,52.9,52.9,52.9,1
2003-01-30,CONNOLLY,lpg,52.9,52.9,52.9,52.9,1
2003-01-31,CONNOLLY,lpg,52.9,52.9,52.9,52.9,1
2003-02-01,CONNOLLY,lpg,51.9,51.9,51.9,51.9,1
2003-02-02,CONNOLLY,lpg,51.9,51.9,51.9,51.9,1
2003-02-03,CONNOLLY,lpg,51.9,51.9,51.9,51.9,1
2003-02-04,CONNOLLY,lpg,51.9,51.9,51.9,51.9,1
2003-02-05,CONNOLLY,lpg,51.9,51.9,51.9,51.9,1
2003-02-06,CONNOLLY,lpg,51.9,51.9,51.9,51.9,1
2003-02-07,CONNOLLY,lpg,58.9,58.9,58.9,58.9,1
2003-02-08,CONNOLLY,lpg,58.9,58.9,58.9,58.9,1
2003-02-09,CONNOLLY,lpg,58.9,58.9,58.9,58.9,1
2003-02-10,CONNOLLY,lpg,58.9,58.9,58.9,58.9,1
2003-02-11,CONNOLLY,lpg,58.9,58.9,58.9,58.9,1
2003-02-12,CONNOLLY,lpg,58.9,58.9,58.9,58.9,1
2003-02-13,CONNOLLY,lpg,58.9,58.9,58.9,58.9,1
2003-02-14,CONNOLLY,lpg,58.9,58.9,58.9,58.9,1
2003-02-15,CONNOLLY,lpg,58.9,58.9,58.9,58.9,1
2003-02-16,CONNOLLY,lpg,58.9,58.9,58.9,58.9,1
2003-02-17,CONNOLLY,lpg,58.9,58.9,58.9,58.9,1
2003-02-18,CONNOLLY,lpg,54.9,54.9,54.9,54.9,1
2003-02-19,CONNOLLY,lpg,54.9,54.9,54.9,54.9,1
2003-02-20,CONNOLLY,lpg,54.9,54.9,54.9,54.9,1
2003-02-21,CONNOLLY,lpg,54.9,54.9,54.9,54.9,1
2003-02-22,CONNOLLY,lpg,54.9,54.9,54.9,54.9,1
2003-02-23,CONNOLLY,lpg,54.9,54.9,54.9,54.9,1
2003-02-24,CONNOLLY,lpg,58.9,58.9,58.9,58.9,1
2003-02-25,CONNOLLY,lpg,58.9,58.9,58.9,58.9,1
2003-02-26,CONNOLLY,lpg,58.9,58.9,58.9,58.9,1
2003-02-27,CONNOLLY,lpg,58.9,58.9,58.9,58.9,1
2003-02-28,CONNOLLY,lpg,58.9,58.9,58.9,58.9,1
