date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2004-01-01,COOLGARDIE,diesel,96.9,98.2,99.5,96.9,2
2004-01-02,COOLGARDIE,diesel,96.9,98.2,99.5,96.9,2
2004-01-03,COOLGARDIE,diesel,96.9,98.2,99.5,96.9,2
2004-01-04,COOLGARDIE,diesel,96.9,98.2,99.5,96.9,2
2004-01-05,COOLGARDIE,diesel,96.9,98.2,99.5,96.9,2
2004-01-06,COOLGARDIE,diesel,97.9,98.7,99.5,97.9,2
2004-01-07,COOLGARDIE,diesel,97.9,98.7,99.5,97.9,2
2004-01-08,COOLGARDIE,diesel,97.9,98.7,99.5,97.9,2
2004-01-09,COOLGARDIE,diesel,97.9,98.7,99.5,97.9,2
2004-01-10,COOLGARDIE,diesel,97.9,98.7,99.5,97.9,2
2004-01-11,COOLGARDIE,diesel,97.9,98.7,99.5,97.9,2
2004-01-12,COOLGARDIE,diesel,97.9,98.7,99.5,97.9,2
2004-01-13,COOLGARDIE,diesel,97.9,98.7,99.5,97.9,2
2004-01-14,COOLGARDIE,diesel,97.9,98.7,99.5,97.9,2
2004-01-15,COOLGARDIE,diesel,99.5,99.5,99.5,99.5,2
2004-01-16,COOLGARDIE,diesel,99.5,101.0,102.5,99.5,2
2004-01-17,COOLGARDIE,diesel,99.9,101.2,102.5,99.9,2
2004-01-18,COOLGARDIE,diesel,99.9,101.2,102.5,99.9,2
2004-01-19,COOLGARDIE,diesel,99.9,101.2,102.5,99.9,2
2004-01-20,COOLGARDIE,diesel,99.9,101.2,102.5,99.9,2
2004-01-21,COOLGARDIE,diesel,99.9,101.2,102.5,99.9,2
2004-01-22,COOLGARDIE,diesel,99.9,101.2,102.5,99.9,2
2004-01-23,COOLGARDIE,diesel,99.9,101.2,102.5,99.9,2
2004-01-24,COOLGARDIE,diesel,99.9,101.2,102.5,99.9,2
2004-01-25,COOLGARDIE,diesel,99.9,101.2,102.5,99.9,2
2004-01-26,COOLGARDIE,diesel,99.9,101.2,102.5,99.9,2
2004-01-27,COOLGARDIE,diesel,99.9,101.2,102.5,99.9,2
2004-01-28,COOLGARDIE,diesel,99.9,101.2,102.5,99.9,2
2004-01-29,COOLGARDIE,diesel,99.9,101.2,102.5,99.9,2
2004-01-30,COOLGARDIE,diesel,99.9,101.2,102.5,99.9,2
2004-01-31,COOLGARDIE,diesel,99.9,101.2,102.5,99.9,2
2004-02-01,COOLGARDIE,diesel,99.9,101.2,102.5,99.9,2
2004-02-02,COOLGARDIE,diesel,99.9,101.2,102.5,99.9,2
2004-02-03,COOLGARDIE,diesel,99.9,101.2,102.5,99.9,2
2004-02-04,COOLGARDIE,diesel,99.9,101.2,102.5,99.9,2
2004-02-05,COOLGARDIE,diesel,99.9,101.2,102.5,99.9,2
2004-02-06,COOLGARDIE,diesel,99.9,101.2,102.5,99.9,2
2004-02-07,COOLGARDIE,diesel,99.9,101.2,102.5,99.9,2
2004-02-08,COOLGARDIE,diesel,99.9,101.2,102.5,99.9,2
2004-02-09,COOLGARDIE,diesel,99.9,101.2,102.5,99.9,2
2004-02-10,COOLGARDIE,diesel,99.9,101.2,102.5,99.9,2
2004-02-11,COOLGARDIE,diesel,99.9,101.2,102.5,99.9,2
2004-02-12,COOLGARDIE,diesel,99.9,101.2,102.5,99.9,2
2004-02-13,COOLGARDIE,diesel,99.9,101.2,102.5,99.9,2
2004-02-14,COOLGARDIE,diesel,99.9,101.2,102.5,99.9,2
2004-02-15,COOLGARDIE,diesel,99.9,101.2,102.5,99.9,2
2004-02-16,COOLGARDIE,diesel,99.9,101.2,102.5,99.9,2
2004-02-17,COOLGARDIE,diesel,99.9,101.2,102.5,99.9,2
2004-02-18,COOLGARDIE,diesel,99.9,101.2,102.5,99.9,2
2004-02-19,COOLGARDIE,diesel,99.9,101.2,102.5,99.9,2
2004-02-20,COOLGARDIE,diesel,99.9,101.2,102.5,99.9,2
2004-02-21,COOLGARDIE,diesel,99.9,101.2,102.5,99.9,2
2004-02-22,COOLGARDIE,diesel,99.9,101.2,102.5,99.9,2
2004-02-23,COOLGARDIE,diesel,99.9,101.2,102.5,99.9,2
2004-02-24,COOLGARDIE,diesel,99.9,101.2,102.5,99.9,2
2004-02-25,COOLGARDIE,diesel,99.9,101.2,102.5,99.9,2
2004-02-26,COOLGARDIE,diesel,99.9,101.2,102.5,99.9,2
2004-02-27,COOLGARDIE,diesel,99.9,101.2,102.5,99.9,2
2004-02-28,COOLGARDIE,diesel,99.9,101.2,102.5,99.9,2
2004-02-29,COOLGARDIE,diesel,99.9,101.2,102.5,99.9,2
2005-01-01,COOLGARDIE,diesel,115.9,117.9,119.9,115.9,2
2005-01-02,COOLGARDIE,diesel,115.9,117.9,119.9,115.9,2
2005-01-03,COOLGARDIE,diesel,115.9,117.9,119.9,115.9,2
2005-01-04,COOLGARDIE,diesel,115.9,117.9,119.9,115.9,2
2005-01-05,COOLGARDIE,diesel,115.9,117.9,119.9,115.9,2
2005-01-06,COOLGARDIE,diesel,114.9,117.4,119.9,114.9,2
2005-01-07,COOLGARDIE,diesel,114.9,115.9,116.9,114.9,2
2005-01-08,COOLGARDIE,diesel,114.9,115.9,116.9,114.9,2
2005-01-09,COOLGARDIE,diesel,114.9,115.9,116.9,114.9,2
2005-01-10,COOLGARDIE,diesel,114.9,115.9,116.9,114.9,2
2005-01-11,COOLGARDIE,diesel,114.9,115.9,116.9,114.9,2
2005-01-12,COOLGARDIE,diesel,114.9,115.9,116.9,114.9,2
2005-01-13,COOLGARDIE,diesel,113.9,115.4,116.9,113.9,2
2005-01-14,COOLGARDIE,diesel,113.9,115.4,116.9,113.9,2
2005-01-15,COOLGARDIE,diesel,113.9,115.4,116.9,113.9,2
2005-01-16,COOLGARDIE,diesel,113.9,115.4,116.9,113.9,2
2005-01-17,COOLGARDIE,diesel,113.9,115.4,116.9,113.9,2
2005-01-18,COOLGARDIE,diesel,113.9,115.4,116.9,113.9,2
2005-01-19,COOLGARDIE,diesel,113.9,115.4,116.9,113.9,2
2005-01-20,COOLGARDIE,diesel,113.9,115.4,116.9,113.9,2
2005-01-21,COOLGARDIE,diesel,113.9,115.4,116.9,113.9,2
2005-01-22,COOLGARDIE,diesel,113.9,115.4,116.9,113.9,2
2005-01-23,COOLGARDIE,diesel,113.9,115.4,116.9,113.9,2
2005-01-24,COOLGARDIE,diesel,113.9,115.4,116.9,113.9,2
2005-01-25,COOLGARDIE,diesel,113.9,116.4,118.9,113.9,2
2005-01-26,COOLGARDIE,diesel,113.9,116.4,118.9,113.9,2
2005-01-27,COOLGARDIE,diesel,113.9,116.4,118.9,113.9,2
2005-01-28,COOLGARDIE,diesel,113.9,116.4,118.9,113.9,2
2005-01-29,COOLGARDIE,diesel,113.9,116.4,118.9,113.9,2
2005-01-30,COOLGARDIE,diesel,113.9,116.4,118.9,113.9,2
2005-01-31,COOLGARDIE,diesel,113.9,116.4,118.9,113.9,2
2005-02-01,COOLGARDIE,diesel,113.9,116.4,118.9,113.9,2
2005-02-02,COOLGARDIE,diesel,113.9,116.4,118.9,113.9,2
2005-02-03,COOLGARDIE,diesel,113.9,116.9,119.9,113.9,2
2005-02-04,COOLGARDIE,diesel,113.9,116.9,119.9,113.9,2
2005-02-05,COOLGARDIE,diesel,113.9,116.9,119.9,113.9,2
2005-02-06,COOLGARDIE,diesel,113.9,116.9,119.9,113.9,2
2005-02-07,COOLGARDIE,diesel,113.9,116.9,119.9,113.9,2
2005-02-08,COOLGARDIE,diesel,113.9,116.9,119.9,113.9,2
2005-02-09,COOLGARDIE,diesel,113.9,116.9,119.9,113.9,2
2005-02-10,COOLGARDIE,diesel,113.9,116.9,119.9,113.9,2
2005-02-11,COOLGARDIE,diesel,113.9,116.9,119.9,113.9,2
2005-02-12,COOLGARDIE,diesel,113.9,116.9,119.9,113.9,2
2005-02-13,COOLGARDIE,diesel,113.9,116.9,119.9,113.9,2
2005-02-14,COOLGARDIE,diesel,113.9,116.9,119.9,113.9,2
2005-02-15,COOLGARDIE,diesel,113.9,116.9,119.9,113.9,2
2005-02-16,COOLGARDIE,diesel,113.9,116.9,119.9,113.9,2
2005-02-17,COOLGARDIE,diesel,113.9,116.9,119.9,113.9,2
2005-02-18,COOLGARDIE,diesel,113.9,116.9,119.9,113.9,2
