date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2003-02-15,CURRAMBINE,premium_95,103.9,103.9,103.9,103.9,1
2003-02-16,CURRAMBINE,premium_95,105.5,105.5,105.5,105.5,1
2003-02-17,CURRAMBINE,premium_95,106.5,106.5,106.5,106.5,1
2003-02-18,CURRAMBINE,premium_95,106.5,106.5,106.5,106.5,1
2003-02-19,CURRAMBINE,premium_95,103.5,103.5,103.5,103.5,1
2003-02-20,CURRAMBINE,premium_95,110.9,110.9,110.9,110.9,1
2003-02-21,CURRAMBINE,premium_95,110.9,110.9,110.9,110.9,1
2003-02-22,CURRAMBINE,premium_95,110.9,110.9,110.9,110.9,1
2003-02-23,CURRAMBINE,premium_95,107.9,107.9,107.9,107.9,1
2003-02-24,CURRAMBINE,premium_95,106.9,106.9,106.9,106.9,1
2003-02-25,CURRAMBINE,premium_95,104.5,104.5,104.5,104.5,1
2003-02-26,CURRAMBINE,premium_95,104.5,104.5,104.5,104.5,1
2003-02-27,CURRAMBINE,premium_95,103.9,103.9,103.9,103.9,1
2003-02-28,CURRAMBINE,premium_95,110.9,110.9,110.9,110.9,1
2004-01-01,CURRAMBINE,premium_95,96.9,96.9,96.9,96.9,1
2004-01-02,CURRAMBINE,premium_95,95.9,95.9,95.9,95.9,1
2004-01-03,CURRAMBINE,premium_95,94.9,94.9,94.9,94.9,1
2004-01-04,CURRAMBINE,premium_95,94.5,94.5,94.5,94.5,1
2004-01-05,CURRAMBINE,premium_95,93.5,93.5,93.5,93.5,1
2004-01-06,CURRAMBINE,premium_95,100.9,100.9,100.9,100.9,1
2004-01-07,CURRAMBINE,premium_95,97.9,97.9,97.9,97.9,1
2004-01-08,CURRAMBINE,premium_95,96.5,96.5,96.5,96.5,1
2004-01-09,CURRAMBINE,premium_95,95.5,95.5,95.5,95.5,1
2004-01-10,CURRAMBINE,premium_95,93.9,93.9,93.9,93.9,1
2004-01-11,CURRAMBINE,premium_95,93.9,93.9,93.9,93.9,1
2004-01-12,CURRAMBINE,premium_95,94.5,94.5,94.5,94.5,1
2004-01-13,CURRAMBINE,premium_95,100.9,100.9,100.9,100.9,1
2004-01-14,CURRAMBINE,premium_95,99.5,99.5,99.5,99.5,1
2004-01-15,CURRAMBINE,premium_95,98.9,98.9,98.9,98.9,1
2004-01-16,CURRAMBINE,premium_95,97.5,97.5,97.5,97.5,1
2004-01-17,CURRAMBINE,premium_95,95.4,95.4,95.4,95.4,1
