date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,DALKEITH,premium_95,89.9,89.9,89.9,89.9,1
2002-01-02,DALKEITH,premium_95,89.9,89.9,89.9,89.9,1
2002-01-03,DALKEITH,premium_95,89.9,89.9,89.9,89.9,1
2002-01-04,DALKEITH,premium_95,89.9,89.9,89.9,89.9,1
2002-01-05,DALKEITH,premium_95,89.9,89.9,89.9,89.9,1
2002-01-06,DALKEITH,premium_95,89.9,89.9,89.9,89.9,1
2002-01-07,DALKEITH,premium_95,89.9,89.9,89.9,89.9,1
2002-01-08,DALKEITH,premium_95,89.9,89.9,89.9,89.9,1
2002-01-09,DALKEITH,premium_95,89.9,89.9,89.9,89.9,1
2002-01-10,DALKEITH,premium_95,89.9,89.9,89.9,89.9,1
2002-01-11,DALKEITH,premium_95,89.9,89.9,89.9,89.9,1
2002-01-12,DALKEITH,premium_95,89.9,89.9,89.9,89.9,1
2002-01-13,DALKEITH,premium_95,89.9,89.9,89.9,89.9,1
2002-01-14,DALKEITH,premium_95,89.9,89.9,89.9,89.9,1
2002-01-15,DALKEITH,premium_95,89.9,89.9,89.9,89.9,1
2002-01-16,DALKEITH,premium_95,89.9,89.9,89.9,89.9,1
2002-01-17,DALKEITH,premium_95,89.9,89.9,89.9,89.9,1
2002-01-18,DALKEITH,premium_95,89.9,89.9,89.9,89.9,1
2002-01-19,DALKEITH,premium_95,89.9,89.9,89.9,89.9,1
2002-01-20,DALKEITH,premium_95,89.9,89.9,89.9,89.9,1
2002-01-21,DALKEITH,premium_95,89.9,89.9,89.9,89.9,1
2002-01-22,DALKEITH,premium_95,89.9,89.9,89.9,89.9,1
2002-01-23,DALKEITH,premium_95,89.9,89.9,89.9,89.9,1
2002-01-24,DALKEITH,premium_95,89.9,89.9,89.9,89.9,1
2002-01-25,DALKEITH,premium_95,89.9,89.9,89.9,89.9,1
2002-01-26,DALKEITH,premium_95,89.9,89.9,89.9,89.9,1
2002-01-27,DALKEITH,premium_95,89.9,89.9,89.9,89.9,1
2002-01-28,DALKEITH,premium_95,89.9,89.9,89.9,89.9,1
2002-01-29,DALKEITH,premium_95,89.9,89.9,89.9,89.9,1
2002-01-30,DALKEITH,premium_95,89.9,89.9,89.9,89.9,1
2002-01-31,DALKEITH,premium_95,89.9,89.9,89.9,89.9,1
2002-02-01,DALKEITH,premium_95,89.9,89.9,89.9,89.9,1
2002-02-02,DALKEITH,premium_95,89.9,89.9,89.9,89.9,1
2002-02-03,DALKEITH,premium_95,89.9,89.9,89.9,89.9,1
2002-02-04,DALKEITH,premium_95,89.9,89.9,89.9,89.9,1
2002-02-05,DALKEITH,premium_95,89.9,89.9,89.9,89.9,1
2002-02-06,DALKEITH,premium_95,89.9,89.9,89.9,89.9,1
2002-02-07,DALKEITH,premium_95,89.9,89.9,89.9,89.9,1
2002-02-08,DALKEITH,premium_95,89.9,89.9,89.9,89.9,1
2002-02-09,DALKEITH,premium_95,89.9,89.9,89.9,89.9,1
2002-02-10,DALKEITH,premium_95,89.9,89.9,89.9,89.9,1
2002-02-11,DALKEITH,premium_95,89.9,89.9,89.9,89.9,1
2002-02-12,DALKEITH,premium_95,89.9,89.9,89.9,89.9,1
2002-02-13,DALKEITH,premium_95,89.9,89.9,89.9,89.9,1
2002-02-14,DALKEITH,premium_95,92.9,92.9,92.9,92.9,1
2002-02-15,DALKEITH,premium_95,92.9,92.9,92.9,92.9,1
2002-02-16,DALKEITH,premium_95,92.9,92.9,92.9,92.9,1
2002-02-17,DALKEITH,premium_95,92.9,92.9,92.9,92.9,1
2002-02-18,DALKEITH,premium_95,92.9,92.9,92.9,92.9,1
2002-02-19,DALKEITH,premium_95,92.9,92.9,92.9,92.9,1
2002-02-20,DALKEITH,premium_95,92.9,92.9,92.9,92.9,1
2002-02-21,DALKEITH,premium_95,92.9,92.9,92.9,92.9,1
2002-02-22,DALKEITH,premium_95,92.9,92.9,92.9,92.9,1
2002-02-23,DALKEITH,premium_95,92.9,92.9,92.9,92.9,1
2002-02-24,DALKEITH,premium_95,92.9,92.9,92.9,92.9,1
2002-02-25,DALKEITH,premium_95,92.9,92.9,92.9,92.9,1
2002-02-26,DALKEITH,premium_95,92.9,92.9,92.9,92.9,1
2002-02-27,DALKEITH,premium_95,92.9,92.9,92.9,92.9,1
2002-02-28,DALKEITH,premium_95,92.9,92.9,92.9,92.9,1
2003-01-01,DALKEITH,premium_95,99.9,99.9,99.9,99.9,1
2003-01-02,DALKEITH,premium_95,99.9,99.9,99.9,99.9,1
2003-01-03,DALKEITH,premium_95,99.9,99.9,99.9,99.9,1
2003-01-04,DALKEITH,premium_95,99.9,99.9,99.9,99.9,1
2003-01-05,DALKEITH,premium_95,99.9,99.9,99.9,99.9,1
2003-01-06,DALKEITH,premium_95,99.9,99.9,99.9,99.9,1
2003-01-07,DALKEITH,premium_95,99.9,99.9,99.9,99.9,1
2003-01-08,DALKEITH,premium_95,99.9,99.9,99.9,99.9,1
2003-01-09,DALKEITH,premium_95,99.9,99.9,99.9,99.9,1
2003-01-10,DALKEITH,premium_95,99.9,99.9,99.9,99.9,1
2003-01-11,DALKEITH,premium_95,99.9,99.9,99.9,99.9,1
2003-01-12,DALKEITH,premium_95,99.9,99.9,99.9,99.9,1
2003-01-13,DALKEITH,premium_95,99.9,99.9,99.9,99.9,1
2003-01-14,DALKEITH,premium_95,99.9,99.9,99.9,99.9,1
2003-01-15,DALKEITH,premium_95,99.9,99.9,99.9,99.9,1
2003-01-16,DALKEITH,premium_95,99.9,99.9,99.9,99.9,1
2003-01-17,DALKEITH,premium_95,102.9,102.9,102.9,102.9,1
2003-01-18,DALKEITH,premium_95,102.9,102.9,102.9,102.9,1
2003-01-19,DALKEITH,premium_95,102.9,102.9,102.9,102.9,1
2003-01-20,DALKEITH,premium_95,102.9,102.9,102.9,102.9,1
2003-01-21,DALKEITH,premium_95,102.9,102.9,102.9,102.9,1
2003-01-22,DALKEITH,premium_95,102.9,102.9,102.9,102.9,1
2003-01-23,DALKEITH,premium_95,102.9,102.9,102.9,102.9,1
2003-01-24,DALKEITH,premium_95,102.9,102.9,102.9,102.9,1
2003-01-25,DALKEITH,premium_95,102.9,102.9,102.9,102.9,1
2003-01-26,DALKEITH,premium_95,102.9,102.9,102.9,102.9,1
2003-01-27,DALKEITH,premium_95,102.9,102.9,102.9,102.9,1
2003-01-28,DALKEITH,premium_95,102.9,102.9,102.9,102.9,1
2003-01-29,DALKEITH,premium_95,102.9,102.9,102.9,102.9,1
2003-01-30,DALKEITH,premium_95,102.9,102.9,102.9,102.9,1
2003-01-31,DALKEITH,premium_95,102.9,102.9,102.9,102.9,1
2003-02-01,DALKEITH,premium_95,102.9,102.9,102.9,102.9,1
