date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2020-01-01,DAYTON,diesel,139.7,139.7,139.7,139.7,1
2020-01-02,DAYTON,diesel,139.7,139.7,139.7,139.7,1
2020-01-03,DAYTON,diesel,139.5,139.5,139.5,139.5,1
2020-01-04,DAYTON,diesel,139.5,139.5,139.5,139.5,1
2020-01-05,DAYTON,diesel,139.5,139.5,139.5,139.5,1
2020-01-06,DAYTON,diesel,139.7,139.7,139.7,139.7,1
2020-01-07,DAYTON,diesel,139.7,139.7,139.7,139.7,1
2020-01-08,DAYTON,diesel,139.7,139.7,139.7,139.7,1
2020-01-09,DAYTON,diesel,139.7,139.7,139.7,139.7,1
2020-01-10,DAYTON,diesel,143.7,143.7,143.7,143.7,1
2020-01-11,DAYTON,diesel,143.7,143.7,143.7,143.7,1
2020-01-12,DAYTON,diesel,143.7,143.7,143.7,143.7,1
2020-01-13,DAYTON,diesel,143.7,143.7,143.7,143.7,1
2020-01-14,DAYTON,diesel,143.7,143.7,143.7,143.7,1
2020-01-15,DAYTON,diesel,143.7,143.7,143.7,143.7,1
2020-01-16,DAYTON,diesel,143.7,143.7,143.7,143.7,1
2020-01-17,DAYTON,diesel,143.7,143.7,143.7,143.7,1
2020-01-18,DAYTON,diesel,143.7,143.7,143.7,143.7,1
2020-01-19,DAYTON,diesel,143.7,143.7,143.7,143.7,1
2020-01-20,DAYTON,diesel,143.7,143.7,143.7,143.7,1
2020-01-21,DAYTON,diesel,143.7,143.7,143.7,143.7,1
2020-01-22,DAYTON,diesel,143.7,143.7,143.7,143.7,1
2020-01-23,DAYTON,diesel,143.7,143.7,143.7,143.7,1
2020-01-24,DAYTON,diesel,143.7,143.7,143.7,143.7,1
2020-01-25,DAYTON,diesel,143.7,143.7,143.7,143.7,1
2020-01-26,DAYTON,diesel,143.7,143.7,143.7,143.7,1
2020-01-27,DAYTON,diesel,143.7,143.7,143.7,143.7,1
2020-01-28,DAYTON,diesel,143.7,143.7,143.7,143.7,1
2020-01-29,DAYTON,diesel,143.7,143.7,143.7,143.7,1
2020-01-30,DAYTON,diesel,142.9,142.9,142.9,142.9,1
2020-01-31,DAYTON,diesel,142.9,142.9,142.9,142.9,1
2020-02-01,DAYTON,diesel,142.9,142.9,142.9,142.9,1
2020-02-02,DAYTON,diesel,142.9,142.9,142.9,142.9,1
2020-02-03,DAYTON,diesel,142.9,142.9,142.9,142.9,1
2020-02-04,DAYTON,diesel,141.9,141.9,141.9,141.9,1
2020-02-05,DAYTON,diesel,141.9,141.9,141.9,141.9,1
2020-02-06,DAYTON,diesel,141.9,141.9,141.9,141.9,1
2020-02-07,DAYTON,diesel,141.9,141.9,141.9,141.9,1
2020-02-08,DAYTON,diesel,143.7,143.7,143.7,143.7,1
2020-02-09,DAYTON,diesel,143.7,143.7,143.7,143.7,1
2020-02-10,DAYTON,diesel,143.7,143.7,143.7,143.7,1
2020-02-11,DAYTON,diesel,143.7,143.7,143.7,143.7,1
2020-02-12,DAYTON,diesel,143.7,143.7,143.7,143.7,1
2020-02-13,DAYTON,diesel,143.7,143.7,143.7,143.7,1
2020-02-14,DAYTON,diesel,143.7,143.7,143.7,143.7,1
2020-02-15,DAYTON,diesel,143.7,143.7,143.7,143.7,1
2020-02-16,DAYTON,diesel,143.7,143.7,143.7,143.7,1
2020-02-17,DAYTON,diesel,143.7,143.7,143.7,143.7,1
2020-02-18,DAYTON,diesel,143.7,143.7,143.7,143.7,1
2020-02-19,DAYTON,diesel,143.7,143.7,143.7,143.7,1
2020-02-20,DAYTON,diesel,143.7,143.7,143.7,143.7,1
2020-02-21,DAYTON,diesel,143.7,143.7,143.7,143.7,1
2020-02-22,DAYTON,diesel,143.7,143.7,143.7,143.7,1
2020-02-23,DAYTON,diesel,143.7,143.7,143.7,143.7,1
2020-02-24,DAYTON,diesel,143.7,143.7,143.7,143.7,1
2020-02-25,DAYTON,diesel,143.7,143.7,143.7,143.7,1
2020-02-26,DAYTON,diesel,143.7,143.7,143.7,143.7,1
2020-02-27,DAYTON,diesel,143.7,143.7,143.7,143.7,1
2020-02-28,DAYTON,diesel,143.7,143.7,143.7,143.7,1
2020-02-29,DAYTON,diesel,143.7,143.7,143.7,143.7,1
2021-01-01,DAYTON,diesel,119.7,119.7,119.7,119.7,1
2021-01-02,DAYTON,diesel,119.7,119.7,119.7,119.7,1
2021-01-03,DAYTON,diesel,119.7,119.7,119.7,119.7,1
2021-01-04,DAYTON,diesel,119.7,119.7,119.7,119.7,1
2021-01-05,DAYTON,diesel,119.7,119.7,119.7,119.7,1
2021-01-06,DAYTON,diesel,119.7,119.7,119.7,119.7,1
2021-01-07,DAYTON,diesel,119.7,119.7,119.7,119.7,1
2021-01-08,DAYTON,diesel,119.7,119.7,119.7,119.7,1
2021-01-09,DAYTON,diesel,119.7,119.7,119.7,119.7,1
2021-01-10,DAYTON,diesel,119.7,119.7,119.7,119.7,1
2021-01-11,DAYTON,diesel,119.7,119.7,119.7,119.7,1
2021-01-12,DAYTON,diesel,119.7,119.7,119.7,119.7,1
2021-01-13,DAYTON,diesel,119.7,119.7,119.7,119.7,1
2021-01-14,DAYTON,diesel,119.7,119.7,119.7,119.7,1
2021-01-15,DAYTON,diesel,119.7,119.7,119.7,119.7,1
2021-01-16,DAYTON,diesel,119.7,119.7,119.7,119.7,1
2021-01-17,DAYTON,diesel,119.7,119.7,119.7,119.7,1
2021-01-18,DAYTON,diesel,119.7,119.7,119.7,119.7,1
2021-01-19,DAYTON,diesel,119.7,119.7,119.7,119.7,1
2021-01-20,DAYTON,diesel,119.7,119.7,119.7,119.7,1
2021-01-21,DAYTON,diesel,119.7,119.7,119.7,119.7,1
2021-01-22,DAYTON,diesel,119.7,119.7,119.7,119.7,1
2021-01-23,DAYTON,diesel,119.7,119.7,119.7,119.7,1
2021-01-24,DAYTON,diesel,119.7,119.7,119.7,119.7,1
2021-01-25,DAYTON,diesel,119.7,119.7,119.7,119.7,1
2021-01-26,DAYTON,diesel,121.7,121.7,121.7,121.7,1
2021-01-27,DAYTON,diesel,121.7,121.7,121.7,121.7,1
2021-01-28,DAYTON,diesel,121.7,121.7,121.7,121.7,1
2021-01-29,DAYTON,diesel,121.7,121.7,121.7,121.7,1
2021-01-30,DAYTON,diesel,121.7,121.7,121.7,121.7,1
2021-01-31,DAYTON,diesel,121.7,121.7,121.7,121.7,1
2022-01-01,DAYTON,diesel,159.7,159.7,159.7,159.7,1
2022-01-02,DAYTON,diesel,159.7,159.7,159.7,159.7,1
2022-01-03,DAYTON,diesel,159.7,159.7,159.7,159.7,1
2022-01-04,DAYTON,diesel,159.7,159.7,159.7,159.7,1
2022-01-05,DAYTON,diesel,159.7,159.7,159.7,159.7,1
