date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2020-01-01,DAYTON,premium_95,169.5,169.5,169.5,169.5,1
2020-01-02,DAYTON,premium_95,161.7,161.7,161.7,161.7,1
2020-01-03,DAYTON,premium_95,159.3,159.3,159.3,159.3,1
2020-01-04,DAYTON,premium_95,155.3,155.3,155.3,155.3,1
2020-01-05,DAYTON,premium_95,149.7,149.7,149.7,149.7,1
2020-01-06,DAYTON,premium_95,145.7,145.7,145.7,145.7,1
2020-01-07,DAYTON,premium_95,161.7,161.7,161.7,161.7,1
2020-01-08,DAYTON,premium_95,161.7,161.7,161.7,161.7,1
2020-01-09,DAYTON,premium_95,161.7,161.7,161.7,161.7,1
2020-01-10,DAYTON,premium_95,158.7,158.7,158.7,158.7,1
2020-01-11,DAYTON,premium_95,153.7,153.7,153.7,153.7,1
2020-01-12,DAYTON,premium_95,150.7,150.7,150.7,150.7,1
2020-01-13,DAYTON,premium_95,145.5,145.5,145.5,145.5,1
2020-01-14,DAYTON,premium_95,161.7,161.7,161.7,161.7,1
2020-01-15,DAYTON,premium_95,161.5,161.5,161.5,161.5,1
2020-01-16,DAYTON,premium_95,161.5,161.5,161.5,161.5,1
2020-01-17,DAYTON,premium_95,155.7,155.7,155.7,155.7,1
2020-01-18,DAYTON,premium_95,152.3,152.3,152.3,152.3,1
2020-01-19,DAYTON,premium_95,148.5,148.5,148.5,148.5,1
2020-01-20,DAYTON,premium_95,145.5,145.5,145.5,145.5,1
2020-01-21,DAYTON,premium_95,161.5,161.5,161.5,161.5,1
2020-01-22,DAYTON,premium_95,161.5,161.5,161.5,161.5,1
2020-01-23,DAYTON,premium_95,151.7,151.7,151.7,151.7,1
2020-01-24,DAYTON,premium_95,153.3,153.3,153.3,153.3,1
2020-01-25,DAYTON,premium_95,150.3,150.3,150.3,150.3,1
2020-01-26,DAYTON,premium_95,147.5,147.5,147.5,147.5,1
2020-01-27,DAYTON,premium_95,143.9,143.9,143.9,143.9,1
2020-01-28,DAYTON,premium_95,143.9,143.9,143.9,143.9,1
2020-01-29,DAYTON,premium_95,161.5,161.5,161.5,161.5,1
2020-01-30,DAYTON,premium_95,159.7,159.7,159.7,159.7,1
2020-01-31,DAYTON,premium_95,151.7,151.7,151.7,151.7,1
2020-02-01,DAYTON,premium_95,148.7,148.7,148.7,148.7,1
2020-02-02,DAYTON,premium_95,145.3,145.3,145.3,145.3,1
2020-02-03,DAYTON,premium_95,142.3,142.3,142.3,142.3,1
2020-02-04,DAYTON,premium_95,143.5,143.5,143.5,143.5,1
2020-02-05,DAYTON,premium_95,161.7,161.7,161.7,161.7,1
2020-02-06,DAYTON,premium_95,151.5,151.5,151.5,151.5,1
2020-02-07,DAYTON,premium_95,150.5,150.5,150.5,150.5,1
2020-02-08,DAYTON,premium_95,148.3,148.3,148.3,148.3,1
2020-02-09,DAYTON,premium_95,142.7,142.7,142.7,142.7,1
2020-02-10,DAYTON,premium_95,137.3,137.3,137.3,137.3,1
2020-02-11,DAYTON,premium_95,136.7,136.7,136.7,136.7,1
2020-02-12,DAYTON,premium_95,161.7,161.7,161.7,161.7,1
2020-02-13,DAYTON,premium_95,157.3,157.3,157.3,157.3,1
2020-02-14,DAYTON,premium_95,149.7,149.7,149.7,149.7,1
2020-02-15,DAYTON,premium_95,146.7,146.7,146.7,146.7,1
2020-02-16,DAYTON,premium_95,141.7,141.7,141.7,141.7,1
2020-02-17,DAYTON,premium_95,137.7,137.7,137.7,137.7,1
2020-02-18,DAYTON,premium_95,137.7,137.7,137.7,137.7,1
2020-02-19,DAYTON,premium_95,161.7,161.7,161.7,161.7,1
2020-02-20,DAYTON,premium_95,156.3,156.3,156.3,156.3,1
2020-02-21,DAYTON,premium_95,148.5,148.5,148.5,148.5,1
2020-02-22,DAYTON,premium_95,145.7,145.7,145.7,145.7,1
2020-02-23,DAYTON,premium_95,141.3,141.3,141.3,141.3,1
2020-02-24,DAYTON,premium_95,137.7,137.7,137.7,137.7,1
2020-02-25,DAYTON,premium_95,137.7,137.7,137.7,137.7,1
2020-02-26,DAYTON,premium_95,161.7,161.7,161.7,161.7,1
2020-02-27,DAYTON,premium_95,155.7,155.7,155.7,155.7,1
2020-02-28,DAYTON,premium_95,147.7,147.7,147.7,147.7,1
