date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2020-01-01,DJUGUN,premium_98,186.9,186.9,186.9,186.9,1
2020-01-02,DJUGUN,premium_98,186.9,186.9,186.9,186.9,1
2020-01-03,DJUGUN,premium_98,186.9,186.9,186.9,186.9,1
2020-01-04,DJUGUN,premium_98,186.9,186.9,186.9,186.9,1
2020-01-05,DJUGUN,premium_98,186.9,186.9,186.9,186.9,1
2020-01-06,DJUGUN,premium_98,186.9,186.9,186.9,186.9,1
2020-01-07,DJUGUN,premium_98,186.9,186.9,186.9,186.9,1
2020-01-08,DJUGUN,premium_98,186.9,186.9,186.9,186.9,1
2020-01-09,DJUGUN,premium_98,186.9,186.9,186.9,186.9,1
2020-01-10,DJUGUN,premium_98,186.9,186.9,186.9,186.9,1
2020-01-11,DJUGUN,premium_98,186.9,186.9,186.9,186.9,1
2020-01-12,DJUGUN,premium_98,186.9,186.9,186.9,186.9,1
2020-01-13,DJUGUN,premium_98,186.9,186.9,186.9,186.9,1
2020-01-14,DJUGUN,premium_98,186.9,186.9,186.9,186.9,1
2020-01-15,DJUGUN,premium_98,186.9,186.9,186.9,186.9,1
2020-01-16,DJUGUN,premium_98,186.9,186.9,186.9,186.9,1
2020-01-17,DJUGUN,premium_98,186.9,186.9,186.9,186.9,1
2020-01-18,DJUGUN,premium_98,186.9,186.9,186.9,186.9,1
2020-01-19,DJUGUN,premium_98,186.9,186.9,186.9,186.9,1
2020-01-20,DJUGUN,premium_98,186.9,186.9,186.9,186.9,1
2020-01-21,DJUGUN,premium_98,186.9,186.9,186.9,186.9,1
2020-01-22,DJUGUN,premium_98,186.9,186.9,186.9,186.9,1
2020-01-23,DJUGUN,premium_98,186.9,186.9,186.9,186.9,1
2020-01-24,DJUGUN,premium_98,186.9,186.9,186.9,186.9,1
2020-01-25,DJUGUN,premium_98,186.9,186.9,186.9,186.9,1
2020-01-26,DJUGUN,premium_98,186.9,186.9,186.9,186.9,1
2020-01-27,DJUGUN,premium_98,186.9,186.9,186.9,186.9,1
2020-01-28,DJUGUN,premium_98,186.9,186.9,186.9,186.9,1
2020-01-29,DJUGUN,premium_98,186.9,186.9,186.9,186.9,1
2020-01-30,DJUGUN,premium_98,186.9,186.9,186.9,186.9,1
2020-01-31,DJUGUN,premium_98,186.9,186.9,186.9,186.9,1
2020-02-01,DJUGUN,premium_98,186.9,186.9,186.9,186.9,1
2020-02-02,DJUGUN,premium_98,186.9,186.9,186.9,186.9,1
2020-02-03,DJUGUN,premium_98,186.9,186.9,186.9,186.9,1
2020-02-04,DJUGUN,premium_98,186.9,186.9,186.9,186.9,1
2020-02-05,DJUGUN,premium_98,186.9,186.9,186.9,186.9,1
2020-02-06,DJUGUN,premium_98,186.9,186.9,186.9,186.9,1
2020-02-07,DJUGUN,premium_98,186.9,186.9,186.9,186.9,1
2020-02-08,DJUGUN,premium_98,186.9,186.9,186.9,186.9,1
2020-02-09,DJUGUN,premium_98,186.9,186.9,186.9,186.9,1
2020-02-10,DJUGUN,premium_98,186.9,186.9,186.9,186.9,1
2020-02-11,DJUGUN,premium_98,186.9,186.9,186.9,186.9,1
2020-02-12,DJUGUN,premium_98,186.9,186.9,186.9,186.9,1
2020-02-13,DJUGUN,premium_98,186.9,186.9,186.9,186.9,1
