date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2004-01-01,DONNYBROOK,ulp_91,100.5,103.2,106.9,100.5,5
2004-01-02,DONNYBROOK,ulp_91,100.5,103.7,108.5,100.5,5
2004-01-03,DONNYBROOK,ulp_91,100.5,103.7,108.5,100.5,5
2004-01-04,DONNYBROOK,ulp_91,100.5,103.7,108.5,100.5,5
2004-01-05,DONNYBROOK,ulp_91,100.5,103.7,108.5,100.5,5
2004-01-06,DONNYBROOK,ulp_91,100.5,103.7,108.5,100.5,5
2004-01-07,DONNYBROOK,ulp_91,101.5,104.1,108.5,101.5,5
2004-01-08,DONNYBROOK,ulp_91,101.5,104.1,108.5,101.5,5
2004-01-09,DONNYBROOK,ulp_91,101.5,104.1,108.5,101.5,5
2004-01-10,DONNYBROOK,ulp_91,101.5,104.5,109.5,101.5,5
2004-01-11,DONNYBROOK,ulp_91,101.5,104.5,109.5,101.5,5
2004-01-12,DONNYBROOK,ulp_91,101.5,104.5,109.5,101.5,5
2004-01-13,DONNYBROOK,ulp_91,101.5,104.5,109.5,101.5,5
2004-01-14,DONNYBROOK,ulp_91,103.1,105.5,109.5,103.1,5
2004-01-15,DONNYBROOK,ulp_91,103.1,105.9,109.5,103.1,5
2004-01-16,DONNYBROOK,ulp_91,103.1,105.9,109.5,103.1,5
2004-01-17,DONNYBROOK,ulp_91,103.1,106.7,111.5,103.1,5
2004-01-18,DONNYBROOK,ulp_91,103.1,106.7,111.5,103.1,5
2004-01-19,DONNYBROOK,ulp_91,103.1,106.7,111.5,103.1,5
2004-01-20,DONNYBROOK,ulp_91,103.1,106.7,111.5,103.1,5
2004-01-21,DONNYBROOK,ulp_91,103.1,106.7,111.5,103.1,5
2004-01-22,DONNYBROOK,ulp_91,104.9,107.0,111.5,104.9,5
2004-01-23,DONNYBROOK,ulp_91,104.9,107.0,111.5,104.9,5
2004-01-24,DONNYBROOK,ulp_91,104.9,107.0,111.5,104.9,5
2004-01-25,DONNYBROOK,ulp_91,104.9,107.0,111.5,104.9,5
2004-01-26,DONNYBROOK,ulp_91,104.9,107.0,111.5,104.9,5
2004-01-27,DONNYBROOK,ulp_91,104.9,107.0,111.5,104.9,5
2004-01-28,DONNYBROOK,ulp_91,104.9,107.0,111.5,104.9,5
2004-01-29,DONNYBROOK,ulp_91,104.9,107.0,111.5,104.9,5
2004-01-30,DONNYBROOK,ulp_91,104.9,106.4,110.5,104.9,5
2004-01-31,DONNYBROOK,ulp_91,104.9,106.4,110.5,104.9,5
2004-02-01,DONNYBROOK,ulp_91,104.9,106.4,110.5,104.9,5
2004-02-02,DONNYBROOK,ulp_91,104.9,106.4,110.5,104.9,5
2004-02-03,DONNYBROOK,ulp_91,103.9,106.2,110.5,103.9,5
2004-02-04,DONNYBROOK,ulp_91,103.9,105.8,110.5,103.9,5
2004-02-05,DONNYBROOK,ulp_91,101.9,105.2,110.5,101.9,5
2004-02-06,DONNYBROOK,ulp_91,101.9,105.2,110.5,101.9,5
2004-02-07,DONNYBROOK,ulp_91,101.9,104.6,108.5,101.9,5
2004-02-08,DONNYBROOK,ulp_91,101.0,103.8,108.5,101.0,5
2004-02-09,DONNYBROOK,ulp_91,101.0,103.8,108.5,101.0,5
2004-02-10,DONNYBROOK,ulp_91,101.0,103.4,108.5,101.0,5
2004-02-11,DONNYBROOK,ulp_91,101.0,103.4,108.5,101.0,5
2004-02-12,DONNYBROOK,ulp_91,99.9,103.0,108.5,99.9,5
2004-02-13,DONNYBROOK,ulp_91,99.9,103.0,108.5,99.9,5
2004-02-14,DONNYBROOK,ulp_91,99.9,102.0,106.5,99.9,5
2004-02-15,DONNYBROOK,ulp_91,99.9,102.0,106.5,99.9,5
2004-02-16,DONNYBROOK,ulp_91,99.9,102.0,106.5,99.9,5
2004-02-17,DONNYBROOK,ulp_91,97.9,101.0,106.5,97.9,5
2004-02-18,DONNYBROOK,ulp_91,97.9,101.0,106.5,97.9,5
2004-02-19,DONNYBROOK,ulp_91,97.9,101.0,106.5,97.9,5
2004-02-20,DONNYBROOK,ulp_91,97.9,101.0,106.5,97.9,5
2004-02-21,DONNYBROOK,ulp_91,97.9,101.0,106.5,97.9,5
2004-02-22,DONNYBROOK,ulp_91,97.9,101.0,106.5,97.9,5
2004-02-23,DONNYBROOK,ulp_91,97.9,101.0,106.5,97.9,5
2004-02-24,DONNYBROOK,ulp_91,97.9,101.0,106.5,97.9,5
2004-02-25,DONNYBROOK,ulp_91,98.9,101.2,106.5,98.9,5
2004-02-26,DONNYBROOK,ulp_91,98.9,101.2,106.5,98.9,5
2004-02-27,DONNYBROOK,ulp_91,98.9,101.2,106.5,98.9,5
2004-02-28,DONNYBROOK,ulp_91,98.9,102.0,108.5,98.9,5
2004-02-29,DONNYBROOK,ulp_91,99.9,102.4,108.5,99.9,5
2005-01-01,DONNYBROOK,ulp_91,104.9,106.8,111.9,104.9,5
