date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,DWELLINGUP,ulp_91,96.0,96.0,96.0,96.0,1
2002-01-02,DWELLINGUP,ulp_91,96.0,96.0,96.0,96.0,1
2002-01-03,DWELLINGUP,ulp_91,96.0,96.0,96.0,96.0,1
2002-01-04,DWELLINGUP,ulp_91,96.0,96.0,96.0,96.0,1
2002-01-05,DWELLINGUP,ulp_91,96.0,96.0,96.0,96.0,1
2002-01-06,DWELLINGUP,ulp_91,96.0,96.0,96.0,96.0,1
2002-01-07,DWELLINGUP,ulp_91,96.0,96.0,96.0,96.0,1
2002-01-08,DWELLINGUP,ulp_91,96.0,96.0,96.0,96.0,1
2002-01-09,DWELLINGUP,ulp_91,96.0,96.0,96.0,96.0,1
2002-01-10,DWELLINGUP,ulp_91,96.0,96.0,96.0,96.0,1
2002-01-11,DWELLINGUP,ulp_91,96.0,96.0,96.0,96.0,1
2002-01-12,DWELLINGUP,ulp_91,96.0,96.0,96.0,96.0,1
2002-01-13,DWELLINGUP,ulp_91,96.0,96.0,96.0,96.0,1
2002-01-14,DWELLINGUP,ulp_91,96.0,96.0,96.0,96.0,1
2002-01-15,DWELLINGUP,ulp_91,96.0,96.0,96.0,96.0,1
2002-01-16,DWELLINGUP,ulp_91,96.0,96.0,96.0,96.0,1
2002-01-17,DWELLINGUP,ulp_91,96.0,96.0,96.0,96.0,1
2002-01-18,DWELLINGUP,ulp_91,96.0,96.0,96.0,96.0,1
2002-01-19,DWELLINGUP,ulp_91,96.0,96.0,96.0,96.0,1
2002-01-20,DWELLINGUP,ulp_91,96.0,96.0,96.0,96.0,1
2002-01-21,DWELLINGUP,ulp_91,96.0,96.0,96.0,96.0,1
2002-01-22,DWELLINGUP,ulp_91,96.0,96.0,96.0,96.0,1
2002-01-23,DWELLINGUP,ulp_91,96.0,96.0,96.0,96.0,1
2002-01-24,DWELLINGUP,ulp_91,96.0,96.0,96.0,96.0,1
2002-01-25,DWELLINGUP,ulp_91,96.0,96.0,96.0,96.0,1
2002-01-26,DWELLINGUP,ulp_91,96.0,96.0,96.0,96.0,1
2002-01-27,DWELLINGUP,ulp_91,96.0,96.0,96.0,96.0,1
2002-01-28,DWELLINGUP,ulp_91,96.0,96.0,96.0,96.0,1
2002-01-29,DWELLINGUP,ulp_91,96.0,96.0,96.0,96.0,1
2002-01-30,DWELLINGUP,ulp_91,96.0,96.0,96.0,96.0,1
2002-01-31,DWELLINGUP,ulp_91,96.0,96.0,96.0,96.0,1
2002-02-01,DWELLINGUP,ulp_91,96.0,96.0,96.0,96.0,1
2002-02-02,DWELLINGUP,ulp_91,96.0,96.0,96.0,96.0,1
2002-02-03,DWELLINGUP,ulp_91,96.0,96.0,96.0,96.0,1
2002-02-04,DWELLINGUP,ulp_91,96.0,96.0,96.0,96.0,1
2002-02-05,DWELLINGUP,ulp_91,96.0,96.0,96.0,96.0,1
2002-02-06,DWELLINGUP,ulp_91,96.0,96.0,96.0,96.0,1
2002-02-07,DWELLINGUP,ulp_91,96.0,96.0,96.0,96.0,1
2002-02-08,DWELLINGUP,ulp_91,96.0,96.0,96.0,96.0,1
2002-02-09,DWELLINGUP,ulp_91,96.0,96.0,96.0,96.0,1
2002-02-10,DWELLINGUP,ulp_91,96.0,96.0,96.0,96.0,1
2002-02-11,DWELLINGUP,ulp_91,96.0,96.0,96.0,96.0,1
2002-02-12,DWELLINGUP,ulp_91,96.0,96.0,96.0,96.0,1
2002-02-13,DWELLINGUP,ulp_91,96.0,96.0,96.0,96.0,1
2002-02-14,DWELLINGUP,ulp_91,96.0,96.0,96.0,96.0,1
2002-02-15,DWELLINGUP,ulp_91,96.0,96.0,96.0,96.0,1
2002-02-16,DWELLINGUP,ulp_91,96.0,96.0,96.0,96.0,1
2002-02-17,DWELLINGUP,ulp_91,96.0,96.0,96.0,96.0,1
2002-02-18,DWELLINGUP,ulp_91,96.0,96.0,96.0,96.0,1
2002-02-19,DWELLINGUP,ulp_91,96.0,96.0,96.0,96.0,1
2002-02-20,DWELLINGUP,ulp_91,96.0,96.0,96.0,96.0,1
2002-02-21,DWELLINGUP,ulp_91,96.0,96.0,96.0,96.0,1
2002-02-22,DWELLINGUP,ulp_91,96.0,96.0,96.0,96.0,1
2002-02-23,DWELLINGUP,ulp_91,96.0,96.0,96.0,96.0,1
2002-02-24,DWELLINGUP,ulp_91,96.0,96.0,96.0,96.0,1
2002-02-25,DWELLINGUP,ulp_91,96.0,96.0,96.0,96.0,1
2002-02-26,DWELLINGUP,ulp_91,96.0,96.0,96.0,96.0,1
2002-02-27,DWELLINGUP,ulp_91,96.0,96.0,96.0,96.0,1
2002-02-28,DWELLINGUP,ulp_91,96.0,96.0,96.0,96.0,1
2003-01-01,DWELLINGUP,ulp_91,100.6,100.6,100.6,100.6,1
2003-01-02,DWELLINGUP,ulp_91,100.6,100.6,100.6,100.6,1
2003-01-03,DWELLINGUP,ulp_91,100.6,100.6,100.6,100.6,1
2003-01-04,DWELLINGUP,ulp_91,100.6,100.6,100.6,100.6,1
2003-01-05,DWELLINGUP,ulp_91,100.6,100.6,100.6,100.6,1
2003-01-06,DWELLINGUP,ulp_91,100.6,100.6,100.6,100.6,1
2003-01-07,DWELLINGUP,ulp_91,100.6,100.6,100.6,100.6,1
2003-01-08,DWELLINGUP,ulp_91,100.6,100.6,100.6,100.6,1
2003-01-09,DWELLINGUP,ulp_91,100.6,100.6,100.6,100.6,1
2003-01-10,DWELLINGUP,ulp_91,100.6,100.6,100.6,100.6,1
2003-01-11,DWELLINGUP,ulp_91,100.6,100.6,100.6,100.6,1
2003-01-12,DWELLINGUP,ulp_91,100.6,100.6,100.6,100.6,1
2003-01-13,DWELLINGUP,ulp_91,100.6,100.6,100.6,100.6,1
2003-01-14,DWELLINGUP,ulp_91,100.6,100.6,100.6,100.6,1
2003-01-15,DWELLINGUP,ulp_91,100.6,100.6,100.6,100.6,1
2003-01-16,DWELLINGUP,ulp_91,100.6,100.6,100.6,100.6,1
2003-01-17,DWELLINGUP,ulp_91,100.6,100.6,100.6,100.6,1
2003-01-18,DWELLINGUP,ulp_91,100.6,100.6,100.6,100.6,1
2003-01-19,DWELLINGUP,ulp_91,100.6,100.6,100.6,100.6,1
2003-01-20,DWELLINGUP,ulp_91,100.6,100.6,100.6,100.6,1
2003-01-21,DWELLINGUP,ulp_91,100.6,100.6,100.6,100.6,1
2003-01-22,DWELLINGUP,ulp_91,100.6,100.6,100.6,100.6,1
2003-01-23,DWELLINGUP,ulp_91,100.6,100.6,100.6,100.6,1
2003-01-24,DWELLINGUP,ulp_91,100.6,100.6,100.6,100.6,1
2003-01-25,DWELLINGUP,ulp_91,100.6,100.6,100.6,100.6,1
2003-01-26,DWELLINGUP,ulp_91,100.6,100.6,100.6,100.6,1
2003-01-27,DWELLINGUP,ulp_91,100.6,100.6,100.6,100.6,1
2003-01-28,DWELLINGUP,ulp_91,100.6,100.6,100.6,100.6,1
2003-01-29,DWELLINGUP,ulp_91,100.6,100.6,100.6,100.6,1
2003-01-30,DWELLINGUP,ulp_91,100.6,100.6,100.6,100.6,1
2003-01-31,DWELLINGUP,ulp_91,100.6,100.6,100.6,100.6,1
2003-02-01,DWELLINGUP,ulp_91,100.6,100.6,100.6,100.6,1
2003-02-02,DWELLINGUP,ulp_91,100.6,100.6,100.6,100.6,1
