date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2016-02-04,EAST ROCKINGHAM,premium_95,127.9,127.9,127.9,127.9,1
2016-02-05,EAST ROCKINGHAM,premium_95,122.9,122.9,122.9,122.9,1
2016-02-06,EAST ROCKINGHAM,premium_95,118.9,118.9,118.9,118.9,1
2016-02-07,EAST ROCKINGHAM,premium_95,114.9,114.9,114.9,114.9,1
2016-02-08,EAST ROCKINGHAM,premium_95,110.9,110.9,110.9,110.9,1
2016-02-09,EAST ROCKINGHAM,premium_95,110.9,110.9,110.9,110.9,1
2016-02-10,EAST ROCKINGHAM,premium_95,109.9,109.9,109.9,109.9,1
2016-02-11,EAST ROCKINGHAM,premium_95,109.9,109.9,109.9,109.9,1
2016-02-12,EAST ROCKINGHAM,premium_95,109.5,109.5,109.5,109.5,1
2016-02-13,EAST ROCKINGHAM,premium_95,109.5,109.5,109.5,109.5,1
2016-02-14,EAST ROCKINGHAM,premium_95,109.5,109.5,109.5,109.5,1
2016-02-15,EAST ROCKINGHAM,premium_95,108.9,108.9,108.9,108.9,1
2016-02-16,EAST ROCKINGHAM,premium_95,106.9,106.9,106.9,106.9,1
2016-02-17,EAST ROCKINGHAM,premium_95,106.9,106.9,106.9,106.9,1
2016-02-18,EAST ROCKINGHAM,premium_95,106.9,106.9,106.9,106.9,1
2016-02-19,EAST ROCKINGHAM,premium_95,106.7,106.7,106.7,106.7,1
2016-02-20,EAST ROCKINGHAM,premium_95,106.7,106.7,106.7,106.7,1
2016-02-21,EAST ROCKINGHAM,premium_95,106.7,106.7,106.7,106.7,1
2016-02-22,EAST ROCKINGHAM,premium_95,106.7,106.7,106.7,106.7,1
2016-02-23,EAST ROCKINGHAM,premium_95,128.9,128.9,128.9,128.9,1
2016-02-24,EAST ROCKINGHAM,premium_95,122.9,122.9,122.9,122.9,1
2016-02-25,EAST ROCKINGHAM,premium_95,120.9,120.9,120.9,120.9,1
2016-02-26,EAST ROCKINGHAM,premium_95,114.9,114.9,114.9,114.9,1
2016-02-27,EAST ROCKINGHAM,premium_95,110.9,110.9,110.9,110.9,1
2016-02-28,EAST ROCKINGHAM,premium_95,106.9,106.9,106.9,106.9,1
2016-02-29,EAST ROCKINGHAM,premium_95,104.9,104.9,104.9,104.9,1
2017-01-01,EAST ROCKINGHAM,premium_95,136.9,136.9,136.9,136.9,1
2017-01-02,EAST ROCKINGHAM,premium_95,133.9,133.9,133.9,133.9,1
2017-01-03,EAST ROCKINGHAM,premium_95,147.9,147.9,147.9,147.9,1
2017-01-04,EAST ROCKINGHAM,premium_95,145.9,145.9,145.9,145.9,1
2017-01-05,EAST ROCKINGHAM,premium_95,143.7,143.7,143.7,143.7,1
2017-01-06,EAST ROCKINGHAM,premium_95,140.9,140.9,140.9,140.9,1
2017-01-07,EAST ROCKINGHAM,premium_95,138.9,138.9,138.9,138.9,1
2017-01-08,EAST ROCKINGHAM,premium_95,136.9,136.9,136.9,136.9,1
2017-01-09,EAST ROCKINGHAM,premium_95,134.9,134.9,134.9,134.9,1
2017-01-10,EAST ROCKINGHAM,premium_95,152.9,152.9,152.9,152.9,1
2017-01-11,EAST ROCKINGHAM,premium_95,133.7,133.7,133.7,133.7,1
2017-01-12,EAST ROCKINGHAM,premium_95,133.7,133.7,133.7,133.7,1
2017-01-13,EAST ROCKINGHAM,premium_95,133.7,133.7,133.7,133.7,1
2017-01-14,EAST ROCKINGHAM,premium_95,131.5,131.5,131.5,131.5,1
2017-01-15,EAST ROCKINGHAM,premium_95,129.9,129.9,129.9,129.9,1
2017-01-16,EAST ROCKINGHAM,premium_95,128.9,128.9,128.9,128.9,1
2017-01-17,EAST ROCKINGHAM,premium_95,150.9,150.9,150.9,150.9,1
2017-01-18,EAST ROCKINGHAM,premium_95,129.3,129.3,129.3,129.3,1
2017-01-19,EAST ROCKINGHAM,premium_95,129.3,129.3,129.3,129.3,1
2017-01-20,EAST ROCKINGHAM,premium_95,129.3,129.3,129.3,129.3,1
2017-01-21,EAST ROCKINGHAM,premium_95,129.3,129.3,129.3,129.3,1
2017-01-22,EAST ROCKINGHAM,premium_95,129.3,129.3,129.3,129.3,1
2017-01-23,EAST ROCKINGHAM,premium_95,128.9,128.9,128.9,128.9,1
2017-01-24,EAST ROCKINGHAM,premium_95,128.9,128.9,128.9,128.9,1
2017-01-25,EAST ROCKINGHAM,premium_95,148.7,148.7,148.7,148.7,1
2017-01-26,EAST ROCKINGHAM,premium_95,146.5,146.5,146.5,146.5,1
2017-01-27,EAST ROCKINGHAM,premium_95,144.5,144.5,144.5,144.5,1
2017-01-28,EAST ROCKINGHAM,premium_95,141.7,141.7,141.7,141.7,1
2017-01-29,EAST ROCKINGHAM,premium_95,139.7,139.7,139.7,139.7,1
2017-01-30,EAST ROCKINGHAM,premium_95,137.7,137.7,137.7,137.7,1
2017-01-31,EAST ROCKINGHAM,premium_95,137.5,137.5,137.5,137.5,1
2017-02-01,EAST ROCKINGHAM,premium_95,148.7,148.7,148.7,148.7,1
2017-02-02,EAST ROCKINGHAM,premium_95,145.9,145.9,145.9,145.9,1
2017-02-03,EAST ROCKINGHAM,premium_95,143.9,143.9,143.9,143.9,1
2017-02-04,EAST ROCKINGHAM,premium_95,140.9,140.9,140.9,140.9,1
2017-02-05,EAST ROCKINGHAM,premium_95,137.9,137.9,137.9,137.9,1
2017-02-06,EAST ROCKINGHAM,premium_95,135.9,135.9,135.9,135.9,1
2017-02-07,EAST ROCKINGHAM,premium_95,134.7,134.7,134.7,134.7,1
2017-02-08,EAST ROCKINGHAM,premium_95,134.7,134.7,134.7,134.7,1
2017-02-09,EAST ROCKINGHAM,premium_95,146.5,146.5,146.5,146.5,1
2017-02-10,EAST ROCKINGHAM,premium_95,144.5,144.5,144.5,144.5,1
2017-02-11,EAST ROCKINGHAM,premium_95,140.9,140.9,140.9,140.9,1
2017-02-12,EAST ROCKINGHAM,premium_95,138.9,138.9,138.9,138.9,1
2017-02-13,EAST ROCKINGHAM,premium_95,136.9,136.9,136.9,136.9,1
2017-02-14,EAST ROCKINGHAM,premium_95,135.7,135.7,135.7,135.7,1
2017-02-15,EAST ROCKINGHAM,premium_95,148.7,148.7,148.7,148.7,1
2017-02-16,EAST ROCKINGHAM,premium_95,146.7,146.7,146.7,146.7,1
2017-02-17,EAST ROCKINGHAM,premium_95,144.5,144.5,144.5,144.5,1
2017-02-18,EAST ROCKINGHAM,premium_95,140.9,140.9,140.9,140.9,1
2017-02-19,EAST ROCKINGHAM,premium_95,138.9,138.9,138.9,138.9,1
2017-02-20,EAST ROCKINGHAM,premium_95,136.9,136.9,136.9,136.9,1
2017-02-21,EAST ROCKINGHAM,premium_95,150.9,150.9,150.9,150.9,1
2017-02-22,EAST ROCKINGHAM,premium_95,148.5,148.5,148.5,148.5,1
2017-02-23,EAST ROCKINGHAM,premium_95,146.5,146.5,146.5,146.5,1
2017-02-24,EAST ROCKINGHAM,premium_95,144.5,144.5,144.5,144.5,1
2017-02-25,EAST ROCKINGHAM,premium_95,140.9,140.9,140.9,140.9,1
2017-02-26,EAST ROCKINGHAM,premium_95,138.9,138.9,138.9,138.9,1
2017-02-27,EAST ROCKINGHAM,premium_95,134.9,134.9,134.9,134.9,1
2017-02-28,EAST ROCKINGHAM,premium_95,150.7,150.7,150.7,150.7,1
2018-01-01,EAST ROCKINGHAM,premium_95,136.9,136.9,136.9,136.9,1
2018-01-02,EAST ROCKINGHAM,premium_95,161.7,161.7,161.7,161.7,1
2018-01-03,EAST ROCKINGHAM,premium_95,156.9,156.9,156.9,156.9,1
2018-01-04,EAST ROCKINGHAM,premium_95,152.9,152.9,152.9,152.9,1
2018-01-05,EAST ROCKINGHAM,premium_95,148.7,148.7,148.7,148.7,1
2018-01-06,EAST ROCKINGHAM,premium_95,144.7,144.7,144.7,144.7,1
2018-01-07,EAST ROCKINGHAM,premium_95,140.7,140.7,140.7,140.7,1
2018-01-08,EAST ROCKINGHAM,premium_95,137.9,137.9,137.9,137.9,1
2018-01-09,EAST ROCKINGHAM,premium_95,161.9,161.9,161.9,161.9,1
2018-01-10,EAST ROCKINGHAM,premium_95,158.9,158.9,158.9,158.9,1
2018-01-11,EAST ROCKINGHAM,premium_95,154.7,154.7,154.7,154.7,1
2018-01-12,EAST ROCKINGHAM,premium_95,149.5,149.5,149.5,149.5,1
2018-01-13,EAST ROCKINGHAM,premium_95,145.7,145.7,145.7,145.7,1
2018-01-14,EAST ROCKINGHAM,premium_95,140.9,140.9,140.9,140.9,1
2018-01-15,EAST ROCKINGHAM,premium_95,135.7,135.7,135.7,135.7,1
2018-01-16,EAST ROCKINGHAM,premium_95,161.9,161.9,161.9,161.9,1
2018-01-17,EAST ROCKINGHAM,premium_95,158.9,158.9,158.9,158.9,1
2018-01-18,EAST ROCKINGHAM,premium_95,153.7,153.7,153.7,153.7,1
2018-01-19,EAST ROCKINGHAM,premium_95,149.7,149.7,149.7,149.7,1
2018-01-20,EAST ROCKINGHAM,premium_95,144.7,144.7,144.7,144.7,1
2018-01-21,EAST ROCKINGHAM,premium_95,140.9,140.9,140.9,140.9,1
2018-01-22,EAST ROCKINGHAM,premium_95,136.7,136.7,136.7,136.7,1
2018-01-23,EAST ROCKINGHAM,premium_95,161.9,161.9,161.9,161.9,1
2018-01-24,EAST ROCKINGHAM,premium_95,158.9,158.9,158.9,158.9,1
2018-01-25,EAST ROCKINGHAM,premium_95,152.7,152.7,152.7,152.7,1
2018-01-26,EAST ROCKINGHAM,premium_95,147.7,147.7,147.7,147.7,1
2018-01-27,EAST ROCKINGHAM,premium_95,144.9,144.9,144.9,144.9,1
2018-01-28,EAST ROCKINGHAM,premium_95,139.7,139.7,139.7,139.7,1
2018-01-29,EAST ROCKINGHAM,premium_95,136.9,136.9,136.9,136.9,1
2018-01-30,EAST ROCKINGHAM,premium_95,161.7,161.7,161.7,161.7,1
2018-01-31,EAST ROCKINGHAM,premium_95,158.7,158.7,158.7,158.7,1
2018-02-01,EAST ROCKINGHAM,premium_95,152.7,152.7,152.7,152.7,1
2018-02-02,EAST ROCKINGHAM,premium_95,148.5,148.5,148.5,148.5,1
2018-02-03,EAST ROCKINGHAM,premium_95,143.7,143.7,143.7,143.7,1
2018-02-04,EAST ROCKINGHAM,premium_95,139.7,139.7,139.7,139.7,1
2018-02-05,EAST ROCKINGHAM,premium_95,135.7,135.7,135.7,135.7,1
2018-02-06,EAST ROCKINGHAM,premium_95,161.9,161.9,161.9,161.9,1
2018-02-07,EAST ROCKINGHAM,premium_95,156.7,156.7,156.7,156.7,1
2018-02-08,EAST ROCKINGHAM,premium_95,152.5,152.5,152.5,152.5,1
2018-02-09,EAST ROCKINGHAM,premium_95,147.5,147.5,147.5,147.5,1
2018-02-10,EAST ROCKINGHAM,premium_95,143.5,143.5,143.5,143.5,1
2018-02-11,EAST ROCKINGHAM,premium_95,139.7,139.7,139.7,139.7,1
2018-02-12,EAST ROCKINGHAM,premium_95,136.7,136.7,136.7,136.7,1
2018-02-13,EAST ROCKINGHAM,premium_95,161.9,161.9,161.9,161.9,1
2018-02-14,EAST ROCKINGHAM,premium_95,157.9,157.9,157.9,157.9,1
2018-02-15,EAST ROCKINGHAM,premium_95,152.7,152.7,152.7,152.7,1
2018-02-16,EAST ROCKINGHAM,premium_95,146.7,146.7,146.7,146.7,1
2018-02-17,EAST ROCKINGHAM,premium_95,143.5,143.5,143.5,143.5,1
2018-02-18,EAST ROCKINGHAM,premium_95,140.5,140.5,140.5,140.5,1
2018-02-19,EAST ROCKINGHAM,premium_95,136.7,136.7,136.7,136.7,1
2018-02-20,EAST ROCKINGHAM,premium_95,161.9,161.9,161.9,161.9,1
2018-02-21,EAST ROCKINGHAM,premium_95,156.7,156.7,156.7,156.7,1
2018-02-22,EAST ROCKINGHAM,premium_95,150.7,150.7,150.7,150.7,1
2018-02-23,EAST ROCKINGHAM,premium_95,145.7,145.7,145.7,145.7,1
2018-02-24,EAST ROCKINGHAM,premium_95,140.7,140.7,140.7,140.7,1
2018-02-25,EAST ROCKINGHAM,premium_95,140.7,140.7,140.7,140.7,1
2018-02-26,EAST ROCKINGHAM,premium_95,136.7,136.7,136.7,136.7,1
2018-02-27,EAST ROCKINGHAM,premium_95,161.9,161.9,161.9,161.9,1
2018-02-28,EAST ROCKINGHAM,premium_95,155.9,155.9,155.9,155.9,1
2019-01-01,EAST ROCKINGHAM,premium_95,151.9,151.9,151.9,151.9,1
2019-01-02,EAST ROCKINGHAM,premium_95,149.3,149.3,149.3,149.3,1
2019-01-03,EAST ROCKINGHAM,premium_95,146.5,146.5,146.5,146.5,1
2019-01-04,EAST ROCKINGHAM,premium_95,143.9,143.9,143.9,143.9,1
2019-01-05,EAST ROCKINGHAM,premium_95,127.7,127.7,127.7,127.7,1
2019-01-06,EAST ROCKINGHAM,premium_95,127.5,127.5,127.5,127.5,1
2019-01-07,EAST ROCKINGHAM,premium_95,124.9,124.9,124.9,124.9,1
2019-01-08,EAST ROCKINGHAM,premium_95,151.9,151.9,151.9,151.9,1
2019-01-09,EAST ROCKINGHAM,premium_95,146.7,146.7,146.7,146.7,1
2019-01-10,EAST ROCKINGHAM,premium_95,140.9,140.9,140.9,140.9,1
2019-01-11,EAST ROCKINGHAM,premium_95,136.9,136.9,136.9,136.9,1
2019-01-12,EAST ROCKINGHAM,premium_95,128.5,128.5,128.5,128.5,1
2019-01-13,EAST ROCKINGHAM,premium_95,126.3,126.3,126.3,126.3,1
2019-01-14,EAST ROCKINGHAM,premium_95,123.3,123.3,123.3,123.3,1
2019-01-15,EAST ROCKINGHAM,premium_95,154.9,154.9,154.9,154.9,1
2019-01-16,EAST ROCKINGHAM,premium_95,148.9,148.9,148.9,148.9,1
2019-01-17,EAST ROCKINGHAM,premium_95,145.7,145.7,145.7,145.7,1
2019-01-18,EAST ROCKINGHAM,premium_95,141.9,141.9,141.9,141.9,1
2019-01-19,EAST ROCKINGHAM,premium_95,137.5,137.5,137.5,137.5,1
2019-01-20,EAST ROCKINGHAM,premium_95,133.3,133.3,133.3,133.3,1
2019-01-21,EAST ROCKINGHAM,premium_95,126.9,126.9,126.9,126.9,1
2019-01-22,EAST ROCKINGHAM,premium_95,154.9,154.9,154.9,154.9,1
