date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2016-02-04,EAST ROCKINGHAM,ulp_91,116.9,116.9,116.9,116.9,1
2016-02-05,EAST ROCKINGHAM,ulp_91,111.9,111.9,111.9,111.9,1
2016-02-06,EAST ROCKINGHAM,ulp_91,107.9,107.9,107.9,107.9,1
2016-02-07,EAST ROCKINGHAM,ulp_91,103.9,103.9,103.9,103.9,1
2016-02-08,EAST ROCKINGHAM,ulp_91,99.9,99.9,99.9,99.9,1
2016-02-09,EAST ROCKINGHAM,ulp_91,99.9,99.9,99.9,99.9,1
2016-02-10,EAST ROCKINGHAM,ulp_91,98.9,98.9,98.9,98.9,1
2016-02-11,EAST ROCKINGHAM,ulp_91,98.9,98.9,98.9,98.9,1
2016-02-12,EAST ROCKINGHAM,ulp_91,98.5,98.5,98.5,98.5,1
2016-02-13,EAST ROCKINGHAM,ulp_91,98.5,98.5,98.5,98.5,1
2016-02-14,EAST ROCKINGHAM,ulp_91,98.5,98.5,98.5,98.5,1
2016-02-15,EAST ROCKINGHAM,ulp_91,97.9,97.9,97.9,97.9,1
2016-02-16,EAST ROCKINGHAM,ulp_91,95.9,95.9,95.9,95.9,1
2016-02-17,EAST ROCKINGHAM,ulp_91,95.9,95.9,95.9,95.9,1
2016-02-18,EAST ROCKINGHAM,ulp_91,95.9,95.9,95.9,95.9,1
2016-02-19,EAST ROCKINGHAM,ulp_91,95.7,95.7,95.7,95.7,1
2016-02-20,EAST ROCKINGHAM,ulp_91,95.7,95.7,95.7,95.7,1
2016-02-21,EAST ROCKINGHAM,ulp_91,95.7,95.7,95.7,95.7,1
2016-02-22,EAST ROCKINGHAM,ulp_91,95.7,95.7,95.7,95.7,1
2016-02-23,EAST ROCKINGHAM,ulp_91,117.9,117.9,117.9,117.9,1
2016-02-24,EAST ROCKINGHAM,ulp_91,111.9,111.9,111.9,111.9,1
2016-02-25,EAST ROCKINGHAM,ulp_91,109.9,109.9,109.9,109.9,1
2016-02-26,EAST ROCKINGHAM,ulp_91,103.9,103.9,103.9,103.9,1
2016-02-27,EAST ROCKINGHAM,ulp_91,99.9,99.9,99.9,99.9,1
2016-02-28,EAST ROCKINGHAM,ulp_91,95.9,95.9,95.9,95.9,1
2016-02-29,EAST ROCKINGHAM,ulp_91,93.9,93.9,93.9,93.9,1
2017-01-01,EAST ROCKINGHAM,ulp_91,125.9,125.9,125.9,125.9,1
2017-01-02,EAST ROCKINGHAM,ulp_91,122.9,122.9,122.9,122.9,1
2017-01-03,EAST ROCKINGHAM,ulp_91,136.9,136.9,136.9,136.9,1
2017-01-04,EAST ROCKINGHAM,ulp_91,134.9,134.9,134.9,134.9,1
2017-01-05,EAST ROCKINGHAM,ulp_91,132.7,132.7,132.7,132.7,1
2017-01-06,EAST ROCKINGHAM,ulp_91,129.9,129.9,129.9,129.9,1
2017-01-07,EAST ROCKINGHAM,ulp_91,127.9,127.9,127.9,127.9,1
2017-01-08,EAST ROCKINGHAM,ulp_91,125.9,125.9,125.9,125.9,1
2017-01-09,EAST ROCKINGHAM,ulp_91,123.9,123.9,123.9,123.9,1
2017-01-10,EAST ROCKINGHAM,ulp_91,141.9,141.9,141.9,141.9,1
2017-01-11,EAST ROCKINGHAM,ulp_91,122.7,122.7,122.7,122.7,1
2017-01-12,EAST ROCKINGHAM,ulp_91,122.7,122.7,122.7,122.7,1
2017-01-13,EAST ROCKINGHAM,ulp_91,122.7,122.7,122.7,122.7,1
2017-01-14,EAST ROCKINGHAM,ulp_91,120.5,120.5,120.5,120.5,1
2017-01-15,EAST ROCKINGHAM,ulp_91,118.9,118.9,118.9,118.9,1
2017-01-16,EAST ROCKINGHAM,ulp_91,117.9,117.9,117.9,117.9,1
2017-01-17,EAST ROCKINGHAM,ulp_91,139.9,139.9,139.9,139.9,1
2017-01-18,EAST ROCKINGHAM,ulp_91,118.3,118.3,118.3,118.3,1
2017-01-19,EAST ROCKINGHAM,ulp_91,118.3,118.3,118.3,118.3,1
2017-01-20,EAST ROCKINGHAM,ulp_91,118.3,118.3,118.3,118.3,1
2017-01-21,EAST ROCKINGHAM,ulp_91,118.3,118.3,118.3,118.3,1
2017-01-22,EAST ROCKINGHAM,ulp_91,118.3,118.3,118.3,118.3,1
2017-01-23,EAST ROCKINGHAM,ulp_91,117.9,117.9,117.9,117.9,1
2017-01-24,EAST ROCKINGHAM,ulp_91,117.9,117.9,117.9,117.9,1
2017-01-25,EAST ROCKINGHAM,ulp_91,137.7,137.7,137.7,137.7,1
2017-01-26,EAST ROCKINGHAM,ulp_91,135.5,135.5,135.5,135.5,1
2017-01-27,EAST ROCKINGHAM,ulp_91,133.5,133.5,133.5,133.5,1
2017-01-28,EAST ROCKINGHAM,ulp_91,130.7,130.7,130.7,130.7,1
