date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2008-01-01,EAST VICTORIA PARK,premium_98,142.4,142.4,142.4,142.4,1
2008-01-02,EAST VICTORIA PARK,premium_98,141.9,141.9,141.9,141.9,1
2008-01-03,EAST VICTORIA PARK,premium_98,141.7,141.7,141.7,141.7,1
2008-01-04,EAST VICTORIA PARK,premium_98,141.7,141.7,141.7,141.7,1
2008-01-05,EAST VICTORIA PARK,premium_98,154.3,154.3,154.3,154.3,1
2008-01-06,EAST VICTORIA PARK,premium_98,153.8,153.8,153.8,153.8,1
2008-01-07,EAST VICTORIA PARK,premium_98,152.4,152.4,152.4,152.4,1
2008-01-08,EAST VICTORIA PARK,premium_98,151.8,151.8,151.8,151.8,1
2008-01-09,EAST VICTORIA PARK,premium_98,150.8,150.8,150.8,150.8,1
2008-01-10,EAST VICTORIA PARK,premium_98,149.8,149.8,149.8,149.8,1
2008-01-11,EAST VICTORIA PARK,premium_98,148.4,148.4,148.4,148.4,1
2008-01-12,EAST VICTORIA PARK,premium_98,147.4,147.4,147.4,147.4,1
2008-01-13,EAST VICTORIA PARK,premium_98,146.4,146.4,146.4,146.4,1
2008-01-14,EAST VICTORIA PARK,premium_98,145.8,145.8,145.8,145.8,1
2008-01-15,EAST VICTORIA PARK,premium_98,144.5,144.5,144.5,144.5,1
2008-01-16,EAST VICTORIA PARK,premium_98,143.8,143.8,143.8,143.8,1
2008-01-17,EAST VICTORIA PARK,premium_98,142.8,142.8,142.8,142.8,1
2008-01-18,EAST VICTORIA PARK,premium_98,142.8,142.8,142.8,142.8,1
2008-01-19,EAST VICTORIA PARK,premium_98,153.5,153.5,153.5,153.5,1
2008-01-20,EAST VICTORIA PARK,premium_98,152.5,152.5,152.5,152.5,1
2008-01-21,EAST VICTORIA PARK,premium_98,151.3,151.3,151.3,151.3,1
2008-01-22,EAST VICTORIA PARK,premium_98,150.3,150.3,150.3,150.3,1
