date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,EDGEWATER,diesel,85.9,85.9,85.9,85.9,3
2002-01-02,EDGEWATER,diesel,85.9,85.9,85.9,85.9,3
2002-01-03,EDGEWATER,diesel,85.9,85.9,85.9,85.9,3
2002-01-04,EDGEWATER,diesel,85.5,85.8,85.9,85.5,3
2002-01-05,EDGEWATER,diesel,85.5,85.8,85.9,85.5,3
2002-01-06,EDGEWATER,diesel,85.5,85.8,85.9,85.5,3
2002-01-07,EDGEWATER,diesel,85.5,85.8,85.9,85.5,3
2002-01-08,EDGEWATER,diesel,85.5,85.8,85.9,85.5,3
2002-01-09,EDGEWATER,diesel,85.5,85.8,85.9,85.5,3
2002-01-10,EDGEWATER,diesel,85.5,85.8,85.9,85.5,3
2002-01-11,EDGEWATER,diesel,85.5,85.8,85.9,85.5,3
2002-01-12,EDGEWATER,diesel,85.5,85.8,85.9,85.5,3
2002-01-13,EDGEWATER,diesel,85.5,85.8,85.9,85.5,3
2002-01-14,EDGEWATER,diesel,85.5,85.8,85.9,85.5,3
2002-01-15,EDGEWATER,diesel,85.5,85.8,85.9,85.5,3
2002-01-16,EDGEWATER,diesel,84.9,85.1,85.5,84.9,3
2002-01-17,EDGEWATER,diesel,84.5,84.8,84.9,84.5,3
2002-01-18,EDGEWATER,diesel,84.5,84.8,84.9,84.5,3
2002-01-19,EDGEWATER,diesel,84.5,84.8,84.9,84.5,3
2002-01-20,EDGEWATER,diesel,84.5,84.8,84.9,84.5,3
2002-01-21,EDGEWATER,diesel,84.5,84.8,84.9,84.5,3
2002-01-22,EDGEWATER,diesel,84.5,84.8,84.9,84.5,3
2002-01-23,EDGEWATER,diesel,84.5,84.8,84.9,84.5,3
2002-01-24,EDGEWATER,diesel,84.5,84.8,84.9,84.5,3
2002-01-25,EDGEWATER,diesel,84.5,84.8,84.9,84.5,3
2002-01-26,EDGEWATER,diesel,84.5,84.8,84.9,84.5,3
2002-01-27,EDGEWATER,diesel,84.5,84.8,84.9,84.5,3
2002-01-28,EDGEWATER,diesel,84.5,84.8,84.9,84.5,3
2002-01-29,EDGEWATER,diesel,84.5,84.8,84.9,84.5,3
2002-01-30,EDGEWATER,diesel,84.5,84.8,84.9,84.5,3
2002-01-31,EDGEWATER,diesel,84.5,84.8,84.9,84.5,3
2002-02-01,EDGEWATER,diesel,84.5,84.8,84.9,84.5,3
2002-02-02,EDGEWATER,diesel,84.5,84.8,84.9,84.5,3
2002-02-03,EDGEWATER,diesel,84.5,84.8,84.9,84.5,3
2002-02-04,EDGEWATER,diesel,84.5,84.8,84.9,84.5,3
2002-02-05,EDGEWATER,diesel,83.9,84.1,84.5,83.9,3
2002-02-06,EDGEWATER,diesel,82.9,83.1,83.5,82.9,3
2002-02-07,EDGEWATER,diesel,82.9,83.1,83.5,82.9,3
