date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,EDGEWATER,ulp_91,82.9,84.4,85.9,82.9,6
2002-01-02,EDGEWATER,ulp_91,81.7,83.6,85.9,81.7,6
2002-01-03,EDGEWATER,ulp_91,80.8,82.7,84.9,80.8,6
2002-01-04,EDGEWATER,ulp_91,78.9,81.1,83.9,78.9,6
2002-01-05,EDGEWATER,ulp_91,77.9,80.1,82.9,77.9,6
2002-01-06,EDGEWATER,ulp_91,77.7,79.9,82.9,77.7,6
2002-01-07,EDGEWATER,ulp_91,77.7,79.6,81.9,77.7,6
2002-01-08,EDGEWATER,ulp_91,77.5,79.8,82.9,77.5,6
2002-01-09,EDGEWATER,ulp_91,79.9,86.1,89.9,79.9,6
2002-01-10,EDGEWATER,ulp_91,82.9,86.4,88.9,82.9,6
2002-01-11,EDGEWATER,ulp_91,82.9,85.4,87.4,82.9,6
2002-01-12,EDGEWATER,ulp_91,83.4,84.9,86.5,83.4,6
2002-01-13,EDGEWATER,ulp_91,81.8,83.7,85.9,81.8,6
2002-01-14,EDGEWATER,ulp_91,80.4,82.4,84.9,80.4,6
2002-01-15,EDGEWATER,ulp_91,79.8,81.7,83.9,79.8,6
2002-01-16,EDGEWATER,ulp_91,78.5,80.8,83.9,78.5,6
2002-01-17,EDGEWATER,ulp_91,80.9,85.1,87.9,80.9,6
2002-01-18,EDGEWATER,ulp_91,82.9,84.4,85.9,82.9,6
2002-01-19,EDGEWATER,ulp_91,81.9,83.7,85.9,81.9,6
2002-01-20,EDGEWATER,ulp_91,80.8,82.7,84.9,80.8,6
2002-01-21,EDGEWATER,ulp_91,79.9,81.7,83.9,79.9,6
2002-01-22,EDGEWATER,ulp_91,78.9,80.7,82.9,78.9,6
2002-01-23,EDGEWATER,ulp_91,77.9,80.1,82.9,77.9,6
2002-01-24,EDGEWATER,ulp_91,76.5,78.8,81.9,76.5,6
2002-01-25,EDGEWATER,ulp_91,82.9,85.7,87.9,82.9,6
2002-01-26,EDGEWATER,ulp_91,82.9,84.4,85.9,82.9,6
2002-01-27,EDGEWATER,ulp_91,81.7,83.3,84.9,81.7,6
2002-01-28,EDGEWATER,ulp_91,80.3,82.3,84.9,80.3,6
2002-01-29,EDGEWATER,ulp_91,78.9,81.4,84.9,78.9,6
2002-01-30,EDGEWATER,ulp_91,77.9,80.1,82.9,77.9,6
2002-01-31,EDGEWATER,ulp_91,76.9,79.4,82.9,76.9,6
2002-02-01,EDGEWATER,ulp_91,79.9,82.5,84.5,79.9,6
2002-02-02,EDGEWATER,ulp_91,79.9,82.1,83.9,79.9,6
2002-02-03,EDGEWATER,ulp_91,79.5,81.1,82.9,79.5,6
2002-02-04,EDGEWATER,ulp_91,78.5,80.5,82.9,78.5,6
2002-02-05,EDGEWATER,ulp_91,78.2,80.3,82.9,78.2,6
2002-02-06,EDGEWATER,ulp_91,77.5,79.8,82.9,77.5,6
2002-02-07,EDGEWATER,ulp_91,77.2,79.6,82.9,77.2,6
2002-02-08,EDGEWATER,ulp_91,76.3,79.0,82.9,76.3,6
2002-02-09,EDGEWATER,ulp_91,76.3,79.0,82.9,76.3,6
2002-02-10,EDGEWATER,ulp_91,76.3,79.0,82.9,76.3,6
2002-02-11,EDGEWATER,ulp_91,76.3,79.0,82.9,76.3,6
2002-02-12,EDGEWATER,ulp_91,85.9,88.7,90.9,85.9,6
2002-02-13,EDGEWATER,ulp_91,85.7,87.3,88.9,85.7,6
2002-02-14,EDGEWATER,ulp_91,84.5,86.1,87.9,84.5,6
2002-02-15,EDGEWATER,ulp_91,82.9,84.7,86.9,82.9,6
2002-02-16,EDGEWATER,ulp_91,81.7,83.6,85.9,81.7,6
2002-02-17,EDGEWATER,ulp_91,80.9,83.1,85.9,80.9,6
2002-02-18,EDGEWATER,ulp_91,80.9,83.1,85.9,80.9,6
2002-02-19,EDGEWATER,ulp_91,80.9,83.1,85.9,80.9,6
2002-02-20,EDGEWATER,ulp_91,86.9,91.1,93.9,86.9,6
2002-02-21,EDGEWATER,ulp_91,86.9,89.1,90.9,86.9,6
2002-02-22,EDGEWATER,ulp_91,85.9,87.8,89.5,85.9,6
2002-02-23,EDGEWATER,ulp_91,84.9,86.6,88.5,84.9,6
2002-02-24,EDGEWATER,ulp_91,82.9,85.1,87.9,82.9,6
2002-02-25,EDGEWATER,ulp_91,81.5,84.1,87.9,81.5,6
2002-02-26,EDGEWATER,ulp_91,80.9,83.3,86.5,80.9,6
2002-02-27,EDGEWATER,ulp_91,79.9,82.6,86.5,79.9,6
2002-02-28,EDGEWATER,ulp_91,79.9,82.6,86.5,79.9,6
2003-01-01,EDGEWATER,ulp_91,93.9,96.4,99.5,93.9,6
2003-01-02,EDGEWATER,ulp_91,91.9,94.9,98.9,91.9,6
2003-01-03,EDGEWATER,ulp_91,90.9,93.2,95.9,90.9,6
