date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,ELLEKER,diesel,87.2,87.2,87.2,87.2,1
2002-01-02,ELLEKER,diesel,87.2,87.2,87.2,87.2,1
2002-01-03,ELLEKER,diesel,87.2,87.2,87.2,87.2,1
2002-01-04,ELLEKER,diesel,87.2,87.2,87.2,87.2,1
2002-01-05,ELLEKER,diesel,87.8,87.8,87.8,87.8,1
2002-01-06,ELLEKER,diesel,87.8,87.8,87.8,87.8,1
2002-01-07,ELLEKER,diesel,87.8,87.8,87.8,87.8,1
2002-01-08,ELLEKER,diesel,87.8,87.8,87.8,87.8,1
2002-01-09,ELLEKER,diesel,87.8,87.8,87.8,87.8,1
2002-01-10,ELLEKER,diesel,87.8,87.8,87.8,87.8,1
2002-01-11,ELLEKER,diesel,87.8,87.8,87.8,87.8,1
2002-01-12,ELLEKER,diesel,87.8,87.8,87.8,87.8,1
2002-01-13,ELLEKER,diesel,87.8,87.8,87.8,87.8,1
2002-01-14,ELLEKER,diesel,87.8,87.8,87.8,87.8,1
2002-01-15,ELLEKER,diesel,89.0,89.0,89.0,89.0,1
2002-01-16,ELLEKER,diesel,89.0,89.0,89.0,89.0,1
2002-01-17,ELLEKER,diesel,89.0,89.0,89.0,89.0,1
2002-01-18,ELLEKER,diesel,89.0,89.0,89.0,89.0,1
2002-01-19,ELLEKER,diesel,89.0,89.0,89.0,89.0,1
2002-01-20,ELLEKER,diesel,89.0,89.0,89.0,89.0,1
2002-01-21,ELLEKER,diesel,89.0,89.0,89.0,89.0,1
2002-01-22,ELLEKER,diesel,89.0,89.0,89.0,89.0,1
2002-01-23,ELLEKER,diesel,89.0,89.0,89.0,89.0,1
2002-01-24,ELLEKER,diesel,89.0,89.0,89.0,89.0,1
2002-01-25,ELLEKER,diesel,89.0,89.0,89.0,89.0,1
2002-01-26,ELLEKER,diesel,89.0,89.0,89.0,89.0,1
2002-01-27,ELLEKER,diesel,89.0,89.0,89.0,89.0,1
2002-01-28,ELLEKER,diesel,89.0,89.0,89.0,89.0,1
2002-01-29,ELLEKER,diesel,89.0,89.0,89.0,89.0,1
2002-01-30,ELLEKER,diesel,88.8,88.8,88.8,88.8,1
2002-01-31,ELLEKER,diesel,88.8,88.8,88.8,88.8,1
2002-02-01,ELLEKER,diesel,88.8,88.8,88.8,88.8,1
2002-02-02,ELLEKER,diesel,88.8,88.8,88.8,88.8,1
2002-02-03,ELLEKER,diesel,88.8,88.8,88.8,88.8,1
2002-02-04,ELLEKER,diesel,88.8,88.8,88.8,88.8,1
2002-02-05,ELLEKER,diesel,88.8,88.8,88.8,88.8,1
2002-02-06,ELLEKER,diesel,88.8,88.8,88.8,88.8,1
2002-02-07,ELLEKER,diesel,88.8,88.8,88.8,88.8,1
2002-02-08,ELLEKER,diesel,88.8,88.8,88.8,88.8,1
2002-02-09,ELLEKER,diesel,88.8,88.8,88.8,88.8,1
2002-02-10,ELLEKER,diesel,88.8,88.8,88.8,88.8,1
2002-02-11,ELLEKER,diesel,88.8,88.8,88.8,88.8,1
2002-02-12,ELLEKER,diesel,89.9,89.9,89.9,89.9,1
2002-02-13,ELLEKER,diesel,89.9,89.9,89.9,89.9,1
2002-02-14,ELLEKER,diesel,89.9,89.9,89.9,89.9,1
2002-02-15,ELLEKER,diesel,89.9,89.9,89.9,89.9,1
2002-02-16,ELLEKER,diesel,89.9,89.9,89.9,89.9,1
2002-02-17,ELLEKER,diesel,89.9,89.9,89.9,89.9,1
2002-02-18,ELLEKER,diesel,89.9,89.9,89.9,89.9,1
2002-02-19,ELLEKER,diesel,89.9,89.9,89.9,89.9,1
2002-02-20,ELLEKER,diesel,89.9,89.9,89.9,89.9,1
2002-02-21,ELLEKER,diesel,89.9,89.9,89.9,89.9,1
2002-02-22,ELLEKER,diesel,90.8,90.8,90.8,90.8,1
2002-02-23,ELLEKER,diesel,90.8,90.8,90.8,90.8,1
2002-02-24,ELLEKER,diesel,90.8,90.8,90.8,90.8,1
2002-02-25,ELLEKER,diesel,90.8,90.8,90.8,90.8,1
2002-02-26,ELLEKER,diesel,90.8,90.8,90.8,90.8,1
2002-02-27,ELLEKER,diesel,90.8,90.8,90.8,90.8,1
2002-02-28,ELLEKER,diesel,90.8,90.8,90.8,90.8,1
2003-01-01,ELLEKER,diesel,102.0,102.0,102.0,102.0,1
2003-01-02,ELLEKER,diesel,102.0,102.0,102.0,102.0,1
2003-01-03,ELLEKER,diesel,102.0,102.0,102.0,102.0,1
2003-01-04,ELLEKER,diesel,102.0,102.0,102.0,102.0,1
2003-01-05,ELLEKER,diesel,102.0,102.0,102.0,102.0,1
2003-01-06,ELLEKER,diesel,102.0,102.0,102.0,102.0,1
2003-01-07,ELLEKER,diesel,102.0,102.0,102.0,102.0,1
2003-01-08,ELLEKER,diesel,102.0,102.0,102.0,102.0,1
2003-01-09,ELLEKER,diesel,102.0,102.0,102.0,102.0,1
2003-01-10,ELLEKER,diesel,102.0,102.0,102.0,102.0,1
2003-01-11,ELLEKER,diesel,102.0,102.0,102.0,102.0,1
2003-01-12,ELLEKER,diesel,102.0,102.0,102.0,102.0,1
2003-01-13,ELLEKER,diesel,102.0,102.0,102.0,102.0,1
2003-01-14,ELLEKER,diesel,102.0,102.0,102.0,102.0,1
2003-01-15,ELLEKER,diesel,102.0,102.0,102.0,102.0,1
2003-01-16,ELLEKER,diesel,102.0,102.0,102.0,102.0,1
2003-01-17,ELLEKER,diesel,102.0,102.0,102.0,102.0,1
2003-01-18,ELLEKER,diesel,102.0,102.0,102.0,102.0,1
2003-01-19,ELLEKER,diesel,102.0,102.0,102.0,102.0,1
2003-01-20,ELLEKER,diesel,102.0,102.0,102.0,102.0,1
2003-01-21,ELLEKER,diesel,102.0,102.0,102.0,102.0,1
2003-01-22,ELLEKER,diesel,102.0,102.0,102.0,102.0,1
2003-01-23,ELLEKER,diesel,102.0,102.0,102.0,102.0,1
