date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2015-01-01,ELLENBROOK,lpg,79.9,79.9,79.9,79.9,1
2015-01-02,ELLENBROOK,lpg,79.9,79.9,79.9,79.9,1
2015-01-03,ELLENBROOK,lpg,79.9,79.9,79.9,79.9,1
2015-01-04,ELLENBROOK,lpg,79.9,79.9,79.9,79.9,1
2015-01-05,ELLENBROOK,lpg,79.9,79.9,79.9,79.9,1
2015-01-06,ELLENBROOK,lpg,79.9,79.9,79.9,79.9,1
2015-01-07,ELLENBROOK,lpg,79.9,79.9,79.9,79.9,1
2015-01-08,ELLENBROOK,lpg,79.9,79.9,79.9,79.9,1
2015-01-09,ELLENBROOK,lpg,79.9,79.9,79.9,79.9,1
2015-01-10,ELLENBROOK,lpg,79.9,79.9,79.9,79.9,1
2015-01-11,ELLENBROOK,lpg,79.9,79.9,79.9,79.9,1
2015-01-12,ELLENBROOK,lpg,79.9,79.9,79.9,79.9,1
2015-01-13,ELLENBROOK,lpg,79.9,79.9,79.9,79.9,1
2015-01-14,ELLENBROOK,lpg,77.9,77.9,77.9,77.9,1
2015-01-15,ELLENBROOK,lpg,77.7,77.7,77.7,77.7,1
2015-01-16,ELLENBROOK,lpg,76.9,76.9,76.9,76.9,1
2015-01-17,ELLENBROOK,lpg,76.9,76.9,76.9,76.9,1
2015-01-18,ELLENBROOK,lpg,76.9,76.9,76.9,76.9,1
2015-01-19,ELLENBROOK,lpg,76.9,76.9,76.9,76.9,1
2015-01-20,ELLENBROOK,lpg,76.9,76.9,76.9,76.9,1
2015-01-21,ELLENBROOK,lpg,76.9,76.9,76.9,76.9,1
2015-01-22,ELLENBROOK,lpg,76.9,76.9,76.9,76.9,1
2015-01-23,ELLENBROOK,lpg,76.9,76.9,76.9,76.9,1
2015-01-24,ELLENBROOK,lpg,76.9,76.9,76.9,76.9,1
2015-01-25,ELLENBROOK,lpg,76.9,76.9,76.9,76.9,1
2015-01-26,ELLENBROOK,lpg,76.9,76.9,76.9,76.9,1
2015-01-27,ELLENBROOK,lpg,76.9,76.9,76.9,76.9,1
2015-01-28,ELLENBROOK,lpg,73.9,73.9,73.9,73.9,1
2015-01-29,ELLENBROOK,lpg,73.9,73.9,73.9,73.9,1
2015-01-30,ELLENBROOK,lpg,73.9,73.9,73.9,73.9,1
2015-01-31,ELLENBROOK,lpg,73.9,73.9,73.9,73.9,1
2015-02-01,ELLENBROOK,lpg,73.9,73.9,73.9,73.9,1
2015-02-02,ELLENBROOK,lpg,73.9,73.9,73.9,73.9,1
2015-02-03,ELLENBROOK,lpg,73.9,73.9,73.9,73.9,1
2015-02-04,ELLENBROOK,lpg,73.9,73.9,73.9,73.9,1
2015-02-05,ELLENBROOK,lpg,73.9,73.9,73.9,73.9,1
2015-02-06,ELLENBROOK,lpg,73.9,73.9,73.9,73.9,1
2015-02-07,ELLENBROOK,lpg,73.9,73.9,73.9,73.9,1
2015-02-08,ELLENBROOK,lpg,73.9,73.9,73.9,73.9,1
2015-02-09,ELLENBROOK,lpg,73.9,73.9,73.9,73.9,1
2015-02-10,ELLENBROOK,lpg,73.9,73.9,73.9,73.9,1
2015-02-11,ELLENBROOK,lpg,73.9,73.9,73.9,73.9,1
2015-02-12,ELLENBROOK,lpg,73.9,73.9,73.9,73.9,1
2015-02-13,ELLENBROOK,lpg,73.9,73.9,73.9,73.9,1
2015-02-14,ELLENBROOK,lpg,73.9,73.9,73.9,73.9,1
2015-02-15,ELLENBROOK,lpg,73.9,73.9,73.9,73.9,1
2015-02-16,ELLENBROOK,lpg,73.9,73.9,73.9,73.9,1
2015-02-17,ELLENBROOK,lpg,73.9,73.9,73.9,73.9,1
2015-02-18,ELLENBROOK,lpg,73.9,73.9,73.9,73.9,1
2015-02-19,ELLENBROOK,lpg,73.9,73.9,73.9,73.9,1
2015-02-20,ELLENBROOK,lpg,73.9,73.9,73.9,73.9,1
2015-02-21,ELLENBROOK,lpg,73.9,73.9,73.9,73.9,1
2015-02-22,ELLENBROOK,lpg,73.9,73.9,73.9,73.9,1
2015-02-23,ELLENBROOK,lpg,73.9,73.9,73.9,73.9,1
2015-02-24,ELLENBROOK,lpg,73.9,73.9,73.9,73.9,1
2015-02-25,ELLENBROOK,lpg,73.9,73.9,73.9,73.9,1
