date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2019-01-01,EMBLETON,premium_98,158.9,158.9,158.9,158.9,1
2019-01-02,EMBLETON,premium_98,155.9,155.9,155.9,155.9,1
2019-01-03,EMBLETON,premium_98,153.5,153.5,153.5,153.5,1
2019-01-04,EMBLETON,premium_98,143.5,143.5,143.5,143.5,1
2019-01-05,EMBLETON,premium_98,140.5,140.5,140.5,140.5,1
2019-01-06,EMBLETON,premium_98,138.5,138.5,138.5,138.5,1
2019-01-07,EMBLETON,premium_98,131.5,131.5,131.5,131.5,1
2019-01-08,EMBLETON,premium_98,156.7,156.7,156.7,156.7,1
2019-01-09,EMBLETON,premium_98,154.7,154.7,154.7,154.7,1
2019-01-10,EMBLETON,premium_98,152.5,152.5,152.5,152.5,1
2019-01-11,EMBLETON,premium_98,142.5,142.5,142.5,142.5,1
2019-01-12,EMBLETON,premium_98,138.5,138.5,138.5,138.5,1
2019-01-13,EMBLETON,premium_98,138.5,138.5,138.5,138.5,1
2019-01-14,EMBLETON,premium_98,133.5,133.5,133.5,133.5,1
2019-01-15,EMBLETON,premium_98,158.9,158.9,158.9,158.9,1
2019-01-16,EMBLETON,premium_98,156.7,156.7,156.7,156.7,1
2019-01-17,EMBLETON,premium_98,154.7,154.7,154.7,154.7,1
2019-01-18,EMBLETON,premium_98,142.5,142.5,142.5,142.5,1
2019-01-19,EMBLETON,premium_98,140.5,140.5,140.5,140.5,1
2019-01-20,EMBLETON,premium_98,138.5,138.5,138.5,138.5,1
2019-01-21,EMBLETON,premium_98,133.5,133.5,133.5,133.5,1
2019-01-22,EMBLETON,premium_98,138.9,138.9,138.9,138.9,1
2019-01-23,EMBLETON,premium_98,142.9,142.9,142.9,142.9,1
2019-01-24,EMBLETON,premium_98,138.5,138.5,138.5,138.5,1
2019-01-25,EMBLETON,premium_98,138.5,138.5,138.5,138.5,1
2019-01-26,EMBLETON,premium_98,136.3,136.3,136.3,136.3,1
2019-01-27,EMBLETON,premium_98,136.1,136.1,136.1,136.1,1
2019-01-28,EMBLETON,premium_98,135.9,135.9,135.9,135.9,1
2019-01-29,EMBLETON,premium_98,161.9,161.9,161.9,161.9,1
2019-01-30,EMBLETON,premium_98,158.9,158.9,158.9,158.9,1
2019-01-31,EMBLETON,premium_98,145.7,145.7,145.7,145.7,1
2019-02-01,EMBLETON,premium_98,142.7,142.7,142.7,142.7,1
2019-02-02,EMBLETON,premium_98,138.9,138.9,138.9,138.9,1
2019-02-03,EMBLETON,premium_98,136.9,136.9,136.9,136.9,1
2019-02-04,EMBLETON,premium_98,134.9,134.9,134.9,134.9,1
2019-02-05,EMBLETON,premium_98,160.9,160.9,160.9,160.9,1
2019-02-06,EMBLETON,premium_98,158.9,158.9,158.9,158.9,1
2019-02-07,EMBLETON,premium_98,144.9,144.9,144.9,144.9,1
2019-02-08,EMBLETON,premium_98,138.9,138.9,138.9,138.9,1
2019-02-09,EMBLETON,premium_98,138.9,138.9,138.9,138.9,1
2019-02-10,EMBLETON,premium_98,136.9,136.9,136.9,136.9,1
2019-02-11,EMBLETON,premium_98,134.9,134.9,134.9,134.9,1
2019-02-12,EMBLETON,premium_98,161.9,161.9,161.9,161.9,1
2019-02-13,EMBLETON,premium_98,151.9,151.9,151.9,151.9,1
2019-02-14,EMBLETON,premium_98,143.9,143.9,143.9,143.9,1
2019-02-15,EMBLETON,premium_98,140.9,140.9,140.9,140.9,1
2019-02-16,EMBLETON,premium_98,138.9,138.9,138.9,138.9,1
2019-02-17,EMBLETON,premium_98,138.9,138.9,138.9,138.9,1
2019-02-18,EMBLETON,premium_98,136.9,136.9,136.9,136.9,1
2019-02-19,EMBLETON,premium_98,162.9,162.9,162.9,162.9,1
2019-02-20,EMBLETON,premium_98,160.9,160.9,160.9,160.9,1
2019-02-21,EMBLETON,premium_98,142.9,142.9,142.9,142.9,1
2019-02-22,EMBLETON,premium_98,141.9,141.9,141.9,141.9,1
2019-02-23,EMBLETON,premium_98,141.9,141.9,141.9,141.9,1
2019-02-24,EMBLETON,premium_98,140.9,140.9,140.9,140.9,1
2019-02-25,EMBLETON,premium_98,140.9,140.9,140.9,140.9,1
2019-02-26,EMBLETON,premium_98,167.9,167.9,167.9,167.9,1
2019-02-27,EMBLETON,premium_98,164.9,164.9,164.9,164.9,1
2019-02-28,EMBLETON,premium_98,161.9,161.9,161.9,161.9,1
2020-01-01,EMBLETON,premium_98,176.9,176.9,176.9,176.9,1
2020-01-02,EMBLETON,premium_98,173.9,173.9,173.9,173.9,1
2020-01-03,EMBLETON,premium_98,167.9,167.9,167.9,167.9,1
2020-01-04,EMBLETON,premium_98,155.9,155.9,155.9,155.9,1
2020-01-05,EMBLETON,premium_98,157.9,157.9,157.9,157.9,1
2020-01-06,EMBLETON,premium_98,153.9,153.9,153.9,153.9,1
2020-01-07,EMBLETON,premium_98,182.9,182.9,182.9,182.9,1
2020-01-08,EMBLETON,premium_98,177.9,177.9,177.9,177.9,1
2020-01-09,EMBLETON,premium_98,174.9,174.9,174.9,174.9,1
2020-01-10,EMBLETON,premium_98,168.9,168.9,168.9,168.9,1
2020-01-11,EMBLETON,premium_98,154.9,154.9,154.9,154.9,1
2020-01-12,EMBLETON,premium_98,156.9,156.9,156.9,156.9,1
2020-01-13,EMBLETON,premium_98,154.9,154.9,154.9,154.9,1
2020-01-14,EMBLETON,premium_98,183.9,183.9,183.9,183.9,1
2020-01-15,EMBLETON,premium_98,178.9,178.9,178.9,178.9,1
2020-01-16,EMBLETON,premium_98,174.9,174.9,174.9,174.9,1
2020-01-17,EMBLETON,premium_98,167.9,167.9,167.9,167.9,1
2020-01-18,EMBLETON,premium_98,154.9,154.9,154.9,154.9,1
2020-01-19,EMBLETON,premium_98,155.9,155.9,155.9,155.9,1
2020-01-20,EMBLETON,premium_98,156.9,156.9,156.9,156.9,1
2020-01-21,EMBLETON,premium_98,181.9,181.9,181.9,181.9,1
2020-01-22,EMBLETON,premium_98,174.9,174.9,174.9,174.9,1
2020-01-23,EMBLETON,premium_98,168.9,168.9,168.9,168.9,1
2020-01-24,EMBLETON,premium_98,159.9,159.9,159.9,159.9,1
2020-01-25,EMBLETON,premium_98,152.9,152.9,152.9,152.9,1
2020-01-26,EMBLETON,premium_98,153.9,153.9,153.9,153.9,1
2020-01-27,EMBLETON,premium_98,150.9,150.9,150.9,150.9,1
2020-01-28,EMBLETON,premium_98,179.9,179.9,179.9,179.9,1
2020-01-29,EMBLETON,premium_98,172.9,172.9,172.9,172.9,1
2020-01-30,EMBLETON,premium_98,167.9,167.9,167.9,167.9,1
2020-01-31,EMBLETON,premium_98,156.9,156.9,156.9,156.9,1
2020-02-01,EMBLETON,premium_98,149.9,149.9,149.9,149.9,1
2020-02-02,EMBLETON,premium_98,150.9,150.9,150.9,150.9,1
2020-02-03,EMBLETON,premium_98,145.9,145.9,145.9,145.9,1
2020-02-04,EMBLETON,premium_98,177.9,177.9,177.9,177.9,1
2020-02-05,EMBLETON,premium_98,169.9,169.9,169.9,169.9,1
2020-02-06,EMBLETON,premium_98,166.9,166.9,166.9,166.9,1
2020-02-07,EMBLETON,premium_98,161.9,161.9,161.9,161.9,1
2020-02-08,EMBLETON,premium_98,146.9,146.9,146.9,146.9,1
2020-02-09,EMBLETON,premium_98,149.9,149.9,149.9,149.9,1
2020-02-10,EMBLETON,premium_98,146.9,146.9,146.9,146.9,1
2020-02-11,EMBLETON,premium_98,149.9,149.9,149.9,149.9,1
2020-02-12,EMBLETON,premium_98,169.9,169.9,169.9,169.9,1
2020-02-13,EMBLETON,premium_98,164.9,164.9,164.9,164.9,1
2020-02-14,EMBLETON,premium_98,159.9,159.9,159.9,159.9,1
2020-02-15,EMBLETON,premium_98,146.9,146.9,146.9,146.9,1
2020-02-16,EMBLETON,premium_98,147.9,147.9,147.9,147.9,1
2020-02-17,EMBLETON,premium_98,145.9,145.9,145.9,145.9,1
2020-02-18,EMBLETON,premium_98,151.9,151.9,151.9,151.9,1
2020-02-19,EMBLETON,premium_98,165.9,165.9,165.9,165.9,1
2020-02-20,EMBLETON,premium_98,163.9,163.9,163.9,163.9,1
2020-02-21,EMBLETON,premium_98,157.9,157.9,157.9,157.9,1
2020-02-22,EMBLETON,premium_98,146.9,146.9,146.9,146.9,1
2020-02-23,EMBLETON,premium_98,147.9,147.9,147.9,147.9,1
2020-02-24,EMBLETON,premium_98,144.9,144.9,144.9,144.9,1
2020-02-25,EMBLETON,premium_98,144.9,144.9,144.9,144.9,1
2020-02-26,EMBLETON,premium_98,169.9,169.9,169.9,169.9,1
2020-02-27,EMBLETON,premium_98,163.9,163.9,163.9,163.9,1
2020-02-28,EMBLETON,premium_98,155.9,155.9,155.9,155.9,1
2020-02-29,EMBLETON,premium_98,147.9,147.9,147.9,147.9,1
2021-01-01,EMBLETON,premium_98,143.9,143.9,143.9,143.9,1
2021-01-02,EMBLETON,premium_98,132.9,132.9,132.9,132.9,1
2021-01-03,EMBLETON,premium_98,131.9,131.9,131.9,131.9,1
2021-01-04,EMBLETON,premium_98,126.9,126.9,126.9,126.9,1
