date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2006-01-01,ERSKINE,diesel,127.9,127.9,127.9,127.9,1
2006-01-02,ERSKINE,diesel,127.9,127.9,127.9,127.9,1
2006-01-03,ERSKINE,diesel,127.9,127.9,127.9,127.9,1
2006-01-04,ERSKINE,diesel,129.9,129.9,129.9,129.9,1
2006-01-05,ERSKINE,diesel,129.9,129.9,129.9,129.9,1
2006-01-06,ERSKINE,diesel,129.9,129.9,129.9,129.9,1
2006-01-07,ERSKINE,diesel,131.9,131.9,131.9,131.9,1
2006-01-08,ERSKINE,diesel,131.9,131.9,131.9,131.9,1
2006-01-09,ERSKINE,diesel,131.9,131.9,131.9,131.9,1
2006-01-10,ERSKINE,diesel,131.9,131.9,131.9,131.9,1
2006-01-11,ERSKINE,diesel,131.9,131.9,131.9,131.9,1
2006-01-12,ERSKINE,diesel,131.9,131.9,131.9,131.9,1
2006-01-13,ERSKINE,diesel,131.9,131.9,131.9,131.9,1
2006-01-14,ERSKINE,diesel,131.9,131.9,131.9,131.9,1
2006-01-15,ERSKINE,diesel,131.9,131.9,131.9,131.9,1
2006-01-16,ERSKINE,diesel,131.9,131.9,131.9,131.9,1
2006-01-17,ERSKINE,diesel,131.9,131.9,131.9,131.9,1
2006-01-18,ERSKINE,diesel,131.9,131.9,131.9,131.9,1
2006-01-19,ERSKINE,diesel,131.9,131.9,131.9,131.9,1
2006-01-20,ERSKINE,diesel,131.9,131.9,131.9,131.9,1
2006-01-21,ERSKINE,diesel,132.9,132.9,132.9,132.9,1
2006-01-22,ERSKINE,diesel,132.9,132.9,132.9,132.9,1
2006-01-23,ERSKINE,diesel,132.9,132.9,132.9,132.9,1
2006-01-24,ERSKINE,diesel,132.9,132.9,132.9,132.9,1
2006-01-25,ERSKINE,diesel,134.9,134.9,134.9,134.9,1
2006-01-26,ERSKINE,diesel,134.9,134.9,134.9,134.9,1
2006-01-27,ERSKINE,diesel,134.9,134.9,134.9,134.9,1
2006-01-28,ERSKINE,diesel,135.9,135.9,135.9,135.9,1
2006-01-29,ERSKINE,diesel,135.9,135.9,135.9,135.9,1
2006-01-30,ERSKINE,diesel,135.9,135.9,135.9,135.9,1
2006-01-31,ERSKINE,diesel,135.9,135.9,135.9,135.9,1
2006-02-01,ERSKINE,diesel,135.9,135.9,135.9,135.9,1
2006-02-02,ERSKINE,diesel,136.9,136.9,136.9,136.9,1
2006-02-03,ERSKINE,diesel,136.9,136.9,136.9,136.9,1
2006-02-04,ERSKINE,diesel,136.9,136.9,136.9,136.9,1
2006-02-05,ERSKINE,diesel,136.9,136.9,136.9,136.9,1
2006-02-06,ERSKINE,diesel,136.9,136.9,136.9,136.9,1
2006-02-07,ERSKINE,diesel,136.9,136.9,136.9,136.9,1
2006-02-08,ERSKINE,diesel,136.9,136.9,136.9,136.9,1
2006-02-09,ERSKINE,diesel,136.9,136.9,136.9,136.9,1
2006-02-10,ERSKINE,diesel,136.9,136.9,136.9,136.9,1
2006-02-11,ERSKINE,diesel,135.9,135.9,135.9,135.9,1
2006-02-12,ERSKINE,diesel,135.9,135.9,135.9,135.9,1
2006-02-13,ERSKINE,diesel,135.9,135.9,135.9,135.9,1
2006-02-14,ERSKINE,diesel,135.9,135.9,135.9,135.9,1
2006-02-15,ERSKINE,diesel,135.9,135.9,135.9,135.9,1
2006-02-16,ERSKINE,diesel,135.9,135.9,135.9,135.9,1
2006-02-17,ERSKINE,diesel,135.9,135.9,135.9,135.9,1
2006-02-18,ERSKINE,diesel,137.5,137.5,137.5,137.5,1
2006-02-19,ERSKINE,diesel,137.5,137.5,137.5,137.5,1
2006-02-20,ERSKINE,diesel,137.5,137.5,137.5,137.5,1
2006-02-21,ERSKINE,diesel,137.5,137.5,137.5,137.5,1
2006-02-22,ERSKINE,diesel,137.5,137.5,137.5,137.5,1
2006-02-23,ERSKINE,diesel,137.5,137.5,137.5,137.5,1
2006-02-24,ERSKINE,diesel,137.5,137.5,137.5,137.5,1
2006-02-25,ERSKINE,diesel,137.5,137.5,137.5,137.5,1
2006-02-26,ERSKINE,diesel,137.5,137.5,137.5,137.5,1
2006-02-27,ERSKINE,diesel,137.5,137.5,137.5,137.5,1
2006-02-28,ERSKINE,diesel,138.5,138.5,138.5,138.5,1
2007-01-01,ERSKINE,diesel,126.9,126.9,126.9,126.9,1
2007-01-02,ERSKINE,diesel,126.9,126.9,126.9,126.9,1
2007-01-03,ERSKINE,diesel,126.9,126.9,126.9,126.9,1
2007-01-04,ERSKINE,diesel,126.9,126.9,126.9,126.9,1
2007-01-05,ERSKINE,diesel,126.9,126.9,126.9,126.9,1
2007-01-06,ERSKINE,diesel,126.9,126.9,126.9,126.9,1
2007-01-07,ERSKINE,diesel,126.9,126.9,126.9,126.9,1
2007-01-08,ERSKINE,diesel,126.9,126.9,126.9,126.9,1
2007-01-09,ERSKINE,diesel,126.9,126.9,126.9,126.9,1
2007-01-10,ERSKINE,diesel,126.9,126.9,126.9,126.9,1
2007-01-11,ERSKINE,diesel,126.9,126.9,126.9,126.9,1
2007-01-12,ERSKINE,diesel,126.9,126.9,126.9,126.9,1
2007-01-13,ERSKINE,diesel,126.9,126.9,126.9,126.9,1
2007-01-14,ERSKINE,diesel,126.9,126.9,126.9,126.9,1
2007-01-15,ERSKINE,diesel,126.9,126.9,126.9,126.9,1
2007-01-16,ERSKINE,diesel,126.9,126.9,126.9,126.9,1
2007-01-17,ERSKINE,diesel,126.9,126.9,126.9,126.9,1
2007-01-18,ERSKINE,diesel,125.9,125.9,125.9,125.9,1
2007-01-19,ERSKINE,diesel,125.9,125.9,125.9,125.9,1
2007-01-20,ERSKINE,diesel,125.9,125.9,125.9,125.9,1
2007-01-21,ERSKINE,diesel,125.9,125.9,125.9,125.9,1
2007-01-22,ERSKINE,diesel,125.9,125.9,125.9,125.9,1
2007-01-23,ERSKINE,diesel,125.9,125.9,125.9,125.9,1
2007-01-24,ERSKINE,diesel,125.9,125.9,125.9,125.9,1
2007-01-25,ERSKINE,diesel,123.9,123.9,123.9,123.9,1
2007-01-26,ERSKINE,diesel,123.9,123.9,123.9,123.9,1
2007-01-27,ERSKINE,diesel,123.9,123.9,123.9,123.9,1
2007-01-28,ERSKINE,diesel,123.9,123.9,123.9,123.9,1
2007-01-29,ERSKINE,diesel,123.9,123.9,123.9,123.9,1
2007-01-30,ERSKINE,diesel,123.9,123.9,123.9,123.9,1
2007-01-31,ERSKINE,diesel,123.9,123.9,123.9,123.9,1
2007-02-01,ERSKINE,diesel,123.9,123.9,123.9,123.9,1
2007-02-02,ERSKINE,diesel,123.9,123.9,123.9,123.9,1
2007-02-03,ERSKINE,diesel,123.9,123.9,123.9,123.9,1
2007-02-04,ERSKINE,diesel,123.9,123.9,123.9,123.9,1
2007-02-05,ERSKINE,diesel,123.9,123.9,123.9,123.9,1
2007-02-06,ERSKINE,diesel,123.9,123.9,123.9,123.9,1
2007-02-07,ERSKINE,diesel,123.9,123.9,123.9,123.9,1
2007-02-08,ERSKINE,diesel,123.9,123.9,123.9,123.9,1
2007-02-09,ERSKINE,diesel,123.9,123.9,123.9,123.9,1
2007-02-10,ERSKINE,diesel,123.9,123.9,123.9,123.9,1
2007-02-11,ERSKINE,diesel,123.9,123.9,123.9,123.9,1
2007-02-12,ERSKINE,diesel,123.9,123.9,123.9,123.9,1
2007-02-13,ERSKINE,diesel,124.9,124.9,124.9,124.9,1
2007-02-14,ERSKINE,diesel,124.9,124.9,124.9,124.9,1
2007-02-15,ERSKINE,diesel,124.9,124.9,124.9,124.9,1
2007-02-16,ERSKINE,diesel,124.9,124.9,124.9,124.9,1
2007-02-17,ERSKINE,diesel,124.9,124.9,124.9,124.9,1
2007-02-18,ERSKINE,diesel,124.9,124.9,124.9,124.9,1
2007-02-19,ERSKINE,diesel,124.9,124.9,124.9,124.9,1
2007-02-20,ERSKINE,diesel,124.9,124.9,124.9,124.9,1
2007-02-21,ERSKINE,diesel,124.9,124.9,124.9,124.9,1
2007-02-22,ERSKINE,diesel,122.9,122.9,122.9,122.9,1
2007-02-23,ERSKINE,diesel,122.9,122.9,122.9,122.9,1
2007-02-24,ERSKINE,diesel,122.9,122.9,122.9,122.9,1
2007-02-25,ERSKINE,diesel,122.9,122.9,122.9,122.9,1
2007-02-26,ERSKINE,diesel,122.9,122.9,122.9,122.9,1
2007-02-27,ERSKINE,diesel,122.9,122.9,122.9,122.9,1
2007-02-28,ERSKINE,diesel,122.9,122.9,122.9,122.9,1
2008-01-01,ERSKINE,diesel,153.9,153.9,153.9,153.9,1
2008-01-02,ERSKINE,diesel,153.9,153.9,153.9,153.9,1
2008-01-03,ERSKINE,diesel,152.9,152.9,152.9,152.9,1
2008-01-04,ERSKINE,diesel,152.9,152.9,152.9,152.9,1
2008-01-05,ERSKINE,diesel,152.9,152.9,152.9,152.9,1
2008-01-06,ERSKINE,diesel,152.9,152.9,152.9,152.9,1
2008-01-07,ERSKINE,diesel,152.9,152.9,152.9,152.9,1
2008-01-08,ERSKINE,diesel,152.9,152.9,152.9,152.9,1
2008-01-09,ERSKINE,diesel,152.9,152.9,152.9,152.9,1
2008-01-10,ERSKINE,diesel,152.9,152.9,152.9,152.9,1
2008-01-11,ERSKINE,diesel,152.9,152.9,152.9,152.9,1
2008-01-12,ERSKINE,diesel,152.9,152.9,152.9,152.9,1
2008-01-13,ERSKINE,diesel,152.9,152.9,152.9,152.9,1
