date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2006-01-01,ERSKINE,lpg,53.5,53.5,53.5,53.5,1
2006-01-02,ERSKINE,lpg,53.5,53.5,53.5,53.5,1
2006-01-03,ERSKINE,lpg,52.9,52.9,52.9,52.9,1
2006-01-04,ERSKINE,lpg,59.5,59.5,59.5,59.5,1
2006-01-05,ERSKINE,lpg,59.5,59.5,59.5,59.5,1
2006-01-06,ERSKINE,lpg,58.9,58.9,58.9,58.9,1
2006-01-07,ERSKINE,lpg,57.9,57.9,57.9,57.9,1
2006-01-08,ERSKINE,lpg,57.9,57.9,57.9,57.9,1
2006-01-09,ERSKINE,lpg,57.9,57.9,57.9,57.9,1
2006-01-10,ERSKINE,lpg,57.9,57.9,57.9,57.9,1
2006-01-11,ERSKINE,lpg,57.5,57.5,57.5,57.5,1
2006-01-12,ERSKINE,lpg,56.5,56.5,56.5,56.5,1
2006-01-13,ERSKINE,lpg,55.5,55.5,55.5,55.5,1
2006-01-14,ERSKINE,lpg,55.5,55.5,55.5,55.5,1
2006-01-15,ERSKINE,lpg,55.5,55.5,55.5,55.5,1
2006-01-16,ERSKINE,lpg,55.5,55.5,55.5,55.5,1
2006-01-17,ERSKINE,lpg,55.5,55.5,55.5,55.5,1
2006-01-18,ERSKINE,lpg,55.5,55.5,55.5,55.5,1
2006-01-19,ERSKINE,lpg,55.5,55.5,55.5,55.5,1
2006-01-20,ERSKINE,lpg,55.5,55.5,55.5,55.5,1
2006-01-21,ERSKINE,lpg,55.5,55.5,55.5,55.5,1
2006-01-22,ERSKINE,lpg,55.5,55.5,55.5,55.5,1
2006-01-23,ERSKINE,lpg,55.5,55.5,55.5,55.5,1
2006-01-24,ERSKINE,lpg,62.5,62.5,62.5,62.5,1
2006-01-25,ERSKINE,lpg,62.5,62.5,62.5,62.5,1
2006-01-26,ERSKINE,lpg,61.9,61.9,61.9,61.9,1
2006-01-27,ERSKINE,lpg,61.5,61.5,61.5,61.5,1
2006-01-28,ERSKINE,lpg,60.5,60.5,60.5,60.5,1
2006-01-29,ERSKINE,lpg,59.9,59.9,59.9,59.9,1
2006-01-30,ERSKINE,lpg,59.9,59.9,59.9,59.9,1
2006-01-31,ERSKINE,lpg,59.9,59.9,59.9,59.9,1
2006-02-01,ERSKINE,lpg,59.5,59.5,59.5,59.5,1
2006-02-02,ERSKINE,lpg,58.5,58.5,58.5,58.5,1
2006-02-03,ERSKINE,lpg,58.5,58.5,58.5,58.5,1
