date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,ESPERANCE,lpg,61.7,63.1,64.5,61.7,2
2002-01-02,ESPERANCE,lpg,61.7,63.1,64.5,61.7,2
2002-01-03,ESPERANCE,lpg,61.7,63.1,64.5,61.7,2
2002-01-04,ESPERANCE,lpg,61.7,63.1,64.5,61.7,2
2002-01-05,ESPERANCE,lpg,61.7,63.1,64.5,61.7,2
2002-01-06,ESPERANCE,lpg,61.7,63.1,64.5,61.7,2
2002-01-07,ESPERANCE,lpg,61.7,63.1,64.5,61.7,2
2002-01-08,ESPERANCE,lpg,61.7,63.1,64.5,61.7,2
2002-01-09,ESPERANCE,lpg,61.7,63.1,64.5,61.7,2
2002-01-10,ESPERANCE,lpg,61.7,63.1,64.5,61.7,2
2002-01-11,ESPERANCE,lpg,61.7,63.1,64.5,61.7,2
2002-01-12,ESPERANCE,lpg,61.7,63.1,64.5,61.7,2
2002-01-13,ESPERANCE,lpg,61.7,63.1,64.5,61.7,2
2002-01-14,ESPERANCE,lpg,61.7,63.1,64.5,61.7,2
2002-01-15,ESPERANCE,lpg,61.7,63.1,64.5,61.7,2
2002-01-16,ESPERANCE,lpg,61.7,63.1,64.5,61.7,2
2002-01-17,ESPERANCE,lpg,61.7,63.0,64.5,61.7,3
2002-01-18,ESPERANCE,lpg,61.7,63.0,64.5,61.7,3
2002-01-19,ESPERANCE,lpg,61.7,63.0,64.5,61.7,3
2002-01-20,ESPERANCE,lpg,61.7,63.0,64.5,61.7,3
2002-01-21,ESPERANCE,lpg,61.7,63.0,64.5,61.7,3
2002-01-22,ESPERANCE,lpg,61.7,63.0,64.5,61.7,3
2002-01-23,ESPERANCE,lpg,61.7,63.0,64.5,61.7,3
2002-01-24,ESPERANCE,lpg,61.7,63.0,64.5,61.7,3
2002-01-25,ESPERANCE,lpg,61.7,63.0,64.5,61.7,3
2002-01-26,ESPERANCE,lpg,61.7,63.0,64.5,61.7,3
2002-01-27,ESPERANCE,lpg,61.7,63.0,64.5,61.7,3
2002-01-28,ESPERANCE,lpg,61.7,63.0,64.5,61.7,3
2002-01-29,ESPERANCE,lpg,61.7,63.0,64.5,61.7,3
2002-01-30,ESPERANCE,lpg,61.7,63.0,64.5,61.7,3
2002-01-31,ESPERANCE,lpg,61.7,63.0,64.5,61.7,3
2002-02-01,ESPERANCE,lpg,61.7,63.0,64.5,61.7,3
2002-02-02,ESPERANCE,lpg,61.7,63.0,64.5,61.7,3
2002-02-03,ESPERANCE,lpg,61.7,63.0,64.5,61.7,3
2002-02-04,ESPERANCE,lpg,61.7,63.0,64.5,61.7,3
2002-02-05,ESPERANCE,lpg,61.7,63.0,64.5,61.7,3
2002-02-06,ESPERANCE,lpg,61.7,63.0,64.5,61.7,3
2002-02-07,ESPERANCE,lpg,61.7,63.0,64.5,61.7,3
2002-02-08,ESPERANCE,lpg,59.9,62.0,64.5,59.9,3
2002-02-09,ESPERANCE,lpg,59.9,62.0,64.5,59.9,3
2002-02-10,ESPERANCE,lpg,59.9,62.0,64.5,59.9,3
2002-02-11,ESPERANCE,lpg,59.9,62.0,64.5,59.9,3
2002-02-12,ESPERANCE,lpg,59.9,62.0,64.5,59.9,3
2002-02-13,ESPERANCE,lpg,59.9,62.0,64.5,59.9,3
2002-02-14,ESPERANCE,lpg,59.9,62.0,64.5,59.9,3
2002-02-15,ESPERANCE,lpg,59.9,62.0,64.5,59.9,3
2002-02-16,ESPERANCE,lpg,59.9,62.0,64.5,59.9,3
2002-02-17,ESPERANCE,lpg,59.9,62.0,64.5,59.9,3
2002-02-18,ESPERANCE,lpg,59.9,62.0,64.5,59.9,3
2002-02-19,ESPERANCE,lpg,59.5,61.3,64.5,59.5,3
2002-02-20,ESPERANCE,lpg,59.5,61.3,64.5,59.5,3
2002-02-21,ESPERANCE,lpg,59.5,61.3,64.5,59.5,3
2002-02-22,ESPERANCE,lpg,59.5,61.3,64.5,59.5,3
2002-02-23,ESPERANCE,lpg,59.5,61.3,64.5,59.5,3
2002-02-24,ESPERANCE,lpg,59.5,61.3,64.5,59.5,3
2002-02-25,ESPERANCE,lpg,59.5,60.3,61.6,59.5,3
2002-02-26,ESPERANCE,lpg,59.5,60.3,61.6,59.5,3
2002-02-27,ESPERANCE,lpg,59.5,60.3,61.6,59.5,3
2002-02-28,ESPERANCE,lpg,59.5,60.3,61.6,59.5,3
2003-01-01,ESPERANCE,lpg,64.9,65.3,65.5,64.9,3
