date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2004-01-01,EXMOUTH,diesel,110.5,111.2,111.8,110.5,2
2004-01-02,EXMOUTH,diesel,110.5,111.2,111.8,110.5,2
2004-01-03,EXMOUTH,diesel,110.5,111.2,111.8,110.5,2
2004-01-04,EXMOUTH,diesel,110.5,111.2,111.8,110.5,2
2004-01-05,EXMOUTH,diesel,110.5,111.2,111.8,110.5,2
2004-01-06,EXMOUTH,diesel,110.5,111.2,111.8,110.5,2
2004-01-07,EXMOUTH,diesel,110.5,111.2,111.8,110.5,2
2004-01-08,EXMOUTH,diesel,110.5,111.2,111.8,110.5,2
2004-01-09,EXMOUTH,diesel,111.8,111.8,111.8,111.8,2
2004-01-10,EXMOUTH,diesel,111.8,111.8,111.8,111.8,2
2004-01-11,EXMOUTH,diesel,111.8,111.8,111.8,111.8,2
2004-01-12,EXMOUTH,diesel,111.8,111.8,111.8,111.8,2
2004-01-13,EXMOUTH,diesel,111.8,112.8,113.8,111.8,2
2004-01-14,EXMOUTH,diesel,111.8,112.8,113.8,111.8,2
2004-01-15,EXMOUTH,diesel,111.8,112.8,113.8,111.8,2
2004-01-16,EXMOUTH,diesel,111.8,112.8,113.8,111.8,2
2004-01-17,EXMOUTH,diesel,111.8,112.8,113.8,111.8,2
2004-01-18,EXMOUTH,diesel,111.8,112.8,113.8,111.8,2
2004-01-19,EXMOUTH,diesel,113.8,113.8,113.8,113.8,2
2004-01-20,EXMOUTH,diesel,113.8,113.8,113.8,113.8,2
2004-01-21,EXMOUTH,diesel,113.8,113.8,113.8,113.8,2
2004-01-22,EXMOUTH,diesel,113.8,113.8,113.8,113.8,2
2004-01-23,EXMOUTH,diesel,113.8,113.8,113.8,113.8,2
2004-01-24,EXMOUTH,diesel,113.8,113.8,113.8,113.8,2
2004-01-25,EXMOUTH,diesel,113.8,113.8,113.8,113.8,2
2004-01-26,EXMOUTH,diesel,113.8,113.8,113.8,113.8,2
2004-01-27,EXMOUTH,diesel,113.8,113.8,113.8,113.8,2
2004-01-28,EXMOUTH,diesel,113.8,113.8,113.8,113.8,2
2004-01-29,EXMOUTH,diesel,113.8,113.8,113.8,113.8,2
2004-01-30,EXMOUTH,diesel,113.8,113.8,113.8,113.8,2
2004-01-31,EXMOUTH,diesel,113.8,113.8,113.8,113.8,2
2004-02-01,EXMOUTH,diesel,113.8,113.8,113.8,113.8,2
2004-02-02,EXMOUTH,diesel,113.8,113.8,113.8,113.8,2
2004-02-03,EXMOUTH,diesel,113.8,113.8,113.8,113.8,2
2004-02-04,EXMOUTH,diesel,113.8,113.8,113.8,113.8,2
2004-02-05,EXMOUTH,diesel,113.8,113.8,113.8,113.8,2
2004-02-06,EXMOUTH,diesel,113.8,113.8,113.8,113.8,2
2004-02-07,EXMOUTH,diesel,113.8,113.8,113.8,113.8,2
2004-02-08,EXMOUTH,diesel,113.8,113.8,113.8,113.8,2
2004-02-09,EXMOUTH,diesel,113.8,113.8,113.8,113.8,2
2004-02-10,EXMOUTH,diesel,113.8,113.8,113.8,113.8,2
2004-02-11,EXMOUTH,diesel,113.8,113.8,113.8,113.8,2
2004-02-12,EXMOUTH,diesel,113.8,113.8,113.8,113.8,2
2004-02-13,EXMOUTH,diesel,113.8,113.8,113.8,113.8,2
2004-02-14,EXMOUTH,diesel,113.8,113.8,113.8,113.8,2
2004-02-15,EXMOUTH,diesel,112.8,113.3,113.8,112.8,2
2004-02-16,EXMOUTH,diesel,112.8,113.3,113.8,112.8,2
2004-02-17,EXMOUTH,diesel,112.8,113.3,113.8,112.8,2
2004-02-18,EXMOUTH,diesel,112.8,113.3,113.8,112.8,2
2004-02-19,EXMOUTH,diesel,112.8,113.3,113.8,112.8,2
2004-02-20,EXMOUTH,diesel,112.8,112.8,112.8,112.8,2
2004-02-21,EXMOUTH,diesel,112.8,112.8,112.8,112.8,2
2004-02-22,EXMOUTH,diesel,112.8,112.8,112.8,112.8,2
2004-02-23,EXMOUTH,diesel,112.8,112.8,112.8,112.8,2
2004-02-24,EXMOUTH,diesel,112.8,112.8,112.8,112.8,2
2004-02-25,EXMOUTH,diesel,112.8,112.8,112.8,112.8,2
2004-02-26,EXMOUTH,diesel,112.8,112.8,112.8,112.8,2
2004-02-27,EXMOUTH,diesel,112.8,112.8,112.8,112.8,2
2004-02-28,EXMOUTH,diesel,112.8,112.8,112.8,112.8,2
2004-02-29,EXMOUTH,diesel,112.8,112.8,112.8,112.8,2
2005-01-01,EXMOUTH,diesel,126.8,127.8,128.8,126.8,2
2005-01-02,EXMOUTH,diesel,126.8,127.8,128.8,126.8,2
2005-01-03,EXMOUTH,diesel,126.8,127.8,128.8,126.8,2
2005-01-04,EXMOUTH,diesel,126.8,127.8,128.8,126.8,2
2005-01-05,EXMOUTH,diesel,126.8,127.8,128.8,126.8,2
2005-01-06,EXMOUTH,diesel,126.8,127.8,128.8,126.8,2
2005-01-07,EXMOUTH,diesel,125.8,127.3,128.8,125.8,2
2005-01-08,EXMOUTH,diesel,125.8,127.3,128.8,125.8,2
2005-01-09,EXMOUTH,diesel,125.8,127.3,128.8,125.8,2
2005-01-10,EXMOUTH,diesel,125.8,127.3,128.8,125.8,2
2005-01-11,EXMOUTH,diesel,125.8,127.3,128.8,125.8,2
2005-01-12,EXMOUTH,diesel,125.8,125.8,125.8,125.8,2
2005-01-13,EXMOUTH,diesel,124.8,125.3,125.8,124.8,2
2005-01-14,EXMOUTH,diesel,124.8,125.3,125.8,124.8,2
2005-01-15,EXMOUTH,diesel,124.8,125.3,125.8,124.8,2
2005-01-16,EXMOUTH,diesel,124.8,125.3,125.8,124.8,2
2005-01-17,EXMOUTH,diesel,124.8,125.3,125.8,124.8,2
2005-01-18,EXMOUTH,diesel,124.8,125.3,125.8,124.8,2
2005-01-19,EXMOUTH,diesel,124.8,125.3,125.8,124.8,2
2005-01-20,EXMOUTH,diesel,124.8,125.3,125.8,124.8,2
2005-01-21,EXMOUTH,diesel,124.8,125.3,125.8,124.8,2
2005-01-22,EXMOUTH,diesel,124.8,125.3,125.8,124.8,2
2005-01-23,EXMOUTH,diesel,124.8,125.3,125.8,124.8,2
2005-01-24,EXMOUTH,diesel,124.8,125.3,125.8,124.8,2
2005-01-25,EXMOUTH,diesel,124.8,125.3,125.8,124.8,2
