date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2004-01-01,EXMOUTH,lpg,77.5,78.0,78.6,77.5,2
2004-01-02,EXMOUTH,lpg,77.5,78.0,78.6,77.5,2
2004-01-03,EXMOUTH,lpg,77.5,78.0,78.6,77.5,2
2004-01-04,EXMOUTH,lpg,77.5,78.0,78.6,77.5,2
2004-01-05,EXMOUTH,lpg,77.5,78.0,78.6,77.5,2
2004-01-06,EXMOUTH,lpg,77.5,78.0,78.6,77.5,2
2004-01-07,EXMOUTH,lpg,77.5,78.0,78.6,77.5,2
2004-01-08,EXMOUTH,lpg,77.5,78.0,78.6,77.5,2
2004-01-09,EXMOUTH,lpg,77.5,78.0,78.6,77.5,2
2004-01-10,EXMOUTH,lpg,77.5,78.0,78.6,77.5,2
2004-01-11,EXMOUTH,lpg,77.5,78.0,78.6,77.5,2
2004-01-12,EXMOUTH,lpg,77.5,78.0,78.6,77.5,2
2004-01-13,EXMOUTH,lpg,77.5,78.0,78.6,77.5,2
2004-01-14,EXMOUTH,lpg,77.5,78.0,78.6,77.5,2
2004-01-15,EXMOUTH,lpg,77.5,78.0,78.6,77.5,2
2004-01-16,EXMOUTH,lpg,77.5,78.0,78.6,77.5,2
2004-01-17,EXMOUTH,lpg,77.5,78.0,78.6,77.5,2
2004-01-18,EXMOUTH,lpg,77.5,78.0,78.6,77.5,2
2004-01-19,EXMOUTH,lpg,78.5,78.5,78.6,78.5,2
2004-01-20,EXMOUTH,lpg,78.5,78.5,78.6,78.5,2
2004-01-21,EXMOUTH,lpg,78.5,78.5,78.6,78.5,2
2004-01-22,EXMOUTH,lpg,78.5,78.5,78.6,78.5,2
2004-01-23,EXMOUTH,lpg,78.5,78.5,78.6,78.5,2
2004-01-24,EXMOUTH,lpg,78.5,78.5,78.6,78.5,2
2004-01-25,EXMOUTH,lpg,78.5,78.5,78.6,78.5,2
2004-01-26,EXMOUTH,lpg,78.5,78.5,78.6,78.5,2
2004-01-27,EXMOUTH,lpg,78.5,78.5,78.6,78.5,2
2004-01-28,EXMOUTH,lpg,78.5,78.5,78.6,78.5,2
2004-01-29,EXMOUTH,lpg,78.5,78.5,78.6,78.5,2
2004-01-30,EXMOUTH,lpg,78.5,78.5,78.6,78.5,2
2004-01-31,EXMOUTH,lpg,78.5,78.5,78.6,78.5,2
2004-02-01,EXMOUTH,lpg,78.5,78.5,78.6,78.5,2
2004-02-02,EXMOUTH,lpg,78.5,78.5,78.6,78.5,2
2004-02-03,EXMOUTH,lpg,78.5,78.5,78.6,78.5,2
2004-02-04,EXMOUTH,lpg,78.5,78.5,78.6,78.5,2
2004-02-05,EXMOUTH,lpg,78.5,78.5,78.6,78.5,2
2004-02-06,EXMOUTH,lpg,78.5,78.5,78.6,78.5,2
2004-02-07,EXMOUTH,lpg,78.5,78.5,78.6,78.5,2
2004-02-08,EXMOUTH,lpg,78.5,78.5,78.6,78.5,2
2004-02-09,EXMOUTH,lpg,78.5,78.5,78.6,78.5,2
2004-02-10,EXMOUTH,lpg,78.5,78.5,78.6,78.5,2
2004-02-11,EXMOUTH,lpg,78.5,78.5,78.6,78.5,2
2004-02-12,EXMOUTH,lpg,78.5,78.5,78.6,78.5,2
2004-02-13,EXMOUTH,lpg,78.5,78.5,78.6,78.5,2
2004-02-14,EXMOUTH,lpg,78.5,78.5,78.6,78.5,2
2004-02-15,EXMOUTH,lpg,78.5,78.5,78.6,78.5,2
2004-02-16,EXMOUTH,lpg,78.5,78.5,78.6,78.5,2
2004-02-17,EXMOUTH,lpg,78.5,78.5,78.6,78.5,2
2004-02-18,EXMOUTH,lpg,78.5,78.5,78.6,78.5,2
2004-02-19,EXMOUTH,lpg,78.5,78.5,78.6,78.5,2
2004-02-20,EXMOUTH,lpg,78.5,78.5,78.6,78.5,2
2004-02-21,EXMOUTH,lpg,78.5,78.5,78.6,78.5,2
2004-02-22,EXMOUTH,lpg,78.5,78.5,78.6,78.5,2
2004-02-23,EXMOUTH,lpg,78.5,78.5,78.6,78.5,2
2004-02-24,EXMOUTH,lpg,78.5,78.5,78.6,78.5,2
2004-02-25,EXMOUTH,lpg,78.5,78.5,78.6,78.5,2
2004-02-26,EXMOUTH,lpg,78.5,78.5,78.6,78.5,2
2004-02-27,EXMOUTH,lpg,78.5,78.5,78.6,78.5,2
2004-02-28,EXMOUTH,lpg,78.5,78.5,78.6,78.5,2
2004-02-29,EXMOUTH,lpg,78.5,78.5,78.6,78.5,2
2005-01-01,EXMOUTH,lpg,83.7,83.8,83.8,83.7,2
2005-01-02,EXMOUTH,lpg,83.7,83.8,83.8,83.7,2
2005-01-03,EXMOUTH,lpg,83.7,83.8,83.8,83.7,2
2005-01-04,EXMOUTH,lpg,83.7,83.8,83.8,83.7,2
2005-01-05,EXMOUTH,lpg,83.7,83.8,83.8,83.7,2
2005-01-06,EXMOUTH,lpg,83.7,83.8,83.8,83.7,2
2005-01-07,EXMOUTH,lpg,79.8,81.8,83.7,79.8,2
2005-01-08,EXMOUTH,lpg,79.8,81.8,83.7,79.8,2
2005-01-09,EXMOUTH,lpg,79.8,81.8,83.7,79.8,2
2005-01-10,EXMOUTH,lpg,79.8,81.8,83.7,79.8,2
2005-01-11,EXMOUTH,lpg,79.8,81.8,83.7,79.8,2
2005-01-12,EXMOUTH,lpg,78.9,79.3,79.8,78.9,2
2005-01-13,EXMOUTH,lpg,78.9,79.3,79.8,78.9,2
2005-01-14,EXMOUTH,lpg,78.9,79.3,79.8,78.9,2
2005-01-15,EXMOUTH,lpg,78.9,79.3,79.8,78.9,2
2005-01-16,EXMOUTH,lpg,78.9,79.3,79.8,78.9,2
2005-01-17,EXMOUTH,lpg,78.9,79.3,79.8,78.9,2
2005-01-18,EXMOUTH,lpg,78.9,79.3,79.8,78.9,2
2005-01-19,EXMOUTH,lpg,78.9,79.3,79.8,78.9,2
2005-01-20,EXMOUTH,lpg,78.9,79.3,79.8,78.9,2
2005-01-21,EXMOUTH,lpg,78.9,79.3,79.8,78.9,2
2005-01-22,EXMOUTH,lpg,78.9,79.3,79.8,78.9,2
2005-01-23,EXMOUTH,lpg,78.9,79.3,79.8,78.9,2
2005-01-24,EXMOUTH,lpg,78.9,79.3,79.8,78.9,2
2005-01-25,EXMOUTH,lpg,78.9,79.3,79.8,78.9,2
2005-01-26,EXMOUTH,lpg,78.9,79.3,79.8,78.9,2
2005-01-27,EXMOUTH,lpg,78.9,79.3,79.8,78.9,2
2005-01-28,EXMOUTH,lpg,78.9,79.3,79.8,78.9,2
2005-01-29,EXMOUTH,lpg,78.9,79.3,79.8,78.9,2
2005-01-30,EXMOUTH,lpg,78.9,79.3,79.8,78.9,2
2005-01-31,EXMOUTH,lpg,78.9,79.3,79.8,78.9,2
2005-02-01,EXMOUTH,lpg,78.9,79.3,79.8,78.9,2
2005-02-02,EXMOUTH,lpg,78.9,79.3,79.8,78.9,2
2005-02-03,EXMOUTH,lpg,78.9,79.3,79.8,78.9,2
2005-02-04,EXMOUTH,lpg,78.9,79.3,79.8,78.9,2
2005-02-05,EXMOUTH,lpg,78.9,79.3,79.8,78.9,2
2005-02-06,EXMOUTH,lpg,78.9,79.3,79.8,78.9,2
2005-02-07,EXMOUTH,lpg,78.9,79.3,79.8,78.9,2
2005-02-08,EXMOUTH,lpg,78.9,79.3,79.8,78.9,2
2005-02-09,EXMOUTH,lpg,78.9,79.3,79.8,78.9,2
2005-02-10,EXMOUTH,lpg,78.9,79.3,79.8,78.9,2
2005-02-11,EXMOUTH,lpg,78.9,79.3,79.8,78.9,2
2005-02-12,EXMOUTH,lpg,78.9,79.3,79.8,78.9,2
2005-02-13,EXMOUTH,lpg,78.9,79.3,79.8,78.9,2
2005-02-14,EXMOUTH,lpg,78.9,79.3,79.8,78.9,2
2005-02-15,EXMOUTH,lpg,78.9,79.3,79.8,78.9,2
2005-02-16,EXMOUTH,lpg,78.9,79.3,79.8,78.9,2
2005-02-17,EXMOUTH,lpg,78.9,79.3,79.8,78.9,2
2005-02-18,EXMOUTH,lpg,78.9,79.3,79.8,78.9,2
2005-02-19,EXMOUTH,lpg,78.9,79.3,79.8,78.9,2
2005-02-20,EXMOUTH,lpg,78.9,79.3,79.8,78.9,2
2005-02-21,EXMOUTH,lpg,78.9,79.3,79.8,78.9,2
2005-02-22,EXMOUTH,lpg,78.9,79.3,79.8,78.9,2
2005-02-23,EXMOUTH,lpg,78.9,79.3,79.8,78.9,2
2005-02-24,EXMOUTH,lpg,78.9,79.3,79.8,78.9,2
2005-02-25,EXMOUTH,lpg,78.9,79.3,79.8,78.9,2
2005-02-26,EXMOUTH,lpg,78.9,79.3,79.8,78.9,2
2005-02-27,EXMOUTH,lpg,78.9,79.3,79.8,78.9,2
2005-02-28,EXMOUTH,lpg,78.9,79.3,79.8,78.9,2
2006-01-01,EXMOUTH,lpg,89.8,90.3,90.9,89.8,2
2006-01-02,EXMOUTH,lpg,89.8,90.3,90.9,89.8,2
2006-01-03,EXMOUTH,lpg,89.8,90.3,90.9,89.8,2
2006-01-04,EXMOUTH,lpg,89.8,90.3,90.9,89.8,2
2006-01-05,EXMOUTH,lpg,89.8,90.3,90.9,89.8,2
2006-01-06,EXMOUTH,lpg,89.8,90.3,90.9,89.8,2
2006-01-07,EXMOUTH,lpg,89.8,90.3,90.9,89.8,2
2006-01-08,EXMOUTH,lpg,89.8,90.3,90.9,89.8,2
2006-01-09,EXMOUTH,lpg,89.8,90.3,90.9,89.8,2
2006-01-10,EXMOUTH,lpg,89.8,90.3,90.9,89.8,2
2006-01-11,EXMOUTH,lpg,89.8,90.3,90.9,89.8,2
2006-01-12,EXMOUTH,lpg,89.8,90.3,90.9,89.8,2
2006-01-13,EXMOUTH,lpg,89.8,90.3,90.9,89.8,2
2006-01-14,EXMOUTH,lpg,89.8,90.3,90.9,89.8,2
2006-01-15,EXMOUTH,lpg,89.8,90.3,90.9,89.8,2
2006-01-16,EXMOUTH,lpg,89.8,90.3,90.9,89.8,2
2006-01-17,EXMOUTH,lpg,89.8,90.3,90.9,89.8,2
2006-01-18,EXMOUTH,lpg,89.8,90.3,90.9,89.8,2
2006-01-19,EXMOUTH,lpg,89.8,90.3,90.9,89.8,2
2006-01-20,EXMOUTH,lpg,89.8,90.3,90.9,89.8,2
2006-01-21,EXMOUTH,lpg,89.8,90.3,90.9,89.8,2
