date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2009-01-01,EXMOUTH,premium_98,156.9,156.9,156.9,156.9,1
2009-01-02,EXMOUTH,premium_98,156.9,156.9,156.9,156.9,1
2009-01-03,EXMOUTH,premium_98,156.9,156.9,156.9,156.9,1
2009-01-04,EXMOUTH,premium_98,156.9,156.9,156.9,156.9,1
2009-01-05,EXMOUTH,premium_98,156.9,156.9,156.9,156.9,1
2009-01-06,EXMOUTH,premium_98,156.9,156.9,156.9,156.9,1
2009-01-07,EXMOUTH,premium_98,156.9,156.9,156.9,156.9,1
2009-01-08,EXMOUTH,premium_98,156.9,156.9,156.9,156.9,1
2009-01-09,EXMOUTH,premium_98,156.9,156.9,156.9,156.9,1
2009-01-10,EXMOUTH,premium_98,156.9,156.9,156.9,156.9,1
2009-01-11,EXMOUTH,premium_98,156.9,156.9,156.9,156.9,1
2009-01-12,EXMOUTH,premium_98,156.9,156.9,156.9,156.9,1
2009-01-13,EXMOUTH,premium_98,156.9,156.9,156.9,156.9,1
2009-01-14,EXMOUTH,premium_98,156.9,156.9,156.9,156.9,1
2009-01-15,EXMOUTH,premium_98,156.9,156.9,156.9,156.9,1
2009-01-16,EXMOUTH,premium_98,156.9,156.9,156.9,156.9,1
2009-01-17,EXMOUTH,premium_98,156.9,156.9,156.9,156.9,1
2009-01-18,EXMOUTH,premium_98,156.9,156.9,156.9,156.9,1
2009-01-19,EXMOUTH,premium_98,156.9,156.9,156.9,156.9,1
2009-01-20,EXMOUTH,premium_98,156.9,156.9,156.9,156.9,1
2009-01-21,EXMOUTH,premium_98,156.9,156.9,156.9,156.9,1
2009-01-22,EXMOUTH,premium_98,156.9,156.9,156.9,156.9,1
2009-01-23,EXMOUTH,premium_98,160.9,160.9,160.9,160.9,1
2009-01-24,EXMOUTH,premium_98,160.9,160.9,160.9,160.9,1
2009-01-25,EXMOUTH,premium_98,160.9,160.9,160.9,160.9,1
2009-01-26,EXMOUTH,premium_98,160.9,160.9,160.9,160.9,1
2009-01-27,EXMOUTH,premium_98,160.9,160.9,160.9,160.9,1
2009-01-28,EXMOUTH,premium_98,160.9,160.9,160.9,160.9,1
2009-01-29,EXMOUTH,premium_98,160.9,160.9,160.9,160.9,1
2009-01-30,EXMOUTH,premium_98,160.9,160.9,160.9,160.9,1
2009-01-31,EXMOUTH,premium_98,160.9,160.9,160.9,160.9,1
2009-02-01,EXMOUTH,premium_98,160.9,160.9,160.9,160.9,1
2009-02-02,EXMOUTH,premium_98,160.9,160.9,160.9,160.9,1
2009-02-03,EXMOUTH,premium_98,160.9,160.9,160.9,160.9,1
2009-02-04,EXMOUTH,premium_98,160.9,160.9,160.9,160.9,1
2009-02-05,EXMOUTH,premium_98,160.9,160.9,160.9,160.9,1
2009-02-06,EXMOUTH,premium_98,160.9,160.9,160.9,160.9,1
2009-02-07,EXMOUTH,premium_98,165.9,165.9,165.9,165.9,1
2009-02-08,EXMOUTH,premium_98,165.9,165.9,165.9,165.9,1
2009-02-09,EXMOUTH,premium_98,165.9,165.9,165.9,165.9,1
2009-02-10,EXMOUTH,premium_98,165.9,165.9,165.9,165.9,1
2009-02-11,EXMOUTH,premium_98,165.9,165.9,165.9,165.9,1
2009-02-12,EXMOUTH,premium_98,165.9,165.9,165.9,165.9,1
2009-02-13,EXMOUTH,premium_98,165.9,165.9,165.9,165.9,1
2009-02-14,EXMOUTH,premium_98,165.9,165.9,165.9,165.9,1
2009-02-15,EXMOUTH,premium_98,165.9,165.9,165.9,165.9,1
2009-02-16,EXMOUTH,premium_98,165.9,165.9,165.9,165.9,1
2009-02-17,EXMOUTH,premium_98,169.9,169.9,169.9,169.9,1
2009-02-18,EXMOUTH,premium_98,169.9,169.9,169.9,169.9,1
2009-02-19,EXMOUTH,premium_98,169.9,169.9,169.9,169.9,1
2009-02-20,EXMOUTH,premium_98,169.9,169.9,169.9,169.9,1
2009-02-21,EXMOUTH,premium_98,169.9,169.9,169.9,169.9,1
2009-02-22,EXMOUTH,premium_98,169.9,169.9,169.9,169.9,1
2009-02-23,EXMOUTH,premium_98,169.9,169.9,169.9,169.9,1
2009-02-24,EXMOUTH,premium_98,169.9,169.9,169.9,169.9,1
2009-02-25,EXMOUTH,premium_98,169.9,169.9,169.9,169.9,1
2009-02-26,EXMOUTH,premium_98,169.9,169.9,169.9,169.9,1
2009-02-27,EXMOUTH,premium_98,169.9,169.9,169.9,169.9,1
2009-02-28,EXMOUTH,premium_98,169.9,169.9,169.9,169.9,1
2010-01-01,EXMOUTH,premium_98,159.9,159.9,159.9,159.9,1
2010-01-02,EXMOUTH,premium_98,159.9,159.9,159.9,159.9,1
2010-01-03,EXMOUTH,premium_98,159.9,159.9,159.9,159.9,1
2010-01-04,EXMOUTH,premium_98,159.9,159.9,159.9,159.9,1
2010-01-05,EXMOUTH,premium_98,164.9,164.9,164.9,164.9,1
2010-01-06,EXMOUTH,premium_98,164.9,164.9,164.9,164.9,1
2010-01-07,EXMOUTH,premium_98,164.9,164.9,164.9,164.9,1
2010-01-08,EXMOUTH,premium_98,164.9,164.9,164.9,164.9,1
2010-01-09,EXMOUTH,premium_98,164.9,164.9,164.9,164.9,1
2010-01-10,EXMOUTH,premium_98,164.9,164.9,164.9,164.9,1
2010-01-11,EXMOUTH,premium_98,164.9,164.9,164.9,164.9,1
2010-01-12,EXMOUTH,premium_98,164.9,164.9,164.9,164.9,1
2010-01-13,EXMOUTH,premium_98,164.9,164.9,164.9,164.9,1
2010-01-14,EXMOUTH,premium_98,164.9,164.9,164.9,164.9,1
2010-01-15,EXMOUTH,premium_98,164.9,164.9,164.9,164.9,1
2010-01-16,EXMOUTH,premium_98,164.9,164.9,164.9,164.9,1
2010-01-17,EXMOUTH,premium_98,164.9,164.9,164.9,164.9,1
2010-01-18,EXMOUTH,premium_98,164.9,164.9,164.9,164.9,1
2010-01-19,EXMOUTH,premium_98,164.9,164.9,164.9,164.9,1
2010-01-20,EXMOUTH,premium_98,164.9,164.9,164.9,164.9,1
2010-01-21,EXMOUTH,premium_98,164.9,164.9,164.9,164.9,1
2010-01-22,EXMOUTH,premium_98,164.9,164.9,164.9,164.9,1
2010-01-23,EXMOUTH,premium_98,164.9,164.9,164.9,164.9,1
2010-01-24,EXMOUTH,premium_98,164.9,164.9,164.9,164.9,1
2010-01-25,EXMOUTH,premium_98,164.9,164.9,164.9,164.9,1
2010-01-26,EXMOUTH,premium_98,164.9,164.9,164.9,164.9,1
2010-01-27,EXMOUTH,premium_98,164.9,164.9,164.9,164.9,1
2010-01-28,EXMOUTH,premium_98,164.9,164.9,164.9,164.9,1
2010-01-29,EXMOUTH,premium_98,164.9,164.9,164.9,164.9,1
2010-01-30,EXMOUTH,premium_98,164.9,164.9,164.9,164.9,1
2010-01-31,EXMOUTH,premium_98,164.9,164.9,164.9,164.9,1
2010-02-01,EXMOUTH,premium_98,164.9,164.9,164.9,164.9,1
2010-02-02,EXMOUTH,premium_98,164.9,164.9,164.9,164.9,1
2010-02-03,EXMOUTH,premium_98,164.9,164.9,164.9,164.9,1
2010-02-04,EXMOUTH,premium_98,164.9,164.9,164.9,164.9,1
2010-02-05,EXMOUTH,premium_98,164.9,164.9,164.9,164.9,1
2010-02-06,EXMOUTH,premium_98,164.9,164.9,164.9,164.9,1
2010-02-07,EXMOUTH,premium_98,164.9,164.9,164.9,164.9,1
2010-02-08,EXMOUTH,premium_98,164.9,164.9,164.9,164.9,1
2010-02-09,EXMOUTH,premium_98,164.9,164.9,164.9,164.9,1
2010-02-10,EXMOUTH,premium_98,164.9,164.9,164.9,164.9,1
2010-02-11,EXMOUTH,premium_98,164.9,164.9,164.9,164.9,1
2010-02-12,EXMOUTH,premium_98,164.9,164.9,164.9,164.9,1
2010-02-13,EXMOUTH,premium_98,164.9,164.9,164.9,164.9,1
2010-02-14,EXMOUTH,premium_98,164.9,164.9,164.9,164.9,1
2010-02-15,EXMOUTH,premium_98,164.9,164.9,164.9,164.9,1
2010-02-16,EXMOUTH,premium_98,164.9,164.9,164.9,164.9,1
2010-02-17,EXMOUTH,premium_98,164.9,164.9,164.9,164.9,1
2010-02-18,EXMOUTH,premium_98,164.9,164.9,164.9,164.9,1
