date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,FALCON,ulp_91,88.9,90.9,92.9,88.9,2
2002-01-02,FALCON,ulp_91,88.9,90.9,92.9,88.9,2
2002-01-03,FALCON,ulp_91,88.9,90.9,92.9,88.9,2
2002-01-04,FALCON,ulp_91,78.3,80.3,82.3,78.3,2
2002-01-05,FALCON,ulp_91,77.3,79.3,81.3,77.3,2
2002-01-06,FALCON,ulp_91,77.3,79.3,81.3,77.3,2
2002-01-07,FALCON,ulp_91,76.9,78.9,80.9,76.9,2
2002-01-08,FALCON,ulp_91,86.9,88.9,90.9,86.9,2
2002-01-09,FALCON,ulp_91,86.9,88.9,90.9,86.9,2
2002-01-10,FALCON,ulp_91,84.9,86.9,88.9,84.9,2
2002-01-11,FALCON,ulp_91,83.9,85.9,87.9,83.9,2
2002-01-12,FALCON,ulp_91,82.9,84.9,86.9,82.9,2
2002-01-13,FALCON,ulp_91,81.9,83.9,85.9,81.9,2
2002-01-14,FALCON,ulp_91,80.9,82.9,84.9,80.9,2
2002-01-15,FALCON,ulp_91,80.9,82.9,84.9,80.9,2
2002-01-16,FALCON,ulp_91,78.9,80.9,82.9,78.9,2
2002-01-17,FALCON,ulp_91,84.4,86.4,88.4,84.4,2
2002-01-18,FALCON,ulp_91,81.9,83.9,85.9,81.9,2
2002-01-19,FALCON,ulp_91,80.9,82.9,84.9,80.9,2
2002-01-20,FALCON,ulp_91,80.9,82.9,84.9,80.9,2
2002-01-21,FALCON,ulp_91,80.9,82.9,84.9,80.9,2
2002-01-22,FALCON,ulp_91,78.9,80.9,82.9,78.9,2
2002-01-23,FALCON,ulp_91,77.5,79.5,81.5,77.5,2
2002-01-24,FALCON,ulp_91,84.9,86.9,88.9,84.9,2
2002-01-25,FALCON,ulp_91,83.9,85.9,87.9,83.9,2
2002-01-26,FALCON,ulp_91,81.9,83.4,84.9,81.9,2
2002-01-27,FALCON,ulp_91,80.9,82.9,84.9,80.9,2
2002-01-28,FALCON,ulp_91,79.9,81.9,83.9,79.9,2
2002-01-29,FALCON,ulp_91,78.9,80.9,82.9,78.9,2
2002-01-30,FALCON,ulp_91,77.5,79.5,81.5,77.5,2
2002-01-31,FALCON,ulp_91,76.5,78.5,80.5,76.5,2
2002-02-01,FALCON,ulp_91,87.9,89.9,91.9,87.9,2
2002-02-02,FALCON,ulp_91,87.9,89.9,91.9,87.9,2
2002-02-03,FALCON,ulp_91,82.5,84.5,86.5,82.5,2
2002-02-04,FALCON,ulp_91,79.9,81.9,83.9,79.9,2
2002-02-05,FALCON,ulp_91,77.9,79.9,81.9,77.9,2
2002-02-06,FALCON,ulp_91,76.9,78.9,80.9,76.9,2
2002-02-07,FALCON,ulp_91,76.5,78.5,80.5,76.5,2
2002-02-08,FALCON,ulp_91,76.5,78.5,80.5,76.5,2
2002-02-09,FALCON,ulp_91,76.5,78.5,80.5,76.5,2
2002-02-10,FALCON,ulp_91,76.5,78.5,80.5,76.5,2
2002-02-11,FALCON,ulp_91,87.9,89.9,91.9,87.9,2
2002-02-12,FALCON,ulp_91,86.9,88.9,90.9,86.9,2
2002-02-13,FALCON,ulp_91,84.9,86.9,88.9,84.9,2
2002-02-14,FALCON,ulp_91,83.9,85.9,87.9,83.9,2
2002-02-15,FALCON,ulp_91,82.9,84.9,86.9,82.9,2
2002-02-16,FALCON,ulp_91,82.9,84.9,86.9,82.9,2
2002-02-17,FALCON,ulp_91,80.9,82.9,84.9,80.9,2
2002-02-18,FALCON,ulp_91,80.9,82.9,84.9,80.9,2
2002-02-19,FALCON,ulp_91,90.9,92.9,94.9,90.9,2
2002-02-20,FALCON,ulp_91,89.9,91.9,93.9,89.9,2
2002-02-21,FALCON,ulp_91,87.9,89.9,91.9,87.9,2
2002-02-22,FALCON,ulp_91,85.9,87.9,89.9,85.9,2
2002-02-23,FALCON,ulp_91,84.5,86.5,88.5,84.5,2
2002-02-24,FALCON,ulp_91,83.5,85.5,87.5,83.5,2
2002-02-25,FALCON,ulp_91,83.5,85.5,87.5,83.5,2
