date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2004-01-01,FITZROY CROSSING,lpg,75.9,75.9,75.9,75.9,1
2004-01-02,FITZROY CROSSING,lpg,75.9,75.9,75.9,75.9,1
2004-01-03,FITZROY CROSSING,lpg,75.9,75.9,75.9,75.9,1
2004-01-04,FITZROY CROSSING,lpg,75.9,75.9,75.9,75.9,1
2004-01-05,FITZROY CROSSING,lpg,75.9,75.9,75.9,75.9,1
2004-01-06,FITZROY CROSSING,lpg,75.9,75.9,75.9,75.9,1
2004-01-07,FITZROY CROSSING,lpg,75.9,75.9,75.9,75.9,1
2004-01-08,FITZROY CROSSING,lpg,75.9,75.9,75.9,75.9,1
2004-01-09,FITZROY CROSSING,lpg,75.9,75.9,75.9,75.9,1
2004-01-10,FITZROY CROSSING,lpg,75.9,75.9,75.9,75.9,1
2004-01-11,FITZROY CROSSING,lpg,75.9,75.9,75.9,75.9,1
2004-01-12,FITZROY CROSSING,lpg,75.9,75.9,75.9,75.9,1
2004-01-13,FITZROY CROSSING,lpg,75.9,75.9,75.9,75.9,1
2004-01-14,FITZROY CROSSING,lpg,75.9,75.9,75.9,75.9,1
2004-01-15,FITZROY CROSSING,lpg,75.9,75.9,75.9,75.9,1
2004-01-16,FITZROY CROSSING,lpg,75.9,75.9,75.9,75.9,1
2004-01-17,FITZROY CROSSING,lpg,75.9,75.9,75.9,75.9,1
2004-01-18,FITZROY CROSSING,lpg,75.9,75.9,75.9,75.9,1
2004-01-19,FITZROY CROSSING,lpg,75.9,75.9,75.9,75.9,1
2004-01-20,FITZROY CROSSING,lpg,75.9,75.9,75.9,75.9,1
2004-01-21,FITZROY CROSSING,lpg,75.9,75.9,75.9,75.9,1
2004-01-22,FITZROY CROSSING,lpg,75.9,75.9,75.9,75.9,1
2004-01-23,FITZROY CROSSING,lpg,75.9,75.9,75.9,75.9,1
2004-01-24,FITZROY CROSSING,lpg,75.9,75.9,75.9,75.9,1
2004-01-25,FITZROY CROSSING,lpg,75.9,75.9,75.9,75.9,1
2004-01-26,FITZROY CROSSING,lpg,75.9,75.9,75.9,75.9,1
2004-01-27,FITZROY CROSSING,lpg,75.9,75.9,75.9,75.9,1
2004-01-28,FITZROY CROSSING,lpg,75.9,75.9,75.9,75.9,1
2004-01-29,FITZROY CROSSING,lpg,75.9,75.9,75.9,75.9,1
2004-01-30,FITZROY CROSSING,lpg,75.9,75.9,75.9,75.9,1
2004-01-31,FITZROY CROSSING,lpg,75.9,75.9,75.9,75.9,1
2004-02-01,FITZROY CROSSING,lpg,75.9,75.9,75.9,75.9,1
2004-02-02,FITZROY CROSSING,lpg,75.9,75.9,75.9,75.9,1
2004-02-03,FITZROY CROSSING,lpg,75.9,75.9,75.9,75.9,1
2004-02-04,FITZROY CROSSING,lpg,75.9,75.9,75.9,75.9,1
2004-02-05,FITZROY CROSSING,lpg,75.9,75.9,75.9,75.9,1
2004-02-06,FITZROY CROSSING,lpg,75.9,75.9,75.9,75.9,1
2004-02-07,FITZROY CROSSING,lpg,75.9,75.9,75.9,75.9,1
2004-02-08,FITZROY CROSSING,lpg,75.9,75.9,75.9,75.9,1
2004-02-09,FITZROY CROSSING,lpg,75.9,75.9,75.9,75.9,1
2004-02-10,FITZROY CROSSING,lpg,75.9,75.9,75.9,75.9,1
2004-02-11,FITZROY CROSSING,lpg,75.9,75.9,75.9,75.9,1
2004-02-12,FITZROY CROSSING,lpg,75.9,75.9,75.9,75.9,1
2004-02-13,FITZROY CROSSING,lpg,75.9,75.9,75.9,75.9,1
2004-02-14,FITZROY CROSSING,lpg,75.9,75.9,75.9,75.9,1
2004-02-15,FITZROY CROSSING,lpg,75.9,75.9,75.9,75.9,1
2004-02-16,FITZROY CROSSING,lpg,75.9,75.9,75.9,75.9,1
2004-02-17,FITZROY CROSSING,lpg,75.9,75.9,75.9,75.9,1
2004-02-18,FITZROY CROSSING,lpg,75.9,75.9,75.9,75.9,1
2004-02-19,FITZROY CROSSING,lpg,75.9,75.9,75.9,75.9,1
2004-02-20,FITZROY CROSSING,lpg,75.9,75.9,75.9,75.9,1
2004-02-21,FITZROY CROSSING,lpg,75.9,75.9,75.9,75.9,1
2004-02-22,FITZROY CROSSING,lpg,75.9,75.9,75.9,75.9,1
2004-02-23,FITZROY CROSSING,lpg,75.9,75.9,75.9,75.9,1
2004-02-24,FITZROY CROSSING,lpg,75.9,75.9,75.9,75.9,1
2004-02-25,FITZROY CROSSING,lpg,75.9,75.9,75.9,75.9,1
2004-02-26,FITZROY CROSSING,lpg,75.9,75.9,75.9,75.9,1
2004-02-27,FITZROY CROSSING,lpg,75.9,75.9,75.9,75.9,1
2004-02-28,FITZROY CROSSING,lpg,75.9,75.9,75.9,75.9,1
2004-02-29,FITZROY CROSSING,lpg,75.9,75.9,75.9,75.9,1
2005-01-01,FITZROY CROSSING,lpg,78.6,78.6,78.6,78.6,1
2005-01-02,FITZROY CROSSING,lpg,78.6,78.6,78.6,78.6,1
2005-01-03,FITZROY CROSSING,lpg,78.6,78.6,78.6,78.6,1
2005-01-04,FITZROY CROSSING,lpg,78.6,78.6,78.6,78.6,1
2005-01-05,FITZROY CROSSING,lpg,78.6,78.6,78.6,78.6,1
2005-01-06,FITZROY CROSSING,lpg,78.6,78.6,78.6,78.6,1
2005-01-07,FITZROY CROSSING,lpg,78.6,78.6,78.6,78.6,1
2005-01-08,FITZROY CROSSING,lpg,78.6,78.6,78.6,78.6,1
2005-01-09,FITZROY CROSSING,lpg,78.6,78.6,78.6,78.6,1
2005-01-10,FITZROY CROSSING,lpg,78.6,78.6,78.6,78.6,1
2005-01-11,FITZROY CROSSING,lpg,75.1,75.1,75.1,75.1,1
2005-01-12,FITZROY CROSSING,lpg,75.1,75.1,75.1,75.1,1
2005-01-13,FITZROY CROSSING,lpg,75.1,75.1,75.1,75.1,1
2005-01-14,FITZROY CROSSING,lpg,75.1,75.1,75.1,75.1,1
2005-01-15,FITZROY CROSSING,lpg,75.1,75.1,75.1,75.1,1
2005-01-16,FITZROY CROSSING,lpg,75.1,75.1,75.1,75.1,1
2005-01-17,FITZROY CROSSING,lpg,75.1,75.1,75.1,75.1,1
2005-01-18,FITZROY CROSSING,lpg,75.1,75.1,75.1,75.1,1
2005-01-19,FITZROY CROSSING,lpg,75.1,75.1,75.1,75.1,1
2005-01-20,FITZROY CROSSING,lpg,75.1,75.1,75.1,75.1,1
2005-01-21,FITZROY CROSSING,lpg,75.1,75.1,75.1,75.1,1
2005-01-22,FITZROY CROSSING,lpg,75.1,75.1,75.1,75.1,1
2005-01-23,FITZROY CROSSING,lpg,75.1,75.1,75.1,75.1,1
2005-01-24,FITZROY CROSSING,lpg,75.1,75.1,75.1,75.1,1
2005-01-25,FITZROY CROSSING,lpg,75.1,75.1,75.1,75.1,1
2005-01-26,FITZROY CROSSING,lpg,75.1,75.1,75.1,75.1,1
2005-01-27,FITZROY CROSSING,lpg,75.1,75.1,75.1,75.1,1
2005-01-28,FITZROY CROSSING,lpg,75.1,75.1,75.1,75.1,1
2005-01-29,FITZROY CROSSING,lpg,75.1,75.1,75.1,75.1,1
2005-01-30,FITZROY CROSSING,lpg,75.1,75.1,75.1,75.1,1
2005-01-31,FITZROY CROSSING,lpg,75.1,75.1,75.1,75.1,1
2005-02-01,FITZROY CROSSING,lpg,75.1,75.1,75.1,75.1,1
2005-02-02,FITZROY CROSSING,lpg,75.1,75.1,75.1,75.1,1
2005-02-03,FITZROY CROSSING,lpg,75.1,75.1,75.1,75.1,1
2005-02-04,FITZROY CROSSING,lpg,75.1,75.1,75.1,75.1,1
2005-02-05,FITZROY CROSSING,lpg,75.1,75.1,75.1,75.1,1
2005-02-06,FITZROY CROSSING,lpg,75.1,75.1,75.1,75.1,1
2005-02-07,FITZROY CROSSING,lpg,75.1,75.1,75.1,75.1,1
2005-02-08,FITZROY CROSSING,lpg,75.1,75.1,75.1,75.1,1
2005-02-09,FITZROY CROSSING,lpg,75.1,75.1,75.1,75.1,1
2005-02-10,FITZROY CROSSING,lpg,75.1,75.1,75.1,75.1,1
2005-02-11,FITZROY CROSSING,lpg,75.1,75.1,75.1,75.1,1
2005-02-12,FITZROY CROSSING,lpg,75.1,75.1,75.1,75.1,1
2005-02-13,FITZROY CROSSING,lpg,75.1,75.1,75.1,75.1,1
2005-02-14,FITZROY CROSSING,lpg,75.1,75.1,75.1,75.1,1
2005-02-15,FITZROY CROSSING,lpg,75.1,75.1,75.1,75.1,1
2005-02-16,FITZROY CROSSING,lpg,75.1,75.1,75.1,75.1,1
2005-02-17,FITZROY CROSSING,lpg,75.1,75.1,75.1,75.1,1
2005-02-18,FITZROY CROSSING,lpg,75.1,75.1,75.1,75.1,1
2005-02-19,FITZROY CROSSING,lpg,75.1,75.1,75.1,75.1,1
2005-02-20,FITZROY CROSSING,lpg,75.1,75.1,75.1,75.1,1
2005-02-21,FITZROY CROSSING,lpg,75.1,75.1,75.1,75.1,1
2005-02-22,FITZROY CROSSING,lpg,75.1,75.1,75.1,75.1,1
2005-02-23,FITZROY CROSSING,lpg,75.1,75.1,75.1,75.1,1
2005-02-24,FITZROY CROSSING,lpg,75.1,75.1,75.1,75.1,1
2005-02-25,FITZROY CROSSING,lpg,75.1,75.1,75.1,75.1,1
2005-02-26,FITZROY CROSSING,lpg,75.1,75.1,75.1,75.1,1
2005-02-27,FITZROY CROSSING,lpg,75.1,75.1,75.1,75.1,1
2005-02-28,FITZROY CROSSING,lpg,75.1,75.1,75.1,75.1,1
2006-01-01,FITZROY CROSSING,lpg,85.2,85.2,85.2,85.2,1
2006-01-02,FITZROY CROSSING,lpg,85.2,85.2,85.2,85.2,1
2006-01-03,FITZROY CROSSING,lpg,85.2,85.2,85.2,85.2,1
2006-01-04,FITZROY CROSSING,lpg,85.2,85.2,85.2,85.2,1
2006-01-05,FITZROY CROSSING,lpg,85.2,85.2,85.2,85.2,1
2006-01-06,FITZROY CROSSING,lpg,85.2,85.2,85.2,85.2,1
