date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2005-01-01,FITZROY CROSSING,premium_95,130.9,130.9,130.9,130.9,1
2005-01-02,FITZROY CROSSING,premium_95,130.9,130.9,130.9,130.9,1
2005-01-03,FITZROY CROSSING,premium_95,130.9,130.9,130.9,130.9,1
2005-01-04,FITZROY CROSSING,premium_95,130.9,130.9,130.9,130.9,1
2005-01-05,FITZROY CROSSING,premium_95,130.9,130.9,130.9,130.9,1
2005-01-06,FITZROY CROSSING,premium_95,130.9,130.9,130.9,130.9,1
2005-01-07,FITZROY CROSSING,premium_95,130.9,130.9,130.9,130.9,1
2005-01-08,FITZROY CROSSING,premium_95,130.9,130.9,130.9,130.9,1
2005-01-09,FITZROY CROSSING,premium_95,130.9,130.9,130.9,130.9,1
2005-01-10,FITZROY CROSSING,premium_95,130.9,130.9,130.9,130.9,1
2005-01-11,FITZROY CROSSING,premium_95,130.9,130.9,130.9,130.9,1
2005-01-12,FITZROY CROSSING,premium_95,130.9,130.9,130.9,130.9,1
2005-01-13,FITZROY CROSSING,premium_95,130.9,130.9,130.9,130.9,1
2005-01-14,FITZROY CROSSING,premium_95,130.9,130.9,130.9,130.9,1
2005-01-15,FITZROY CROSSING,premium_95,130.9,130.9,130.9,130.9,1
2005-01-16,FITZROY CROSSING,premium_95,130.9,130.9,130.9,130.9,1
2005-01-17,FITZROY CROSSING,premium_95,130.9,130.9,130.9,130.9,1
2005-01-18,FITZROY CROSSING,premium_95,130.9,130.9,130.9,130.9,1
2005-01-19,FITZROY CROSSING,premium_95,130.9,130.9,130.9,130.9,1
2005-01-20,FITZROY CROSSING,premium_95,130.9,130.9,130.9,130.9,1
2005-01-21,FITZROY CROSSING,premium_95,130.9,130.9,130.9,130.9,1
2005-01-22,FITZROY CROSSING,premium_95,130.9,130.9,130.9,130.9,1
2005-01-23,FITZROY CROSSING,premium_95,130.9,130.9,130.9,130.9,1
2005-01-24,FITZROY CROSSING,premium_95,130.9,130.9,130.9,130.9,1
2005-01-25,FITZROY CROSSING,premium_95,130.9,130.9,130.9,130.9,1
2005-01-26,FITZROY CROSSING,premium_95,130.9,130.9,130.9,130.9,1
2005-01-27,FITZROY CROSSING,premium_95,130.9,130.9,130.9,130.9,1
2005-01-28,FITZROY CROSSING,premium_95,130.9,130.9,130.9,130.9,1
2005-01-29,FITZROY CROSSING,premium_95,130.9,130.9,130.9,130.9,1
2005-01-30,FITZROY CROSSING,premium_95,130.9,130.9,130.9,130.9,1
2005-01-31,FITZROY CROSSING,premium_95,130.9,130.9,130.9,130.9,1
2005-02-01,FITZROY CROSSING,premium_95,130.9,130.9,130.9,130.9,1
2005-02-02,FITZROY CROSSING,premium_95,130.9,130.9,130.9,130.9,1
2005-02-03,FITZROY CROSSING,premium_95,130.9,130.9,130.9,130.9,1
2005-02-04,FITZROY CROSSING,premium_95,130.9,130.9,130.9,130.9,1
2005-02-05,FITZROY CROSSING,premium_95,130.9,130.9,130.9,130.9,1
2005-02-06,FITZROY CROSSING,premium_95,130.9,130.9,130.9,130.9,1
2005-02-07,FITZROY CROSSING,premium_95,130.9,130.9,130.9,130.9,1
2005-02-08,FITZROY CROSSING,premium_95,130.9,130.9,130.9,130.9,1
2005-02-09,FITZROY CROSSING,premium_95,130.9,130.9,130.9,130.9,1
2005-02-10,FITZROY CROSSING,premium_95,130.9,130.9,130.9,130.9,1
2005-02-11,FITZROY CROSSING,premium_95,130.9,130.9,130.9,130.9,1
2005-02-12,FITZROY CROSSING,premium_95,130.9,130.9,130.9,130.9,1
2005-02-13,FITZROY CROSSING,premium_95,130.9,130.9,130.9,130.9,1
2005-02-14,FITZROY CROSSING,premium_95,130.9,130.9,130.9,130.9,1
2005-02-15,FITZROY CROSSING,premium_95,130.9,130.9,130.9,130.9,1
2005-02-16,FITZROY CROSSING,premium_95,130.9,130.9,130.9,130.9,1
2005-02-17,FITZROY CROSSING,premium_95,130.9,130.9,130.9,130.9,1
2005-02-18,FITZROY CROSSING,premium_95,130.9,130.9,130.9,130.9,1
2005-02-19,FITZROY CROSSING,premium_95,130.9,130.9,130.9,130.9,1
2005-02-20,FITZROY CROSSING,premium_95,130.9,130.9,130.9,130.9,1
2005-02-21,FITZROY CROSSING,premium_95,130.9,130.9,130.9,130.9,1
2005-02-22,FITZROY CROSSING,premium_95,130.9,130.9,130.9,130.9,1
2005-02-23,FITZROY CROSSING,premium_95,130.9,130.9,130.9,130.9,1
2005-02-24,FITZROY CROSSING,premium_95,130.9,130.9,130.9,130.9,1
2005-02-25,FITZROY CROSSING,premium_95,130.9,130.9,130.9,130.9,1
2005-02-26,FITZROY CROSSING,premium_95,130.9,130.9,130.9,130.9,1
2005-02-27,FITZROY CROSSING,premium_95,130.9,130.9,130.9,130.9,1
2005-02-28,FITZROY CROSSING,premium_95,130.9,130.9,130.9,130.9,1
2006-01-01,FITZROY CROSSING,premium_95,143.5,148.0,150.3,143.5,3
2006-01-02,FITZROY CROSSING,premium_95,143.5,148.0,150.3,143.5,3
2006-01-03,FITZROY CROSSING,premium_95,143.5,148.0,150.3,143.5,3
2006-01-04,FITZROY CROSSING,premium_95,143.5,148.0,150.3,143.5,3
2006-01-05,FITZROY CROSSING,premium_95,143.5,148.0,150.3,143.5,3
2006-01-06,FITZROY CROSSING,premium_95,143.5,148.0,150.3,143.5,3
2006-01-07,FITZROY CROSSING,premium_95,143.5,148.0,150.3,143.5,3
2006-01-08,FITZROY CROSSING,premium_95,143.5,148.0,150.3,143.5,3
2006-01-09,FITZROY CROSSING,premium_95,143.5,148.0,150.3,143.5,3
2006-01-10,FITZROY CROSSING,premium_95,143.5,148.0,150.3,143.5,3
2006-01-11,FITZROY CROSSING,premium_95,143.5,148.0,150.3,143.5,3
2006-01-12,FITZROY CROSSING,premium_95,143.5,148.0,150.3,143.5,3
2006-01-13,FITZROY CROSSING,premium_95,143.5,148.0,150.3,143.5,3
2006-01-14,FITZROY CROSSING,premium_95,143.5,148.0,150.3,143.5,3
2006-01-15,FITZROY CROSSING,premium_95,143.5,148.0,150.3,143.5,3
2006-01-16,FITZROY CROSSING,premium_95,143.5,148.0,150.3,143.5,3
2006-01-17,FITZROY CROSSING,premium_95,143.5,148.0,150.3,143.5,3
2006-01-18,FITZROY CROSSING,premium_95,143.5,148.0,150.3,143.5,3
2006-01-19,FITZROY CROSSING,premium_95,143.5,148.0,150.3,143.5,3
2006-01-20,FITZROY CROSSING,premium_95,143.5,148.0,150.3,143.5,3
2006-01-21,FITZROY CROSSING,premium_95,143.5,148.0,150.3,143.5,3
2006-01-22,FITZROY CROSSING,premium_95,143.5,148.0,150.3,143.5,3
2006-01-23,FITZROY CROSSING,premium_95,143.5,148.0,150.3,143.5,3
2006-01-24,FITZROY CROSSING,premium_95,144.5,148.4,150.3,144.5,3
2006-01-25,FITZROY CROSSING,premium_95,144.5,148.4,150.3,144.5,3
2006-01-26,FITZROY CROSSING,premium_95,144.5,148.4,150.3,144.5,3
2006-01-27,FITZROY CROSSING,premium_95,144.5,148.4,150.3,144.5,3
2006-01-28,FITZROY CROSSING,premium_95,144.5,148.4,150.3,144.5,3
2006-01-29,FITZROY CROSSING,premium_95,144.5,148.4,150.3,144.5,3
2006-01-30,FITZROY CROSSING,premium_95,144.5,148.4,150.3,144.5,3
2006-01-31,FITZROY CROSSING,premium_95,144.5,148.4,150.3,144.5,3
2006-02-01,FITZROY CROSSING,premium_95,144.5,148.4,150.3,144.5,3
2006-02-02,FITZROY CROSSING,premium_95,144.5,147.4,150.3,144.5,3
2006-02-03,FITZROY CROSSING,premium_95,147.3,148.8,150.3,147.3,3
2006-02-04,FITZROY CROSSING,premium_95,147.3,148.8,150.3,147.3,3
2006-02-05,FITZROY CROSSING,premium_95,147.3,148.8,150.3,147.3,3
2006-02-06,FITZROY CROSSING,premium_95,147.3,148.8,150.3,147.3,3
