date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2016-01-01,FORRESTDALE,diesel,123.9,124.9,125.9,123.9,2
2016-01-02,FORRESTDALE,diesel,123.9,124.9,125.9,123.9,2
2016-01-03,FORRESTDALE,diesel,123.9,124.9,125.9,123.9,2
2016-01-04,FORRESTDALE,diesel,123.9,124.9,125.9,123.9,2
2016-01-05,FORRESTDALE,diesel,123.9,124.9,125.9,123.9,2
2016-01-06,FORRESTDALE,diesel,123.9,124.9,125.9,123.9,2
2016-01-07,FORRESTDALE,diesel,123.9,124.9,125.9,123.9,2
2016-01-08,FORRESTDALE,diesel,123.9,124.9,125.9,123.9,2
2016-01-09,FORRESTDALE,diesel,123.9,124.9,125.9,123.9,2
2016-01-10,FORRESTDALE,diesel,123.9,124.9,125.9,123.9,2
2016-01-11,FORRESTDALE,diesel,123.9,124.9,125.9,123.9,2
2016-01-12,FORRESTDALE,diesel,123.9,124.9,125.9,123.9,2
2016-01-13,FORRESTDALE,diesel,123.9,124.9,125.9,123.9,2
2016-01-14,FORRESTDALE,diesel,123.9,124.9,125.9,123.9,2
2016-01-15,FORRESTDALE,diesel,123.9,124.9,125.9,123.9,2
2016-01-16,FORRESTDALE,diesel,123.9,124.9,125.9,123.9,2
2016-01-17,FORRESTDALE,diesel,123.9,124.9,125.9,123.9,2
2016-01-18,FORRESTDALE,diesel,123.9,124.9,125.9,123.9,2
2016-01-19,FORRESTDALE,diesel,121.9,122.9,123.9,121.9,2
2016-01-20,FORRESTDALE,diesel,121.9,122.9,123.9,121.9,2
2016-01-21,FORRESTDALE,diesel,119.9,120.9,121.9,119.9,2
2016-01-22,FORRESTDALE,diesel,119.9,120.9,121.9,119.9,2
2016-01-23,FORRESTDALE,diesel,119.9,120.9,121.9,119.9,2
2016-01-24,FORRESTDALE,diesel,119.9,120.9,121.9,119.9,2
2016-01-25,FORRESTDALE,diesel,119.9,120.9,121.9,119.9,2
2016-01-26,FORRESTDALE,diesel,115.9,116.9,117.9,115.9,2
2016-01-27,FORRESTDALE,diesel,115.9,116.9,117.9,115.9,2
2016-01-28,FORRESTDALE,diesel,115.9,116.9,117.9,115.9,2
2016-01-29,FORRESTDALE,diesel,115.9,116.9,117.9,115.9,2
2016-01-30,FORRESTDALE,diesel,115.9,116.9,117.9,115.9,2
2016-01-31,FORRESTDALE,diesel,115.9,116.9,117.9,115.9,2
2016-02-01,FORRESTDALE,diesel,115.9,116.9,117.9,115.9,2
2016-02-02,FORRESTDALE,diesel,115.9,116.9,117.9,115.9,2
2016-02-03,FORRESTDALE,diesel,115.9,116.9,117.9,115.9,2
2016-02-04,FORRESTDALE,diesel,115.9,116.9,117.9,115.9,2
2016-02-05,FORRESTDALE,diesel,115.9,116.9,117.9,115.9,2
2016-02-06,FORRESTDALE,diesel,114.9,115.9,116.9,114.9,2
2016-02-07,FORRESTDALE,diesel,114.9,115.9,116.9,114.9,2
2016-02-08,FORRESTDALE,diesel,114.9,115.9,116.9,114.9,2
2016-02-09,FORRESTDALE,diesel,114.9,115.9,116.9,114.9,2
2016-02-10,FORRESTDALE,diesel,114.9,115.9,116.9,114.9,2
2016-02-11,FORRESTDALE,diesel,114.9,115.9,116.9,114.9,2
2016-02-12,FORRESTDALE,diesel,114.9,115.9,116.9,114.9,2
2016-02-13,FORRESTDALE,diesel,114.9,115.9,116.9,114.9,2
2016-02-14,FORRESTDALE,diesel,114.9,115.9,116.9,114.9,2
2016-02-15,FORRESTDALE,diesel,114.9,115.9,116.9,114.9,2
2016-02-16,FORRESTDALE,diesel,114.9,115.9,116.9,114.9,2
2016-02-17,FORRESTDALE,diesel,114.9,115.9,116.9,114.9,2
2016-02-18,FORRESTDALE,diesel,114.9,115.9,116.9,114.9,2
2016-02-19,FORRESTDALE,diesel,114.9,115.9,116.9,114.9,2
2016-02-20,FORRESTDALE,diesel,114.9,115.9,116.9,114.9,2
2016-02-21,FORRESTDALE,diesel,114.9,115.9,116.9,114.9,2
2016-02-22,FORRESTDALE,diesel,114.9,115.9,116.9,114.9,2
2016-02-23,FORRESTDALE,diesel,111.9,112.9,113.9,111.9,2
2016-02-24,FORRESTDALE,diesel,111.9,112.9,113.9,111.9,2
2016-02-25,FORRESTDALE,diesel,111.9,112.9,113.9,111.9,2
2016-02-26,FORRESTDALE,diesel,111.9,112.9,113.9,111.9,2
2016-02-27,FORRESTDALE,diesel,111.9,112.9,113.9,111.9,2
2016-02-28,FORRESTDALE,diesel,111.9,112.9,113.9,111.9,2
2016-02-29,FORRESTDALE,diesel,111.9,112.9,113.9,111.9,2
2017-01-01,FORRESTDALE,diesel,134.9,136.2,136.9,134.9,3
2017-01-02,FORRESTDALE,diesel,134.9,136.2,136.9,134.9,3
2017-01-03,FORRESTDALE,diesel,134.9,136.2,136.9,134.9,3
2017-01-04,FORRESTDALE,diesel,134.9,136.2,136.9,134.9,3
