date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,FORRESTFIELD,lpg,45.9,45.9,45.9,45.9,1
2002-01-02,FORRESTFIELD,lpg,45.9,45.9,45.9,45.9,1
2002-01-03,FORRESTFIELD,lpg,45.9,45.9,45.9,45.9,1
2002-01-04,FORRESTFIELD,lpg,45.9,45.9,45.9,45.9,1
2002-01-05,FORRESTFIELD,lpg,45.9,45.9,45.9,45.9,1
2002-01-06,FORRESTFIELD,lpg,45.9,45.9,45.9,45.9,1
2002-01-07,FORRESTFIELD,lpg,45.9,45.9,45.9,45.9,1
2002-01-08,FORRESTFIELD,lpg,45.9,45.9,45.9,45.9,1
2002-01-09,FORRESTFIELD,lpg,47.9,47.9,47.9,47.9,1
2002-01-10,FORRESTFIELD,lpg,47.9,47.9,47.9,47.9,1
2002-01-11,FORRESTFIELD,lpg,47.9,47.9,47.9,47.9,1
2002-01-12,FORRESTFIELD,lpg,47.9,47.9,47.9,47.9,1
2002-01-13,FORRESTFIELD,lpg,47.9,47.9,47.9,47.9,1
2002-01-14,FORRESTFIELD,lpg,47.9,47.9,47.9,47.9,1
2002-01-15,FORRESTFIELD,lpg,47.9,47.9,47.9,47.9,1
2002-01-16,FORRESTFIELD,lpg,47.9,47.9,47.9,47.9,1
2002-01-17,FORRESTFIELD,lpg,46.9,46.9,46.9,46.9,1
2002-01-18,FORRESTFIELD,lpg,46.9,46.9,46.9,46.9,1
2002-01-19,FORRESTFIELD,lpg,46.9,46.9,46.9,46.9,1
2002-01-20,FORRESTFIELD,lpg,46.5,46.5,46.5,46.5,1
2002-01-21,FORRESTFIELD,lpg,46.5,46.5,46.5,46.5,1
2002-01-22,FORRESTFIELD,lpg,46.5,46.5,46.5,46.5,1
2002-01-23,FORRESTFIELD,lpg,46.5,46.5,46.5,46.5,1
2002-01-24,FORRESTFIELD,lpg,46.5,46.5,46.5,46.5,1
2002-01-25,FORRESTFIELD,lpg,46.5,46.5,46.5,46.5,1
2002-01-26,FORRESTFIELD,lpg,46.5,46.5,46.5,46.5,1
2002-01-27,FORRESTFIELD,lpg,46.5,46.5,46.5,46.5,1
2002-01-28,FORRESTFIELD,lpg,45.9,45.9,45.9,45.9,1
2002-01-29,FORRESTFIELD,lpg,45.9,45.9,45.9,45.9,1
2002-01-30,FORRESTFIELD,lpg,45.9,45.9,45.9,45.9,1
2002-01-31,FORRESTFIELD,lpg,45.9,45.9,45.9,45.9,1
2002-02-01,FORRESTFIELD,lpg,45.9,45.9,45.9,45.9,1
2002-02-02,FORRESTFIELD,lpg,45.9,45.9,45.9,45.9,1
2002-02-03,FORRESTFIELD,lpg,45.9,45.9,45.9,45.9,1
2002-02-04,FORRESTFIELD,lpg,45.9,45.9,45.9,45.9,1
2002-02-05,FORRESTFIELD,lpg,45.9,45.9,45.9,45.9,1
2002-02-06,FORRESTFIELD,lpg,45.9,45.9,45.9,45.9,1
2002-02-07,FORRESTFIELD,lpg,45.9,45.9,45.9,45.9,1
2002-02-08,FORRESTFIELD,lpg,45.9,45.9,45.9,45.9,1
2002-02-09,FORRESTFIELD,lpg,45.9,45.9,45.9,45.9,1
2002-02-10,FORRESTFIELD,lpg,45.9,45.9,45.9,45.9,1
2002-02-11,FORRESTFIELD,lpg,43.9,43.9,43.9,43.9,1
2002-02-12,FORRESTFIELD,lpg,43.9,43.9,43.9,43.9,1
2002-02-13,FORRESTFIELD,lpg,43.9,43.9,43.9,43.9,1
2002-02-14,FORRESTFIELD,lpg,43.9,43.9,43.9,43.9,1
2002-02-15,FORRESTFIELD,lpg,43.9,43.9,43.9,43.9,1
2002-02-16,FORRESTFIELD,lpg,43.9,43.9,43.9,43.9,1
2002-02-17,FORRESTFIELD,lpg,43.5,43.5,43.5,43.5,1
2002-02-18,FORRESTFIELD,lpg,43.5,43.5,43.5,43.5,1
2002-02-19,FORRESTFIELD,lpg,43.5,43.5,43.5,43.5,1
2002-02-20,FORRESTFIELD,lpg,42.5,42.5,42.5,42.5,1
2002-02-21,FORRESTFIELD,lpg,41.7,41.7,41.7,41.7,1
2002-02-22,FORRESTFIELD,lpg,41.7,41.7,41.7,41.7,1
2002-02-23,FORRESTFIELD,lpg,41.7,41.7,41.7,41.7,1
2002-02-24,FORRESTFIELD,lpg,41.7,41.7,41.7,41.7,1
2002-02-25,FORRESTFIELD,lpg,41.3,41.3,41.3,41.3,1
2002-02-26,FORRESTFIELD,lpg,45.9,45.9,45.9,45.9,1
2002-02-27,FORRESTFIELD,lpg,45.9,45.9,45.9,45.9,1
2002-02-28,FORRESTFIELD,lpg,44.5,44.5,44.5,44.5,1
2003-01-01,FORRESTFIELD,lpg,47.9,47.9,47.9,47.9,1
2003-01-02,FORRESTFIELD,lpg,47.9,47.9,47.9,47.9,1
2003-01-03,FORRESTFIELD,lpg,47.9,47.9,47.9,47.9,1
2003-01-04,FORRESTFIELD,lpg,47.9,47.9,47.9,47.9,1
2003-01-05,FORRESTFIELD,lpg,54.9,54.9,54.9,54.9,1
2003-01-06,FORRESTFIELD,lpg,54.9,54.9,54.9,54.9,1
2003-01-07,FORRESTFIELD,lpg,54.9,54.9,54.9,54.9,1
2003-01-08,FORRESTFIELD,lpg,54.9,54.9,54.9,54.9,1
2003-01-09,FORRESTFIELD,lpg,54.9,54.9,54.9,54.9,1
2003-01-10,FORRESTFIELD,lpg,54.9,54.9,54.9,54.9,1
2003-01-11,FORRESTFIELD,lpg,54.9,54.9,54.9,54.9,1
2003-01-12,FORRESTFIELD,lpg,53.5,53.5,53.5,53.5,1
2003-01-13,FORRESTFIELD,lpg,51.9,51.9,51.9,51.9,1
2003-01-14,FORRESTFIELD,lpg,51.5,51.5,51.5,51.5,1
2003-01-15,FORRESTFIELD,lpg,50.9,50.9,50.9,50.9,1
2003-01-16,FORRESTFIELD,lpg,50.9,50.9,50.9,50.9,1
2003-01-17,FORRESTFIELD,lpg,49.9,49.9,49.9,49.9,1
2003-01-18,FORRESTFIELD,lpg,49.9,49.9,49.9,49.9,1
2003-01-19,FORRESTFIELD,lpg,49.9,49.9,49.9,49.9,1
2003-01-20,FORRESTFIELD,lpg,57.9,57.9,57.9,57.9,1
2003-01-21,FORRESTFIELD,lpg,57.3,57.3,57.3,57.3,1
2003-01-22,FORRESTFIELD,lpg,53.7,53.7,53.7,53.7,1
2003-01-23,FORRESTFIELD,lpg,53.7,53.7,53.7,53.7,1
2003-01-24,FORRESTFIELD,lpg,53.7,53.7,53.7,53.7,1
2003-01-25,FORRESTFIELD,lpg,53.7,53.7,53.7,53.7,1
2003-01-26,FORRESTFIELD,lpg,52.5,52.5,52.5,52.5,1
2003-01-27,FORRESTFIELD,lpg,52.5,52.5,52.5,52.5,1
2003-01-28,FORRESTFIELD,lpg,52.5,52.5,52.5,52.5,1
2003-01-29,FORRESTFIELD,lpg,52.5,52.5,52.5,52.5,1
2003-01-30,FORRESTFIELD,lpg,52.5,52.5,52.5,52.5,1
2003-01-31,FORRESTFIELD,lpg,51.5,51.5,51.5,51.5,1
2003-02-01,FORRESTFIELD,lpg,50.9,50.9,50.9,50.9,1
2003-02-02,FORRESTFIELD,lpg,49.9,49.9,49.9,49.9,1
2003-02-03,FORRESTFIELD,lpg,49.5,49.5,49.5,49.5,1
2003-02-04,FORRESTFIELD,lpg,48.9,48.9,48.9,48.9,1
2003-02-05,FORRESTFIELD,lpg,48.9,48.9,48.9,48.9,1
2003-02-06,FORRESTFIELD,lpg,59.9,59.9,59.9,59.9,1
2003-02-07,FORRESTFIELD,lpg,59.7,59.7,59.7,59.7,1
2003-02-08,FORRESTFIELD,lpg,58.9,58.9,58.9,58.9,1
2003-02-09,FORRESTFIELD,lpg,56.9,56.9,56.9,56.9,1
2003-02-10,FORRESTFIELD,lpg,56.9,56.9,56.9,56.9,1
2003-02-11,FORRESTFIELD,lpg,55.9,55.9,55.9,55.9,1
2003-02-12,FORRESTFIELD,lpg,55.9,55.9,55.9,55.9,1
2003-02-13,FORRESTFIELD,lpg,52.9,52.9,52.9,52.9,1
2003-02-14,FORRESTFIELD,lpg,52.9,52.9,52.9,52.9,1
2003-02-15,FORRESTFIELD,lpg,52.5,52.5,52.5,52.5,1
2003-02-16,FORRESTFIELD,lpg,54.9,54.9,54.9,54.9,1
2003-02-17,FORRESTFIELD,lpg,54.9,54.9,54.9,54.9,1
2003-02-18,FORRESTFIELD,lpg,52.9,52.9,52.9,52.9,1
2003-02-19,FORRESTFIELD,lpg,52.5,52.5,52.5,52.5,1
2003-02-20,FORRESTFIELD,lpg,49.9,49.9,49.9,49.9,1
2003-02-21,FORRESTFIELD,lpg,59.9,59.9,59.9,59.9,1
2003-02-22,FORRESTFIELD,lpg,57.5,57.5,57.5,57.5,1
2003-02-23,FORRESTFIELD,lpg,57.5,57.5,57.5,57.5,1
2003-02-24,FORRESTFIELD,lpg,56.9,56.9,56.9,56.9,1
2003-02-25,FORRESTFIELD,lpg,56.3,56.3,56.3,56.3,1
2003-02-26,FORRESTFIELD,lpg,55.5,55.5,55.5,55.5,1
2003-02-27,FORRESTFIELD,lpg,54.9,54.9,54.9,54.9,1
2003-02-28,FORRESTFIELD,lpg,54.5,54.5,54.5,54.5,1
2004-01-01,FORRESTFIELD,lpg,35.5,35.5,35.5,35.5,1
2004-01-02,FORRESTFIELD,lpg,35.5,35.5,35.5,35.5,1
2004-01-03,FORRESTFIELD,lpg,35.5,35.5,35.5,35.5,1
2004-01-04,FORRESTFIELD,lpg,45.9,45.9,45.9,45.9,1
2004-01-05,FORRESTFIELD,lpg,45.9,45.9,45.9,45.9,1
2004-01-06,FORRESTFIELD,lpg,45.9,45.9,45.9,45.9,1
2004-01-07,FORRESTFIELD,lpg,39.9,39.9,39.9,39.9,1
2004-01-08,FORRESTFIELD,lpg,42.9,42.9,42.9,42.9,1
2004-01-09,FORRESTFIELD,lpg,39.9,39.9,39.9,39.9,1
2004-01-10,FORRESTFIELD,lpg,39.9,39.9,39.9,39.9,1
2004-01-11,FORRESTFIELD,lpg,39.9,39.9,39.9,39.9,1
2004-01-12,FORRESTFIELD,lpg,39.5,39.5,39.5,39.5,1
2004-01-13,FORRESTFIELD,lpg,38.9,38.9,38.9,38.9,1
2004-01-14,FORRESTFIELD,lpg,38.9,38.9,38.9,38.9,1
2004-01-15,FORRESTFIELD,lpg,37.9,37.9,37.9,37.9,1
2004-01-16,FORRESTFIELD,lpg,36.9,36.9,36.9,36.9,1
2004-01-17,FORRESTFIELD,lpg,36.9,36.9,36.9,36.9,1
2004-01-18,FORRESTFIELD,lpg,35.5,35.5,35.5,35.5,1
2004-01-19,FORRESTFIELD,lpg,35.5,35.5,35.5,35.5,1
2004-01-20,FORRESTFIELD,lpg,45.9,45.9,45.9,45.9,1
2004-01-21,FORRESTFIELD,lpg,45.9,45.9,45.9,45.9,1
2004-01-22,FORRESTFIELD,lpg,45.9,45.9,45.9,45.9,1
2004-01-23,FORRESTFIELD,lpg,45.9,45.9,45.9,45.9,1
