date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,FORRESTFIELD,ulp_91,82.9,85.9,89.9,82.9,8
2002-01-02,FORRESTFIELD,ulp_91,81.9,84.7,89.9,81.9,8
2002-01-03,FORRESTFIELD,ulp_91,78.5,83.3,89.9,78.5,8
2002-01-04,FORRESTFIELD,ulp_91,78.5,81.7,89.9,78.5,8
2002-01-05,FORRESTFIELD,ulp_91,77.6,81.5,89.9,77.6,8
2002-01-06,FORRESTFIELD,ulp_91,77.5,80.9,89.9,77.5,8
2002-01-07,FORRESTFIELD,ulp_91,76.5,80.6,89.9,76.5,8
2002-01-08,FORRESTFIELD,ulp_91,76.3,80.0,89.9,76.3,8
2002-01-09,FORRESTFIELD,ulp_91,76.5,85.5,90.5,76.5,8
2002-01-10,FORRESTFIELD,ulp_91,84.9,87.6,89.9,84.9,8
2002-01-11,FORRESTFIELD,ulp_91,83.9,86.5,89.9,83.9,8
2002-01-12,FORRESTFIELD,ulp_91,83.3,85.8,89.9,83.3,8
2002-01-13,FORRESTFIELD,ulp_91,82.6,85.4,89.9,82.6,8
2002-01-14,FORRESTFIELD,ulp_91,81.9,85.0,89.9,81.9,8
2002-01-15,FORRESTFIELD,ulp_91,80.9,83.7,89.9,80.9,8
2002-01-16,FORRESTFIELD,ulp_91,79.9,84.3,89.9,79.9,8
2002-01-17,FORRESTFIELD,ulp_91,79.9,84.7,88.9,79.9,8
2002-01-18,FORRESTFIELD,ulp_91,80.9,84.8,88.9,80.9,8
2002-01-19,FORRESTFIELD,ulp_91,82.3,84.8,88.9,82.3,8
2002-01-20,FORRESTFIELD,ulp_91,81.9,84.2,88.9,81.9,8
2002-01-21,FORRESTFIELD,ulp_91,81.5,83.7,88.9,81.5,8
2002-01-22,FORRESTFIELD,ulp_91,80.6,83.1,88.9,80.6,8
2002-01-23,FORRESTFIELD,ulp_91,79.6,82.3,88.9,79.6,8
2002-01-24,FORRESTFIELD,ulp_91,77.9,81.4,88.9,77.9,8
2002-01-25,FORRESTFIELD,ulp_91,77.5,84.2,88.9,77.5,8
2002-01-26,FORRESTFIELD,ulp_91,82.9,85.2,88.9,82.9,8
2002-01-27,FORRESTFIELD,ulp_91,81.9,84.7,88.9,81.9,8
2002-01-28,FORRESTFIELD,ulp_91,80.9,83.8,88.9,80.9,8
2002-01-29,FORRESTFIELD,ulp_91,79.5,83.1,88.9,79.5,8
