date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,FREMANTLE,lpg,41.5,41.5,41.5,41.5,4
2002-01-02,FREMANTLE,lpg,40.9,41.4,41.5,40.9,4
2002-01-03,FREMANTLE,lpg,40.9,41.2,41.5,40.9,4
2002-01-04,FREMANTLE,lpg,40.9,41.2,41.5,40.9,4
2002-01-05,FREMANTLE,lpg,40.9,41.2,41.5,40.9,4
2002-01-06,FREMANTLE,lpg,40.9,41.2,41.5,40.9,4
2002-01-07,FREMANTLE,lpg,40.9,41.2,41.5,40.9,4
2002-01-08,FREMANTLE,lpg,40.5,41.1,41.5,40.5,4
2002-01-09,FREMANTLE,lpg,40.5,42.7,47.9,40.5,4
2002-01-10,FREMANTLE,lpg,40.5,44.3,47.9,40.5,4
2002-01-11,FREMANTLE,lpg,40.9,45.7,47.9,40.9,4
2002-01-12,FREMANTLE,lpg,40.9,45.7,47.9,40.9,4
2002-01-13,FREMANTLE,lpg,40.9,45.4,47.5,40.9,4
2002-01-14,FREMANTLE,lpg,40.9,45.4,47.5,40.9,4
2002-01-15,FREMANTLE,lpg,40.9,45.1,46.5,40.9,4
2002-01-16,FREMANTLE,lpg,43.9,45.1,46.5,43.9,4
2002-01-17,FREMANTLE,lpg,43.9,44.9,45.9,43.9,4
2002-01-18,FREMANTLE,lpg,43.9,44.0,44.5,43.9,4
2002-01-19,FREMANTLE,lpg,43.5,43.8,43.9,43.5,4
2002-01-20,FREMANTLE,lpg,43.5,43.7,43.9,43.5,4
2002-01-21,FREMANTLE,lpg,43.5,43.7,43.9,43.5,4
2002-01-22,FREMANTLE,lpg,43.5,43.7,43.9,43.5,4
2002-01-23,FREMANTLE,lpg,43.5,43.7,43.9,43.5,4
2002-01-24,FREMANTLE,lpg,43.5,43.7,43.9,43.5,4
2002-01-25,FREMANTLE,lpg,43.5,43.7,43.9,43.5,4
2002-01-26,FREMANTLE,lpg,42.5,43.5,43.9,42.5,4
2002-01-27,FREMANTLE,lpg,42.5,43.5,43.9,42.5,4
2002-01-28,FREMANTLE,lpg,42.5,43.2,43.9,42.5,4
2002-01-29,FREMANTLE,lpg,42.5,43.2,43.9,42.5,4
2002-01-30,FREMANTLE,lpg,42.5,43.2,43.9,42.5,4
2002-01-31,FREMANTLE,lpg,42.5,42.9,43.9,42.5,4
2002-02-01,FREMANTLE,lpg,42.5,43.7,45.9,42.5,4
2002-02-02,FREMANTLE,lpg,42.5,43.7,45.9,42.5,4
2002-02-03,FREMANTLE,lpg,42.5,43.7,45.9,42.5,4
2002-02-04,FREMANTLE,lpg,42.5,43.7,45.9,42.5,4
2002-02-05,FREMANTLE,lpg,42.5,44.5,45.9,42.5,4
2002-02-06,FREMANTLE,lpg,42.5,44.5,45.9,42.5,4
2002-02-07,FREMANTLE,lpg,42.5,44.0,45.9,42.5,4
2002-02-08,FREMANTLE,lpg,42.5,44.0,45.9,42.5,4
2002-02-09,FREMANTLE,lpg,42.5,44.0,45.9,42.5,4
2002-02-10,FREMANTLE,lpg,42.5,44.0,45.9,42.5,4
2002-02-11,FREMANTLE,lpg,42.5,43.5,43.9,42.5,4
2002-02-12,FREMANTLE,lpg,42.5,43.5,43.9,42.5,4
2002-02-13,FREMANTLE,lpg,42.5,43.5,43.9,42.5,4
2002-02-14,FREMANTLE,lpg,41.9,43.0,43.9,41.9,4
2002-02-15,FREMANTLE,lpg,41.9,42.5,43.9,41.9,4
2002-02-16,FREMANTLE,lpg,41.9,42.5,43.9,41.9,4
2002-02-17,FREMANTLE,lpg,41.5,42.5,43.9,41.5,4
2002-02-18,FREMANTLE,lpg,41.5,42.5,43.9,41.5,4
2002-02-19,FREMANTLE,lpg,41.5,42.1,42.5,41.5,4
2002-02-20,FREMANTLE,lpg,41.5,41.9,42.5,41.5,4
2002-02-21,FREMANTLE,lpg,41.5,41.9,42.5,41.5,4
2002-02-22,FREMANTLE,lpg,40.9,41.7,42.5,40.9,4
2002-02-23,FREMANTLE,lpg,40.9,41.3,41.9,40.9,4
2002-02-24,FREMANTLE,lpg,40.9,41.3,41.9,40.9,4
2002-02-25,FREMANTLE,lpg,40.9,42.8,46.9,40.9,4
2002-02-26,FREMANTLE,lpg,40.5,42.5,46.9,40.5,4
2002-02-27,FREMANTLE,lpg,40.5,43.5,45.9,40.5,4
2002-02-28,FREMANTLE,lpg,40.5,43.5,45.9,40.5,4
2003-01-01,FREMANTLE,lpg,47.9,48.4,48.9,47.9,4
2003-01-02,FREMANTLE,lpg,47.9,48.4,48.9,47.9,4
2003-01-03,FREMANTLE,lpg,47.9,48.4,48.9,47.9,4
2003-01-04,FREMANTLE,lpg,47.9,48.4,48.9,47.9,4
2003-01-05,FREMANTLE,lpg,47.9,50.1,54.9,47.9,4
2003-01-06,FREMANTLE,lpg,47.9,50.1,54.9,47.9,4
2003-01-07,FREMANTLE,lpg,47.9,50.1,54.9,47.9,4
2003-01-08,FREMANTLE,lpg,47.9,50.1,54.9,47.9,4
2003-01-09,FREMANTLE,lpg,47.9,50.1,54.9,47.9,4
2003-01-10,FREMANTLE,lpg,47.9,50.1,54.9,47.9,4
2003-01-11,FREMANTLE,lpg,47.9,50.1,54.9,47.9,4
2003-01-12,FREMANTLE,lpg,47.9,49.6,52.9,47.9,4
