date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,FREMANTLE,premium_95,85.9,86.7,87.5,85.9,2
2002-01-02,FREMANTLE,premium_95,82.9,84.1,85.3,82.9,2
2002-01-03,FREMANTLE,premium_95,82.3,82.9,83.5,82.3,2
2002-01-04,FREMANTLE,premium_95,80.9,81.4,81.9,80.9,2
2002-01-05,FREMANTLE,premium_95,80.3,81.1,81.9,80.3,2
2002-01-06,FREMANTLE,premium_95,79.5,80.7,81.9,79.5,2
2002-01-07,FREMANTLE,premium_95,78.9,80.2,81.5,78.9,2
2002-01-08,FREMANTLE,premium_95,78.5,80.0,81.5,78.5,2
2002-01-09,FREMANTLE,premium_95,78.9,81.4,83.9,78.9,2
2002-01-10,FREMANTLE,premium_95,83.9,86.7,89.5,83.9,2
2002-01-11,FREMANTLE,premium_95,83.7,85.3,86.9,83.7,2
2002-01-12,FREMANTLE,premium_95,83.7,83.8,83.9,83.7,2
2002-01-13,FREMANTLE,premium_95,83.7,83.8,83.9,83.7,2
2002-01-14,FREMANTLE,premium_95,82.9,83.3,83.7,82.9,2
2002-01-15,FREMANTLE,premium_95,82.9,82.9,82.9,82.9,2
2002-01-16,FREMANTLE,premium_95,81.3,81.8,82.2,81.3,2
2002-01-17,FREMANTLE,premium_95,81.9,85.6,89.3,81.9,2
2002-01-18,FREMANTLE,premium_95,81.9,84.6,87.3,81.9,2
2002-01-19,FREMANTLE,premium_95,86.3,86.5,86.7,86.3,2
2002-01-20,FREMANTLE,premium_95,85.3,85.4,85.5,85.3,2
2002-01-21,FREMANTLE,premium_95,83.9,84.2,84.5,83.9,2
2002-01-22,FREMANTLE,premium_95,82.9,83.1,83.3,82.9,2
2002-01-23,FREMANTLE,premium_95,81.5,81.6,81.7,81.5,2
2002-01-24,FREMANTLE,premium_95,80.3,80.9,81.5,80.3,2
2002-01-25,FREMANTLE,premium_95,81.5,85.2,88.9,81.5,2
2002-01-26,FREMANTLE,premium_95,86.7,87.1,87.4,86.7,2
2002-01-27,FREMANTLE,premium_95,85.8,86.0,86.2,85.8,2
2002-01-28,FREMANTLE,premium_95,84.8,84.8,84.9,84.8,2
2002-01-29,FREMANTLE,premium_95,83.5,83.5,83.5,83.5,2
2002-01-30,FREMANTLE,premium_95,81.3,81.4,81.5,81.3,2
2002-01-31,FREMANTLE,premium_95,81.2,81.2,81.3,81.2,2
2002-02-01,FREMANTLE,premium_95,81.2,81.6,81.9,81.2,2
2002-02-02,FREMANTLE,premium_95,83.9,84.7,85.5,83.9,2
2002-02-03,FREMANTLE,premium_95,83.9,84.4,84.9,83.9,2
2002-02-04,FREMANTLE,premium_95,83.5,83.8,84.0,83.5,2
2002-02-05,FREMANTLE,premium_95,82.4,82.8,83.3,82.4,2
2002-02-06,FREMANTLE,premium_95,81.9,81.9,81.9,81.9,2
2002-02-07,FREMANTLE,premium_95,81.3,81.6,81.9,81.3,2
2002-02-08,FREMANTLE,premium_95,80.5,80.6,80.7,80.5,2
2002-02-09,FREMANTLE,premium_95,80.5,80.6,80.7,80.5,2
2002-02-10,FREMANTLE,premium_95,81.9,87.9,93.9,81.9,2
2002-02-11,FREMANTLE,premium_95,81.9,87.7,93.5,81.9,2
2002-02-12,FREMANTLE,premium_95,91.7,92.3,92.9,91.7,2
2002-02-13,FREMANTLE,premium_95,90.3,90.6,90.9,90.3,2
2002-02-14,FREMANTLE,premium_95,88.9,88.9,88.9,88.9,2
2002-02-15,FREMANTLE,premium_95,86.9,87.2,87.5,86.9,2
2002-02-16,FREMANTLE,premium_95,85.5,86.0,86.5,85.5,2
2002-02-17,FREMANTLE,premium_95,84.9,85.1,85.3,84.9,2
2002-02-18,FREMANTLE,premium_95,83.7,84.3,84.9,83.7,2
2002-02-19,FREMANTLE,premium_95,83.1,83.8,84.5,83.1,2
2002-02-20,FREMANTLE,premium_95,84.5,85.2,85.9,84.5,2
2002-02-21,FREMANTLE,premium_95,91.9,92.7,93.5,91.9,2
2002-02-22,FREMANTLE,premium_95,89.7,90.6,91.5,89.7,2
2002-02-23,FREMANTLE,premium_95,88.7,89.3,89.9,88.7,2
2002-02-24,FREMANTLE,premium_95,85.9,86.9,87.9,85.9,2
2002-02-25,FREMANTLE,premium_95,84.9,85.4,85.9,84.9,2
2002-02-26,FREMANTLE,premium_95,83.9,84.2,84.5,83.9,2
2002-02-27,FREMANTLE,premium_95,83.7,84.1,84.5,83.7,2
2002-02-28,FREMANTLE,premium_95,83.5,84.5,85.5,83.5,2
2003-01-01,FREMANTLE,premium_95,98.7,99.6,100.5,98.7,3
2003-01-02,FREMANTLE,premium_95,95.9,96.8,97.5,95.9,3
2003-01-03,FREMANTLE,premium_95,94.5,95.1,95.9,94.5,3
2003-01-04,FREMANTLE,premium_95,93.9,94.2,94.9,93.9,3
2003-01-05,FREMANTLE,premium_95,93.5,94.0,94.9,93.5,3
2003-01-06,FREMANTLE,premium_95,92.9,93.4,93.9,92.9,3
2003-01-07,FREMANTLE,premium_95,92.3,93.0,93.9,92.3,3
2003-01-08,FREMANTLE,premium_95,92.3,93.0,93.9,92.3,3
2003-01-09,FREMANTLE,premium_95,92.9,93.2,93.9,92.9,3
2003-01-10,FREMANTLE,premium_95,93.5,98.4,103.7,93.5,3
2003-01-11,FREMANTLE,premium_95,96.7,97.8,99.9,96.7,3
2003-01-12,FREMANTLE,premium_95,95.5,96.0,96.5,95.5,3
2003-01-13,FREMANTLE,premium_95,94.9,95.4,95.9,94.9,3
2003-01-14,FREMANTLE,premium_95,94.9,98.2,103.7,94.9,3
2003-01-15,FREMANTLE,premium_95,94.5,95.1,95.9,94.5,3
2003-01-16,FREMANTLE,premium_95,94.5,95.0,95.9,94.5,3
2003-01-17,FREMANTLE,premium_95,94.5,97.0,101.9,94.5,3
2003-01-18,FREMANTLE,premium_95,94.5,100.4,104.9,94.5,3
2003-01-19,FREMANTLE,premium_95,101.9,102.8,103.7,101.9,3
2003-01-20,FREMANTLE,premium_95,99.7,101.2,101.9,99.7,3
2003-01-21,FREMANTLE,premium_95,98.7,99.5,99.9,98.7,3
2003-01-22,FREMANTLE,premium_95,96.9,98.4,99.9,96.9,3
2003-01-23,FREMANTLE,premium_95,95.9,96.6,96.9,95.9,3
2003-01-24,FREMANTLE,premium_95,95.3,95.9,96.9,95.3,3
2003-01-25,FREMANTLE,premium_95,94.5,95.6,96.9,94.5,3
2003-01-26,FREMANTLE,premium_95,94.5,96.2,98.9,94.5,3
2003-01-27,FREMANTLE,premium_95,94.5,96.2,98.9,94.5,3
