date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,FURNISSDALE,lpg,45.5,45.5,45.5,45.5,1
2002-01-02,FURNISSDALE,lpg,45.5,45.5,45.5,45.5,1
2002-01-03,FURNISSDALE,lpg,44.9,44.9,44.9,44.9,1
2002-01-04,FURNISSDALE,lpg,44.9,44.9,44.9,44.9,1
2002-01-05,FURNISSDALE,lpg,44.9,44.9,44.9,44.9,1
2002-01-06,FURNISSDALE,lpg,44.9,44.9,44.9,44.9,1
2002-01-07,FURNISSDALE,lpg,44.9,44.9,44.9,44.9,1
2002-01-08,FURNISSDALE,lpg,44.5,44.5,44.5,44.5,1
2002-01-09,FURNISSDALE,lpg,44.5,44.5,44.5,44.5,1
2002-01-10,FURNISSDALE,lpg,44.3,44.3,44.3,44.3,1
2002-01-11,FURNISSDALE,lpg,47.9,47.9,47.9,47.9,1
2002-01-12,FURNISSDALE,lpg,47.9,47.9,47.9,47.9,1
2002-01-13,FURNISSDALE,lpg,47.9,47.9,47.9,47.9,1
2002-01-14,FURNISSDALE,lpg,47.7,47.7,47.7,47.7,1
2002-01-15,FURNISSDALE,lpg,45.7,45.7,45.7,45.7,1
2002-01-16,FURNISSDALE,lpg,46.9,46.9,46.9,46.9,1
2002-01-17,FURNISSDALE,lpg,43.9,43.9,43.9,43.9,1
2002-01-18,FURNISSDALE,lpg,43.9,43.9,43.9,43.9,1
2002-01-19,FURNISSDALE,lpg,43.9,43.9,43.9,43.9,1
2002-01-20,FURNISSDALE,lpg,43.9,43.9,43.9,43.9,1
2002-01-21,FURNISSDALE,lpg,43.9,43.9,43.9,43.9,1
2002-01-22,FURNISSDALE,lpg,43.9,43.9,43.9,43.9,1
2002-01-23,FURNISSDALE,lpg,43.9,43.9,43.9,43.9,1
2002-01-24,FURNISSDALE,lpg,43.9,43.9,43.9,43.9,1
2002-01-25,FURNISSDALE,lpg,43.9,43.9,43.9,43.9,1
2002-01-26,FURNISSDALE,lpg,43.9,43.9,43.9,43.9,1
2002-01-27,FURNISSDALE,lpg,43.9,43.9,43.9,43.9,1
2002-01-28,FURNISSDALE,lpg,43.9,43.9,43.9,43.9,1
2002-01-29,FURNISSDALE,lpg,43.9,43.9,43.9,43.9,1
2002-01-30,FURNISSDALE,lpg,43.5,43.5,43.5,43.5,1
2002-01-31,FURNISSDALE,lpg,43.5,43.5,43.5,43.5,1
2002-02-01,FURNISSDALE,lpg,43.5,43.5,43.5,43.5,1
2002-02-02,FURNISSDALE,lpg,43.5,43.5,43.5,43.5,1
2002-02-03,FURNISSDALE,lpg,45.9,45.9,45.9,45.9,1
2002-02-04,FURNISSDALE,lpg,45.9,45.9,45.9,45.9,1
2002-02-05,FURNISSDALE,lpg,43.9,43.9,43.9,43.9,1
2002-02-06,FURNISSDALE,lpg,43.9,43.9,43.9,43.9,1
2002-02-07,FURNISSDALE,lpg,43.9,43.9,43.9,43.9,1
2002-02-08,FURNISSDALE,lpg,43.9,43.9,43.9,43.9,1
2002-02-09,FURNISSDALE,lpg,45.9,45.9,45.9,45.9,1
2002-02-10,FURNISSDALE,lpg,45.9,45.9,45.9,45.9,1
2002-02-11,FURNISSDALE,lpg,45.9,45.9,45.9,45.9,1
2002-02-12,FURNISSDALE,lpg,43.7,43.7,43.7,43.7,1
2002-02-13,FURNISSDALE,lpg,43.7,43.7,43.7,43.7,1
2002-02-14,FURNISSDALE,lpg,43.5,43.5,43.5,43.5,1
