date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,GERALDTON,premium_95,95.5,96.9,97.8,95.5,3
2002-01-02,GERALDTON,premium_95,95.5,96.9,97.8,95.5,3
2002-01-03,GERALDTON,premium_95,95.5,96.9,97.8,95.5,3
2002-01-04,GERALDTON,premium_95,95.5,96.9,97.8,95.5,3
2002-01-05,GERALDTON,premium_95,95.5,97.0,97.8,95.5,3
2002-01-06,GERALDTON,premium_95,95.5,97.0,97.8,95.5,3
2002-01-07,GERALDTON,premium_95,95.5,96.8,97.8,95.5,3
2002-01-08,GERALDTON,premium_95,95.5,96.8,97.8,95.5,3
2002-01-09,GERALDTON,premium_95,95.5,96.8,97.8,95.5,3
2002-01-10,GERALDTON,premium_95,95.5,96.6,97.8,95.5,3
2002-01-11,GERALDTON,premium_95,94.0,96.1,97.8,94.0,3
2002-01-12,GERALDTON,premium_95,94.0,96.1,97.8,94.0,3
2002-01-13,GERALDTON,premium_95,94.0,96.1,97.8,94.0,3
2002-01-14,GERALDTON,premium_95,94.0,96.1,97.8,94.0,3
2002-01-15,GERALDTON,premium_95,94.0,96.1,97.8,94.0,3
2002-01-16,GERALDTON,premium_95,94.0,95.7,97.8,94.0,3
2002-01-17,GERALDTON,premium_95,94.0,95.7,97.8,94.0,3
2002-01-18,GERALDTON,premium_95,94.0,95.3,96.5,94.0,3
2002-01-19,GERALDTON,premium_95,94.0,96.4,98.6,94.0,3
2002-01-20,GERALDTON,premium_95,94.0,96.4,98.6,94.0,3
2002-01-21,GERALDTON,premium_95,94.0,96.1,97.9,94.0,3
2002-01-22,GERALDTON,premium_95,94.0,96.1,97.9,94.0,3
2002-01-23,GERALDTON,premium_95,94.0,96.3,98.5,94.0,3
2002-01-24,GERALDTON,premium_95,94.0,96.3,98.5,94.0,3
2002-01-25,GERALDTON,premium_95,94.0,96.3,98.5,94.0,3
2002-01-26,GERALDTON,premium_95,94.0,96.3,98.5,94.0,3
2002-01-27,GERALDTON,premium_95,94.0,96.3,98.5,94.0,3
2002-01-28,GERALDTON,premium_95,94.0,96.3,98.5,94.0,3
2002-01-29,GERALDTON,premium_95,94.0,96.3,98.5,94.0,3
2002-01-30,GERALDTON,premium_95,94.0,96.3,98.5,94.0,3
2002-01-31,GERALDTON,premium_95,94.0,97.1,99.5,94.0,3
2002-02-01,GERALDTON,premium_95,94.0,97.3,100.2,94.0,3
2002-02-02,GERALDTON,premium_95,95.0,97.7,100.2,95.0,3
2002-02-03,GERALDTON,premium_95,95.0,97.7,100.2,95.0,3
2002-02-04,GERALDTON,premium_95,95.0,97.7,100.2,95.0,3
2002-02-05,GERALDTON,premium_95,95.0,97.9,100.8,95.0,3
2002-02-06,GERALDTON,premium_95,95.0,97.9,100.8,95.0,3
2002-02-07,GERALDTON,premium_95,96.0,98.5,101.7,96.0,3
2002-02-08,GERALDTON,premium_95,96.0,98.5,101.7,96.0,3
2002-02-09,GERALDTON,premium_95,96.0,98.5,101.7,96.0,3
2002-02-10,GERALDTON,premium_95,96.0,98.5,101.7,96.0,3
2002-02-11,GERALDTON,premium_95,96.0,98.5,101.7,96.0,3
2002-02-12,GERALDTON,premium_95,96.0,99.4,102.5,96.0,3
2002-02-13,GERALDTON,premium_95,97.0,100.0,103.3,97.0,3
2002-02-14,GERALDTON,premium_95,97.0,100.0,103.3,97.0,3
2002-02-15,GERALDTON,premium_95,97.0,100.0,103.3,97.0,3
2002-02-16,GERALDTON,premium_95,97.0,100.6,103.3,97.0,3
2002-02-17,GERALDTON,premium_95,97.0,100.6,103.3,97.0,3
2002-02-18,GERALDTON,premium_95,97.0,100.6,103.3,97.0,3
2002-02-19,GERALDTON,premium_95,98.0,101.1,103.9,98.0,3
2002-02-20,GERALDTON,premium_95,98.0,101.1,103.9,98.0,3
2002-02-21,GERALDTON,premium_95,98.0,101.1,103.9,98.0,3
2002-02-22,GERALDTON,premium_95,98.0,101.1,103.9,98.0,3
2002-02-23,GERALDTON,premium_95,98.0,101.1,103.9,98.0,3
2002-02-24,GERALDTON,premium_95,98.0,101.1,103.9,98.0,3
2002-02-25,GERALDTON,premium_95,98.0,101.1,103.9,98.0,3
2002-02-26,GERALDTON,premium_95,98.0,100.9,103.2,98.0,3
2002-02-27,GERALDTON,premium_95,98.0,100.9,103.2,98.0,3
2002-02-28,GERALDTON,premium_95,98.0,100.9,103.2,98.0,3
2003-01-01,GERALDTON,premium_95,108.5,108.5,108.5,108.5,1
2003-01-02,GERALDTON,premium_95,108.5,108.5,108.5,108.5,1
2003-01-03,GERALDTON,premium_95,109.9,109.9,109.9,109.9,1
2003-01-04,GERALDTON,premium_95,109.9,109.9,109.9,109.9,1
2003-01-05,GERALDTON,premium_95,109.9,109.9,109.9,109.9,1
2003-01-06,GERALDTON,premium_95,109.9,109.9,109.9,109.9,1
2003-01-07,GERALDTON,premium_95,110.9,110.9,110.9,110.9,1
2003-01-08,GERALDTON,premium_95,110.9,110.9,110.9,110.9,1
2003-01-09,GERALDTON,premium_95,110.9,110.9,110.9,110.9,1
2003-01-10,GERALDTON,premium_95,110.9,110.9,110.9,110.9,1
2003-01-11,GERALDTON,premium_95,110.9,110.9,110.9,110.9,1
2003-01-12,GERALDTON,premium_95,110.9,110.9,110.9,110.9,1
2003-01-13,GERALDTON,premium_95,110.9,110.9,110.9,110.9,1
2003-01-14,GERALDTON,premium_95,110.9,110.9,110.9,110.9,1
2003-01-15,GERALDTON,premium_95,110.9,110.9,110.9,110.9,1
2003-01-16,GERALDTON,premium_95,110.9,110.9,110.9,110.9,1
2003-01-17,GERALDTON,premium_95,110.9,110.9,110.9,110.9,1
2003-01-18,GERALDTON,premium_95,110.9,110.9,110.9,110.9,1
2003-01-19,GERALDTON,premium_95,110.9,110.9,110.9,110.9,1
2003-01-20,GERALDTON,premium_95,110.9,110.9,110.9,110.9,1
2003-01-21,GERALDTON,premium_95,110.9,110.9,110.9,110.9,1
2003-01-22,GERALDTON,premium_95,110.9,110.9,110.9,110.9,1
2003-01-23,GERALDTON,premium_95,110.9,110.9,110.9,110.9,1
2003-01-24,GERALDTON,premium_95,110.9,110.9,110.9,110.9,1
2003-01-25,GERALDTON,premium_95,110.9,110.9,110.9,110.9,1
2003-01-26,GERALDTON,premium_95,110.9,110.9,110.9,110.9,1
2003-01-27,GERALDTON,premium_95,110.9,110.9,110.9,110.9,1
2003-01-28,GERALDTON,premium_95,110.9,110.9,110.9,110.9,1
2003-01-29,GERALDTON,premium_95,111.9,111.9,111.9,111.9,1
2003-01-30,GERALDTON,premium_95,111.9,111.9,111.9,111.9,1
2003-01-31,GERALDTON,premium_95,111.9,111.9,111.9,111.9,1
2003-02-01,GERALDTON,premium_95,111.9,111.9,111.9,111.9,1
2003-02-02,GERALDTON,premium_95,111.9,111.9,111.9,111.9,1
2003-02-03,GERALDTON,premium_95,111.9,111.9,111.9,111.9,1
2003-02-04,GERALDTON,premium_95,111.9,111.9,111.9,111.9,1
2003-02-05,GERALDTON,premium_95,111.9,111.9,111.9,111.9,1
2003-02-06,GERALDTON,premium_95,111.9,111.9,111.9,111.9,1
2003-02-07,GERALDTON,premium_95,111.9,111.9,111.9,111.9,1
2003-02-08,GERALDTON,premium_95,111.9,111.9,111.9,111.9,1
2003-02-09,GERALDTON,premium_95,111.9,111.9,111.9,111.9,1
2003-02-10,GERALDTON,premium_95,111.9,111.9,111.9,111.9,1
2003-02-11,GERALDTON,premium_95,111.9,111.9,111.9,111.9,1
2003-02-12,GERALDTON,premium_95,111.9,111.9,111.9,111.9,1
2003-02-13,GERALDTON,premium_95,111.9,111.9,111.9,111.9,1
2003-02-14,GERALDTON,premium_95,113.0,113.0,113.0,113.0,1
2003-02-15,GERALDTON,premium_95,113.0,113.0,113.0,113.0,1
2003-02-16,GERALDTON,premium_95,113.0,113.0,113.0,113.0,1
2003-02-17,GERALDTON,premium_95,113.0,113.0,113.0,113.0,1
2003-02-18,GERALDTON,premium_95,113.0,113.0,113.0,113.0,1
2003-02-19,GERALDTON,premium_95,114.9,114.9,114.9,114.9,1
2003-02-20,GERALDTON,premium_95,114.9,114.9,114.9,114.9,1
2003-02-21,GERALDTON,premium_95,114.9,114.9,114.9,114.9,1
2003-02-22,GERALDTON,premium_95,114.9,114.9,114.9,114.9,1
2003-02-23,GERALDTON,premium_95,114.9,114.9,114.9,114.9,1
2003-02-24,GERALDTON,premium_95,114.9,114.9,114.9,114.9,1
2003-02-25,GERALDTON,premium_95,114.9,114.9,114.9,114.9,1
2003-02-26,GERALDTON,premium_95,114.9,114.9,114.9,114.9,1
2003-02-27,GERALDTON,premium_95,114.9,114.9,114.9,114.9,1
2003-02-28,GERALDTON,premium_95,114.9,114.9,114.9,114.9,1
2004-01-01,GERALDTON,premium_95,102.7,104.7,106.9,102.7,4
2004-01-02,GERALDTON,premium_95,102.7,104.7,106.9,102.7,4
2004-01-03,GERALDTON,premium_95,102.9,105.4,106.9,102.9,3
