date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,GLEN FORREST,premium_95,86.9,87.3,87.7,86.9,2
2002-01-02,GLEN FORREST,premium_95,85.7,86.1,86.5,85.7,2
2002-01-03,GLEN FORREST,premium_95,84.5,85.0,85.5,84.5,2
2002-01-04,GLEN FORREST,premium_95,83.5,84.1,84.7,83.5,2
2002-01-05,GLEN FORREST,premium_95,82.8,83.2,83.5,82.8,2
2002-01-06,GLEN FORREST,premium_95,82.4,83.0,83.5,82.4,2
2002-01-07,GLEN FORREST,premium_95,82.4,82.7,82.9,82.4,2
2002-01-08,GLEN FORREST,premium_95,81.9,86.8,91.8,81.9,2
2002-01-09,GLEN FORREST,premium_95,81.9,86.8,91.8,81.9,2
2002-01-10,GLEN FORREST,premium_95,83.9,87.4,90.9,83.9,2
2002-01-11,GLEN FORREST,premium_95,88.9,89.4,89.9,88.9,2
2002-01-12,GLEN FORREST,premium_95,87.9,88.2,88.5,87.9,2
2002-01-13,GLEN FORREST,premium_95,85.9,86.7,87.5,85.9,2
2002-01-14,GLEN FORREST,premium_95,84.5,85.2,85.9,84.5,2
2002-01-15,GLEN FORREST,premium_95,83.7,84.1,84.5,83.7,2
2002-01-16,GLEN FORREST,premium_95,82.3,83.0,83.8,82.3,2
2002-01-17,GLEN FORREST,premium_95,81.5,85.5,89.4,81.5,2
2002-01-18,GLEN FORREST,premium_95,87.5,88.2,88.9,87.5,2
2002-01-19,GLEN FORREST,premium_95,86.4,87.0,87.5,86.4,2
2002-01-20,GLEN FORREST,premium_95,85.2,86.3,87.5,85.2,2
2002-01-21,GLEN FORREST,premium_95,83.9,85.1,86.2,83.9,2
2002-01-22,GLEN FORREST,premium_95,82.9,83.4,83.9,82.9,2
2002-01-23,GLEN FORREST,premium_95,81.7,82.1,82.5,81.7,2
2002-01-24,GLEN FORREST,premium_95,80.5,85.2,89.8,80.5,2
2002-01-25,GLEN FORREST,premium_95,83.9,86.4,88.9,83.9,2
2002-01-26,GLEN FORREST,premium_95,86.9,86.9,86.9,86.9,2
2002-01-27,GLEN FORREST,premium_95,84.9,85.4,85.9,84.9,2
2002-01-28,GLEN FORREST,premium_95,83.7,84.3,84.9,83.7,2
2002-01-29,GLEN FORREST,premium_95,82.7,83.2,83.7,82.7,2
2002-01-30,GLEN FORREST,premium_95,81.9,82.3,82.7,81.9,2
2002-01-31,GLEN FORREST,premium_95,80.9,81.4,81.9,80.9,2
2002-02-01,GLEN FORREST,premium_95,80.9,85.8,90.8,80.9,2
2002-02-02,GLEN FORREST,premium_95,88.5,89.7,90.8,88.5,2
2002-02-03,GLEN FORREST,premium_95,83.9,85.6,87.3,83.9,2
2002-02-04,GLEN FORREST,premium_95,83.9,84.4,84.9,83.9,2
2002-02-05,GLEN FORREST,premium_95,82.7,83.3,83.9,82.7,2
2002-02-06,GLEN FORREST,premium_95,81.7,82.2,82.7,81.7,2
2002-02-07,GLEN FORREST,premium_95,80.9,81.3,81.7,80.9,2
2002-02-08,GLEN FORREST,premium_95,80.9,81.3,81.7,80.9,2
2002-02-09,GLEN FORREST,premium_95,81.7,82.3,82.9,81.7,2
2002-02-10,GLEN FORREST,premium_95,81.7,82.3,82.9,81.7,2
2002-02-11,GLEN FORREST,premium_95,82.9,87.5,92.0,82.9,2
2002-02-12,GLEN FORREST,premium_95,83.9,88.4,92.9,83.9,2
2002-02-13,GLEN FORREST,premium_95,89.9,90.4,90.9,89.9,2
2002-02-14,GLEN FORREST,premium_95,88.9,89.4,89.9,88.9,2
2002-02-15,GLEN FORREST,premium_95,87.5,88.2,88.9,87.5,2
2002-02-16,GLEN FORREST,premium_95,85.5,86.4,87.3,85.5,2
2002-02-17,GLEN FORREST,premium_95,85.5,85.8,86.0,85.5,2
2002-02-18,GLEN FORREST,premium_95,85.5,85.8,86.0,85.5,2
