date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,GLEN FORREST,ulp_91,82.7,84.4,85.9,82.7,4
2002-01-02,GLEN FORREST,ulp_91,81.5,83.2,84.7,81.5,4
2002-01-03,GLEN FORREST,ulp_91,80.5,82.0,83.7,80.5,4
2002-01-04,GLEN FORREST,ulp_91,79.5,81.2,82.9,79.5,4
2002-01-05,GLEN FORREST,ulp_91,78.5,80.2,81.8,78.5,4
2002-01-06,GLEN FORREST,ulp_91,78.4,80.0,81.7,78.4,4
2002-01-07,GLEN FORREST,ulp_91,77.9,79.7,81.4,77.9,4
2002-01-08,GLEN FORREST,ulp_91,77.9,83.9,90.0,77.9,4
2002-01-09,GLEN FORREST,ulp_91,77.9,83.9,90.0,77.9,4
2002-01-10,GLEN FORREST,ulp_91,79.9,84.5,89.1,79.9,4
2002-01-11,GLEN FORREST,ulp_91,84.9,86.5,88.1,84.9,4
2002-01-12,GLEN FORREST,ulp_91,83.5,85.2,86.9,83.5,4
2002-01-13,GLEN FORREST,ulp_91,81.9,83.8,85.7,81.9,4
2002-01-14,GLEN FORREST,ulp_91,80.5,82.2,84.1,80.5,4
2002-01-15,GLEN FORREST,ulp_91,79.5,81.2,82.7,79.5,4
2002-01-16,GLEN FORREST,ulp_91,78.3,80.1,82.0,78.3,4
2002-01-17,GLEN FORREST,ulp_91,77.5,82.5,87.6,77.5,4
2002-01-18,GLEN FORREST,ulp_91,83.5,85.2,87.1,83.5,4
2002-01-19,GLEN FORREST,ulp_91,82.4,84.0,85.7,82.4,4
2002-01-20,GLEN FORREST,ulp_91,81.2,83.4,85.7,81.2,4
2002-01-21,GLEN FORREST,ulp_91,79.9,82.1,84.4,79.9,4
2002-01-22,GLEN FORREST,ulp_91,78.9,80.5,82.1,78.9,4
2002-01-23,GLEN FORREST,ulp_91,77.5,79.2,80.7,77.5,4
2002-01-24,GLEN FORREST,ulp_91,76.5,82.2,88.0,76.5,4
2002-01-25,GLEN FORREST,ulp_91,79.9,83.5,87.1,79.9,4
2002-01-26,GLEN FORREST,ulp_91,81.9,84.0,85.9,81.9,4
2002-01-27,GLEN FORREST,ulp_91,80.9,82.5,84.1,80.9,4
2002-01-28,GLEN FORREST,ulp_91,79.7,81.3,83.1,79.7,4
2002-01-29,GLEN FORREST,ulp_91,78.7,80.2,81.9,78.7,4
2002-01-30,GLEN FORREST,ulp_91,77.7,79.4,80.9,77.7,4
2002-01-31,GLEN FORREST,ulp_91,76.9,78.5,80.1,76.9,4
2002-02-01,GLEN FORREST,ulp_91,76.9,82.9,89.0,76.9,4
2002-02-02,GLEN FORREST,ulp_91,84.5,86.7,89.0,84.5,4
2002-02-03,GLEN FORREST,ulp_91,79.9,82.7,85.6,79.9,4
2002-02-04,GLEN FORREST,ulp_91,79.9,81.7,83.9,79.9,4
2002-02-05,GLEN FORREST,ulp_91,78.7,80.6,82.9,78.7,4
2002-02-06,GLEN FORREST,ulp_91,77.7,79.2,80.9,77.7,4
2002-02-07,GLEN FORREST,ulp_91,76.7,78.4,79.9,76.7,4
2002-02-08,GLEN FORREST,ulp_91,76.7,78.4,79.9,76.7,4
2002-02-09,GLEN FORREST,ulp_91,76.7,79.4,81.9,76.7,4
2002-02-10,GLEN FORREST,ulp_91,76.7,79.4,81.9,76.7,4
2002-02-11,GLEN FORREST,ulp_91,78.9,85.8,93.8,78.9,4
2002-02-12,GLEN FORREST,ulp_91,79.9,85.5,91.1,79.9,4
2002-02-13,GLEN FORREST,ulp_91,85.9,87.5,89.1,85.9,4
