date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,GLENFIELD,diesel,89.9,90.4,90.9,89.9,2
2002-01-02,GLENFIELD,diesel,89.9,90.4,90.9,89.9,2
2002-01-03,GLENFIELD,diesel,89.9,90.4,90.9,89.9,2
2002-01-04,GLENFIELD,diesel,89.9,90.4,90.9,89.9,2
2002-01-05,GLENFIELD,diesel,89.9,90.4,90.9,89.9,2
2002-01-06,GLENFIELD,diesel,89.9,90.4,90.9,89.9,2
2002-01-07,GLENFIELD,diesel,89.9,90.4,90.9,89.9,2
2002-01-08,GLENFIELD,diesel,89.9,90.4,90.9,89.9,2
2002-01-09,GLENFIELD,diesel,89.9,90.4,90.9,89.9,2
2002-01-10,GLENFIELD,diesel,89.9,90.4,90.9,89.9,2
2002-01-11,GLENFIELD,diesel,89.9,90.4,90.9,89.9,2
2002-01-12,GLENFIELD,diesel,89.9,90.4,90.9,89.9,2
2002-01-13,GLENFIELD,diesel,89.9,90.4,90.9,89.9,2
2002-01-14,GLENFIELD,diesel,89.9,90.4,90.9,89.9,2
2002-01-15,GLENFIELD,diesel,89.9,90.4,90.9,89.9,2
2002-01-16,GLENFIELD,diesel,89.9,90.4,90.9,89.9,2
2002-01-17,GLENFIELD,diesel,89.9,90.4,90.9,89.9,2
2002-01-18,GLENFIELD,diesel,89.9,90.4,90.9,89.9,2
2002-01-19,GLENFIELD,diesel,88.9,89.9,90.9,88.9,2
2002-01-20,GLENFIELD,diesel,88.9,89.9,90.9,88.9,2
2002-01-21,GLENFIELD,diesel,88.9,89.9,90.9,88.9,2
2002-01-22,GLENFIELD,diesel,88.9,89.9,90.9,88.9,2
2002-01-23,GLENFIELD,diesel,88.9,89.9,90.9,88.9,2
2002-01-24,GLENFIELD,diesel,89.9,90.4,90.9,89.9,2
2002-01-25,GLENFIELD,diesel,89.9,90.4,90.9,89.9,2
2002-01-26,GLENFIELD,diesel,89.9,90.4,90.9,89.9,2
2002-01-27,GLENFIELD,diesel,89.9,90.4,90.9,89.9,2
2002-01-28,GLENFIELD,diesel,89.9,90.4,90.9,89.9,2
2002-01-29,GLENFIELD,diesel,89.9,90.4,90.9,89.9,2
2002-01-30,GLENFIELD,diesel,89.9,90.4,90.9,89.9,2
2002-01-31,GLENFIELD,diesel,89.9,90.4,90.9,89.9,2
2002-02-01,GLENFIELD,diesel,88.9,89.9,90.9,88.9,2
2002-02-02,GLENFIELD,diesel,88.9,89.9,90.9,88.9,2
2002-02-03,GLENFIELD,diesel,88.9,89.9,90.9,88.9,2
2002-02-04,GLENFIELD,diesel,88.9,89.9,90.9,88.9,2
2002-02-05,GLENFIELD,diesel,88.9,89.9,90.9,88.9,2
2002-02-06,GLENFIELD,diesel,88.9,89.9,90.9,88.9,2
2002-02-07,GLENFIELD,diesel,88.9,89.9,90.9,88.9,2
2002-02-08,GLENFIELD,diesel,88.9,89.9,90.9,88.9,2
2002-02-09,GLENFIELD,diesel,89.7,90.3,90.9,89.7,2
2002-02-10,GLENFIELD,diesel,89.7,90.3,90.9,89.7,2
2002-02-11,GLENFIELD,diesel,89.7,90.3,90.9,89.7,2
2002-02-12,GLENFIELD,diesel,89.7,90.6,91.4,89.7,2
2002-02-13,GLENFIELD,diesel,89.7,90.6,91.4,89.7,2
2002-02-14,GLENFIELD,diesel,90.5,91.0,91.4,90.5,2
2002-02-15,GLENFIELD,diesel,89.7,90.6,91.4,89.7,2
2002-02-16,GLENFIELD,diesel,90.5,91.0,91.4,90.5,2
2002-02-17,GLENFIELD,diesel,90.5,91.0,91.4,90.5,2
2002-02-18,GLENFIELD,diesel,90.5,91.0,91.4,90.5,2
2002-02-19,GLENFIELD,diesel,90.5,91.5,92.4,90.5,2
2002-02-20,GLENFIELD,diesel,90.9,91.7,92.4,90.9,2
2002-02-21,GLENFIELD,diesel,90.9,91.7,92.4,90.9,2
2002-02-22,GLENFIELD,diesel,90.9,91.7,92.4,90.9,2
2002-02-23,GLENFIELD,diesel,90.9,91.7,92.4,90.9,2
2002-02-24,GLENFIELD,diesel,90.9,91.7,92.4,90.9,2
2002-02-25,GLENFIELD,diesel,90.9,91.7,92.4,90.9,2
2002-02-26,GLENFIELD,diesel,90.9,91.7,92.4,90.9,2
2002-02-27,GLENFIELD,diesel,90.9,91.7,92.4,90.9,2
2002-02-28,GLENFIELD,diesel,90.9,91.7,92.4,90.9,2
2003-01-01,GLENFIELD,diesel,99.9,100.7,101.4,99.9,2
2003-01-02,GLENFIELD,diesel,99.9,100.7,101.4,99.9,2
2003-01-03,GLENFIELD,diesel,99.9,102.4,104.9,99.9,2
2003-01-04,GLENFIELD,diesel,99.9,102.4,104.9,99.9,2
2003-01-05,GLENFIELD,diesel,99.9,102.4,104.9,99.9,2
2003-01-06,GLENFIELD,diesel,99.9,102.4,104.9,99.9,2
2003-01-07,GLENFIELD,diesel,99.9,102.4,104.9,99.9,2
2003-01-08,GLENFIELD,diesel,99.9,102.4,104.9,99.9,2
2003-01-09,GLENFIELD,diesel,99.9,102.4,104.9,99.9,2
2003-01-10,GLENFIELD,diesel,99.9,102.4,104.9,99.9,2
2003-01-11,GLENFIELD,diesel,99.9,102.4,104.9,99.9,2
2003-01-12,GLENFIELD,diesel,101.9,103.4,104.9,101.9,2
2003-01-13,GLENFIELD,diesel,101.9,103.4,104.9,101.9,2
2003-01-14,GLENFIELD,diesel,101.9,103.4,104.9,101.9,2
2003-01-15,GLENFIELD,diesel,101.9,103.4,104.9,101.9,2
2003-01-16,GLENFIELD,diesel,101.9,103.4,104.9,101.9,2
