date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2009-01-01,GLENFIELD,premium_98,130.9,130.9,130.9,130.9,1
2009-01-02,GLENFIELD,premium_98,130.9,130.9,130.9,130.9,1
2009-01-03,GLENFIELD,premium_98,130.9,130.9,130.9,130.9,1
2009-01-04,GLENFIELD,premium_98,130.9,130.9,130.9,130.9,1
2009-01-05,GLENFIELD,premium_98,128.9,128.9,128.9,128.9,1
2009-01-06,GLENFIELD,premium_98,128.9,128.9,128.9,128.9,1
2009-01-07,GLENFIELD,premium_98,128.9,128.9,128.9,128.9,1
2009-01-08,GLENFIELD,premium_98,128.9,128.9,128.9,128.9,1
2009-01-09,GLENFIELD,premium_98,128.9,128.9,128.9,128.9,1
2009-01-10,GLENFIELD,premium_98,128.9,128.9,128.9,128.9,1
2009-01-11,GLENFIELD,premium_98,128.9,128.9,128.9,128.9,1
2009-01-12,GLENFIELD,premium_98,128.9,128.9,128.9,128.9,1
2009-01-13,GLENFIELD,premium_98,128.9,128.9,128.9,128.9,1
2009-01-14,GLENFIELD,premium_98,128.9,128.9,128.9,128.9,1
2009-01-15,GLENFIELD,premium_98,128.9,128.9,128.9,128.9,1
2009-01-16,GLENFIELD,premium_98,128.9,128.9,128.9,128.9,1
2009-01-17,GLENFIELD,premium_98,128.9,128.9,128.9,128.9,1
2009-01-18,GLENFIELD,premium_98,131.9,131.9,131.9,131.9,1
2009-01-19,GLENFIELD,premium_98,131.9,131.9,131.9,131.9,1
2009-01-20,GLENFIELD,premium_98,131.9,131.9,131.9,131.9,1
2009-01-21,GLENFIELD,premium_98,131.9,131.9,131.9,131.9,1
2009-01-22,GLENFIELD,premium_98,131.9,131.9,131.9,131.9,1
2009-01-23,GLENFIELD,premium_98,134.9,134.9,134.9,134.9,1
2009-01-24,GLENFIELD,premium_98,134.9,134.9,134.9,134.9,1
2009-01-25,GLENFIELD,premium_98,134.9,134.9,134.9,134.9,1
2009-01-26,GLENFIELD,premium_98,137.9,137.9,137.9,137.9,1
2009-01-27,GLENFIELD,premium_98,137.9,137.9,137.9,137.9,1
2009-01-28,GLENFIELD,premium_98,137.9,137.9,137.9,137.9,1
2009-01-29,GLENFIELD,premium_98,139.9,139.9,139.9,139.9,1
2009-01-30,GLENFIELD,premium_98,141.9,141.9,141.9,141.9,1
2009-01-31,GLENFIELD,premium_98,142.9,142.9,142.9,142.9,1
2009-02-01,GLENFIELD,premium_98,142.9,142.9,142.9,142.9,1
2009-02-02,GLENFIELD,premium_98,142.9,142.9,142.9,142.9,1
2009-02-03,GLENFIELD,premium_98,142.9,142.9,142.9,142.9,1
2009-02-04,GLENFIELD,premium_98,142.9,142.9,142.9,142.9,1
2009-02-05,GLENFIELD,premium_98,142.9,142.9,142.9,142.9,1
2009-02-06,GLENFIELD,premium_98,142.9,142.9,142.9,142.9,1
2009-02-07,GLENFIELD,premium_98,142.9,142.9,142.9,142.9,1
2009-02-08,GLENFIELD,premium_98,142.9,142.9,142.9,142.9,1
2009-02-09,GLENFIELD,premium_98,142.9,142.9,142.9,142.9,1
2009-02-10,GLENFIELD,premium_98,142.9,142.9,142.9,142.9,1
2009-02-11,GLENFIELD,premium_98,142.9,142.9,142.9,142.9,1
2009-02-12,GLENFIELD,premium_98,142.9,142.9,142.9,142.9,1
2009-02-13,GLENFIELD,premium_98,142.9,142.9,142.9,142.9,1
2009-02-14,GLENFIELD,premium_98,142.9,142.9,142.9,142.9,1
2009-02-15,GLENFIELD,premium_98,142.9,142.9,142.9,142.9,1
2009-02-16,GLENFIELD,premium_98,142.9,142.9,142.9,142.9,1
2009-02-17,GLENFIELD,premium_98,142.9,142.9,142.9,142.9,1
2009-02-18,GLENFIELD,premium_98,145.9,145.9,145.9,145.9,1
2009-02-19,GLENFIELD,premium_98,145.9,145.9,145.9,145.9,1
2009-02-20,GLENFIELD,premium_98,145.9,145.9,145.9,145.9,1
2009-02-21,GLENFIELD,premium_98,149.9,149.9,149.9,149.9,1
2009-02-22,GLENFIELD,premium_98,149.9,149.9,149.9,149.9,1
2009-02-23,GLENFIELD,premium_98,149.9,149.9,149.9,149.9,1
2009-02-24,GLENFIELD,premium_98,149.9,149.9,149.9,149.9,1
2009-02-25,GLENFIELD,premium_98,149.9,149.9,149.9,149.9,1
2009-02-26,GLENFIELD,premium_98,149.9,149.9,149.9,149.9,1
2009-02-27,GLENFIELD,premium_98,149.9,149.9,149.9,149.9,1
2009-02-28,GLENFIELD,premium_98,149.9,149.9,149.9,149.9,1
2010-01-01,GLENFIELD,premium_98,149.9,149.9,149.9,149.9,1
2010-01-02,GLENFIELD,premium_98,149.9,149.9,149.9,149.9,1
2010-01-03,GLENFIELD,premium_98,149.9,149.9,149.9,149.9,1
2010-01-04,GLENFIELD,premium_98,149.9,149.9,149.9,149.9,1
2010-01-05,GLENFIELD,premium_98,149.9,149.9,149.9,149.9,1
2010-01-06,GLENFIELD,premium_98,149.9,149.9,149.9,149.9,1
2010-01-07,GLENFIELD,premium_98,149.9,149.9,149.9,149.9,1
2010-01-08,GLENFIELD,premium_98,149.9,149.9,149.9,149.9,1
2010-01-09,GLENFIELD,premium_98,149.9,149.9,149.9,149.9,1
2010-01-10,GLENFIELD,premium_98,149.9,149.9,149.9,149.9,1
2010-01-11,GLENFIELD,premium_98,149.9,149.9,149.9,149.9,1
2010-01-12,GLENFIELD,premium_98,149.9,149.9,149.9,149.9,1
2010-01-13,GLENFIELD,premium_98,149.9,149.9,149.9,149.9,1
2010-01-14,GLENFIELD,premium_98,149.9,149.9,149.9,149.9,1
2010-01-15,GLENFIELD,premium_98,152.9,152.9,152.9,152.9,1
2010-01-16,GLENFIELD,premium_98,152.9,152.9,152.9,152.9,1
2010-01-17,GLENFIELD,premium_98,152.9,152.9,152.9,152.9,1
2010-01-18,GLENFIELD,premium_98,152.9,152.9,152.9,152.9,1
2010-01-19,GLENFIELD,premium_98,152.9,152.9,152.9,152.9,1
2010-01-20,GLENFIELD,premium_98,152.9,152.9,152.9,152.9,1
