date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,GOSNELLS,diesel,85.9,89.7,96.9,85.9,4
2002-01-02,GOSNELLS,diesel,85.9,89.7,96.9,85.9,4
2002-01-03,GOSNELLS,diesel,85.9,89.7,96.9,85.9,4
2002-01-04,GOSNELLS,diesel,85.9,89.7,96.9,85.9,4
2002-01-05,GOSNELLS,diesel,85.9,89.7,96.9,85.9,4
2002-01-06,GOSNELLS,diesel,85.9,89.7,96.9,85.9,4
2002-01-07,GOSNELLS,diesel,86.9,89.9,96.9,86.9,4
2002-01-08,GOSNELLS,diesel,86.9,89.9,96.9,86.9,4
2002-01-09,GOSNELLS,diesel,86.9,89.9,96.9,86.9,4
2002-01-10,GOSNELLS,diesel,86.9,89.9,96.9,86.9,4
2002-01-11,GOSNELLS,diesel,86.9,89.9,96.9,86.9,4
2002-01-12,GOSNELLS,diesel,86.9,89.9,96.9,86.9,4
2002-01-13,GOSNELLS,diesel,85.9,89.7,96.9,85.9,4
2002-01-14,GOSNELLS,diesel,85.9,89.7,96.9,85.9,4
2002-01-15,GOSNELLS,diesel,85.9,89.7,96.9,85.9,4
2002-01-16,GOSNELLS,diesel,85.9,89.7,96.9,85.9,4
2002-01-17,GOSNELLS,diesel,85.9,89.7,96.9,85.9,4
2002-01-18,GOSNELLS,diesel,85.9,89.7,96.9,85.9,4
2002-01-19,GOSNELLS,diesel,85.9,89.7,96.9,85.9,4
2002-01-20,GOSNELLS,diesel,85.9,89.7,96.9,85.9,4
2002-01-21,GOSNELLS,diesel,85.9,89.7,96.9,85.9,4
2002-01-22,GOSNELLS,diesel,85.9,89.7,96.9,85.9,4
2002-01-23,GOSNELLS,diesel,85.9,89.7,96.9,85.9,4
2002-01-24,GOSNELLS,diesel,85.9,88.9,96.9,85.9,4
2002-01-25,GOSNELLS,diesel,85.9,88.9,96.9,85.9,4
2002-01-26,GOSNELLS,diesel,85.9,88.9,96.9,85.9,4
2002-01-27,GOSNELLS,diesel,85.9,88.9,96.9,85.9,4
2002-01-28,GOSNELLS,diesel,85.9,88.9,96.9,85.9,4
2002-01-29,GOSNELLS,diesel,85.9,88.9,96.9,85.9,4
2002-01-30,GOSNELLS,diesel,85.9,88.9,96.9,85.9,4
2002-01-31,GOSNELLS,diesel,85.9,88.9,96.9,85.9,4
2002-02-01,GOSNELLS,diesel,85.9,88.9,96.9,85.9,4
2002-02-02,GOSNELLS,diesel,85.9,88.9,96.9,85.9,4
2002-02-03,GOSNELLS,diesel,85.9,88.9,96.9,85.9,4
2002-02-04,GOSNELLS,diesel,85.9,88.9,96.9,85.9,4
2002-02-05,GOSNELLS,diesel,85.9,88.9,96.9,85.9,4
2002-02-06,GOSNELLS,diesel,85.9,88.7,96.9,85.9,4
2002-02-07,GOSNELLS,diesel,85.9,88.7,96.9,85.9,4
2002-02-08,GOSNELLS,diesel,85.9,88.7,96.9,85.9,4
