date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2016-01-01,GREENFIELDS,ulp_91,119.9,119.9,119.9,119.9,1
2016-01-02,GREENFIELDS,ulp_91,116.9,116.9,116.9,116.9,1
2016-01-03,GREENFIELDS,ulp_91,114.9,114.9,114.9,114.9,1
2016-01-04,GREENFIELDS,ulp_91,109.9,109.9,109.9,109.9,1
2016-01-05,GREENFIELDS,ulp_91,129.9,129.9,129.9,129.9,1
2016-01-06,GREENFIELDS,ulp_91,126.9,126.9,126.9,126.9,1
2016-01-07,GREENFIELDS,ulp_91,123.9,123.9,123.9,123.9,1
2016-01-08,GREENFIELDS,ulp_91,120.9,120.9,120.9,120.9,1
2016-01-09,GREENFIELDS,ulp_91,116.9,116.9,116.9,116.9,1
2016-01-10,GREENFIELDS,ulp_91,113.9,113.9,113.9,113.9,1
2016-01-11,GREENFIELDS,ulp_91,109.9,109.9,109.9,109.9,1
2016-01-12,GREENFIELDS,ulp_91,129.9,129.9,129.9,129.9,1
2016-01-13,GREENFIELDS,ulp_91,126.9,126.9,126.9,126.9,1
2016-01-14,GREENFIELDS,ulp_91,124.9,124.9,124.9,124.9,1
2016-01-15,GREENFIELDS,ulp_91,121.9,121.9,121.9,121.9,1
2016-01-16,GREENFIELDS,ulp_91,117.9,117.9,117.9,117.9,1
2016-01-17,GREENFIELDS,ulp_91,112.9,112.9,112.9,112.9,1
2016-01-18,GREENFIELDS,ulp_91,109.9,109.9,109.9,109.9,1
2016-01-19,GREENFIELDS,ulp_91,127.9,127.9,127.9,127.9,1
2016-01-20,GREENFIELDS,ulp_91,125.9,125.9,125.9,125.9,1
2016-01-21,GREENFIELDS,ulp_91,121.9,121.9,121.9,121.9,1
2016-01-22,GREENFIELDS,ulp_91,116.9,116.9,116.9,116.9,1
2016-01-23,GREENFIELDS,ulp_91,113.9,113.9,113.9,113.9,1
2016-01-24,GREENFIELDS,ulp_91,111.3,111.3,111.3,111.3,1
2016-01-25,GREENFIELDS,ulp_91,107.9,107.9,107.9,107.9,1
2016-01-26,GREENFIELDS,ulp_91,125.9,125.9,125.9,125.9,1
2016-01-27,GREENFIELDS,ulp_91,121.9,121.9,121.9,121.9,1
2016-01-28,GREENFIELDS,ulp_91,118.9,118.9,118.9,118.9,1
2016-01-29,GREENFIELDS,ulp_91,115.9,115.9,115.9,115.9,1
2016-01-30,GREENFIELDS,ulp_91,110.9,110.9,110.9,110.9,1
2016-01-31,GREENFIELDS,ulp_91,107.9,107.9,107.9,107.9,1
2016-02-01,GREENFIELDS,ulp_91,103.9,103.9,103.9,103.9,1
2016-02-02,GREENFIELDS,ulp_91,125.9,125.9,125.9,125.9,1
2016-02-03,GREENFIELDS,ulp_91,121.9,121.9,121.9,121.9,1
2016-02-04,GREENFIELDS,ulp_91,117.9,117.9,117.9,117.9,1
2016-02-05,GREENFIELDS,ulp_91,111.9,111.9,111.9,111.9,1
2016-02-06,GREENFIELDS,ulp_91,108.9,108.9,108.9,108.9,1
2016-02-07,GREENFIELDS,ulp_91,105.9,105.9,105.9,105.9,1
2016-02-08,GREENFIELDS,ulp_91,103.5,103.5,103.5,103.5,1
2016-02-09,GREENFIELDS,ulp_91,123.9,123.9,123.9,123.9,1
2016-02-10,GREENFIELDS,ulp_91,117.9,117.9,117.9,117.9,1
2016-02-11,GREENFIELDS,ulp_91,113.9,113.9,113.9,113.9,1
2016-02-12,GREENFIELDS,ulp_91,107.9,107.9,107.9,107.9,1
2016-02-13,GREENFIELDS,ulp_91,101.9,101.9,101.9,101.9,1
2016-02-14,GREENFIELDS,ulp_91,99.9,99.9,99.9,99.9,1
2016-02-15,GREENFIELDS,ulp_91,97.9,97.9,97.9,97.9,1
2016-02-16,GREENFIELDS,ulp_91,119.9,119.9,119.9,119.9,1
2016-02-17,GREENFIELDS,ulp_91,115.9,115.9,115.9,115.9,1
2016-02-18,GREENFIELDS,ulp_91,111.9,111.9,111.9,111.9,1
2016-02-19,GREENFIELDS,ulp_91,108.9,108.9,108.9,108.9,1
2016-02-20,GREENFIELDS,ulp_91,103.9,103.9,103.9,103.9,1
2016-02-21,GREENFIELDS,ulp_91,100.9,100.9,100.9,100.9,1
