date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,GREENWOOD,diesel,85.9,87.4,88.9,85.9,2
2002-01-02,GREENWOOD,diesel,85.9,87.4,88.9,85.9,2
2002-01-03,GREENWOOD,diesel,85.9,87.4,88.9,85.9,2
2002-01-04,GREENWOOD,diesel,85.9,87.4,88.9,85.9,2
2002-01-05,GREENWOOD,diesel,85.9,87.4,88.9,85.9,2
2002-01-06,GREENWOOD,diesel,85.9,87.4,88.9,85.9,2
2002-01-07,GREENWOOD,diesel,85.9,87.4,88.9,85.9,2
2002-01-08,GREENWOOD,diesel,85.9,87.4,88.9,85.9,2
2002-01-09,GREENWOOD,diesel,85.9,86.4,86.9,85.9,2
2002-01-10,GREENWOOD,diesel,85.9,86.4,86.9,85.9,2
2002-01-11,GREENWOOD,diesel,85.9,86.4,86.9,85.9,2
2002-01-12,GREENWOOD,diesel,85.9,86.4,86.9,85.9,2
2002-01-13,GREENWOOD,diesel,86.9,86.9,86.9,86.9,2
2002-01-14,GREENWOOD,diesel,86.9,86.9,86.9,86.9,2
2002-01-15,GREENWOOD,diesel,86.9,86.9,86.9,86.9,2
2002-01-16,GREENWOOD,diesel,86.9,86.9,86.9,86.9,2
2002-01-17,GREENWOOD,diesel,86.9,86.9,86.9,86.9,2
2002-01-18,GREENWOOD,diesel,86.9,86.9,86.9,86.9,2
2002-01-19,GREENWOOD,diesel,86.9,86.9,86.9,86.9,2
2002-01-20,GREENWOOD,diesel,86.9,86.9,86.9,86.9,2
2002-01-21,GREENWOOD,diesel,86.9,86.9,86.9,86.9,2
2002-01-22,GREENWOOD,diesel,86.9,86.9,86.9,86.9,2
2002-01-23,GREENWOOD,diesel,86.9,86.9,86.9,86.9,2
2002-01-24,GREENWOOD,diesel,86.9,86.9,86.9,86.9,2
2002-01-25,GREENWOOD,diesel,86.9,86.9,86.9,86.9,2
2002-01-26,GREENWOOD,diesel,86.9,86.9,86.9,86.9,2
2002-01-27,GREENWOOD,diesel,86.9,86.9,86.9,86.9,2
2002-01-28,GREENWOOD,diesel,86.9,86.9,86.9,86.9,2
2002-01-29,GREENWOOD,diesel,86.9,86.9,86.9,86.9,2
2002-01-30,GREENWOOD,diesel,86.9,86.9,86.9,86.9,2
2002-01-31,GREENWOOD,diesel,86.9,86.9,86.9,86.9,2
2002-02-01,GREENWOOD,diesel,86.9,86.9,86.9,86.9,2
2002-02-02,GREENWOOD,diesel,86.9,86.9,86.9,86.9,2
2002-02-03,GREENWOOD,diesel,86.9,86.9,86.9,86.9,2
2002-02-04,GREENWOOD,diesel,86.9,86.9,86.9,86.9,2
2002-02-05,GREENWOOD,diesel,83.9,85.4,86.9,83.9,2
2002-02-06,GREENWOOD,diesel,83.9,85.4,86.9,83.9,2
2002-02-07,GREENWOOD,diesel,83.9,85.4,86.9,83.9,2
2002-02-08,GREENWOOD,diesel,83.9,85.4,86.9,83.9,2
2002-02-09,GREENWOOD,diesel,83.9,85.4,86.9,83.9,2
2002-02-10,GREENWOOD,diesel,83.9,85.4,86.9,83.9,2
2002-02-11,GREENWOOD,diesel,83.9,85.4,86.9,83.9,2
2002-02-12,GREENWOOD,diesel,83.9,85.4,86.9,83.9,2
2002-02-13,GREENWOOD,diesel,83.9,85.4,86.9,83.9,2
2002-02-14,GREENWOOD,diesel,83.9,83.9,83.9,83.9,2
2002-02-15,GREENWOOD,diesel,83.9,83.9,83.9,83.9,2
2002-02-16,GREENWOOD,diesel,83.9,83.9,83.9,83.9,2
2002-02-17,GREENWOOD,diesel,83.9,83.9,83.9,83.9,2
