date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,GUILDFORD,diesel,85.9,85.9,85.9,85.9,1
2002-01-02,GUILDFORD,diesel,84.5,84.5,84.5,84.5,1
2002-01-03,GUILDFORD,diesel,84.5,84.5,84.5,84.5,1
2002-01-04,GUILDFORD,diesel,84.5,84.5,84.5,84.5,1
2002-01-05,GUILDFORD,diesel,84.5,84.5,84.5,84.5,1
2002-01-06,GUILDFORD,diesel,84.5,84.5,84.5,84.5,1
2002-01-07,GUILDFORD,diesel,84.5,84.5,84.5,84.5,1
2002-01-08,GUILDFORD,diesel,84.5,84.5,84.5,84.5,1
2002-01-09,GUILDFORD,diesel,84.5,84.5,84.5,84.5,1
2002-01-10,GUILDFORD,diesel,84.9,84.9,84.9,84.9,1
2002-01-11,GUILDFORD,diesel,84.9,84.9,84.9,84.9,1
2002-01-12,GUILDFORD,diesel,84.9,84.9,84.9,84.9,1
2002-01-13,GUILDFORD,diesel,84.9,84.9,84.9,84.9,1
2002-01-14,GUILDFORD,diesel,84.9,84.9,84.9,84.9,1
2002-01-15,GUILDFORD,diesel,84.9,84.9,84.9,84.9,1
2002-01-16,GUILDFORD,diesel,84.5,84.5,84.5,84.5,1
2002-01-17,GUILDFORD,diesel,84.5,84.5,84.5,84.5,1
2002-01-18,GUILDFORD,diesel,83.9,83.9,83.9,83.9,1
2002-01-19,GUILDFORD,diesel,83.9,83.9,83.9,83.9,1
2002-01-20,GUILDFORD,diesel,83.9,83.9,83.9,83.9,1
2002-01-21,GUILDFORD,diesel,83.9,83.9,83.9,83.9,1
2002-01-22,GUILDFORD,diesel,83.9,83.9,83.9,83.9,1
2002-01-23,GUILDFORD,diesel,83.9,83.9,83.9,83.9,1
2002-01-24,GUILDFORD,diesel,83.9,83.9,83.9,83.9,1
2002-01-25,GUILDFORD,diesel,83.5,83.5,83.5,83.5,1
2002-01-26,GUILDFORD,diesel,83.5,83.5,83.5,83.5,1
2002-01-27,GUILDFORD,diesel,83.5,83.5,83.5,83.5,1
2002-01-28,GUILDFORD,diesel,83.5,83.5,83.5,83.5,1
2002-01-29,GUILDFORD,diesel,83.5,83.5,83.5,83.5,1
2002-01-30,GUILDFORD,diesel,83.5,83.5,83.5,83.5,1
2002-01-31,GUILDFORD,diesel,83.5,83.5,83.5,83.5,1
2002-02-01,GUILDFORD,diesel,83.5,83.5,83.5,83.5,1
2002-02-02,GUILDFORD,diesel,83.5,83.5,83.5,83.5,1
2002-02-03,GUILDFORD,diesel,83.5,83.5,83.5,83.5,1
2002-02-04,GUILDFORD,diesel,83.3,83.3,83.3,83.3,1
2002-02-05,GUILDFORD,diesel,83.3,83.3,83.3,83.3,1
2002-02-06,GUILDFORD,diesel,83.3,83.3,83.3,83.3,1
2002-02-07,GUILDFORD,diesel,83.3,83.3,83.3,83.3,1
2002-02-08,GUILDFORD,diesel,82.9,82.9,82.9,82.9,1
2002-02-09,GUILDFORD,diesel,82.9,82.9,82.9,82.9,1
2002-02-10,GUILDFORD,diesel,82.9,82.9,82.9,82.9,1
2002-02-11,GUILDFORD,diesel,82.9,82.9,82.9,82.9,1
2002-02-12,GUILDFORD,diesel,82.9,82.9,82.9,82.9,1
2002-02-13,GUILDFORD,diesel,82.9,82.9,82.9,82.9,1
2002-02-14,GUILDFORD,diesel,82.9,82.9,82.9,82.9,1
2002-02-15,GUILDFORD,diesel,82.9,82.9,82.9,82.9,1
2002-02-16,GUILDFORD,diesel,82.9,82.9,82.9,82.9,1
2002-02-17,GUILDFORD,diesel,82.9,82.9,82.9,82.9,1
2002-02-18,GUILDFORD,diesel,82.9,82.9,82.9,82.9,1
2002-02-19,GUILDFORD,diesel,82.9,82.9,82.9,82.9,1
2002-02-20,GUILDFORD,diesel,82.9,82.9,82.9,82.9,1
2002-02-21,GUILDFORD,diesel,82.9,82.9,82.9,82.9,1
2002-02-22,GUILDFORD,diesel,82.9,82.9,82.9,82.9,1
2002-02-23,GUILDFORD,diesel,82.9,82.9,82.9,82.9,1
2002-02-24,GUILDFORD,diesel,82.9,82.9,82.9,82.9,1
2002-02-25,GUILDFORD,diesel,82.9,82.9,82.9,82.9,1
2002-02-26,GUILDFORD,diesel,82.9,82.9,82.9,82.9,1
2002-02-27,GUILDFORD,diesel,82.9,82.9,82.9,82.9,1
2002-02-28,GUILDFORD,diesel,82.9,82.9,82.9,82.9,1
2003-01-01,GUILDFORD,diesel,93.9,93.9,93.9,93.9,1
2003-01-02,GUILDFORD,diesel,93.9,93.9,93.9,93.9,1
2003-01-03,GUILDFORD,diesel,93.9,93.9,93.9,93.9,1
2003-01-04,GUILDFORD,diesel,93.9,93.9,93.9,93.9,1
2003-01-05,GUILDFORD,diesel,93.9,93.9,93.9,93.9,1
2003-01-06,GUILDFORD,diesel,93.9,93.9,93.9,93.9,1
