date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2009-01-01,GWELUP,premium_98,110.5,110.5,110.5,110.5,1
2009-01-02,GWELUP,premium_98,109.9,109.9,109.9,109.9,1
2009-01-03,GWELUP,premium_98,109.5,109.5,109.5,109.5,1
2009-01-04,GWELUP,premium_98,109.5,109.5,109.5,109.5,1
2009-01-05,GWELUP,premium_98,109.5,109.5,109.5,109.5,1
2009-01-06,GWELUP,premium_98,108.5,108.5,108.5,108.5,1
2009-01-07,GWELUP,premium_98,108.5,108.5,108.5,108.5,1
2009-01-08,GWELUP,premium_98,108.1,108.1,108.1,108.1,1
2009-01-09,GWELUP,premium_98,107.9,107.9,107.9,107.9,1
2009-01-10,GWELUP,premium_98,107.9,107.9,107.9,107.9,1
2009-01-11,GWELUP,premium_98,107.2,107.2,107.2,107.2,1
2009-01-12,GWELUP,premium_98,118.9,118.9,118.9,118.9,1
2009-01-13,GWELUP,premium_98,118.9,118.9,118.9,118.9,1
2009-01-14,GWELUP,premium_98,116.9,116.9,116.9,116.9,1
2009-01-15,GWELUP,premium_98,115.9,115.9,115.9,115.9,1
2009-01-16,GWELUP,premium_98,114.9,114.9,114.9,114.9,1
2009-01-17,GWELUP,premium_98,114.1,114.1,114.1,114.1,1
2009-01-18,GWELUP,premium_98,113.5,113.5,113.5,113.5,1
2009-01-19,GWELUP,premium_98,113.5,113.5,113.5,113.5,1
2009-01-20,GWELUP,premium_98,113.5,113.5,113.5,113.5,1
2009-01-21,GWELUP,premium_98,113.5,113.5,113.5,113.5,1
2009-01-22,GWELUP,premium_98,115.5,115.5,115.5,115.5,1
2009-01-23,GWELUP,premium_98,115.5,115.5,115.5,115.5,1
2009-01-24,GWELUP,premium_98,115.5,115.5,115.5,115.5,1
2009-01-25,GWELUP,premium_98,119.9,119.9,119.9,119.9,1
2009-01-26,GWELUP,premium_98,126.9,126.9,126.9,126.9,1
2009-01-27,GWELUP,premium_98,126.9,126.9,126.9,126.9,1
2009-01-28,GWELUP,premium_98,125.9,125.9,125.9,125.9,1
2009-01-29,GWELUP,premium_98,124.9,124.9,124.9,124.9,1
2009-01-30,GWELUP,premium_98,124.5,124.5,124.5,124.5,1
2009-01-31,GWELUP,premium_98,123.9,123.9,123.9,123.9,1
2009-02-01,GWELUP,premium_98,123.5,123.5,123.5,123.5,1
2009-02-02,GWELUP,premium_98,122.9,122.9,122.9,122.9,1
2009-02-03,GWELUP,premium_98,122.9,122.9,122.9,122.9,1
2009-02-04,GWELUP,premium_98,122.9,122.9,122.9,122.9,1
2009-02-05,GWELUP,premium_98,122.5,122.5,122.5,122.5,1
2009-02-06,GWELUP,premium_98,122.5,122.5,122.5,122.5,1
2009-02-07,GWELUP,premium_98,122.5,122.5,122.5,122.5,1
2009-02-08,GWELUP,premium_98,122.5,122.5,122.5,122.5,1
2009-02-09,GWELUP,premium_98,122.5,122.5,122.5,122.5,1
2009-02-10,GWELUP,premium_98,122.5,122.5,122.5,122.5,1
2009-02-11,GWELUP,premium_98,122.5,122.5,122.5,122.5,1
2009-02-12,GWELUP,premium_98,122.5,122.5,122.5,122.5,1
2009-02-13,GWELUP,premium_98,122.5,122.5,122.5,122.5,1
2009-02-14,GWELUP,premium_98,122.5,122.5,122.5,122.5,1
2009-02-15,GWELUP,premium_98,122.5,122.5,122.5,122.5,1
2009-02-16,GWELUP,premium_98,122.5,122.5,122.5,122.5,1
2009-02-17,GWELUP,premium_98,122.5,122.5,122.5,122.5,1
2009-02-18,GWELUP,premium_98,122.5,122.5,122.5,122.5,1
2009-02-19,GWELUP,premium_98,122.5,122.5,122.5,122.5,1
2009-02-20,GWELUP,premium_98,122.5,122.5,122.5,122.5,1
2009-02-21,GWELUP,premium_98,122.5,122.5,122.5,122.5,1
2009-02-22,GWELUP,premium_98,122.5,122.5,122.5,122.5,1
2009-02-23,GWELUP,premium_98,122.5,122.5,122.5,122.5,1
2009-02-24,GWELUP,premium_98,122.5,122.5,122.5,122.5,1
2009-02-25,GWELUP,premium_98,122.5,122.5,122.5,122.5,1
2009-02-26,GWELUP,premium_98,125.5,125.5,125.5,125.5,1
2009-02-27,GWELUP,premium_98,125.5,125.5,125.5,125.5,1
2009-02-28,GWELUP,premium_98,125.5,125.5,125.5,125.5,1
2010-01-01,GWELUP,premium_98,126.9,126.9,126.9,126.9,1
2010-01-02,GWELUP,premium_98,126.9,126.9,126.9,126.9,1
2010-01-03,GWELUP,premium_98,129.8,129.8,129.8,129.8,1
2010-01-04,GWELUP,premium_98,129.8,129.8,129.8,129.8,1
2010-01-05,GWELUP,premium_98,129.8,129.8,129.8,129.8,1
2010-01-06,GWELUP,premium_98,129.8,129.8,129.8,129.8,1
2010-01-07,GWELUP,premium_98,129.8,129.8,129.8,129.8,1
2010-01-08,GWELUP,premium_98,129.8,129.8,129.8,129.8,1
2010-01-09,GWELUP,premium_98,139.9,139.9,139.9,139.9,1
2010-01-10,GWELUP,premium_98,132.9,132.9,132.9,132.9,1
2010-01-11,GWELUP,premium_98,132.9,132.9,132.9,132.9,1
2010-01-12,GWELUP,premium_98,130.9,130.9,130.9,130.9,1
2010-01-13,GWELUP,premium_98,130.9,130.9,130.9,130.9,1
2010-01-14,GWELUP,premium_98,130.9,130.9,130.9,130.9,1
2010-01-15,GWELUP,premium_98,130.9,130.9,130.9,130.9,1
2010-01-16,GWELUP,premium_98,130.9,130.9,130.9,130.9,1
2010-01-17,GWELUP,premium_98,130.9,130.9,130.9,130.9,1
2010-01-18,GWELUP,premium_98,131.9,131.9,131.9,131.9,1
2010-01-19,GWELUP,premium_98,131.9,131.9,131.9,131.9,1
2010-01-20,GWELUP,premium_98,131.9,131.9,131.9,131.9,1
2010-01-21,GWELUP,premium_98,131.9,131.9,131.9,131.9,1
2010-01-22,GWELUP,premium_98,131.9,131.9,131.9,131.9,1
2010-01-23,GWELUP,premium_98,131.9,131.9,131.9,131.9,1
2010-01-24,GWELUP,premium_98,131.9,131.9,131.9,131.9,1
2010-01-25,GWELUP,premium_98,131.9,131.9,131.9,131.9,1
2010-01-26,GWELUP,premium_98,131.9,131.9,131.9,131.9,1
2010-01-27,GWELUP,premium_98,131.9,131.9,131.9,131.9,1
2010-01-28,GWELUP,premium_98,131.9,131.9,131.9,131.9,1
2010-01-29,GWELUP,premium_98,131.9,131.9,131.9,131.9,1
2010-01-30,GWELUP,premium_98,131.9,131.9,131.9,131.9,1
2010-01-31,GWELUP,premium_98,131.9,131.9,131.9,131.9,1
2010-02-01,GWELUP,premium_98,131.3,131.3,131.3,131.3,1
2010-02-02,GWELUP,premium_98,131.3,131.3,131.3,131.3,1
2010-02-03,GWELUP,premium_98,131.1,131.1,131.1,131.1,1
2010-02-04,GWELUP,premium_98,131.1,131.1,131.1,131.1,1
2010-02-05,GWELUP,premium_98,131.1,131.1,131.1,131.1,1
2010-02-06,GWELUP,premium_98,140.9,140.9,140.9,140.9,1
2010-02-07,GWELUP,premium_98,136.9,136.9,136.9,136.9,1
2010-02-08,GWELUP,premium_98,135.9,135.9,135.9,135.9,1
2010-02-09,GWELUP,premium_98,133.9,133.9,133.9,133.9,1
2010-02-10,GWELUP,premium_98,132.9,132.9,132.9,132.9,1
2010-02-11,GWELUP,premium_98,132.9,132.9,132.9,132.9,1
2010-02-12,GWELUP,premium_98,132.9,132.9,132.9,132.9,1
2010-02-13,GWELUP,premium_98,139.9,139.9,139.9,139.9,1
2010-02-14,GWELUP,premium_98,137.9,137.9,137.9,137.9,1
2010-02-15,GWELUP,premium_98,135.9,135.9,135.9,135.9,1
2010-02-16,GWELUP,premium_98,133.9,133.9,133.9,133.9,1
2010-02-17,GWELUP,premium_98,132.9,132.9,132.9,132.9,1
2010-02-18,GWELUP,premium_98,131.9,131.9,131.9,131.9,1
2010-02-19,GWELUP,premium_98,141.9,141.9,141.9,141.9,1
2010-02-20,GWELUP,premium_98,139.9,139.9,139.9,139.9,1
2010-02-21,GWELUP,premium_98,137.9,137.9,137.9,137.9,1
2010-02-22,GWELUP,premium_98,135.9,135.9,135.9,135.9,1
2010-02-23,GWELUP,premium_98,133.9,133.9,133.9,133.9,1
2010-02-24,GWELUP,premium_98,132.9,132.9,132.9,132.9,1
2010-02-25,GWELUP,premium_98,132.9,132.9,132.9,132.9,1
2010-02-26,GWELUP,premium_98,141.9,141.9,141.9,141.9,1
2010-02-27,GWELUP,premium_98,139.9,139.9,139.9,139.9,1
2010-02-28,GWELUP,premium_98,137.9,137.9,137.9,137.9,1
2011-01-01,GWELUP,premium_98,145.9,145.9,145.9,145.9,1
2011-01-02,GWELUP,premium_98,143.9,143.9,143.9,143.9,1
2011-01-03,GWELUP,premium_98,141.9,141.9,141.9,141.9,1
2011-01-04,GWELUP,premium_98,139.9,139.9,139.9,139.9,1
2011-01-05,GWELUP,premium_98,137.9,137.9,137.9,137.9,1
2011-01-06,GWELUP,premium_98,151.9,151.9,151.9,151.9,1
2011-01-07,GWELUP,premium_98,149.9,149.9,149.9,149.9,1
2011-01-08,GWELUP,premium_98,147.9,147.9,147.9,147.9,1
2011-01-09,GWELUP,premium_98,143.9,143.9,143.9,143.9,1
2011-01-10,GWELUP,premium_98,141.9,141.9,141.9,141.9,1
2011-01-11,GWELUP,premium_98,139.9,139.9,139.9,139.9,1
2011-01-12,GWELUP,premium_98,137.9,137.9,137.9,137.9,1
2011-01-13,GWELUP,premium_98,152.9,152.9,152.9,152.9,1
2011-01-14,GWELUP,premium_98,150.9,150.9,150.9,150.9,1
2011-01-15,GWELUP,premium_98,148.9,148.9,148.9,148.9,1
