date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,GWELUP,ulp_91,82.3,84.3,86.3,82.3,4
2002-01-02,GWELUP,ulp_91,81.5,83.4,85.5,81.5,4
2002-01-03,GWELUP,ulp_91,79.9,82.0,83.9,79.9,4
2002-01-04,GWELUP,ulp_91,78.9,80.8,82.9,78.9,4
2002-01-05,GWELUP,ulp_91,77.7,79.7,81.7,77.7,4
2002-01-06,GWELUP,ulp_91,77.5,79.5,81.7,77.5,4
2002-01-07,GWELUP,ulp_91,76.9,79.1,81.0,76.9,4
2002-01-08,GWELUP,ulp_91,77.5,84.1,90.9,77.5,4
2002-01-09,GWELUP,ulp_91,79.9,85.1,90.5,79.9,4
2002-01-10,GWELUP,ulp_91,84.5,86.8,88.9,84.5,4
2002-01-11,GWELUP,ulp_91,83.9,85.8,87.9,83.9,4
2002-01-12,GWELUP,ulp_91,82.5,84.5,86.5,82.5,4
2002-01-13,GWELUP,ulp_91,81.5,83.5,85.5,81.5,4
2002-01-14,GWELUP,ulp_91,79.9,82.0,83.9,79.9,4
2002-01-15,GWELUP,ulp_91,78.9,80.8,82.9,78.9,4
2002-01-16,GWELUP,ulp_91,77.7,79.7,81.7,77.7,4
2002-01-17,GWELUP,ulp_91,77.9,83.3,88.9,77.9,4
2002-01-18,GWELUP,ulp_91,82.9,85.1,87.0,82.9,4
2002-01-19,GWELUP,ulp_91,81.7,83.7,85.9,81.7,4
2002-01-20,GWELUP,ulp_91,80.7,83.2,85.9,80.7,4
2002-01-21,GWELUP,ulp_91,79.9,82.2,84.7,79.9,4
2002-01-22,GWELUP,ulp_91,78.9,81.0,82.9,78.9,4
2002-01-23,GWELUP,ulp_91,77.5,79.6,81.5,77.5,4
2002-01-24,GWELUP,ulp_91,77.5,83.1,88.9,77.5,4
2002-01-25,GWELUP,ulp_91,83.9,86.3,88.4,83.9,4
2002-01-26,GWELUP,ulp_91,81.9,84.1,86.0,81.9,4
2002-01-27,GWELUP,ulp_91,80.5,82.5,84.7,80.5,4
2002-01-28,GWELUP,ulp_91,78.9,81.0,82.9,78.9,4
2002-01-29,GWELUP,ulp_91,77.9,80.3,82.9,77.9,4
2002-01-30,GWELUP,ulp_91,77.5,79.4,81.5,77.5,4
2002-01-31,GWELUP,ulp_91,76.3,78.5,80.4,76.3,4
2002-02-01,GWELUP,ulp_91,76.9,83.3,89.9,76.9,4
2002-02-02,GWELUP,ulp_91,79.9,84.8,89.9,79.9,4
2002-02-03,GWELUP,ulp_91,79.9,84.8,89.9,79.9,4
2002-02-04,GWELUP,ulp_91,78.9,81.1,83.0,78.9,4
2002-02-05,GWELUP,ulp_91,77.9,80.0,81.9,77.9,4
2002-02-06,GWELUP,ulp_91,77.5,79.6,81.5,77.5,4
2002-02-07,GWELUP,ulp_91,76.5,78.9,81.0,76.5,4
2002-02-08,GWELUP,ulp_91,75.9,77.8,79.9,75.9,4
2002-02-09,GWELUP,ulp_91,75.9,77.8,79.9,75.9,4
2002-02-10,GWELUP,ulp_91,75.9,78.8,81.4,75.9,4
2002-02-11,GWELUP,ulp_91,77.9,85.3,92.9,77.9,4
2002-02-12,GWELUP,ulp_91,86.9,89.2,91.2,86.9,4
2002-02-13,GWELUP,ulp_91,85.7,87.7,89.9,85.7,4
2002-02-14,GWELUP,ulp_91,83.9,86.2,88.2,83.9,4
2002-02-15,GWELUP,ulp_91,82.7,84.7,86.9,82.7,4
2002-02-16,GWELUP,ulp_91,81.7,83.6,85.7,81.7,4
2002-02-17,GWELUP,ulp_91,80.5,82.8,84.8,80.5,4
2002-02-18,GWELUP,ulp_91,80.5,82.6,84.5,80.5,4
2002-02-19,GWELUP,ulp_91,80.5,88.0,95.7,80.5,4
2002-02-20,GWELUP,ulp_91,81.9,87.8,93.9,81.9,4
2002-02-21,GWELUP,ulp_91,87.7,89.7,91.9,87.7,4
2002-02-22,GWELUP,ulp_91,85.7,88.0,90.0,85.7,4
2002-02-23,GWELUP,ulp_91,84.5,86.5,88.7,84.5,4
2002-02-24,GWELUP,ulp_91,83.5,85.5,87.7,83.5,4
2002-02-25,GWELUP,ulp_91,82.5,85.0,87.7,82.5,4
2002-02-26,GWELUP,ulp_91,81.3,83.3,85.5,81.3,4
2002-02-27,GWELUP,ulp_91,79.9,82.1,84.0,79.9,4
2002-02-28,GWELUP,ulp_91,79.5,81.6,83.5,79.5,4
2003-01-01,GWELUP,ulp_91,93.5,96.5,99.0,93.5,4
2003-01-02,GWELUP,ulp_91,92.3,94.8,97.0,92.3,4
2003-01-03,GWELUP,ulp_91,91.2,93.3,95.5,91.2,4
2003-01-04,GWELUP,ulp_91,90.2,92.3,94.7,90.2,4
2003-01-05,GWELUP,ulp_91,89.5,91.5,93.9,89.5,4
2003-01-06,GWELUP,ulp_91,88.9,91.2,93.9,88.9,4
2003-01-07,GWELUP,ulp_91,88.7,91.0,93.0,88.7,4
2003-01-08,GWELUP,ulp_91,89.5,92.0,94.9,89.5,4
2003-01-09,GWELUP,ulp_91,97.5,100.3,103.9,97.5,4
2003-01-10,GWELUP,ulp_91,96.7,99.2,101.5,96.7,4
2003-01-11,GWELUP,ulp_91,95.9,98.2,100.5,95.9,4
2003-01-12,GWELUP,ulp_91,94.9,96.9,99.5,94.9,4
2003-01-13,GWELUP,ulp_91,93.5,95.5,97.9,93.5,4
2003-01-14,GWELUP,ulp_91,92.5,94.7,96.9,92.5,4
2003-01-15,GWELUP,ulp_91,91.5,93.6,95.9,91.5,4
2003-01-16,GWELUP,ulp_91,90.7,92.6,94.9,90.7,4
2003-01-17,GWELUP,ulp_91,90.3,97.0,103.9,90.3,4
2003-01-18,GWELUP,ulp_91,90.3,97.0,103.9,90.3,4
2003-01-19,GWELUP,ulp_91,97.5,100.6,103.9,97.5,4
2003-01-20,GWELUP,ulp_91,97.5,100.6,103.9,97.5,4
2003-01-21,GWELUP,ulp_91,96.5,100.1,103.9,96.5,4
2003-01-22,GWELUP,ulp_91,95.5,99.6,103.9,95.5,4
2003-01-23,GWELUP,ulp_91,93.9,97.8,101.9,93.9,4
2003-01-24,GWELUP,ulp_91,92.9,96.8,100.9,92.9,4
2003-01-25,GWELUP,ulp_91,91.9,95.2,98.9,91.9,4
2003-01-26,GWELUP,ulp_91,91.9,95.2,98.9,91.9,4
2003-01-27,GWELUP,ulp_91,91.9,95.2,98.9,91.9,4
2003-01-28,GWELUP,ulp_91,91.4,95.0,98.9,91.4,4
2003-01-29,GWELUP,ulp_91,91.4,98.5,105.9,91.4,4
2003-01-30,GWELUP,ulp_91,98.3,100.6,102.9,98.3,4
2003-01-31,GWELUP,ulp_91,97.5,99.9,102.9,97.5,4
2003-02-01,GWELUP,ulp_91,95.9,98.2,100.3,95.9,4
2003-02-02,GWELUP,ulp_91,95.3,97.2,99.5,95.3,4
2003-02-03,GWELUP,ulp_91,93.7,95.9,97.9,93.7,4
2003-02-04,GWELUP,ulp_91,92.9,95.2,97.9,92.9,4
2003-02-05,GWELUP,ulp_91,92.9,95.2,97.9,92.9,4
2003-02-06,GWELUP,ulp_91,92.9,95.2,97.9,92.9,4
2003-02-07,GWELUP,ulp_91,98.5,101.1,103.9,98.5,4
2003-02-08,GWELUP,ulp_91,97.9,100.1,102.9,97.9,4
2003-02-09,GWELUP,ulp_91,96.9,99.1,101.5,96.9,4
2003-02-10,GWELUP,ulp_91,96.3,98.4,100.9,96.3,4
2003-02-11,GWELUP,ulp_91,95.3,97.4,99.9,95.3,4
2003-02-12,GWELUP,ulp_91,94.9,97.0,99.5,94.9,4
2003-02-13,GWELUP,ulp_91,94.9,97.2,99.9,94.9,4
2003-02-14,GWELUP,ulp_91,95.5,97.8,100.5,95.5,4
2003-02-15,GWELUP,ulp_91,96.5,102.1,107.9,96.5,4
2003-02-16,GWELUP,ulp_91,98.9,102.7,106.9,98.9,4
2003-02-17,GWELUP,ulp_91,101.2,103.4,105.9,101.2,4
2003-02-18,GWELUP,ulp_91,100.5,102.7,104.9,100.5,4
2003-02-19,GWELUP,ulp_91,99.9,105.8,111.9,99.9,4
2003-02-20,GWELUP,ulp_91,99.9,105.3,110.9,99.9,4
2003-02-21,GWELUP,ulp_91,105.2,107.4,109.9,105.2,4
2003-02-22,GWELUP,ulp_91,103.7,105.9,108.5,103.7,4
2003-02-23,GWELUP,ulp_91,101.9,104.6,106.8,101.9,4
2003-02-24,GWELUP,ulp_91,101.2,103.3,105.5,101.2,4
2003-02-25,GWELUP,ulp_91,99.7,102.0,104.0,99.7,4
2003-02-26,GWELUP,ulp_91,98.7,100.7,102.9,98.7,4
2003-02-27,GWELUP,ulp_91,97.9,100.2,102.9,97.9,4
2003-02-28,GWELUP,ulp_91,97.9,104.2,110.9,97.9,4
2004-01-01,GWELUP,ulp_91,92.7,94.8,97.5,92.7,4
2004-01-02,GWELUP,ulp_91,91.5,93.6,95.5,91.5,4
2004-01-03,GWELUP,ulp_91,89.7,92.0,94.0,89.7,4
2004-01-04,GWELUP,ulp_91,88.9,91.1,93.0,88.9,4
2004-01-05,GWELUP,ulp_91,89.5,95.6,101.9,89.5,4
2004-01-06,GWELUP,ulp_91,94.9,97.7,100.2,94.9,4
2004-01-07,GWELUP,ulp_91,93.7,95.6,97.9,93.7,4
2004-01-08,GWELUP,ulp_91,92.5,94.6,96.5,92.5,4
2004-01-09,GWELUP,ulp_91,89.7,92.2,94.4,89.7,4
2004-01-10,GWELUP,ulp_91,89.5,91.4,93.5,89.5,4
2004-01-11,GWELUP,ulp_91,89.5,91.5,93.9,89.5,4
2004-01-12,GWELUP,ulp_91,93.9,98.8,103.9,93.9,4
2004-01-13,GWELUP,ulp_91,97.9,99.8,101.9,97.9,4
2004-01-14,GWELUP,ulp_91,96.5,98.4,100.5,96.5,4
2004-01-15,GWELUP,ulp_91,94.7,96.7,98.9,94.7,4
2004-01-16,GWELUP,ulp_91,92.7,94.7,96.9,92.7,4
2004-01-17,GWELUP,ulp_91,90.7,92.7,94.9,90.7,4
2004-01-18,GWELUP,ulp_91,90.4,92.5,94.9,90.4,4
2004-01-19,GWELUP,ulp_91,90.4,97.0,103.9,90.4,4
2004-01-20,GWELUP,ulp_91,97.9,100.1,102.0,97.9,4
2004-01-21,GWELUP,ulp_91,96.5,98.6,100.9,96.5,4
2004-01-22,GWELUP,ulp_91,94.9,96.8,98.9,94.9,4
2004-01-23,GWELUP,ulp_91,93.5,95.4,97.5,93.5,4
2004-01-24,GWELUP,ulp_91,91.7,93.7,95.9,91.7,4
2004-01-25,GWELUP,ulp_91,90.7,92.9,94.9,90.7,4
2004-01-26,GWELUP,ulp_91,89.9,92.3,94.4,89.9,4
2004-01-27,GWELUP,ulp_91,88.9,91.8,94.4,88.9,4
2004-01-28,GWELUP,ulp_91,90.9,97.3,103.9,90.9,4
2004-01-29,GWELUP,ulp_91,98.9,100.8,102.9,98.9,4
2004-01-30,GWELUP,ulp_91,96.7,99.0,101.5,96.7,4
2004-01-31,GWELUP,ulp_91,95.5,97.4,99.5,95.5,4
2004-02-01,GWELUP,ulp_91,94.2,96.3,98.2,94.2,4
2004-02-02,GWELUP,ulp_91,93.5,95.6,97.5,93.5,4
2004-02-03,GWELUP,ulp_91,88.9,91.5,93.9,88.9,4
2004-02-04,GWELUP,ulp_91,88.5,90.7,93.5,88.5,4
2004-02-05,GWELUP,ulp_91,87.9,90.0,92.9,87.9,4
2004-02-06,GWELUP,ulp_91,87.5,89.8,92.9,87.5,4
2004-02-07,GWELUP,ulp_91,86.5,88.8,91.5,86.5,4
2004-02-08,GWELUP,ulp_91,85.9,88.3,90.9,85.9,4
2004-02-09,GWELUP,ulp_91,89.9,96.0,102.9,89.9,4
2004-02-10,GWELUP,ulp_91,94.9,97.3,99.9,94.9,4
2004-02-11,GWELUP,ulp_91,92.9,95.5,98.9,92.9,4
2004-02-12,GWELUP,ulp_91,91.5,93.9,97.5,91.5,4
2004-02-13,GWELUP,ulp_91,89.4,91.8,94.5,89.4,4
2004-02-14,GWELUP,ulp_91,86.9,89.4,92.3,86.9,4
2004-02-15,GWELUP,ulp_91,86.3,88.7,91.9,86.3,4
2004-02-16,GWELUP,ulp_91,84.9,93.0,101.9,84.9,4
2004-02-17,GWELUP,ulp_91,94.9,97.0,99.9,94.9,4
2004-02-18,GWELUP,ulp_91,92.7,94.9,97.9,92.7,4
2004-02-19,GWELUP,ulp_91,89.9,92.2,95.5,89.9,4
2004-02-20,GWELUP,ulp_91,87.5,89.8,92.9,87.5,4
2004-02-21,GWELUP,ulp_91,84.9,87.5,90.9,84.9,4
2004-02-22,GWELUP,ulp_91,83.8,86.3,88.9,83.8,4
2004-02-23,GWELUP,ulp_91,83.7,92.4,101.9,83.7,4
2004-02-24,GWELUP,ulp_91,87.9,93.5,99.9,87.9,4
2004-02-25,GWELUP,ulp_91,91.9,94.3,96.9,91.9,4
2004-02-26,GWELUP,ulp_91,89.7,91.9,94.9,89.7,4
2004-02-27,GWELUP,ulp_91,87.9,90.3,93.5,87.9,4
2004-02-28,GWELUP,ulp_91,86.5,89.3,92.9,86.5,4
2004-02-29,GWELUP,ulp_91,86.5,89.1,92.5,86.5,4
2005-01-01,GWELUP,ulp_91,92.5,92.5,92.5,92.5,2
2005-01-02,GWELUP,ulp_91,92.5,92.5,92.5,92.5,2
2005-01-03,GWELUP,ulp_91,91.9,92.2,92.5,91.9,2
2005-01-04,GWELUP,ulp_91,90.9,91.4,91.9,90.9,2
2005-01-05,GWELUP,ulp_91,90.9,91.4,91.9,90.9,2
2005-01-06,GWELUP,ulp_91,91.9,91.9,91.9,91.9,2
2005-01-07,GWELUP,ulp_91,91.9,93.4,94.9,91.9,2
2005-01-08,GWELUP,ulp_91,90.9,91.4,91.9,90.9,2
2005-01-09,GWELUP,ulp_91,90.5,90.7,90.9,90.5,2
2005-01-10,GWELUP,ulp_91,89.9,90.2,90.5,89.9,2
2005-01-11,GWELUP,ulp_91,89.9,89.9,89.9,89.9,2
2005-01-12,GWELUP,ulp_91,89.9,89.9,89.9,89.9,2
2005-01-13,GWELUP,ulp_91,89.9,92.4,94.9,89.9,2
2005-01-14,GWELUP,ulp_91,90.9,91.4,91.9,90.9,2
2005-01-15,GWELUP,ulp_91,89.8,89.8,89.9,89.8,2
2005-01-16,GWELUP,ulp_91,89.7,89.8,89.8,89.7,2
2005-01-17,GWELUP,ulp_91,89.7,89.8,89.8,89.7,2
2005-01-18,GWELUP,ulp_91,89.7,89.8,89.8,89.7,2
2005-01-19,GWELUP,ulp_91,89.7,89.8,89.8,89.7,2
2005-01-20,GWELUP,ulp_91,89.7,90.3,90.9,89.7,2
2005-01-21,GWELUP,ulp_91,90.9,91.9,92.9,90.9,2
2005-01-22,GWELUP,ulp_91,92.9,92.9,92.9,92.9,2
2005-01-23,GWELUP,ulp_91,92.9,92.9,92.9,92.9,2
2005-01-24,GWELUP,ulp_91,92.9,92.9,92.9,92.9,2
2005-01-25,GWELUP,ulp_91,92.9,92.9,92.9,92.9,2
2005-01-26,GWELUP,ulp_91,92.9,98.9,104.9,92.9,2
2005-01-27,GWELUP,ulp_91,92.9,95.4,97.9,92.9,2
