date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2005-01-01,HALLS HEAD,premium_95,98.9,98.9,98.9,98.9,1
2005-01-02,HALLS HEAD,premium_95,96.9,96.9,96.9,96.9,1
2005-01-03,HALLS HEAD,premium_95,95.9,95.9,95.9,95.9,1
2005-01-04,HALLS HEAD,premium_95,104.9,104.9,104.9,104.9,1
2005-01-05,HALLS HEAD,premium_95,103.9,103.9,103.9,103.9,1
2005-01-06,HALLS HEAD,premium_95,102.9,102.9,102.9,102.9,1
2005-01-07,HALLS HEAD,premium_95,99.9,99.9,99.9,99.9,1
2005-01-08,HALLS HEAD,premium_95,96.9,96.9,96.9,96.9,1
2005-01-09,HALLS HEAD,premium_95,95.9,95.9,95.9,95.9,1
2005-01-10,HALLS HEAD,premium_95,95.5,95.5,95.5,95.5,1
2005-01-11,HALLS HEAD,premium_95,106.9,106.9,106.9,106.9,1
2005-01-12,HALLS HEAD,premium_95,102.9,102.9,102.9,102.9,1
2005-01-13,HALLS HEAD,premium_95,100.9,100.9,100.9,100.9,1
2005-01-14,HALLS HEAD,premium_95,97.5,97.5,97.5,97.5,1
2005-01-15,HALLS HEAD,premium_95,97.5,97.5,97.5,97.5,1
2005-01-16,HALLS HEAD,premium_95,97.5,97.5,97.5,97.5,1
2005-01-17,HALLS HEAD,premium_95,97.5,97.5,97.5,97.5,1
2005-01-18,HALLS HEAD,premium_95,107.9,107.9,107.9,107.9,1
2005-01-19,HALLS HEAD,premium_95,104.5,104.5,104.5,104.5,1
2005-01-20,HALLS HEAD,premium_95,102.5,102.5,102.5,102.5,1
2005-01-21,HALLS HEAD,premium_95,100.5,100.5,100.5,100.5,1
2005-01-22,HALLS HEAD,premium_95,100.5,100.5,100.5,100.5,1
2005-01-23,HALLS HEAD,premium_95,99.9,99.9,99.9,99.9,1
2005-01-24,HALLS HEAD,premium_95,99.9,99.9,99.9,99.9,1
2005-01-25,HALLS HEAD,premium_95,110.9,110.9,110.9,110.9,1
2005-01-26,HALLS HEAD,premium_95,106.9,106.9,106.9,106.9,1
2005-01-27,HALLS HEAD,premium_95,104.9,104.9,104.9,104.9,1
2005-01-28,HALLS HEAD,premium_95,102.5,102.5,102.5,102.5,1
