date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2016-01-01,HAMILTON HILL,premium_98,136.9,136.9,136.9,136.9,1
2016-01-02,HAMILTON HILL,premium_98,134.9,134.9,134.9,134.9,1
2016-01-03,HAMILTON HILL,premium_98,130.9,130.9,130.9,130.9,1
2016-01-04,HAMILTON HILL,premium_98,124.9,124.9,124.9,124.9,1
2016-01-05,HAMILTON HILL,premium_98,145.9,145.9,145.9,145.9,1
2016-01-06,HAMILTON HILL,premium_98,140.9,140.9,140.9,140.9,1
2016-01-07,HAMILTON HILL,premium_98,137.9,137.9,137.9,137.9,1
2016-01-08,HAMILTON HILL,premium_98,135.9,135.9,135.9,135.9,1
2016-01-09,HAMILTON HILL,premium_98,132.9,132.9,132.9,132.9,1
2016-01-10,HAMILTON HILL,premium_98,129.9,129.9,129.9,129.9,1
2016-01-11,HAMILTON HILL,premium_98,124.9,124.9,124.9,124.9,1
2016-01-12,HAMILTON HILL,premium_98,146.9,146.9,146.9,146.9,1
2016-01-13,HAMILTON HILL,premium_98,144.9,144.9,144.9,144.9,1
2016-01-14,HAMILTON HILL,premium_98,141.9,141.9,141.9,141.9,1
2016-01-15,HAMILTON HILL,premium_98,136.9,136.9,136.9,136.9,1
2016-01-16,HAMILTON HILL,premium_98,134.9,134.9,134.9,134.9,1
2016-01-17,HAMILTON HILL,premium_98,130.9,130.9,130.9,130.9,1
2016-01-18,HAMILTON HILL,premium_98,126.9,126.9,126.9,126.9,1
2016-01-19,HAMILTON HILL,premium_98,126.9,126.9,126.9,126.9,1
2016-01-20,HAMILTON HILL,premium_98,139.9,139.9,139.9,139.9,1
2016-01-21,HAMILTON HILL,premium_98,137.9,137.9,137.9,137.9,1
2016-01-22,HAMILTON HILL,premium_98,133.9,133.9,133.9,133.9,1
2016-01-23,HAMILTON HILL,premium_98,130.9,130.9,130.9,130.9,1
2016-01-24,HAMILTON HILL,premium_98,125.9,125.9,125.9,125.9,1
2016-01-25,HAMILTON HILL,premium_98,123.9,123.9,123.9,123.9,1
2016-01-26,HAMILTON HILL,premium_98,141.9,141.9,141.9,141.9,1
2016-01-27,HAMILTON HILL,premium_98,136.9,136.9,136.9,136.9,1
2016-01-28,HAMILTON HILL,premium_98,133.9,133.9,133.9,133.9,1
2016-01-29,HAMILTON HILL,premium_98,129.9,129.9,129.9,129.9,1
2016-01-30,HAMILTON HILL,premium_98,126.9,126.9,126.9,126.9,1
2016-01-31,HAMILTON HILL,premium_98,126.9,126.9,126.9,126.9,1
2016-02-01,HAMILTON HILL,premium_98,119.9,119.9,119.9,119.9,1
2016-02-02,HAMILTON HILL,premium_98,140.9,140.9,140.9,140.9,1
2016-02-03,HAMILTON HILL,premium_98,136.9,136.9,136.9,136.9,1
2016-02-04,HAMILTON HILL,premium_98,133.9,133.9,133.9,133.9,1
2016-02-05,HAMILTON HILL,premium_98,128.9,128.9,128.9,128.9,1
2016-02-06,HAMILTON HILL,premium_98,126.9,126.9,126.9,126.9,1
2016-02-07,HAMILTON HILL,premium_98,123.9,123.9,123.9,123.9,1
2016-02-08,HAMILTON HILL,premium_98,118.9,118.9,118.9,118.9,1
2016-02-09,HAMILTON HILL,premium_98,137.9,137.9,137.9,137.9,1
2016-02-10,HAMILTON HILL,premium_98,132.9,132.9,132.9,132.9,1
2016-02-11,HAMILTON HILL,premium_98,128.9,128.9,128.9,128.9,1
2016-02-12,HAMILTON HILL,premium_98,123.9,123.9,123.9,123.9,1
2016-02-13,HAMILTON HILL,premium_98,118.9,118.9,118.9,118.9,1
2016-02-14,HAMILTON HILL,premium_98,116.9,116.9,116.9,116.9,1
2016-02-15,HAMILTON HILL,premium_98,114.9,114.9,114.9,114.9,1
2016-02-16,HAMILTON HILL,premium_98,132.9,132.9,132.9,132.9,1
2016-02-17,HAMILTON HILL,premium_98,130.9,130.9,130.9,130.9,1
2016-02-18,HAMILTON HILL,premium_98,122.9,122.9,122.9,122.9,1
2016-02-19,HAMILTON HILL,premium_98,116.9,116.9,116.9,116.9,1
2016-02-20,HAMILTON HILL,premium_98,116.9,116.9,116.9,116.9,1
2016-02-21,HAMILTON HILL,premium_98,116.9,116.9,116.9,116.9,1
2016-02-22,HAMILTON HILL,premium_98,113.9,113.9,113.9,113.9,1
2016-02-23,HAMILTON HILL,premium_98,132.9,132.9,132.9,132.9,1
2016-02-24,HAMILTON HILL,premium_98,129.9,129.9,129.9,129.9,1
2016-02-25,HAMILTON HILL,premium_98,126.9,126.9,126.9,126.9,1
2016-02-26,HAMILTON HILL,premium_98,121.9,121.9,121.9,121.9,1
2016-02-27,HAMILTON HILL,premium_98,118.9,118.9,118.9,118.9,1
2016-02-28,HAMILTON HILL,premium_98,116.9,116.9,116.9,116.9,1
2016-02-29,HAMILTON HILL,premium_98,112.9,112.9,112.9,112.9,1
2017-01-01,HAMILTON HILL,premium_98,141.9,142.8,143.9,141.9,3
2017-01-02,HAMILTON HILL,premium_98,139.9,140.2,140.7,139.9,3
2017-01-03,HAMILTON HILL,premium_98,151.9,155.2,156.9,151.9,3
2017-01-04,HAMILTON HILL,premium_98,151.9,153.2,153.9,151.9,3
2017-01-05,HAMILTON HILL,premium_98,149.9,150.8,151.9,149.9,3
2017-01-06,HAMILTON HILL,premium_98,147.7,148.5,149.9,147.7,3
2017-01-07,HAMILTON HILL,premium_98,144.9,146.2,147.9,144.9,3
2017-01-08,HAMILTON HILL,premium_98,142.9,144.2,145.9,142.9,3
2017-01-09,HAMILTON HILL,premium_98,140.9,141.2,141.7,140.9,3
2017-01-10,HAMILTON HILL,premium_98,152.7,157.5,160.9,152.7,3
2017-01-11,HAMILTON HILL,premium_98,156.7,156.8,156.9,156.7,3
2017-01-12,HAMILTON HILL,premium_98,153.7,153.8,153.9,153.7,3
2017-01-13,HAMILTON HILL,premium_98,150.9,151.2,151.7,150.9,3
2017-01-14,HAMILTON HILL,premium_98,147.7,148.5,148.9,147.7,3
2017-01-15,HAMILTON HILL,premium_98,144.7,145.7,147.7,144.7,3
2017-01-16,HAMILTON HILL,premium_98,142.5,142.8,143.5,142.5,3
2017-01-17,HAMILTON HILL,premium_98,155.7,157.8,158.9,155.7,3
2017-01-18,HAMILTON HILL,premium_98,153.7,155.2,156.9,153.7,3
2017-01-19,HAMILTON HILL,premium_98,151.5,153.1,154.9,151.5,3
2017-01-20,HAMILTON HILL,premium_98,149.7,151.2,152.9,149.7,3
2017-01-21,HAMILTON HILL,premium_98,147.9,149.2,150.9,147.9,3
2017-01-22,HAMILTON HILL,premium_98,146.9,147.9,148.9,146.9,3
2017-01-23,HAMILTON HILL,premium_98,144.9,145.8,146.9,144.9,3
2017-01-24,HAMILTON HILL,premium_98,142.9,146.5,153.7,142.9,3
2017-01-25,HAMILTON HILL,premium_98,150.5,151.6,153.7,150.5,3
2017-01-26,HAMILTON HILL,premium_98,149.3,150.1,150.5,149.3,3
2017-01-27,HAMILTON HILL,premium_98,146.3,146.8,147.7,146.3,3
2017-01-28,HAMILTON HILL,premium_98,144.7,144.9,145.3,144.7,3
2017-01-29,HAMILTON HILL,premium_98,144.3,144.6,145.3,144.3,3
2017-01-30,HAMILTON HILL,premium_98,141.5,142.3,143.9,141.5,3
2017-01-31,HAMILTON HILL,premium_98,147.7,153.8,156.9,147.7,3
2017-02-01,HAMILTON HILL,premium_98,147.7,152.5,154.9,147.7,3
2017-02-02,HAMILTON HILL,premium_98,147.7,150.5,152.9,147.7,3
2017-02-03,HAMILTON HILL,premium_98,145.7,148.2,149.9,145.7,3
2017-02-04,HAMILTON HILL,premium_98,145.7,146.8,147.9,145.7,3
2017-02-05,HAMILTON HILL,premium_98,143.7,144.4,144.7,143.7,3
2017-02-06,HAMILTON HILL,premium_98,140.7,141.3,142.5,140.7,3
2017-02-07,HAMILTON HILL,premium_98,140.7,145.0,153.7,140.7,3
2017-02-08,HAMILTON HILL,premium_98,147.7,151.0,152.7,147.7,3
2017-02-09,HAMILTON HILL,premium_98,147.7,149.7,150.7,147.7,3
2017-02-10,HAMILTON HILL,premium_98,147.3,148.2,148.7,147.3,3
2017-02-11,HAMILTON HILL,premium_98,145.7,146.1,146.3,145.7,3
2017-02-12,HAMILTON HILL,premium_98,143.7,144.5,144.9,143.7,3
2017-02-13,HAMILTON HILL,premium_98,140.7,141.7,142.9,140.7,3
2017-02-14,HAMILTON HILL,premium_98,141.5,153.8,159.9,141.5,3
2017-02-15,HAMILTON HILL,premium_98,141.5,150.4,154.9,141.5,3
2017-02-16,HAMILTON HILL,premium_98,140.1,142.8,147.7,140.1,3
2017-02-17,HAMILTON HILL,premium_98,140.9,144.9,146.9,140.9,3
2017-02-18,HAMILTON HILL,premium_98,142.9,143.2,143.7,142.9,3
2017-02-19,HAMILTON HILL,premium_98,140.6,141.0,141.7,140.6,3
2017-02-20,HAMILTON HILL,premium_98,138.4,138.8,139.5,138.4,3
2017-02-21,HAMILTON HILL,premium_98,152.9,155.2,158.9,152.9,3
2017-02-22,HAMILTON HILL,premium_98,150.7,150.9,151.3,150.7,3
2017-02-23,HAMILTON HILL,premium_98,147.7,148.1,148.3,147.7,3
2017-02-24,HAMILTON HILL,premium_98,141.7,144.4,146.7,141.7,3
2017-02-25,HAMILTON HILL,premium_98,137.9,140.4,142.7,137.9,3
2017-02-26,HAMILTON HILL,premium_98,136.9,139.6,141.9,136.9,3
2017-02-27,HAMILTON HILL,premium_98,134.7,134.8,134.9,134.7,3
2017-02-28,HAMILTON HILL,premium_98,134.7,149.5,156.9,134.7,3
2018-01-01,HAMILTON HILL,premium_98,144.9,146.4,148.7,144.9,3
2018-01-02,HAMILTON HILL,premium_98,144.9,146.2,148.7,144.9,3
2018-01-03,HAMILTON HILL,premium_98,148.7,159.8,165.9,148.7,3
2018-01-04,HAMILTON HILL,premium_98,158.7,160.8,161.9,158.7,3
2018-01-05,HAMILTON HILL,premium_98,154.7,156.0,156.7,154.7,3
2018-01-06,HAMILTON HILL,premium_98,150.5,152.0,152.7,150.5,3
2018-01-07,HAMILTON HILL,premium_98,147.7,148.4,148.9,147.7,3
2018-01-08,HAMILTON HILL,premium_98,143.9,144.2,144.7,143.9,3
2018-01-09,HAMILTON HILL,premium_98,162.7,165.5,166.9,162.7,3
2018-01-10,HAMILTON HILL,premium_98,158.9,162.2,163.9,158.9,3
2018-01-11,HAMILTON HILL,premium_98,158.9,160.1,160.7,158.9,3
2018-01-12,HAMILTON HILL,premium_98,144.7,152.7,156.7,144.7,3
2018-01-13,HAMILTON HILL,premium_98,144.5,147.2,148.7,144.5,3
2018-01-14,HAMILTON HILL,premium_98,146.5,146.6,146.7,146.5,3
2018-01-15,HAMILTON HILL,premium_98,143.9,144.8,146.5,143.9,3
2018-01-16,HAMILTON HILL,premium_98,162.7,165.5,166.9,162.7,3
2018-01-17,HAMILTON HILL,premium_98,148.9,159.4,164.7,148.9,3
2018-01-18,HAMILTON HILL,premium_98,148.7,151.4,156.7,148.7,3
2018-01-19,HAMILTON HILL,premium_98,148.7,150.0,152.7,148.7,3
2018-01-20,HAMILTON HILL,premium_98,148.5,148.6,148.7,148.5,3
2018-01-21,HAMILTON HILL,premium_98,146.9,147.4,148.5,146.9,3
2018-01-22,HAMILTON HILL,premium_98,143.9,144.2,144.7,143.9,3
2018-01-23,HAMILTON HILL,premium_98,162.7,166.8,168.9,162.7,3
2018-01-24,HAMILTON HILL,premium_98,160.7,164.2,165.9,160.7,3
2018-01-25,HAMILTON HILL,premium_98,156.5,159.3,160.7,156.5,3
2018-01-26,HAMILTON HILL,premium_98,152.7,153.3,154.5,152.7,3
2018-01-27,HAMILTON HILL,premium_98,148.5,149.3,150.7,148.5,3
2018-01-28,HAMILTON HILL,premium_98,146.5,146.6,146.7,146.5,3
2018-01-29,HAMILTON HILL,premium_98,143.9,144.2,144.7,143.9,3
2018-01-30,HAMILTON HILL,premium_98,146.7,161.5,168.9,146.7,3
2018-01-31,HAMILTON HILL,premium_98,158.9,158.9,158.9,158.9,3
2018-02-01,HAMILTON HILL,premium_98,154.7,156.0,156.7,154.7,3
2018-02-02,HAMILTON HILL,premium_98,151.7,152.4,152.7,151.7,3
2018-02-03,HAMILTON HILL,premium_98,148.5,148.6,148.7,148.5,3
2018-02-04,HAMILTON HILL,premium_98,146.5,146.8,146.9,146.5,3
2018-02-05,HAMILTON HILL,premium_98,144.7,144.8,144.9,144.7,3
2018-02-06,HAMILTON HILL,premium_98,162.7,166.8,168.9,162.7,3
2018-02-07,HAMILTON HILL,premium_98,162.7,165.5,166.9,162.7,3
2018-02-08,HAMILTON HILL,premium_98,148.9,156.8,160.7,148.9,3
2018-02-09,HAMILTON HILL,premium_98,148.9,150.1,152.5,148.9,3
2018-02-10,HAMILTON HILL,premium_98,148.7,151.5,152.9,148.7,3
2018-02-11,HAMILTON HILL,premium_98,148.7,149.2,149.9,148.7,3
2018-02-12,HAMILTON HILL,premium_98,143.7,144.8,145.7,143.7,3
2018-02-13,HAMILTON HILL,premium_98,162.7,166.8,168.9,162.7,3
2018-02-14,HAMILTON HILL,premium_98,148.9,160.9,166.9,148.9,3
2018-02-15,HAMILTON HILL,premium_98,148.9,150.8,154.7,148.9,3
2018-02-16,HAMILTON HILL,premium_98,148.7,151.4,152.7,148.7,3
2018-02-17,HAMILTON HILL,premium_98,148.7,150.0,150.7,148.7,3
2018-02-18,HAMILTON HILL,premium_98,146.5,148.0,148.7,146.5,3
2018-02-19,HAMILTON HILL,premium_98,143.7,144.0,144.5,143.7,3
2018-02-20,HAMILTON HILL,premium_98,158.7,165.5,168.9,158.7,3
2018-02-21,HAMILTON HILL,premium_98,148.9,160.2,165.9,148.9,3
2018-02-22,HAMILTON HILL,premium_98,152.7,158.0,160.7,152.7,3
2018-02-23,HAMILTON HILL,premium_98,150.5,153.3,154.7,150.5,3
2018-02-24,HAMILTON HILL,premium_98,146.7,149.4,150.7,146.7,3
2018-02-25,HAMILTON HILL,premium_98,145.7,146.4,146.7,145.7,3
2018-02-26,HAMILTON HILL,premium_98,143.7,144.0,144.5,143.7,3
2018-02-27,HAMILTON HILL,premium_98,158.7,165.5,168.9,158.7,3
2018-02-28,HAMILTON HILL,premium_98,158.7,162.8,164.9,158.7,3
2019-01-01,HAMILTON HILL,premium_98,129.8,149.1,158.7,129.8,3
2019-01-02,HAMILTON HILL,premium_98,151.5,154.8,156.5,151.5,3
2019-01-03,HAMILTON HILL,premium_98,146.3,151.2,153.7,146.3,3
2019-01-04,HAMILTON HILL,premium_98,140.5,145.3,147.7,140.5,3
2019-01-05,HAMILTON HILL,premium_98,138.3,141.2,142.7,138.3,3
2019-01-06,HAMILTON HILL,premium_98,137.3,137.3,137.3,137.3,3
2019-01-07,HAMILTON HILL,premium_98,131.7,132.4,133.7,131.7,3
2019-01-08,HAMILTON HILL,premium_98,133.7,150.2,158.5,133.7,3
2019-01-09,HAMILTON HILL,premium_98,148.5,153.2,155.5,148.5,3
2019-01-10,HAMILTON HILL,premium_98,148.5,151.7,153.3,148.5,3
2019-01-11,HAMILTON HILL,premium_98,144.4,146.1,146.9,144.4,3
2019-01-12,HAMILTON HILL,premium_98,138.5,140.4,141.3,138.5,3
2019-01-13,HAMILTON HILL,premium_98,134.9,135.8,137.5,134.9,3
2019-01-14,HAMILTON HILL,premium_98,131.7,132.1,132.4,131.7,3
2019-01-15,HAMILTON HILL,premium_98,155.8,158.4,159.7,155.8,3
2019-01-16,HAMILTON HILL,premium_98,152.8,155.9,157.5,152.8,3
2019-01-17,HAMILTON HILL,premium_98,147.9,151.6,153.5,147.9,3
2019-01-18,HAMILTON HILL,premium_98,144.5,147.0,148.3,144.5,3
2019-01-19,HAMILTON HILL,premium_98,139.3,141.3,145.3,139.3,3
2019-01-20,HAMILTON HILL,premium_98,137.5,138.4,139.3,137.5,3
2019-01-21,HAMILTON HILL,premium_98,133.7,134.8,136.3,133.7,3
