date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,HAMILTON HILL,ulp_91,82.5,84.6,86.9,82.5,10
2002-01-02,HAMILTON HILL,ulp_91,78.3,82.8,86.9,78.3,10
2002-01-03,HAMILTON HILL,ulp_91,77.5,81.6,86.9,77.5,10
2002-01-04,HAMILTON HILL,ulp_91,76.7,80.7,86.9,76.7,10
2002-01-05,HAMILTON HILL,ulp_91,76.2,80.2,86.9,76.2,10
2002-01-06,HAMILTON HILL,ulp_91,75.9,79.4,86.9,75.9,10
2002-01-07,HAMILTON HILL,ulp_91,75.5,79.0,86.9,75.5,10
2002-01-08,HAMILTON HILL,ulp_91,74.9,78.7,86.9,74.9,10
2002-01-09,HAMILTON HILL,ulp_91,74.9,81.2,90.7,74.9,10
2002-01-10,HAMILTON HILL,ulp_91,84.9,87.4,89.9,84.9,10
2002-01-11,HAMILTON HILL,ulp_91,83.9,86.4,88.9,83.9,10
2002-01-12,HAMILTON HILL,ulp_91,82.9,85.5,88.9,82.9,10
2002-01-13,HAMILTON HILL,ulp_91,81.9,84.5,88.9,81.9,10
2002-01-14,HAMILTON HILL,ulp_91,79.2,82.6,86.9,79.2,10
2002-01-15,HAMILTON HILL,ulp_91,78.2,81.7,86.9,78.2,10
2002-01-16,HAMILTON HILL,ulp_91,76.9,80.4,86.9,76.9,10
2002-01-17,HAMILTON HILL,ulp_91,76.2,79.2,84.9,76.2,10
2002-01-18,HAMILTON HILL,ulp_91,76.9,81.9,87.2,76.9,10
2002-01-19,HAMILTON HILL,ulp_91,79.8,82.9,85.2,79.8,10
2002-01-20,HAMILTON HILL,ulp_91,79.8,82.5,85.2,79.8,10
2002-01-21,HAMILTON HILL,ulp_91,78.9,81.5,84.9,78.9,10
2002-01-22,HAMILTON HILL,ulp_91,77.8,80.3,84.9,77.8,10
2002-01-23,HAMILTON HILL,ulp_91,76.5,79.2,84.9,76.5,10
2002-01-24,HAMILTON HILL,ulp_91,75.5,78.6,84.9,75.5,10
2002-01-25,HAMILTON HILL,ulp_91,75.9,80.2,88.2,75.9,10
2002-01-26,HAMILTON HILL,ulp_91,78.8,83.8,87.9,78.8,10
2002-01-27,HAMILTON HILL,ulp_91,81.3,83.6,87.9,81.3,10
2002-01-28,HAMILTON HILL,ulp_91,79.3,82.2,87.9,79.3,10
2002-01-29,HAMILTON HILL,ulp_91,78.5,81.3,87.9,78.5,10
2002-01-30,HAMILTON HILL,ulp_91,76.9,80.1,87.9,76.9,10
2002-01-31,HAMILTON HILL,ulp_91,76.3,79.0,83.9,76.3,10
2002-02-01,HAMILTON HILL,ulp_91,75.9,80.5,93.8,75.9,10
2002-02-02,HAMILTON HILL,ulp_91,78.9,83.2,90.2,78.9,10
2002-02-03,HAMILTON HILL,ulp_91,78.9,82.3,86.9,78.9,10
2002-02-04,HAMILTON HILL,ulp_91,78.5,81.0,85.9,78.5,10
2002-02-05,HAMILTON HILL,ulp_91,77.4,80.0,85.9,77.4,10
2002-02-06,HAMILTON HILL,ulp_91,76.4,79.8,85.9,76.4,10
2002-02-07,HAMILTON HILL,ulp_91,76.3,80.0,85.9,76.3,10
2002-02-08,HAMILTON HILL,ulp_91,75.9,79.6,85.9,75.9,10
2002-02-09,HAMILTON HILL,ulp_91,75.9,79.8,85.9,75.9,10
2002-02-10,HAMILTON HILL,ulp_91,75.9,79.8,85.9,75.9,10
2002-02-11,HAMILTON HILL,ulp_91,75.9,82.4,92.2,75.9,10
2002-02-12,HAMILTON HILL,ulp_91,81.9,87.2,91.0,81.9,10
2002-02-13,HAMILTON HILL,ulp_91,81.9,86.9,89.9,81.9,10
2002-02-14,HAMILTON HILL,ulp_91,84.5,86.7,89.9,84.5,10
2002-02-15,HAMILTON HILL,ulp_91,82.9,85.2,89.9,82.9,10
2002-02-16,HAMILTON HILL,ulp_91,81.7,84.3,89.9,81.7,10
2002-02-17,HAMILTON HILL,ulp_91,80.5,83.7,89.9,80.5,10
2002-02-18,HAMILTON HILL,ulp_91,79.5,83.4,89.9,79.5,10
