date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2019-01-01,HARRISDALE,ulp_91,139.9,139.9,139.9,139.9,1
2019-01-02,HARRISDALE,ulp_91,137.3,137.3,137.3,137.3,1
2019-01-03,HARRISDALE,ulp_91,134.5,134.5,134.5,134.5,1
2019-01-04,HARRISDALE,ulp_91,131.9,131.9,131.9,131.9,1
2019-01-05,HARRISDALE,ulp_91,119.9,119.9,119.9,119.9,1
2019-01-06,HARRISDALE,ulp_91,115.9,115.9,115.9,115.9,1
2019-01-07,HARRISDALE,ulp_91,111.3,111.3,111.3,111.3,1
2019-01-08,HARRISDALE,ulp_91,139.9,139.9,139.9,139.9,1
2019-01-09,HARRISDALE,ulp_91,136.5,136.5,136.5,136.5,1
2019-01-10,HARRISDALE,ulp_91,132.5,132.5,132.5,132.5,1
2019-01-11,HARRISDALE,ulp_91,123.7,123.7,123.7,123.7,1
2019-01-12,HARRISDALE,ulp_91,119.9,119.9,119.9,119.9,1
2019-01-13,HARRISDALE,ulp_91,113.3,113.3,113.3,113.3,1
2019-01-14,HARRISDALE,ulp_91,110.9,110.9,110.9,110.9,1
2019-01-15,HARRISDALE,ulp_91,142.9,142.9,142.9,142.9,1
2019-01-16,HARRISDALE,ulp_91,136.9,136.9,136.9,136.9,1
2019-01-17,HARRISDALE,ulp_91,129.7,129.7,129.7,129.7,1
2019-01-18,HARRISDALE,ulp_91,127.5,127.5,127.5,127.5,1
2019-01-19,HARRISDALE,ulp_91,124.3,124.3,124.3,124.3,1
2019-01-20,HARRISDALE,ulp_91,115.3,115.3,115.3,115.3,1
2019-01-21,HARRISDALE,ulp_91,114.7,114.7,114.7,114.7,1
2019-01-22,HARRISDALE,ulp_91,142.9,142.9,142.9,142.9,1
2019-01-23,HARRISDALE,ulp_91,139.9,139.9,139.9,139.9,1
2019-01-24,HARRISDALE,ulp_91,136.9,136.9,136.9,136.9,1
2019-01-25,HARRISDALE,ulp_91,129.9,129.9,129.9,129.9,1
2019-01-26,HARRISDALE,ulp_91,124.5,124.5,124.5,124.5,1
2019-01-27,HARRISDALE,ulp_91,117.9,117.9,117.9,117.9,1
2019-01-28,HARRISDALE,ulp_91,114.9,114.9,114.9,114.9,1
2019-01-29,HARRISDALE,ulp_91,142.9,142.9,142.9,142.9,1
2019-01-30,HARRISDALE,ulp_91,139.9,139.9,139.9,139.9,1
2019-01-31,HARRISDALE,ulp_91,136.9,136.9,136.9,136.9,1
2019-02-01,HARRISDALE,ulp_91,133.9,133.9,133.9,133.9,1
2019-02-02,HARRISDALE,ulp_91,129.9,129.9,129.9,129.9,1
2019-02-03,HARRISDALE,ulp_91,119.3,119.3,119.3,119.3,1
2019-02-04,HARRISDALE,ulp_91,114.9,114.9,114.9,114.9,1
2019-02-05,HARRISDALE,ulp_91,142.9,142.9,142.9,142.9,1
2019-02-06,HARRISDALE,ulp_91,139.9,139.9,139.9,139.9,1
