date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,HARVEY,lpg,55.4,55.4,55.4,55.4,1
2002-01-02,HARVEY,lpg,55.4,55.4,55.4,55.4,1
2002-01-03,HARVEY,lpg,55.4,55.4,55.4,55.4,1
2002-01-04,HARVEY,lpg,55.4,55.4,55.4,55.4,1
2002-01-05,HARVEY,lpg,55.4,55.4,55.4,55.4,1
2002-01-06,HARVEY,lpg,55.4,55.4,55.4,55.4,1
2002-01-07,HARVEY,lpg,55.4,55.4,55.4,55.4,1
2002-01-08,HARVEY,lpg,55.4,55.4,55.4,55.4,1
2002-01-09,HARVEY,lpg,55.4,55.4,55.4,55.4,1
2002-01-10,HARVEY,lpg,55.4,55.4,55.4,55.4,1
2002-01-11,HARVEY,lpg,55.4,55.4,55.4,55.4,1
2002-01-12,HARVEY,lpg,55.4,55.4,55.4,55.4,1
2002-01-13,HARVEY,lpg,55.4,55.4,55.4,55.4,1
2002-01-14,HARVEY,lpg,55.4,55.4,55.4,55.4,1
2002-01-15,HARVEY,lpg,55.4,55.4,55.4,55.4,1
2002-01-16,HARVEY,lpg,55.4,55.4,55.4,55.4,1
2002-01-17,HARVEY,lpg,55.4,55.4,55.4,55.4,1
2002-01-18,HARVEY,lpg,55.4,55.4,55.4,55.4,1
2002-01-19,HARVEY,lpg,55.4,55.4,55.4,55.4,1
2002-01-20,HARVEY,lpg,55.4,55.4,55.4,55.4,1
2002-01-21,HARVEY,lpg,55.4,55.4,55.4,55.4,1
2002-01-22,HARVEY,lpg,55.4,55.4,55.4,55.4,1
2002-01-23,HARVEY,lpg,55.4,55.4,55.4,55.4,1
2002-01-24,HARVEY,lpg,55.4,55.4,55.4,55.4,1
2002-01-25,HARVEY,lpg,55.4,55.4,55.4,55.4,1
2002-01-26,HARVEY,lpg,55.4,55.4,55.4,55.4,1
2002-01-27,HARVEY,lpg,55.4,55.4,55.4,55.4,1
2002-01-28,HARVEY,lpg,55.4,55.4,55.4,55.4,1
2002-01-29,HARVEY,lpg,55.4,55.4,55.4,55.4,1
2002-01-30,HARVEY,lpg,55.4,55.4,55.4,55.4,1
2002-01-31,HARVEY,lpg,55.4,55.4,55.4,55.4,1
2002-02-01,HARVEY,lpg,55.4,55.4,55.4,55.4,1
2002-02-02,HARVEY,lpg,55.4,55.4,55.4,55.4,1
2002-02-03,HARVEY,lpg,55.4,55.4,55.4,55.4,1
2002-02-04,HARVEY,lpg,55.4,55.4,55.4,55.4,1
2002-02-05,HARVEY,lpg,55.4,55.4,55.4,55.4,1
2002-02-06,HARVEY,lpg,55.4,55.4,55.4,55.4,1
2002-02-07,HARVEY,lpg,55.4,55.4,55.4,55.4,1
2002-02-08,HARVEY,lpg,55.4,55.4,55.4,55.4,1
2002-02-09,HARVEY,lpg,55.4,55.4,55.4,55.4,1
2002-02-10,HARVEY,lpg,55.4,55.4,55.4,55.4,1
2002-02-11,HARVEY,lpg,55.4,55.4,55.4,55.4,1
2002-02-12,HARVEY,lpg,55.4,55.4,55.4,55.4,1
2002-02-13,HARVEY,lpg,55.4,55.4,55.4,55.4,1
2002-02-14,HARVEY,lpg,55.4,55.4,55.4,55.4,1
2002-02-15,HARVEY,lpg,55.4,55.4,55.4,55.4,1
2002-02-16,HARVEY,lpg,55.4,55.4,55.4,55.4,1
2002-02-17,HARVEY,lpg,55.4,55.4,55.4,55.4,1
2002-02-18,HARVEY,lpg,55.4,55.4,55.4,55.4,1
2002-02-19,HARVEY,lpg,55.4,55.4,55.4,55.4,1
2002-02-20,HARVEY,lpg,55.4,55.4,55.4,55.4,1
2002-02-21,HARVEY,lpg,55.4,55.4,55.4,55.4,1
