date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2015-01-01,HENLEY BROOK,premium_95,137.9,137.9,137.9,137.9,1
2015-01-02,HENLEY BROOK,premium_95,137.9,137.9,137.9,137.9,1
2015-01-03,HENLEY BROOK,premium_95,133.9,133.9,133.9,133.9,1
2015-01-04,HENLEY BROOK,premium_95,131.9,131.9,131.9,131.9,1
2015-01-05,HENLEY BROOK,premium_95,128.9,128.9,128.9,128.9,1
2015-01-06,HENLEY BROOK,premium_95,128.9,128.9,128.9,128.9,1
2015-01-07,HENLEY BROOK,premium_95,128.9,128.9,128.9,128.9,1
2015-01-08,HENLEY BROOK,premium_95,135.9,135.9,135.9,135.9,1
2015-01-09,HENLEY BROOK,premium_95,131.9,131.9,131.9,131.9,1
2015-01-10,HENLEY BROOK,premium_95,129.9,129.9,129.9,129.9,1
2015-01-11,HENLEY BROOK,premium_95,127.9,127.9,127.9,127.9,1
2015-01-12,HENLEY BROOK,premium_95,125.9,125.9,125.9,125.9,1
2015-01-13,HENLEY BROOK,premium_95,123.9,123.9,123.9,123.9,1
2015-01-14,HENLEY BROOK,premium_95,123.9,123.9,123.9,123.9,1
2015-01-15,HENLEY BROOK,premium_95,131.9,131.9,131.9,131.9,1
2015-01-16,HENLEY BROOK,premium_95,129.9,129.9,129.9,129.9,1
2015-01-17,HENLEY BROOK,premium_95,127.9,127.9,127.9,127.9,1
2015-01-18,HENLEY BROOK,premium_95,125.9,125.9,125.9,125.9,1
2015-01-19,HENLEY BROOK,premium_95,123.9,123.9,123.9,123.9,1
2015-01-20,HENLEY BROOK,premium_95,119.9,119.9,119.9,119.9,1
2015-01-21,HENLEY BROOK,premium_95,119.9,119.9,119.9,119.9,1
2015-01-22,HENLEY BROOK,premium_95,129.9,129.9,129.9,129.9,1
2015-01-23,HENLEY BROOK,premium_95,125.9,125.9,125.9,125.9,1
2015-01-24,HENLEY BROOK,premium_95,123.9,123.9,123.9,123.9,1
2015-01-25,HENLEY BROOK,premium_95,121.9,121.9,121.9,121.9,1
2015-01-26,HENLEY BROOK,premium_95,119.9,119.9,119.9,119.9,1
2015-01-27,HENLEY BROOK,premium_95,119.9,119.9,119.9,119.9,1
2015-01-28,HENLEY BROOK,premium_95,119.9,119.9,119.9,119.9,1
2015-01-29,HENLEY BROOK,premium_95,129.9,129.9,129.9,129.9,1
2015-01-30,HENLEY BROOK,premium_95,125.9,125.9,125.9,125.9,1
2015-01-31,HENLEY BROOK,premium_95,123.9,123.9,123.9,123.9,1
2015-02-01,HENLEY BROOK,premium_95,121.9,121.9,121.9,121.9,1
2015-02-02,HENLEY BROOK,premium_95,119.9,119.9,119.9,119.9,1
2015-02-03,HENLEY BROOK,premium_95,119.9,119.9,119.9,119.9,1
2015-02-04,HENLEY BROOK,premium_95,119.9,119.9,119.9,119.9,1
2015-02-05,HENLEY BROOK,premium_95,129.9,129.9,129.9,129.9,1
2015-02-06,HENLEY BROOK,premium_95,129.9,129.9,129.9,129.9,1
2015-02-07,HENLEY BROOK,premium_95,127.9,127.9,127.9,127.9,1
2015-02-08,HENLEY BROOK,premium_95,125.9,125.9,125.9,125.9,1
2015-02-09,HENLEY BROOK,premium_95,125.9,125.9,125.9,125.9,1
2015-02-10,HENLEY BROOK,premium_95,125.9,125.9,125.9,125.9,1
2015-02-11,HENLEY BROOK,premium_95,125.9,125.9,125.9,125.9,1
2015-02-12,HENLEY BROOK,premium_95,136.9,136.9,136.9,136.9,1
2015-02-13,HENLEY BROOK,premium_95,136.9,136.9,136.9,136.9,1
2015-02-14,HENLEY BROOK,premium_95,134.9,134.9,134.9,134.9,1
2015-02-15,HENLEY BROOK,premium_95,132.9,132.9,132.9,132.9,1
2015-02-16,HENLEY BROOK,premium_95,132.9,132.9,132.9,132.9,1
2015-02-17,HENLEY BROOK,premium_95,129.9,129.9,129.9,129.9,1
2015-02-18,HENLEY BROOK,premium_95,129.9,129.9,129.9,129.9,1
2015-02-19,HENLEY BROOK,premium_95,139.9,139.9,139.9,139.9,1
2015-02-20,HENLEY BROOK,premium_95,139.9,139.9,139.9,139.9,1
2015-02-21,HENLEY BROOK,premium_95,137.9,137.9,137.9,137.9,1
2015-02-22,HENLEY BROOK,premium_95,135.9,135.9,135.9,135.9,1
2015-02-23,HENLEY BROOK,premium_95,135.9,135.9,135.9,135.9,1
2015-02-24,HENLEY BROOK,premium_95,133.9,133.9,133.9,133.9,1
2015-02-25,HENLEY BROOK,premium_95,133.9,133.9,133.9,133.9,1
2015-02-26,HENLEY BROOK,premium_95,141.9,141.9,141.9,141.9,1
2015-02-27,HENLEY BROOK,premium_95,141.9,141.9,141.9,141.9,1
2015-02-28,HENLEY BROOK,premium_95,139.9,139.9,139.9,139.9,1
2016-01-01,HENLEY BROOK,premium_95,129.9,129.9,129.9,129.9,1
2016-01-02,HENLEY BROOK,premium_95,129.9,129.9,129.9,129.9,1
2016-01-03,HENLEY BROOK,premium_95,129.9,129.9,129.9,129.9,1
2016-01-04,HENLEY BROOK,premium_95,129.9,129.9,129.9,129.9,1
2016-01-05,HENLEY BROOK,premium_95,139.9,139.9,139.9,139.9,1
2016-01-06,HENLEY BROOK,premium_95,133.9,133.9,133.9,133.9,1
2016-01-07,HENLEY BROOK,premium_95,131.9,131.9,131.9,131.9,1
2016-01-08,HENLEY BROOK,premium_95,129.9,129.9,129.9,129.9,1
2016-01-09,HENLEY BROOK,premium_95,127.9,127.9,127.9,127.9,1
2016-01-10,HENLEY BROOK,premium_95,125.9,125.9,125.9,125.9,1
2016-01-11,HENLEY BROOK,premium_95,123.9,123.9,123.9,123.9,1
2016-01-12,HENLEY BROOK,premium_95,139.9,139.9,139.9,139.9,1
2016-01-13,HENLEY BROOK,premium_95,137.9,137.9,137.9,137.9,1
2016-01-14,HENLEY BROOK,premium_95,133.9,133.9,133.9,133.9,1
2016-01-15,HENLEY BROOK,premium_95,129.9,129.9,129.9,129.9,1
2016-01-16,HENLEY BROOK,premium_95,129.9,129.9,129.9,129.9,1
2016-01-17,HENLEY BROOK,premium_95,127.9,127.9,127.9,127.9,1
2016-01-18,HENLEY BROOK,premium_95,123.9,123.9,123.9,123.9,1
2016-01-19,HENLEY BROOK,premium_95,137.9,137.9,137.9,137.9,1
2016-01-20,HENLEY BROOK,premium_95,135.9,135.9,135.9,135.9,1
2016-01-21,HENLEY BROOK,premium_95,133.9,133.9,133.9,133.9,1
2016-01-22,HENLEY BROOK,premium_95,129.9,129.9,129.9,129.9,1
2016-01-23,HENLEY BROOK,premium_95,126.9,126.9,126.9,126.9,1
2016-01-24,HENLEY BROOK,premium_95,125.9,125.9,125.9,125.9,1
2016-01-25,HENLEY BROOK,premium_95,122.9,122.9,122.9,122.9,1
2016-01-26,HENLEY BROOK,premium_95,137.9,137.9,137.9,137.9,1
2016-01-27,HENLEY BROOK,premium_95,133.9,133.9,133.9,133.9,1
2016-01-28,HENLEY BROOK,premium_95,129.9,129.9,129.9,129.9,1
2016-01-29,HENLEY BROOK,premium_95,127.9,127.9,127.9,127.9,1
2016-01-30,HENLEY BROOK,premium_95,125.9,125.9,125.9,125.9,1
2016-01-31,HENLEY BROOK,premium_95,121.9,121.9,121.9,121.9,1
2016-02-01,HENLEY BROOK,premium_95,121.9,121.9,121.9,121.9,1
2016-02-02,HENLEY BROOK,premium_95,137.9,137.9,137.9,137.9,1
2016-02-03,HENLEY BROOK,premium_95,131.9,131.9,131.9,131.9,1
2016-02-04,HENLEY BROOK,premium_95,129.9,129.9,129.9,129.9,1
2016-02-05,HENLEY BROOK,premium_95,125.9,125.9,125.9,125.9,1
2016-02-06,HENLEY BROOK,premium_95,121.9,121.9,121.9,121.9,1
2016-02-07,HENLEY BROOK,premium_95,121.9,121.9,121.9,121.9,1
2016-02-08,HENLEY BROOK,premium_95,119.9,119.9,119.9,119.9,1
2016-02-09,HENLEY BROOK,premium_95,133.9,133.9,133.9,133.9,1
2016-02-10,HENLEY BROOK,premium_95,129.9,129.9,129.9,129.9,1
2016-02-11,HENLEY BROOK,premium_95,125.9,125.9,125.9,125.9,1
2016-02-12,HENLEY BROOK,premium_95,121.9,121.9,121.9,121.9,1
2016-02-13,HENLEY BROOK,premium_95,119.9,119.9,119.9,119.9,1
2016-02-14,HENLEY BROOK,premium_95,119.9,119.9,119.9,119.9,1
2016-02-15,HENLEY BROOK,premium_95,113.9,113.9,113.9,113.9,1
2016-02-16,HENLEY BROOK,premium_95,127.9,127.9,127.9,127.9,1
2016-02-17,HENLEY BROOK,premium_95,125.9,125.9,125.9,125.9,1
2016-02-18,HENLEY BROOK,premium_95,123.9,123.9,123.9,123.9,1
2016-02-19,HENLEY BROOK,premium_95,119.9,119.9,119.9,119.9,1
2016-02-20,HENLEY BROOK,premium_95,117.9,117.9,117.9,117.9,1
