date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,HIGH WYCOMBE,diesel,85.9,85.9,85.9,85.9,2
2002-01-02,HIGH WYCOMBE,diesel,85.9,85.9,85.9,85.9,2
2002-01-03,HIGH WYCOMBE,diesel,84.5,84.5,84.5,84.5,2
2002-01-04,HIGH WYCOMBE,diesel,84.5,84.5,84.5,84.5,2
2002-01-05,HIGH WYCOMBE,diesel,84.5,84.5,84.5,84.5,2
2002-01-06,HIGH WYCOMBE,diesel,84.5,84.5,84.5,84.5,2
2002-01-07,HIGH WYCOMBE,diesel,84.5,84.5,84.5,84.5,2
2002-01-08,HIGH WYCOMBE,diesel,84.5,84.5,84.5,84.5,2
2002-01-09,HIGH WYCOMBE,diesel,84.3,84.3,84.3,84.3,2
2002-01-10,HIGH WYCOMBE,diesel,84.3,84.3,84.3,84.3,2
2002-01-11,HIGH WYCOMBE,diesel,84.3,84.3,84.3,84.3,2
2002-01-12,HIGH WYCOMBE,diesel,84.3,84.3,84.3,84.3,2
2002-01-13,HIGH WYCOMBE,diesel,84.3,84.3,84.3,84.3,2
2002-01-14,HIGH WYCOMBE,diesel,84.3,84.3,84.3,84.3,2
2002-01-15,HIGH WYCOMBE,diesel,84.3,84.3,84.3,84.3,2
2002-01-16,HIGH WYCOMBE,diesel,84.3,84.3,84.3,84.3,2
2002-01-17,HIGH WYCOMBE,diesel,84.3,84.3,84.3,84.3,2
2002-01-18,HIGH WYCOMBE,diesel,84.3,84.3,84.3,84.3,2
2002-01-19,HIGH WYCOMBE,diesel,84.3,84.3,84.3,84.3,2
2002-01-20,HIGH WYCOMBE,diesel,84.3,84.3,84.3,84.3,2
2002-01-21,HIGH WYCOMBE,diesel,84.3,84.3,84.3,84.3,2
2002-01-22,HIGH WYCOMBE,diesel,83.9,83.9,83.9,83.9,2
2002-01-23,HIGH WYCOMBE,diesel,83.9,83.9,83.9,83.9,2
2002-01-24,HIGH WYCOMBE,diesel,83.9,83.9,83.9,83.9,2
2002-01-25,HIGH WYCOMBE,diesel,83.9,83.9,83.9,83.9,2
2002-01-26,HIGH WYCOMBE,diesel,83.5,83.5,83.5,83.5,2
2002-01-27,HIGH WYCOMBE,diesel,83.5,83.5,83.5,83.5,2
2002-01-28,HIGH WYCOMBE,diesel,83.5,83.5,83.5,83.5,2
2002-01-29,HIGH WYCOMBE,diesel,83.5,83.5,83.5,83.5,2
2002-01-30,HIGH WYCOMBE,diesel,83.5,83.5,83.5,83.5,2
2002-01-31,HIGH WYCOMBE,diesel,83.5,83.5,83.5,83.5,2
2002-02-01,HIGH WYCOMBE,diesel,83.5,83.5,83.5,83.5,2
2002-02-02,HIGH WYCOMBE,diesel,83.5,83.5,83.5,83.5,2
2002-02-03,HIGH WYCOMBE,diesel,83.5,83.5,83.5,83.5,2
2002-02-04,HIGH WYCOMBE,diesel,83.5,83.5,83.5,83.5,2
2002-02-05,HIGH WYCOMBE,diesel,83.3,83.3,83.3,83.3,2
2002-02-06,HIGH WYCOMBE,diesel,83.3,83.3,83.3,83.3,2
2002-02-07,HIGH WYCOMBE,diesel,83.3,83.3,83.3,83.3,2
2002-02-08,HIGH WYCOMBE,diesel,83.3,83.3,83.3,83.3,2
2002-02-09,HIGH WYCOMBE,diesel,82.9,82.9,82.9,82.9,2
2002-02-10,HIGH WYCOMBE,diesel,82.9,82.9,82.9,82.9,2
2002-02-11,HIGH WYCOMBE,diesel,82.9,82.9,82.9,82.9,2
2002-02-12,HIGH WYCOMBE,diesel,82.9,82.9,82.9,82.9,2
2002-02-13,HIGH WYCOMBE,diesel,82.9,82.9,82.9,82.9,2
2002-02-14,HIGH WYCOMBE,diesel,82.9,82.9,82.9,82.9,2
2002-02-15,HIGH WYCOMBE,diesel,82.9,82.9,82.9,82.9,2
2002-02-16,HIGH WYCOMBE,diesel,82.9,82.9,82.9,82.9,2
2002-02-17,HIGH WYCOMBE,diesel,82.9,82.9,82.9,82.9,2
2002-02-18,HIGH WYCOMBE,diesel,82.9,82.9,82.9,82.9,2
2002-02-19,HIGH WYCOMBE,diesel,82.9,82.9,82.9,82.9,2
2002-02-20,HIGH WYCOMBE,diesel,82.9,82.9,82.9,82.9,2
2002-02-21,HIGH WYCOMBE,diesel,82.9,82.9,82.9,82.9,2
2002-02-22,HIGH WYCOMBE,diesel,82.9,82.9,82.9,82.9,2
2002-02-23,HIGH WYCOMBE,diesel,82.9,82.9,82.9,82.9,2
2002-02-24,HIGH WYCOMBE,diesel,82.9,82.9,82.9,82.9,2
2002-02-25,HIGH WYCOMBE,diesel,82.9,82.9,82.9,82.9,2
2002-02-26,HIGH WYCOMBE,diesel,82.9,82.9,82.9,82.9,2
2002-02-27,HIGH WYCOMBE,diesel,82.9,82.9,82.9,82.9,2
2002-02-28,HIGH WYCOMBE,diesel,82.9,82.9,82.9,82.9,2
2003-01-01,HIGH WYCOMBE,diesel,93.9,93.9,93.9,93.9,1
2003-01-02,HIGH WYCOMBE,diesel,93.9,93.9,93.9,93.9,1
2003-01-03,HIGH WYCOMBE,diesel,93.9,93.9,93.9,93.9,1
2003-01-04,HIGH WYCOMBE,diesel,93.9,93.9,93.9,93.9,1
