date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2011-01-01,HIGH WYCOMBE,lpg,71.9,71.9,71.9,71.9,1
2011-01-02,HIGH WYCOMBE,lpg,71.9,71.9,71.9,71.9,1
2011-01-03,HIGH WYCOMBE,lpg,71.9,71.9,71.9,71.9,1
2011-01-04,HIGH WYCOMBE,lpg,71.9,71.9,71.9,71.9,1
2011-01-05,HIGH WYCOMBE,lpg,71.9,71.9,71.9,71.9,1
2011-01-06,HIGH WYCOMBE,lpg,73.9,73.9,73.9,73.9,1
2011-01-07,HIGH WYCOMBE,lpg,73.9,73.9,73.9,73.9,1
2011-01-08,HIGH WYCOMBE,lpg,73.9,73.9,73.9,73.9,1
2011-01-09,HIGH WYCOMBE,lpg,73.9,73.9,73.9,73.9,1
2011-01-10,HIGH WYCOMBE,lpg,73.9,73.9,73.9,73.9,1
2011-01-11,HIGH WYCOMBE,lpg,73.9,73.9,73.9,73.9,1
2011-01-12,HIGH WYCOMBE,lpg,73.9,73.9,73.9,73.9,1
2011-01-13,HIGH WYCOMBE,lpg,73.9,73.9,73.9,73.9,1
2011-01-14,HIGH WYCOMBE,lpg,73.9,73.9,73.9,73.9,1
2011-01-15,HIGH WYCOMBE,lpg,73.9,73.9,73.9,73.9,1
2011-01-16,HIGH WYCOMBE,lpg,73.9,73.9,73.9,73.9,1
2011-01-17,HIGH WYCOMBE,lpg,73.9,73.9,73.9,73.9,1
2011-01-18,HIGH WYCOMBE,lpg,73.9,73.9,73.9,73.9,1
2011-01-19,HIGH WYCOMBE,lpg,73.9,73.9,73.9,73.9,1
2011-01-20,HIGH WYCOMBE,lpg,73.9,73.9,73.9,73.9,1
2011-01-21,HIGH WYCOMBE,lpg,73.9,73.9,73.9,73.9,1
2011-01-22,HIGH WYCOMBE,lpg,73.9,73.9,73.9,73.9,1
2011-01-23,HIGH WYCOMBE,lpg,73.9,73.9,73.9,73.9,1
2011-01-24,HIGH WYCOMBE,lpg,73.9,73.9,73.9,73.9,1
2011-01-25,HIGH WYCOMBE,lpg,73.9,73.9,73.9,73.9,1
2011-01-26,HIGH WYCOMBE,lpg,73.9,73.9,73.9,73.9,1
2011-01-27,HIGH WYCOMBE,lpg,73.9,73.9,73.9,73.9,1
2011-01-28,HIGH WYCOMBE,lpg,73.9,73.9,73.9,73.9,1
2011-01-29,HIGH WYCOMBE,lpg,73.9,73.9,73.9,73.9,1
2011-01-30,HIGH WYCOMBE,lpg,73.9,73.9,73.9,73.9,1
2011-01-31,HIGH WYCOMBE,lpg,73.9,73.9,73.9,73.9,1
2011-02-01,HIGH WYCOMBE,lpg,73.9,73.9,73.9,73.9,1
2011-02-02,HIGH WYCOMBE,lpg,73.9,73.9,73.9,73.9,1
2011-02-03,HIGH WYCOMBE,lpg,73.9,73.9,73.9,73.9,1
2011-02-04,HIGH WYCOMBE,lpg,73.9,73.9,73.9,73.9,1
2011-02-05,HIGH WYCOMBE,lpg,73.9,73.9,73.9,73.9,1
2011-02-06,HIGH WYCOMBE,lpg,76.9,76.9,76.9,76.9,1
2011-02-07,HIGH WYCOMBE,lpg,76.9,76.9,76.9,76.9,1
2011-02-08,HIGH WYCOMBE,lpg,73.9,73.9,73.9,73.9,1
2011-02-09,HIGH WYCOMBE,lpg,73.9,73.9,73.9,73.9,1
