date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2011-01-01,HIGH WYCOMBE,premium_98,145.9,145.9,145.9,145.9,1
2011-01-02,HIGH WYCOMBE,premium_98,143.9,143.9,143.9,143.9,1
2011-01-03,HIGH WYCOMBE,premium_98,141.9,141.9,141.9,141.9,1
2011-01-04,HIGH WYCOMBE,premium_98,139.9,139.9,139.9,139.9,1
2011-01-05,HIGH WYCOMBE,premium_98,137.9,137.9,137.9,137.9,1
2011-01-06,HIGH WYCOMBE,premium_98,151.9,151.9,151.9,151.9,1
2011-01-07,HIGH WYCOMBE,premium_98,143.9,143.9,143.9,143.9,1
2011-01-08,HIGH WYCOMBE,premium_98,143.9,143.9,143.9,143.9,1
2011-01-09,HIGH WYCOMBE,premium_98,141.9,141.9,141.9,141.9,1
2011-01-10,HIGH WYCOMBE,premium_98,140.9,140.9,140.9,140.9,1
2011-01-11,HIGH WYCOMBE,premium_98,139.9,139.9,139.9,139.9,1
2011-01-12,HIGH WYCOMBE,premium_98,135.9,135.9,135.9,135.9,1
2011-01-13,HIGH WYCOMBE,premium_98,152.9,152.9,152.9,152.9,1
2011-01-14,HIGH WYCOMBE,premium_98,150.9,150.9,150.9,150.9,1
2011-01-15,HIGH WYCOMBE,premium_98,148.9,148.9,148.9,148.9,1
2011-01-16,HIGH WYCOMBE,premium_98,143.5,143.5,143.5,143.5,1
2011-01-17,HIGH WYCOMBE,premium_98,142.5,142.5,142.5,142.5,1
2011-01-18,HIGH WYCOMBE,premium_98,139.9,139.9,139.9,139.9,1
2011-01-19,HIGH WYCOMBE,premium_98,138.9,138.9,138.9,138.9,1
2011-01-20,HIGH WYCOMBE,premium_98,138.9,138.9,138.9,138.9,1
2011-01-21,HIGH WYCOMBE,premium_98,147.9,147.9,147.9,147.9,1
2011-01-22,HIGH WYCOMBE,premium_98,145.9,145.9,145.9,145.9,1
2011-01-23,HIGH WYCOMBE,premium_98,145.9,145.9,145.9,145.9,1
2011-01-24,HIGH WYCOMBE,premium_98,143.9,143.9,143.9,143.9,1
2011-01-25,HIGH WYCOMBE,premium_98,142.9,142.9,142.9,142.9,1
2011-01-26,HIGH WYCOMBE,premium_98,140.9,140.9,140.9,140.9,1
2011-01-27,HIGH WYCOMBE,premium_98,155.9,155.9,155.9,155.9,1
2011-01-28,HIGH WYCOMBE,premium_98,153.9,153.9,153.9,153.9,1
2011-01-29,HIGH WYCOMBE,premium_98,149.9,149.9,149.9,149.9,1
2011-01-30,HIGH WYCOMBE,premium_98,147.9,147.9,147.9,147.9,1
2011-01-31,HIGH WYCOMBE,premium_98,145.9,145.9,145.9,145.9,1
2011-02-01,HIGH WYCOMBE,premium_98,143.9,143.9,143.9,143.9,1
2011-02-02,HIGH WYCOMBE,premium_98,139.9,139.9,139.9,139.9,1
2011-02-03,HIGH WYCOMBE,premium_98,153.9,153.9,153.9,153.9,1
2011-02-04,HIGH WYCOMBE,premium_98,150.9,150.9,150.9,150.9,1
2011-02-05,HIGH WYCOMBE,premium_98,149.9,149.9,149.9,149.9,1
2011-02-06,HIGH WYCOMBE,premium_98,146.9,146.9,146.9,146.9,1
2011-02-07,HIGH WYCOMBE,premium_98,145.9,145.9,145.9,145.9,1
2011-02-08,HIGH WYCOMBE,premium_98,143.9,143.9,143.9,143.9,1
2011-02-09,HIGH WYCOMBE,premium_98,140.9,140.9,140.9,140.9,1
2011-02-10,HIGH WYCOMBE,premium_98,155.9,155.9,155.9,155.9,1
2011-02-11,HIGH WYCOMBE,premium_98,143.9,143.9,143.9,143.9,1
2011-02-12,HIGH WYCOMBE,premium_98,143.9,143.9,143.9,143.9,1
2011-02-13,HIGH WYCOMBE,premium_98,147.9,147.9,147.9,147.9,1
2011-02-14,HIGH WYCOMBE,premium_98,147.9,147.9,147.9,147.9,1
2011-02-15,HIGH WYCOMBE,premium_98,143.9,143.9,143.9,143.9,1
2011-02-16,HIGH WYCOMBE,premium_98,141.9,141.9,141.9,141.9,1
2011-02-17,HIGH WYCOMBE,premium_98,155.9,155.9,155.9,155.9,1
2011-02-18,HIGH WYCOMBE,premium_98,149.9,149.9,149.9,149.9,1
2011-02-19,HIGH WYCOMBE,premium_98,149.9,149.9,149.9,149.9,1
2011-02-20,HIGH WYCOMBE,premium_98,145.9,145.9,145.9,145.9,1
2011-02-21,HIGH WYCOMBE,premium_98,144.9,144.9,144.9,144.9,1
2011-02-22,HIGH WYCOMBE,premium_98,142.9,142.9,142.9,142.9,1
2011-02-23,HIGH WYCOMBE,premium_98,141.9,141.9,141.9,141.9,1
2011-02-24,HIGH WYCOMBE,premium_98,155.9,155.9,155.9,155.9,1
2011-02-25,HIGH WYCOMBE,premium_98,150.9,150.9,150.9,150.9,1
2011-02-26,HIGH WYCOMBE,premium_98,149.9,149.9,149.9,149.9,1
2011-02-27,HIGH WYCOMBE,premium_98,149.9,149.9,149.9,149.9,1
2011-02-28,HIGH WYCOMBE,premium_98,147.9,147.9,147.9,147.9,1
2012-01-01,HIGH WYCOMBE,premium_98,152.9,153.9,154.9,152.9,2
2012-01-02,HIGH WYCOMBE,premium_98,149.9,152.2,154.5,149.9,2
2012-01-03,HIGH WYCOMBE,premium_98,147.9,150.4,152.9,147.9,2
2012-01-04,HIGH WYCOMBE,premium_98,145.9,147.4,148.9,145.9,2
2012-01-05,HIGH WYCOMBE,premium_98,155.9,158.9,161.9,155.9,2
2012-01-06,HIGH WYCOMBE,premium_98,153.9,156.9,159.9,153.9,2
2012-01-07,HIGH WYCOMBE,premium_98,152.9,155.4,157.9,152.9,2
2012-01-08,HIGH WYCOMBE,premium_98,152.9,154.4,155.9,152.9,2
2012-01-09,HIGH WYCOMBE,premium_98,151.9,152.9,153.9,151.9,2
2012-01-10,HIGH WYCOMBE,premium_98,149.9,150.9,151.9,149.9,2
2012-01-11,HIGH WYCOMBE,premium_98,148.9,149.4,149.9,148.9,2
2012-01-12,HIGH WYCOMBE,premium_98,157.9,160.9,163.9,157.9,2
