date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2015-01-01,HILLARYS,premium_98,144.9,144.9,144.9,144.9,1
2015-01-02,HILLARYS,premium_98,126.8,126.8,126.8,126.8,1
2015-01-03,HILLARYS,premium_98,137.9,137.9,137.9,137.9,1
2015-01-04,HILLARYS,premium_98,135.9,135.9,135.9,135.9,1
2015-01-05,HILLARYS,premium_98,133.9,133.9,133.9,133.9,1
2015-01-06,HILLARYS,premium_98,126.1,126.1,126.1,126.1,1
2015-01-07,HILLARYS,premium_98,128.9,128.9,128.9,128.9,1
2015-01-08,HILLARYS,premium_98,141.9,141.9,141.9,141.9,1
2015-01-09,HILLARYS,premium_98,126.1,126.1,126.1,126.1,1
2015-01-10,HILLARYS,premium_98,136.9,136.9,136.9,136.9,1
2015-01-11,HILLARYS,premium_98,134.9,134.9,134.9,134.9,1
2015-01-12,HILLARYS,premium_98,132.9,132.9,132.9,132.9,1
2015-01-13,HILLARYS,premium_98,124.8,124.8,124.8,124.8,1
2015-01-14,HILLARYS,premium_98,128.9,128.9,128.9,128.9,1
2015-01-15,HILLARYS,premium_98,124.1,124.1,124.1,124.1,1
2015-01-16,HILLARYS,premium_98,133.9,133.9,133.9,133.9,1
2015-01-17,HILLARYS,premium_98,131.9,131.9,131.9,131.9,1
2015-01-18,HILLARYS,premium_98,129.9,129.9,129.9,129.9,1
2015-01-19,HILLARYS,premium_98,127.9,127.9,127.9,127.9,1
2015-01-20,HILLARYS,premium_98,122.1,122.1,122.1,122.1,1
2015-01-21,HILLARYS,premium_98,123.9,123.9,123.9,123.9,1
2015-01-22,HILLARYS,premium_98,132.9,132.9,132.9,132.9,1
2015-01-23,HILLARYS,premium_98,130.9,130.9,130.9,130.9,1
2015-01-24,HILLARYS,premium_98,128.9,128.9,128.9,128.9,1
2015-01-25,HILLARYS,premium_98,119.1,119.1,119.1,119.1,1
2015-01-26,HILLARYS,premium_98,124.9,124.9,124.9,124.9,1
2015-01-27,HILLARYS,premium_98,122.9,122.9,122.9,122.9,1
2015-01-28,HILLARYS,premium_98,120.9,120.9,120.9,120.9,1
2015-01-29,HILLARYS,premium_98,116.1,116.1,116.1,116.1,1
2015-01-30,HILLARYS,premium_98,131.9,131.9,131.9,131.9,1
2015-01-31,HILLARYS,premium_98,129.9,129.9,129.9,129.9,1
2015-02-01,HILLARYS,premium_98,127.9,127.9,127.9,127.9,1
2015-02-02,HILLARYS,premium_98,125.9,125.9,125.9,125.9,1
2015-02-03,HILLARYS,premium_98,116.1,116.1,116.1,116.1,1
2015-02-04,HILLARYS,premium_98,121.9,121.9,121.9,121.9,1
2015-02-05,HILLARYS,premium_98,119.8,119.8,119.8,119.8,1
2015-02-06,HILLARYS,premium_98,133.9,133.9,133.9,133.9,1
2015-02-07,HILLARYS,premium_98,131.9,131.9,131.9,131.9,1
2015-02-08,HILLARYS,premium_98,121.8,121.8,121.8,121.8,1
2015-02-09,HILLARYS,premium_98,127.9,127.9,127.9,127.9,1
2015-02-10,HILLARYS,premium_98,121.8,121.8,121.8,121.8,1
2015-02-11,HILLARYS,premium_98,123.9,123.9,123.9,123.9,1
2015-02-12,HILLARYS,premium_98,145.9,145.9,145.9,145.9,1
2015-02-13,HILLARYS,premium_98,123.8,123.8,123.8,123.8,1
2015-02-14,HILLARYS,premium_98,127.8,127.8,127.8,127.8,1
