date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,JARRAHDALE,diesel,85.9,85.9,85.9,85.9,1
2002-01-02,JARRAHDALE,diesel,85.9,85.9,85.9,85.9,1
2002-01-03,JARRAHDALE,diesel,85.4,85.4,85.4,85.4,1
2002-01-04,JARRAHDALE,diesel,85.4,85.4,85.4,85.4,1
2002-01-05,JARRAHDALE,diesel,85.4,85.4,85.4,85.4,1
2002-01-06,JARRAHDALE,diesel,85.4,85.4,85.4,85.4,1
2002-01-07,JARRAHDALE,diesel,85.4,85.4,85.4,85.4,1
2002-01-08,JARRAHDALE,diesel,85.4,85.4,85.4,85.4,1
2002-01-09,JARRAHDALE,diesel,85.4,85.4,85.4,85.4,1
2002-01-10,JARRAHDALE,diesel,85.4,85.4,85.4,85.4,1
2002-01-11,JARRAHDALE,diesel,85.4,85.4,85.4,85.4,1
2002-01-12,JARRAHDALE,diesel,85.4,85.4,85.4,85.4,1
2002-01-13,JARRAHDALE,diesel,85.4,85.4,85.4,85.4,1
2002-01-14,JARRAHDALE,diesel,85.4,85.4,85.4,85.4,1
2002-01-15,JARRAHDALE,diesel,85.4,85.4,85.4,85.4,1
2002-01-16,JARRAHDALE,diesel,85.4,85.4,85.4,85.4,1
2002-01-17,JARRAHDALE,diesel,84.4,84.4,84.4,84.4,1
2002-01-18,JARRAHDALE,diesel,84.4,84.4,84.4,84.4,1
2002-01-19,JARRAHDALE,diesel,84.4,84.4,84.4,84.4,1
2002-01-20,JARRAHDALE,diesel,84.4,84.4,84.4,84.4,1
2002-01-21,JARRAHDALE,diesel,84.4,84.4,84.4,84.4,1
2002-01-22,JARRAHDALE,diesel,84.4,84.4,84.4,84.4,1
2002-01-23,JARRAHDALE,diesel,84.4,84.4,84.4,84.4,1
2002-01-24,JARRAHDALE,diesel,83.9,83.9,83.9,83.9,1
2002-01-25,JARRAHDALE,diesel,83.9,83.9,83.9,83.9,1
2002-01-26,JARRAHDALE,diesel,83.9,83.9,83.9,83.9,1
