date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2020-01-01,JINDALEE,ulp_91,156.9,156.9,156.9,156.9,1
2020-01-02,JINDALEE,ulp_91,153.9,153.9,153.9,153.9,1
2020-01-03,JINDALEE,ulp_91,148.9,148.9,148.9,148.9,1
2020-01-04,JINDALEE,ulp_91,141.9,141.9,141.9,141.9,1
2020-01-05,JINDALEE,ulp_91,137.9,137.9,137.9,137.9,1
2020-01-06,JINDALEE,ulp_91,132.9,132.9,132.9,132.9,1
2020-01-07,JINDALEE,ulp_91,162.9,162.9,162.9,162.9,1
2020-01-08,JINDALEE,ulp_91,156.9,156.9,156.9,156.9,1
2020-01-09,JINDALEE,ulp_91,153.9,153.9,153.9,153.9,1
2020-01-10,JINDALEE,ulp_91,148.9,148.9,148.9,148.9,1
2020-01-11,JINDALEE,ulp_91,142.9,142.9,142.9,142.9,1
2020-01-12,JINDALEE,ulp_91,137.9,137.9,137.9,137.9,1
2020-01-13,JINDALEE,ulp_91,129.9,129.9,129.9,129.9,1
2020-01-14,JINDALEE,ulp_91,132.9,132.9,132.9,132.9,1
2020-01-15,JINDALEE,ulp_91,153.9,153.9,153.9,153.9,1
2020-01-16,JINDALEE,ulp_91,149.9,149.9,149.9,149.9,1
2020-01-17,JINDALEE,ulp_91,144.9,144.9,144.9,144.9,1
2020-01-18,JINDALEE,ulp_91,139.9,139.9,139.9,139.9,1
2020-01-19,JINDALEE,ulp_91,134.9,134.9,134.9,134.9,1
2020-01-20,JINDALEE,ulp_91,129.9,129.9,129.9,129.9,1
2020-01-21,JINDALEE,ulp_91,132.9,132.9,132.9,132.9,1
2020-01-22,JINDALEE,ulp_91,154.9,154.9,154.9,154.9,1
2020-01-23,JINDALEE,ulp_91,148.9,148.9,148.9,148.9,1
2020-01-24,JINDALEE,ulp_91,141.9,141.9,141.9,141.9,1
2020-01-25,JINDALEE,ulp_91,138.9,138.9,138.9,138.9,1
2020-01-26,JINDALEE,ulp_91,134.9,134.9,134.9,134.9,1
2020-01-27,JINDALEE,ulp_91,129.9,129.9,129.9,129.9,1
2020-01-28,JINDALEE,ulp_91,132.9,132.9,132.9,132.9,1
2020-01-29,JINDALEE,ulp_91,154.9,154.9,154.9,154.9,1
2020-01-30,JINDALEE,ulp_91,149.9,149.9,149.9,149.9,1
2020-01-31,JINDALEE,ulp_91,142.9,142.9,142.9,142.9,1
2020-02-01,JINDALEE,ulp_91,137.9,137.9,137.9,137.9,1
2020-02-02,JINDALEE,ulp_91,129.9,129.9,129.9,129.9,1
2020-02-03,JINDALEE,ulp_91,123.9,123.9,123.9,123.9,1
2020-02-04,JINDALEE,ulp_91,128.9,128.9,128.9,128.9,1
2020-02-05,JINDALEE,ulp_91,149.9,149.9,149.9,149.9,1
2020-02-06,JINDALEE,ulp_91,146.9,146.9,146.9,146.9,1
2020-02-07,JINDALEE,ulp_91,139.9,139.9,139.9,139.9,1
2020-02-08,JINDALEE,ulp_91,132.9,132.9,132.9,132.9,1
2020-02-09,JINDALEE,ulp_91,129.9,129.9,129.9,129.9,1
2020-02-10,JINDALEE,ulp_91,122.9,122.9,122.9,122.9,1
2020-02-11,JINDALEE,ulp_91,127.9,127.9,127.9,127.9,1
2020-02-12,JINDALEE,ulp_91,147.9,147.9,147.9,147.9,1
2020-02-13,JINDALEE,ulp_91,142.9,142.9,142.9,142.9,1
2020-02-14,JINDALEE,ulp_91,139.9,139.9,139.9,139.9,1
2020-02-15,JINDALEE,ulp_91,132.9,132.9,132.9,132.9,1
2020-02-16,JINDALEE,ulp_91,128.9,128.9,128.9,128.9,1
2020-02-17,JINDALEE,ulp_91,123.9,123.9,123.9,123.9,1
2020-02-18,JINDALEE,ulp_91,129.9,129.9,129.9,129.9,1
2020-02-19,JINDALEE,ulp_91,147.9,147.9,147.9,147.9,1
2020-02-20,JINDALEE,ulp_91,143.9,143.9,143.9,143.9,1
2020-02-21,JINDALEE,ulp_91,137.9,137.9,137.9,137.9,1
2020-02-22,JINDALEE,ulp_91,129.9,129.9,129.9,129.9,1
2020-02-23,JINDALEE,ulp_91,126.9,126.9,126.9,126.9,1
2020-02-24,JINDALEE,ulp_91,123.9,123.9,123.9,123.9,1
2020-02-25,JINDALEE,ulp_91,129.9,129.9,129.9,129.9,1
2020-02-26,JINDALEE,ulp_91,149.9,149.9,149.9,149.9,1
2020-02-27,JINDALEE,ulp_91,143.9,143.9,143.9,143.9,1
2020-02-28,JINDALEE,ulp_91,135.9,135.9,135.9,135.9,1
2020-02-29,JINDALEE,ulp_91,131.9,131.9,131.9,131.9,1
