date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,JOONDALUP,ulp_91,82.8,85.0,88.9,82.8,6
2002-01-02,JOONDALUP,ulp_91,81.8,84.3,88.9,81.8,6
2002-01-03,JOONDALUP,ulp_91,79.8,82.2,85.5,79.8,6
2002-01-04,JOONDALUP,ulp_91,78.9,81.4,85.2,78.9,6
2002-01-05,JOONDALUP,ulp_91,77.7,80.0,83.4,77.7,6
2002-01-06,JOONDALUP,ulp_91,77.7,79.9,83.4,77.7,6
2002-01-07,JOONDALUP,ulp_91,77.5,79.6,83.4,77.5,6
2002-01-08,JOONDALUP,ulp_91,77.5,86.4,92.7,77.5,6
2002-01-09,JOONDALUP,ulp_91,79.9,86.7,91.4,79.9,6
2002-01-10,JOONDALUP,ulp_91,84.9,87.0,89.2,84.9,6
2002-01-11,JOONDALUP,ulp_91,84.5,86.7,89.2,84.5,6
2002-01-12,JOONDALUP,ulp_91,82.9,85.0,87.5,82.9,6
2002-01-13,JOONDALUP,ulp_91,82.3,84.2,86.4,82.3,6
2002-01-14,JOONDALUP,ulp_91,80.9,82.9,84.9,80.9,6
2002-01-15,JOONDALUP,ulp_91,79.5,81.4,83.9,79.5,6
2002-01-16,JOONDALUP,ulp_91,77.9,80.1,82.9,77.9,6
2002-01-17,JOONDALUP,ulp_91,78.5,85.0,89.9,78.5,6
2002-01-18,JOONDALUP,ulp_91,83.5,85.4,87.9,83.5,6
2002-01-19,JOONDALUP,ulp_91,81.7,83.7,85.9,81.7,6
2002-01-20,JOONDALUP,ulp_91,80.7,83.4,85.9,80.7,6
2002-01-21,JOONDALUP,ulp_91,79.9,82.4,84.9,79.9,6
2002-01-22,JOONDALUP,ulp_91,78.9,80.7,82.9,78.9,6
2002-01-23,JOONDALUP,ulp_91,77.5,79.5,81.9,77.5,6
2002-01-24,JOONDALUP,ulp_91,77.5,84.9,89.9,77.5,6
2002-01-25,JOONDALUP,ulp_91,84.9,86.7,88.9,84.9,6
2002-01-26,JOONDALUP,ulp_91,82.9,85.1,87.9,82.9,6
2002-01-27,JOONDALUP,ulp_91,81.3,83.4,85.9,81.3,6
2002-01-28,JOONDALUP,ulp_91,79.9,81.9,83.9,79.9,6
2002-01-29,JOONDALUP,ulp_91,78.8,80.7,82.9,78.8,6
2002-01-30,JOONDALUP,ulp_91,77.9,80.0,82.9,77.9,6
2002-01-31,JOONDALUP,ulp_91,76.6,78.9,81.9,76.6,6
2002-02-01,JOONDALUP,ulp_91,77.5,85.6,90.9,77.5,6
2002-02-02,JOONDALUP,ulp_91,79.9,86.4,90.9,79.9,6
2002-02-03,JOONDALUP,ulp_91,79.9,83.5,86.9,79.9,6
2002-02-04,JOONDALUP,ulp_91,79.3,81.4,83.9,79.3,6
2002-02-05,JOONDALUP,ulp_91,77.5,79.6,81.9,77.5,6
2002-02-06,JOONDALUP,ulp_91,77.2,79.4,81.9,77.2,6
2002-02-07,JOONDALUP,ulp_91,76.5,78.8,81.4,76.5,6
