date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,KALGOORLIE,ulp_91,91.9,94.9,98.9,91.9,10
2002-01-02,KALGOORLIE,ulp_91,91.9,94.9,98.9,91.9,10
2002-01-03,KALGOORLIE,ulp_91,91.9,94.9,98.9,91.9,10
2002-01-04,KALGOORLIE,ulp_91,91.9,94.9,98.9,91.9,10
2002-01-05,KALGOORLIE,ulp_91,91.9,94.9,98.9,91.9,10
2002-01-06,KALGOORLIE,ulp_91,91.9,94.9,98.9,91.9,10
2002-01-07,KALGOORLIE,ulp_91,91.9,94.9,98.9,91.9,10
2002-01-08,KALGOORLIE,ulp_91,91.9,94.9,98.9,91.9,10
2002-01-09,KALGOORLIE,ulp_91,91.9,94.9,98.9,91.9,10
2002-01-10,KALGOORLIE,ulp_91,91.9,94.9,98.9,91.9,10
2002-01-11,KALGOORLIE,ulp_91,91.9,94.9,98.9,91.9,10
2002-01-12,KALGOORLIE,ulp_91,91.9,94.9,98.9,91.9,10
2002-01-13,KALGOORLIE,ulp_91,91.9,94.9,98.9,91.9,10
2002-01-14,KALGOORLIE,ulp_91,91.9,94.9,98.9,91.9,10
2002-01-15,KALGOORLIE,ulp_91,91.9,94.9,98.9,91.9,10
2002-01-16,KALGOORLIE,ulp_91,91.9,94.9,98.9,91.9,10
2002-01-17,KALGOORLIE,ulp_91,91.9,94.9,98.9,91.9,10
2002-01-18,KALGOORLIE,ulp_91,91.9,94.9,98.9,91.9,10
2002-01-19,KALGOORLIE,ulp_91,91.9,94.5,98.9,91.9,10
2002-01-20,KALGOORLIE,ulp_91,91.5,94.4,98.9,91.5,10
2002-01-21,KALGOORLIE,ulp_91,91.5,94.4,98.9,91.5,10
2002-01-22,KALGOORLIE,ulp_91,91.5,94.3,98.9,91.5,10
2002-01-23,KALGOORLIE,ulp_91,91.5,94.2,98.9,91.5,10
2002-01-24,KALGOORLIE,ulp_91,91.5,94.2,98.9,91.5,10
2002-01-25,KALGOORLIE,ulp_91,91.5,94.2,98.9,91.5,10
2002-01-26,KALGOORLIE,ulp_91,91.4,94.1,98.9,91.4,10
2002-01-27,KALGOORLIE,ulp_91,91.2,94.1,98.9,91.2,10
2002-01-28,KALGOORLIE,ulp_91,91.2,94.1,98.9,91.2,10
2002-01-29,KALGOORLIE,ulp_91,91.2,94.1,98.9,91.2,10
2002-01-30,KALGOORLIE,ulp_91,90.9,94.1,98.9,90.9,10
2002-01-31,KALGOORLIE,ulp_91,89.9,93.5,98.9,89.9,10
2002-02-01,KALGOORLIE,ulp_91,89.7,93.2,98.9,89.7,10
2002-02-02,KALGOORLIE,ulp_91,89.7,93.0,98.9,89.7,10
2002-02-03,KALGOORLIE,ulp_91,89.7,93.4,98.9,89.7,10
2002-02-04,KALGOORLIE,ulp_91,89.7,93.6,98.9,89.7,10
2002-02-05,KALGOORLIE,ulp_91,89.7,93.6,98.9,89.7,10
2002-02-06,KALGOORLIE,ulp_91,89.7,93.6,98.9,89.7,10
2002-02-07,KALGOORLIE,ulp_91,89.7,93.6,98.9,89.7,10
2002-02-08,KALGOORLIE,ulp_91,89.7,93.3,98.9,89.7,10
2002-02-09,KALGOORLIE,ulp_91,89.7,93.9,98.9,89.7,10
2002-02-10,KALGOORLIE,ulp_91,89.7,94.2,98.9,89.7,10
2002-02-11,KALGOORLIE,ulp_91,89.7,94.2,98.9,89.7,10
2002-02-12,KALGOORLIE,ulp_91,91.5,95.0,98.9,91.5,10
2002-02-13,KALGOORLIE,ulp_91,89.7,94.7,98.9,89.7,10
2002-02-14,KALGOORLIE,ulp_91,91.5,95.1,98.9,91.5,10
2002-02-15,KALGOORLIE,ulp_91,91.5,95.1,98.9,91.5,10
2002-02-16,KALGOORLIE,ulp_91,91.5,95.1,98.9,91.5,10
2002-02-17,KALGOORLIE,ulp_91,91.5,95.1,98.9,91.5,10
2002-02-18,KALGOORLIE,ulp_91,91.5,95.1,98.9,91.5,10
2002-02-19,KALGOORLIE,ulp_91,91.5,95.3,98.9,91.5,10
2002-02-20,KALGOORLIE,ulp_91,91.5,95.3,98.9,91.5,10
2002-02-21,KALGOORLIE,ulp_91,91.5,95.4,98.9,91.5,10
2002-02-22,KALGOORLIE,ulp_91,91.5,95.5,98.9,91.5,10
2002-02-23,KALGOORLIE,ulp_91,90.9,95.6,98.9,90.9,10
2002-02-24,KALGOORLIE,ulp_91,91.5,95.7,98.9,91.5,10
2002-02-25,KALGOORLIE,ulp_91,91.5,95.7,98.9,91.5,10
2002-02-26,KALGOORLIE,ulp_91,91.5,95.7,98.9,91.5,10
2002-02-27,KALGOORLIE,ulp_91,91.5,95.7,98.9,91.5,10
2002-02-28,KALGOORLIE,ulp_91,91.5,95.8,98.9,91.5,10
2003-01-01,KALGOORLIE,ulp_91,97.7,102.1,108.5,97.7,11
2003-01-02,KALGOORLIE,ulp_91,97.7,102.1,108.5,97.7,11
2003-01-03,KALGOORLIE,ulp_91,97.7,102.1,108.5,97.7,11
2003-01-04,KALGOORLIE,ulp_91,97.7,102.2,108.5,97.7,11
2003-01-05,KALGOORLIE,ulp_91,97.7,102.5,108.5,97.7,11
2003-01-06,KALGOORLIE,ulp_91,97.7,102.5,108.5,97.7,11
2003-01-07,KALGOORLIE,ulp_91,97.7,102.5,108.5,97.7,11
2003-01-08,KALGOORLIE,ulp_91,97.7,102.5,108.5,97.7,11
2003-01-09,KALGOORLIE,ulp_91,97.7,102.9,108.5,97.7,11
2003-01-10,KALGOORLIE,ulp_91,97.7,103.1,108.5,97.7,11
2003-01-11,KALGOORLIE,ulp_91,97.7,103.1,108.5,97.7,11
2003-01-12,KALGOORLIE,ulp_91,98.5,103.1,108.5,98.5,11
2003-01-13,KALGOORLIE,ulp_91,98.5,103.1,108.5,98.5,11
2003-01-14,KALGOORLIE,ulp_91,98.5,103.1,108.5,98.5,11
2003-01-15,KALGOORLIE,ulp_91,98.5,103.2,108.5,98.5,11
2003-01-16,KALGOORLIE,ulp_91,98.5,103.2,108.5,98.5,11
2003-01-17,KALGOORLIE,ulp_91,98.5,103.2,108.5,98.5,11
2003-01-18,KALGOORLIE,ulp_91,98.5,103.3,108.5,98.5,11
2003-01-19,KALGOORLIE,ulp_91,98.5,103.3,108.5,98.5,11
2003-01-20,KALGOORLIE,ulp_91,98.5,103.3,108.5,98.5,11
2003-01-21,KALGOORLIE,ulp_91,98.5,103.3,108.5,98.5,11
2003-01-22,KALGOORLIE,ulp_91,98.9,103.3,108.5,98.9,11
2003-01-23,KALGOORLIE,ulp_91,98.7,103.4,108.5,98.7,11
2003-01-24,KALGOORLIE,ulp_91,99.7,103.5,108.5,99.7,11
2003-01-25,KALGOORLIE,ulp_91,99.7,103.7,109.5,99.7,11
2003-01-26,KALGOORLIE,ulp_91,99.7,103.7,109.5,99.7,11
2003-01-27,KALGOORLIE,ulp_91,99.7,103.7,109.5,99.7,11
2003-01-28,KALGOORLIE,ulp_91,99.5,103.3,109.5,99.5,11
2003-01-29,KALGOORLIE,ulp_91,99.5,103.3,109.5,99.5,11
2003-01-30,KALGOORLIE,ulp_91,99.5,103.3,109.5,99.5,11
2003-01-31,KALGOORLIE,ulp_91,99.5,103.3,109.9,99.5,11
2003-02-01,KALGOORLIE,ulp_91,99.5,103.3,109.9,99.5,11
2003-02-02,KALGOORLIE,ulp_91,99.7,103.9,109.9,99.7,11
2003-02-03,KALGOORLIE,ulp_91,99.7,103.9,109.9,99.7,11
2003-02-04,KALGOORLIE,ulp_91,99.7,103.9,109.9,99.7,11
2003-02-05,KALGOORLIE,ulp_91,99.7,103.3,109.9,99.7,11
2003-02-06,KALGOORLIE,ulp_91,99.7,103.3,109.9,99.7,11
2003-02-07,KALGOORLIE,ulp_91,99.7,103.5,109.9,99.7,11
2003-02-08,KALGOORLIE,ulp_91,99.7,103.7,109.9,99.7,11
2003-02-09,KALGOORLIE,ulp_91,99.7,103.7,109.9,99.7,11
2003-02-10,KALGOORLIE,ulp_91,99.7,103.7,109.9,99.7,11
2003-02-11,KALGOORLIE,ulp_91,99.7,103.7,109.9,99.7,11
2003-02-12,KALGOORLIE,ulp_91,99.7,104.4,110.9,99.7,11
2003-02-13,KALGOORLIE,ulp_91,99.7,104.8,110.9,99.7,11
2003-02-14,KALGOORLIE,ulp_91,99.7,104.9,111.9,99.7,11
2003-02-15,KALGOORLIE,ulp_91,99.7,105.5,111.9,99.7,11
2003-02-16,KALGOORLIE,ulp_91,99.7,105.5,111.9,99.7,11
2003-02-17,KALGOORLIE,ulp_91,99.7,105.5,111.9,99.7,11
2003-02-18,KALGOORLIE,ulp_91,99.7,105.9,112.9,99.7,11
2003-02-19,KALGOORLIE,ulp_91,99.7,105.9,112.9,99.7,11
2003-02-20,KALGOORLIE,ulp_91,99.7,106.3,112.9,99.7,11
2003-02-21,KALGOORLIE,ulp_91,99.7,106.5,113.9,99.7,11
2003-02-22,KALGOORLIE,ulp_91,99.7,106.5,113.9,99.7,11
2003-02-23,KALGOORLIE,ulp_91,99.7,106.5,113.9,99.7,11
2003-02-24,KALGOORLIE,ulp_91,99.7,106.5,113.9,99.7,11
2003-02-25,KALGOORLIE,ulp_91,99.7,107.1,113.9,99.7,11
2003-02-26,KALGOORLIE,ulp_91,102.7,108.3,114.9,102.7,11
2003-02-27,KALGOORLIE,ulp_91,102.7,108.2,114.9,102.7,11
2003-02-28,KALGOORLIE,ulp_91,102.7,108.2,114.9,102.7,11
2004-01-01,KALGOORLIE,ulp_91,97.9,101.1,107.9,97.9,9
