date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2004-01-01,KAMBALDA EAST,premium_95,107.9,107.9,107.9,107.9,1
2004-01-02,KAMBALDA EAST,premium_95,107.9,107.9,107.9,107.9,1
2004-01-03,KAMBALDA EAST,premium_95,107.9,107.9,107.9,107.9,1
2004-01-04,KAMBALDA EAST,premium_95,107.9,107.9,107.9,107.9,1
2004-01-05,KAMBALDA EAST,premium_95,107.9,107.9,107.9,107.9,1
2004-01-06,KAMBALDA EAST,premium_95,107.9,107.9,107.9,107.9,1
2004-01-07,KAMBALDA EAST,premium_95,107.9,107.9,107.9,107.9,1
2004-01-08,KAMBALDA EAST,premium_95,107.9,107.9,107.9,107.9,1
2004-01-09,KAMBALDA EAST,premium_95,107.9,107.9,107.9,107.9,1
2004-01-10,KAMBALDA EAST,premium_95,107.9,107.9,107.9,107.9,1
2004-01-11,KAMBALDA EAST,premium_95,107.9,107.9,107.9,107.9,1
2004-01-12,KAMBALDA EAST,premium_95,107.9,107.9,107.9,107.9,1
2004-01-13,KAMBALDA EAST,premium_95,108.9,108.9,108.9,108.9,1
2004-01-14,KAMBALDA EAST,premium_95,108.9,108.9,108.9,108.9,1
2004-01-15,KAMBALDA EAST,premium_95,108.9,108.9,108.9,108.9,1
2004-01-16,KAMBALDA EAST,premium_95,109.9,109.9,109.9,109.9,1
2004-01-17,KAMBALDA EAST,premium_95,109.9,109.9,109.9,109.9,1
2004-01-18,KAMBALDA EAST,premium_95,109.9,109.9,109.9,109.9,1
2004-01-19,KAMBALDA EAST,premium_95,109.9,109.9,109.9,109.9,1
2004-01-20,KAMBALDA EAST,premium_95,109.9,109.9,109.9,109.9,1
2004-01-21,KAMBALDA EAST,premium_95,109.9,109.9,109.9,109.9,1
2004-01-22,KAMBALDA EAST,premium_95,109.9,109.9,109.9,109.9,1
2004-01-23,KAMBALDA EAST,premium_95,109.9,109.9,109.9,109.9,1
2004-01-24,KAMBALDA EAST,premium_95,109.9,109.9,109.9,109.9,1
2004-01-25,KAMBALDA EAST,premium_95,109.9,109.9,109.9,109.9,1
2004-01-26,KAMBALDA EAST,premium_95,109.9,109.9,109.9,109.9,1
2004-01-27,KAMBALDA EAST,premium_95,109.9,109.9,109.9,109.9,1
2004-01-28,KAMBALDA EAST,premium_95,109.9,109.9,109.9,109.9,1
2004-01-29,KAMBALDA EAST,premium_95,109.9,109.9,109.9,109.9,1
2004-01-30,KAMBALDA EAST,premium_95,109.9,109.9,109.9,109.9,1
2004-01-31,KAMBALDA EAST,premium_95,109.9,109.9,109.9,109.9,1
2004-02-01,KAMBALDA EAST,premium_95,109.9,109.9,109.9,109.9,1
2004-02-02,KAMBALDA EAST,premium_95,109.9,109.9,109.9,109.9,1
2004-02-03,KAMBALDA EAST,premium_95,109.9,109.9,109.9,109.9,1
2004-02-04,KAMBALDA EAST,premium_95,109.9,109.9,109.9,109.9,1
2004-02-05,KAMBALDA EAST,premium_95,109.9,109.9,109.9,109.9,1
2004-02-06,KAMBALDA EAST,premium_95,109.9,109.9,109.9,109.9,1
2004-02-07,KAMBALDA EAST,premium_95,109.9,109.9,109.9,109.9,1
2004-02-08,KAMBALDA EAST,premium_95,109.9,109.9,109.9,109.9,1
2004-02-09,KAMBALDA EAST,premium_95,109.9,109.9,109.9,109.9,1
2004-02-10,KAMBALDA EAST,premium_95,107.9,107.9,107.9,107.9,1
2004-02-11,KAMBALDA EAST,premium_95,107.9,107.9,107.9,107.9,1
2004-02-12,KAMBALDA EAST,premium_95,107.9,107.9,107.9,107.9,1
2004-02-13,KAMBALDA EAST,premium_95,107.9,107.9,107.9,107.9,1
2004-02-14,KAMBALDA EAST,premium_95,107.9,107.9,107.9,107.9,1
2004-02-15,KAMBALDA EAST,premium_95,107.9,107.9,107.9,107.9,1
2004-02-16,KAMBALDA EAST,premium_95,107.9,107.9,107.9,107.9,1
2004-02-17,KAMBALDA EAST,premium_95,106.9,106.9,106.9,106.9,1
2004-02-18,KAMBALDA EAST,premium_95,106.9,106.9,106.9,106.9,1
2004-02-19,KAMBALDA EAST,premium_95,106.9,106.9,106.9,106.9,1
2004-02-20,KAMBALDA EAST,premium_95,106.9,106.9,106.9,106.9,1
2004-02-21,KAMBALDA EAST,premium_95,105.9,105.9,105.9,105.9,1
2004-02-22,KAMBALDA EAST,premium_95,105.9,105.9,105.9,105.9,1
2004-02-23,KAMBALDA EAST,premium_95,105.9,105.9,105.9,105.9,1
2004-02-24,KAMBALDA EAST,premium_95,105.9,105.9,105.9,105.9,1
2004-02-25,KAMBALDA EAST,premium_95,105.9,105.9,105.9,105.9,1
2004-02-26,KAMBALDA EAST,premium_95,105.9,105.9,105.9,105.9,1
2004-02-27,KAMBALDA EAST,premium_95,105.9,105.9,105.9,105.9,1
2004-02-28,KAMBALDA EAST,premium_95,106.9,106.9,106.9,106.9,1
2004-02-29,KAMBALDA EAST,premium_95,106.9,106.9,106.9,106.9,1
