date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2002-01-01,KARDINYA,ulp_91,82.9,84.5,86.1,82.9,4
2002-01-02,KARDINYA,ulp_91,81.9,83.7,85.5,81.9,4
2002-01-03,KARDINYA,ulp_91,79.4,81.7,83.9,79.4,4
2002-01-04,KARDINYA,ulp_91,77.9,79.8,81.6,77.9,4
2002-01-05,KARDINYA,ulp_91,76.9,79.2,81.5,76.9,4
2002-01-06,KARDINYA,ulp_91,75.9,78.4,80.9,75.9,4
2002-01-07,KARDINYA,ulp_91,75.5,78.0,80.5,75.5,4
2002-01-08,KARDINYA,ulp_91,74.9,77.1,79.3,74.9,4
2002-01-09,KARDINYA,ulp_91,86.9,88.7,90.5,86.9,4
2002-01-10,KARDINYA,ulp_91,86.5,88.0,89.5,86.5,4
2002-01-11,KARDINYA,ulp_91,85.3,86.8,88.3,85.3,4
2002-01-12,KARDINYA,ulp_91,84.3,85.8,87.3,84.3,4
2002-01-13,KARDINYA,ulp_91,83.1,84.8,86.5,83.1,4
2002-01-14,KARDINYA,ulp_91,82.3,84.0,85.7,82.3,4
2002-01-15,KARDINYA,ulp_91,77.5,80.6,83.7,77.5,4
2002-01-16,KARDINYA,ulp_91,76.7,82.8,88.9,76.7,4
2002-01-17,KARDINYA,ulp_91,83.5,86.0,88.5,83.5,4
2002-01-18,KARDINYA,ulp_91,82.9,84.6,86.3,82.9,4
2002-01-19,KARDINYA,ulp_91,81.9,83.9,85.9,81.9,4
2002-01-20,KARDINYA,ulp_91,81.5,83.1,84.7,81.5,4
2002-01-21,KARDINYA,ulp_91,80.9,82.4,83.9,80.9,4
2002-01-22,KARDINYA,ulp_91,79.9,81.6,83.3,79.9,4
2002-01-23,KARDINYA,ulp_91,77.5,79.5,81.5,77.5,4
2002-01-24,KARDINYA,ulp_91,76.5,78.0,79.5,76.5,4
2002-01-25,KARDINYA,ulp_91,83.9,86.2,88.5,83.9,4
2002-01-26,KARDINYA,ulp_91,83.3,84.9,86.6,83.3,4
2002-01-27,KARDINYA,ulp_91,81.9,83.8,85.6,81.9,4
2002-01-28,KARDINYA,ulp_91,79.9,82.1,84.3,79.9,4
2002-01-29,KARDINYA,ulp_91,78.9,80.6,82.3,78.9,4
2002-01-30,KARDINYA,ulp_91,77.9,79.6,81.3,77.9,4
2002-01-31,KARDINYA,ulp_91,77.3,81.4,85.5,77.3,4
2002-02-01,KARDINYA,ulp_91,81.5,83.5,85.5,81.5,4
2002-02-02,KARDINYA,ulp_91,80.7,82.3,83.9,80.7,4
2002-02-03,KARDINYA,ulp_91,79.9,81.6,83.3,79.9,4
2002-02-04,KARDINYA,ulp_91,79.5,81.0,82.6,79.5,4
2002-02-05,KARDINYA,ulp_91,78.5,80.1,81.7,78.5,4
2002-02-06,KARDINYA,ulp_91,76.9,78.8,80.7,76.9,4
