date,location,fuel_type,min_price,avg_price,max_price,cheapest_price,station_count
2014-01-01,KARRAGULLEN,premium_98,167.9,167.9,167.9,167.9,1
2014-01-02,KARRAGULLEN,premium_98,167.9,167.9,167.9,167.9,1
2014-01-03,KARRAGULLEN,premium_98,167.9,167.9,167.9,167.9,1
2014-01-04,KARRAGULLEN,premium_98,167.9,167.9,167.9,167.9,1
2014-01-05,KARRAGULLEN,premium_98,170.9,170.9,170.9,170.9,1
2014-01-06,KARRAGULLEN,premium_98,170.9,170.9,170.9,170.9,1
2014-01-07,KARRAGULLEN,premium_98,170.9,170.9,170.9,170.9,1
2014-01-08,KARRAGULLEN,premium_98,170.9,170.9,170.9,170.9,1
2014-01-09,KARRAGULLEN,premium_98,170.9,170.9,170.9,170.9,1
2014-01-10,KARRAGULLEN,premium_98,170.9,170.9,170.9,170.9,1
2014-01-11,KARRAGULLEN,premium_98,170.9,170.9,170.9,170.9,1
2014-01-12,KARRAGULLEN,premium_98,170.9,170.9,170.9,170.9,1
2014-01-13,KARRAGULLEN,premium_98,170.9,170.9,170.9,170.9,1
2014-01-14,KARRAGULLEN,premium_98,170.9,170.9,170.9,170.9,1
2014-01-15,KARRAGULLEN,premium_98,170.9,170.9,170.9,170.9,1
2014-01-16,KARRAGULLEN,premium_98,170.9,170.9,170.9,170.9,1
2014-01-17,KARRAGULLEN,premium_98,170.9,170.9,170.9,170.9,1
2014-01-18,KARRAGULLEN,premium_98,170.9,170.9,170.9,170.9,1
2014-01-19,KARRAGULLEN,premium_98,170.9,170.9,170.9,170.9,1
2014-01-20,KARRAGULLEN,premium_98,170.9,170.9,170.9,170.9,1
2014-01-21,KARRAGULLEN,premium_98,167.9,167.9,167.9,167.9,1
2014-01-22,KARRAGULLEN,premium_98,167.9,167.9,167.9,167.9,1
2014-01-23,KARRAGULLEN,premium_98,167.9,167.9,167.9,167.9,1
2014-01-24,KARRAGULLEN,premium_98,167.9,167.9,167.9,167.9,1
